Date,Symbol,Open,High,Low,Close,Volume
2024-12-10,SPXUSDT,0.6000000,0.7497000,0.6000000,0.6937000,61504659
2024-12-11,SPXUSDT,0.6939000,0.7709000,0.6640000,0.7600000,85379132
2024-12-12,SPXUSDT,0.7601000,0.7944000,0.6799000,0.6883000,32000794
2024-12-13,SPXUSDT,0.6885000,0.6957000,0.6437000,0.6851000,29354155
2024-12-14,SPXUSDT,0.6850000,0.7550000,0.6551000,0.6865000,56340398
2024-12-15,SPXUSDT,0.6866000,0.7829000,0.6578000,0.7611000,51064149
2024-12-16,SPXUSDT,0.7611000,0.8558000,0.7557000,0.7973000,103860639
2024-12-17,SPXUSDT,0.7975000,0.8245000,0.7037000,0.7151000,39208638
2024-12-18,SPXUSDT,0.7151000,0.7313000,0.6563000,0.6624000,41973911
2024-12-19,SPXUSDT,0.6625000,0.6707000,0.5759000,0.6191000,41129704
2024-12-20,SPXUSDT,0.6191000,0.6920000,0.5358000,0.6893000,35817869
2024-12-21,SPXUSDT,0.6891000,0.8147000,0.6847000,0.7458000,87076014
2024-12-22,SPXUSDT,0.7461000,0.7504000,0.6234000,0.6236000,48718745
2024-12-23,SPXUSDT,0.6236000,0.7989000,0.6142000,0.7846000,51318435
2024-12-24,SPXUSDT,0.7847000,0.8499000,0.7534000,0.8100000,51419794
2024-12-25,SPXUSDT,0.8099000,0.8665000,0.7978000,0.8142000,28476336
2024-12-26,SPXUSDT,0.8143000,0.8410000,0.7615000,0.7715000,24591127
2024-12-27,SPXUSDT,0.7713000,0.8181000,0.7272000,0.7963000,22950558
2024-12-28,SPXUSDT,0.7961000,0.9062000,0.7873000,0.8910000,52123381
2024-12-29,SPXUSDT,0.8912000,0.9400000,0.8702000,0.9173000,46603696
2024-12-30,SPXUSDT,0.9173000,0.9319000,0.8493000,0.8579000,31260285
2024-12-31,SPXUSDT,0.8580000,0.9053000,0.8394000,0.8705000,22992617
2025-01-01,SPXUSDT,0.8706000,0.9670000,0.8648000,0.9474000,37269299
2025-01-02,SPXUSDT,0.9475000,1.1990000,0.9188000,1.1918000,61101920
2025-01-03,SPXUSDT,1.1918000,1.3433000,1.1559000,1.3252000,244744553
2025-01-04,SPXUSDT,1.3252000,1.4249000,1.2469000,1.3235000,86577932
2025-01-05,SPXUSDT,1.3235000,1.5700000,1.2657000,1.5083000,73454403
2025-01-06,SPXUSDT,1.5085000,1.6495000,1.4500000,1.5515000,201893744
2025-01-07,SPXUSDT,1.5514000,1.5635000,1.3325000,1.4148000,111375015
2025-01-08,SPXUSDT,1.4146000,1.4800000,1.2980000,1.3193000,134300320
2025-01-09,SPXUSDT,1.3193000,1.3644000,1.0310000,1.0921000,138703454
2025-01-10,SPXUSDT,1.0921000,1.3247000,1.0859000,1.1029000,136742376
2025-01-11,SPXUSDT,1.1026000,1.1432000,1.0537000,1.0963000,119644370
2025-01-12,SPXUSDT,1.0963000,1.1079000,0.9920000,0.9966000,59122042
2025-01-13,SPXUSDT,0.9966000,1.0334000,0.8714000,1.0011000,102779888
2025-01-14,SPXUSDT,1.0010000,1.2481000,0.9880000,1.0950000,106765426
2025-01-15,SPXUSDT,1.0950000,1.1577000,0.9362000,1.1168000,103266544
2025-01-16,SPXUSDT,1.1168000,1.1200000,0.9806000,1.0159000,64082781
2025-01-17,SPXUSDT,1.0160000,1.5634000,1.0033000,1.5318000,301325188
2025-01-18,SPXUSDT,1.5321000,1.5500000,1.3137000,1.4515000,234297282
2025-01-19,SPXUSDT,1.4516000,1.7824000,1.2567000,1.4515000,198766673
2025-01-20,SPXUSDT,1.4517000,1.6520000,1.3400000,1.4596000,189409792
2025-01-21,SPXUSDT,1.4597000,1.6020000,1.2285000,1.4120000,121254033
2025-01-22,SPXUSDT,1.4118000,1.5593000,1.3355000,1.3521000,92327791
2025-01-23,SPXUSDT,1.3520000,1.4053000,1.2407000,1.3624000,80902889
2025-01-24,SPXUSDT,1.3622000,1.4199000,1.1982000,1.2056000,74936758
2025-01-25,SPXUSDT,1.2059000,1.2742000,1.1654000,1.2064000,48990369
2025-01-26,SPXUSDT,1.2065000,1.2520000,1.1433000,1.1478000,36075767
2025-01-27,SPXUSDT,1.1477000,1.1695000,0.9768000,1.1422000,83343747
2025-01-28,SPXUSDT,1.1422000,1.1659000,1.0048000,1.0369000,55325932
2025-01-29,SPXUSDT,1.0368000,1.2224000,1.0289000,1.1444000,58168641
2025-01-30,SPXUSDT,1.1447000,1.3845000,1.1274000,1.2847000,55801940
2025-01-31,SPXUSDT,1.2846000,1.3530000,1.1903000,1.1995000,39851752
2025-02-01,SPXUSDT,1.1994000,1.2097000,1.0373000,1.0567000,34356480
2025-02-02,SPXUSDT,1.0570000,1.1081000,0.7974000,0.8685000,81058767
2025-02-03,SPXUSDT,0.8686000,0.9422000,0.6248000,0.8942000,147999488
2025-02-04,SPXUSDT,0.8942000,0.8973000,0.7664000,0.8161000,66977025
2025-02-05,SPXUSDT,0.8160000,0.8350000,0.6606000,0.6632000,61804484
2025-02-06,SPXUSDT,0.6630000,0.7295000,0.5473000,0.6252000,121448492
2025-02-07,SPXUSDT,0.6252000,0.7042000,0.5651000,0.5954000,100773866
2025-02-08,SPXUSDT,0.5954000,0.6797000,0.5887000,0.6519000,54674759
2025-02-09,SPXUSDT,0.6519000,0.7101000,0.5725000,0.6222000,55325594
2025-02-10,SPXUSDT,0.6220000,0.7005000,0.5996000,0.6645000,51029067
2025-02-11,SPXUSDT,0.6645000,0.8101000,0.6628000,0.7190000,65591410
2025-02-12,SPXUSDT,0.7191000,0.8008000,0.6391000,0.7736000,72950261
2025-02-13,SPXUSDT,0.7737000,0.7895000,0.6920000,0.7382000,39410587
2025-02-14,SPXUSDT,0.7381000,0.8715000,0.7303000,0.8073000,52983286
2025-02-15,SPXUSDT,0.8074000,0.8137000,0.7422000,0.7576000,25401442
2025-02-16,SPXUSDT,0.7575000,0.7662000,0.6841000,0.6892000,31696242
