Date,Symbol,Open,High,Low,Close,Volume
2024-08-22,SUNUSDT,0.0212490,0.0257470,0.0186330,0.0231840,7205435518
2024-08-23,SUNUSDT,0.0231720,0.0352360,0.0221340,0.0338700,28704357146
2024-08-24,SUNUSDT,0.0338480,0.0410000,0.0337510,0.0383940,30902108540
2024-08-25,SUNUSDT,0.0383920,0.0447900,0.0353500,0.0362010,25136663728
2024-08-26,SUNUSDT,0.0361980,0.0374000,0.0300230,0.0310690,15846111961
2024-08-27,SUNUSDT,0.0310670,0.0349790,0.0287050,0.0318940,19441832868
2024-08-28,SUNUSDT,0.0318940,0.0331590,0.0296460,0.0307840,15473613681
2024-08-29,SUNUSDT,0.0307850,0.0347980,0.0298220,0.0300970,12623489546
2024-08-30,SUNUSDT,0.0300970,0.0377500,0.0292220,0.0366160,29264042338
2024-08-31,SUNUSDT,0.0366150,0.0372660,0.0337990,0.0362470,17682237773
2024-09-01,SUNUSDT,0.0362460,0.0386630,0.0323240,0.0330900,17390364040
2024-09-02,SUNUSDT,0.0330890,0.0345900,0.0312630,0.0318930,11701143859
2024-09-03,SUNUSDT,0.0318960,0.0341180,0.0281190,0.0285010,12951047702
2024-09-04,SUNUSDT,0.0285010,0.0291810,0.0268400,0.0274600,10140297565
2024-09-05,SUNUSDT,0.0274590,0.0277760,0.0262900,0.0268990,7152591661
2024-09-06,SUNUSDT,0.0268970,0.0277430,0.0248940,0.0256510,8656717055
2024-09-07,SUNUSDT,0.0256510,0.0275640,0.0253950,0.0268820,4090973302
2024-09-08,SUNUSDT,0.0268820,0.0284120,0.0260130,0.0278870,3796261582
2024-09-09,SUNUSDT,0.0278870,0.0287950,0.0266270,0.0277890,3801707461
2024-09-10,SUNUSDT,0.0277890,0.0278080,0.0262680,0.0265800,3322695185
2024-09-11,SUNUSDT,0.0265800,0.0265940,0.0245000,0.0247360,4280057101
2024-09-12,SUNUSDT,0.0247350,0.0258200,0.0237750,0.0246960,5328970589
2024-09-13,SUNUSDT,0.0246940,0.0248470,0.0228070,0.0242310,5545562088
2024-09-14,SUNUSDT,0.0242310,0.0251900,0.0238300,0.0246370,5175975474
2024-09-15,SUNUSDT,0.0246370,0.0252970,0.0236000,0.0237880,4061360739
2024-09-16,SUNUSDT,0.0237880,0.0241240,0.0225740,0.0231450,3856411944
2024-09-17,SUNUSDT,0.0231450,0.0238660,0.0228970,0.0237130,2235189401
2024-09-18,SUNUSDT,0.0237140,0.0243600,0.0222900,0.0239840,3225488708
2024-09-19,SUNUSDT,0.0239860,0.0253170,0.0238160,0.0247750,2343347076
2024-09-20,SUNUSDT,0.0247750,0.0263540,0.0243010,0.0250020,2576987527
2024-09-21,SUNUSDT,0.0250020,0.0250990,0.0237310,0.0240870,1247290046
2024-09-22,SUNUSDT,0.0240870,0.0240930,0.0228000,0.0233810,1211525752
2024-09-23,SUNUSDT,0.0233830,0.0236930,0.0229200,0.0234020,1280507070
2024-09-24,SUNUSDT,0.0234010,0.0237750,0.0225750,0.0235750,1482288161
2024-09-25,SUNUSDT,0.0235740,0.0239490,0.0223450,0.0225580,1626903787
2024-09-26,SUNUSDT,0.0225590,0.0243100,0.0222180,0.0241010,1700564551
2024-09-27,SUNUSDT,0.0241010,0.0243220,0.0228070,0.0231940,1938288622
2024-09-28,SUNUSDT,0.0231940,0.0236430,0.0211000,0.0215090,3561104845
2024-09-29,SUNUSDT,0.0215110,0.0215870,0.0206760,0.0209130,1860332187
2024-09-30,SUNUSDT,0.0209140,0.0210540,0.0198510,0.0201610,2111239820
2024-10-01,SUNUSDT,0.0201610,0.0203110,0.0163540,0.0167090,4311884702
2024-10-02,SUNUSDT,0.0167090,0.0199380,0.0162200,0.0185220,8533667865
2024-10-03,SUNUSDT,0.0185210,0.0198000,0.0173130,0.0178940,11525738597
2024-10-04,SUNUSDT,0.0178940,0.0190410,0.0172860,0.0188710,4829552355
2024-10-05,SUNUSDT,0.0188700,0.0191760,0.0184400,0.0187240,2095849583
2024-10-06,SUNUSDT,0.0187240,0.0193760,0.0183470,0.0192880,1934803625
2024-10-07,SUNUSDT,0.0192880,0.0198590,0.0187400,0.0192210,2126847397
2024-10-08,SUNUSDT,0.0192240,0.0201760,0.0186460,0.0199680,1954233972
2024-10-09,SUNUSDT,0.0199680,0.0214330,0.0195750,0.0199580,4457526370
2024-10-10,SUNUSDT,0.0199610,0.0203250,0.0186130,0.0188940,2591616040
2024-10-11,SUNUSDT,0.0188940,0.0194820,0.0186750,0.0189980,1436883034
2024-10-12,SUNUSDT,0.0189980,0.0208260,0.0189850,0.0198490,1870707995
2024-10-13,SUNUSDT,0.0198510,0.0201580,0.0191420,0.0196680,1246667406
2024-10-14,SUNUSDT,0.0196680,0.0220240,0.0192810,0.0216270,2230275091
2024-10-15,SUNUSDT,0.0216290,0.0216710,0.0188000,0.0192400,2383308633
2024-10-16,SUNUSDT,0.0192460,0.0192850,0.0184530,0.0187790,1210268253
2024-10-17,SUNUSDT,0.0187790,0.0189370,0.0181640,0.0182920,921157822
2024-10-18,SUNUSDT,0.0182930,0.0185770,0.0181620,0.0184230,869282885
2024-10-19,SUNUSDT,0.0184230,0.0188910,0.0183460,0.0184070,542869133
2024-10-20,SUNUSDT,0.0184080,0.0193630,0.0181410,0.0191090,988819941
2024-10-21,SUNUSDT,0.0191100,0.0192740,0.0180520,0.0180610,1134513103
2024-10-22,SUNUSDT,0.0180600,0.0187720,0.0178150,0.0187100,873092135
2024-10-23,SUNUSDT,0.0187140,0.0187520,0.0170080,0.0175780,935984848
2024-10-24,SUNUSDT,0.0175770,0.0183930,0.0174390,0.0181700,722219716
2024-10-25,SUNUSDT,0.0181720,0.0186460,0.0157480,0.0163300,1688944541
2024-10-26,SUNUSDT,0.0163300,0.0174150,0.0160490,0.0172250,838741557
2024-10-27,SUNUSDT,0.0172240,0.0175600,0.0171110,0.0172680,504153956
2024-10-28,SUNUSDT,0.0172690,0.0184760,0.0167580,0.0180820,1202643893
2024-10-29,SUNUSDT,0.0180850,0.0194870,0.0178550,0.0185740,2251510364
2024-10-30,SUNUSDT,0.0185780,0.0191240,0.0183440,0.0190150,1136018409
2024-10-31,SUNUSDT,0.0190200,0.0191150,0.0178670,0.0181080,756773074
2024-11-01,SUNUSDT,0.0181080,0.0188580,0.0178640,0.0184600,1246996727
2024-11-02,SUNUSDT,0.0184600,0.0192190,0.0181680,0.0185910,1295404768
2024-11-03,SUNUSDT,0.0185910,0.0189150,0.0155810,0.0164540,2114258027
2024-11-04,SUNUSDT,0.0164540,0.0175840,0.0161830,0.0165320,1445352309
2024-11-05,SUNUSDT,0.0165330,0.0171930,0.0164180,0.0170580,1099896957
2024-11-06,SUNUSDT,0.0170610,0.0187530,0.0170610,0.0186360,1165481251
2024-11-07,SUNUSDT,0.0186370,0.0191740,0.0179180,0.0183650,1086366296
2024-11-08,SUNUSDT,0.0183660,0.0185510,0.0174820,0.0180920,746565573
2024-11-09,SUNUSDT,0.0180940,0.0194190,0.0178440,0.0193180,1020438753
2024-11-10,SUNUSDT,0.0193190,0.0203790,0.0184970,0.0193780,1817207912
2024-11-11,SUNUSDT,0.0193830,0.0203140,0.0188350,0.0200800,1689302148
2024-11-12,SUNUSDT,0.0200820,0.0222710,0.0187030,0.0215310,4281380499
2024-11-13,SUNUSDT,0.0215390,0.0223170,0.0191340,0.0204580,3704659515
2024-11-14,SUNUSDT,0.0204580,0.0219640,0.0201670,0.0204500,2237467297
2024-11-15,SUNUSDT,0.0204480,0.0231940,0.0198310,0.0231510,2254353571
2024-11-16,SUNUSDT,0.0231510,0.0237320,0.0222110,0.0226380,1193714621
2024-11-17,SUNUSDT,0.0226380,0.0230080,0.0212660,0.0218460,822761509
2024-11-18,SUNUSDT,0.0218360,0.0229590,0.0216560,0.0226180,837423164
2024-11-19,SUNUSDT,0.0226180,0.0229420,0.0211270,0.0215440,762517551
2024-11-20,SUNUSDT,0.0215330,0.0215500,0.0197110,0.0200520,856411300
2024-11-21,SUNUSDT,0.0200570,0.0212830,0.0194090,0.0209890,711797111
2024-11-22,SUNUSDT,0.0209910,0.0217280,0.0203670,0.0217140,601488545
2024-11-23,SUNUSDT,0.0217160,0.0236900,0.0215350,0.0228120,1032267222
2024-11-24,SUNUSDT,0.0228120,0.0241750,0.0217810,0.0235720,1274128149
2024-11-25,SUNUSDT,0.0235740,0.0242000,0.0215760,0.0219490,1044134222
2024-11-26,SUNUSDT,0.0219450,0.0229060,0.0201190,0.0206940,1234380926
2024-11-27,SUNUSDT,0.0206930,0.0230440,0.0205180,0.0227410,635750909
2024-11-28,SUNUSDT,0.0227420,0.0230030,0.0217180,0.0219100,516944981
2024-11-29,SUNUSDT,0.0219090,0.0230130,0.0215260,0.0224370,533922012
