Date,Symbol,Open,High,Low,Close,Volume
2024-11-27,THEUSDT,2.4077000,4.0767000,2.2650000,3.0608000,562272373.0
2024-11-28,THEUSDT,3.0604000,3.8943000,2.9700000,3.2820000,540388182.3
2024-11-29,THEUSDT,3.2812000,3.3984000,2.8777000,2.9957000,253793439.5
2024-11-30,THEUSDT,2.9958000,3.3082000,2.6101000,3.1218000,269770261.4
2024-12-01,THEUSDT,3.1218000,3.2554000,2.8414000,2.9117000,126324189.8
2024-12-02,THEUSDT,2.9117000,2.9148000,2.3593000,2.4546000,182505190.8
2024-12-03,THEUSDT,2.4546000,2.6200000,2.1852000,2.3763000,144122870.9
2024-12-04,THEUSDT,2.3764000,2.8559000,2.3236000,2.3902000,159737427.8
2024-12-05,THEUSDT,2.3904000,2.5300000,2.2660000,2.4934000,98043642.9
2024-12-06,THEUSDT,2.4928000,2.6417000,2.3650000,2.4568000,83781850.1
2024-12-07,THEUSDT,2.4568000,2.5785000,2.4112000,2.5376000,58216766.1
2024-12-08,THEUSDT,2.5366000,2.5695000,2.4334000,2.4749000,51704195.9
2024-12-09,THEUSDT,2.4753000,2.4796000,1.5366000,1.8442000,143143648.0
2024-12-10,THEUSDT,1.8443000,1.8881000,1.5370000,1.6604000,131862017.1
2024-12-11,THEUSDT,1.6604000,1.9241000,1.6255000,1.8645000,103924351.3
2024-12-12,THEUSDT,1.8644000,2.0448000,1.7261000,1.7783000,94741196.7
2024-12-13,THEUSDT,1.7783000,1.8473000,1.7355000,1.7835000,52479730.8
2024-12-14,THEUSDT,1.7836000,1.8414000,1.6343000,1.6893000,52686571.0
2024-12-15,THEUSDT,1.6893000,1.7518000,1.6371000,1.7250000,44742249.7
2024-12-16,THEUSDT,1.7254000,1.7684000,1.5693000,1.6139000,60841473.8
2024-12-17,THEUSDT,1.6138000,1.6511000,1.4590000,1.4818000,71714503.9
2024-12-18,THEUSDT,1.4818000,1.5005000,1.2667000,1.3397000,74071267.7
2024-12-19,THEUSDT,1.3399000,1.3643000,1.1327000,1.2053000,90320359.2
2024-12-20,THEUSDT,1.2052000,1.2921000,1.0620000,1.2743000,92298345.2
2024-12-21,THEUSDT,1.2741000,1.3620000,1.1784000,1.2050000,55849130.3
2024-12-22,THEUSDT,1.2053000,1.2945000,1.1620000,1.2090000,38810900.0
2024-12-23,THEUSDT,1.2090000,1.3307000,1.1658000,1.3095000,53507992.2
2024-12-24,THEUSDT,1.3096000,1.4389000,1.2592000,1.3930000,54611820.7
2024-12-25,THEUSDT,1.3931000,1.4288000,1.3024000,1.3201000,36807341.1
