Date,Symbol,Open,High,Low,Close,Volume
2024-05-30,TURBOUSDT,0.0068980,0.0070600,0.0059860,0.0060750,3515671684
2024-05-31,TURBOUSDT,0.0060760,0.0085890,0.0058070,0.0077520,34905317747
2024-06-01,TURBOUSDT,0.0077530,0.0080980,0.0069100,0.0069730,18590276462
2024-06-02,TURBOUSDT,0.0069760,0.0079370,0.0064910,0.0066370,15966441797
2024-06-03,TURBOUSDT,0.0066360,0.0068300,0.0061720,0.0063480,11800766900
2024-06-04,TURBOUSDT,0.0063490,0.0069620,0.0060010,0.0064390,15750617913
2024-06-05,TURBOUSDT,0.0064400,0.0064880,0.0058200,0.0060380,12199992277
2024-06-06,TURBOUSDT,0.0060370,0.0065180,0.0059130,0.0061830,16771898108
2024-06-07,TURBOUSDT,0.0061820,0.0062990,0.0042890,0.0051900,18608487286
2024-06-08,TURBOUSDT,0.0051910,0.0054640,0.0050470,0.0051180,8974644212
2024-06-09,TURBOUSDT,0.0051170,0.0068710,0.0050000,0.0065730,30871110547
2024-06-10,TURBOUSDT,0.0065740,0.0065900,0.0056730,0.0057220,24192370371
2024-06-11,TURBOUSDT,0.0057220,0.0058520,0.0051380,0.0053150,10542510176
2024-06-12,TURBOUSDT,0.0053140,0.0057340,0.0048550,0.0051350,10943822744
2024-06-13,TURBOUSDT,0.0051330,0.0051390,0.0045700,0.0047330,7710903480
2024-06-14,TURBOUSDT,0.0047340,0.0051830,0.0043240,0.0047310,10783575003
2024-06-15,TURBOUSDT,0.0047310,0.0048840,0.0045330,0.0046200,6381215531
2024-06-16,TURBOUSDT,0.0046200,0.0047450,0.0043990,0.0046300,5443620682
2024-06-17,TURBOUSDT,0.0046310,0.0046800,0.0036360,0.0039920,9219996187
2024-06-18,TURBOUSDT,0.0039910,0.0039980,0.0034790,0.0037790,10092269190
2024-06-19,TURBOUSDT,0.0037800,0.0051130,0.0037020,0.0050370,34086269269
2024-06-20,TURBOUSDT,0.0050380,0.0061750,0.0049490,0.0060000,76365676902
2024-06-21,TURBOUSDT,0.0060000,0.0061750,0.0053050,0.0056370,47395698034
2024-06-22,TURBOUSDT,0.0056380,0.0068990,0.0054530,0.0062850,47746598172
2024-06-23,TURBOUSDT,0.0062860,0.0064790,0.0054890,0.0055700,29887524469
2024-06-24,TURBOUSDT,0.0055680,0.0058210,0.0048800,0.0054660,28366645891
2024-06-25,TURBOUSDT,0.0054670,0.0062680,0.0051500,0.0052650,27929038006
