Date,Symbol,Open,High,Low,Close,Volume
2023-10-18,WAXPUSDT,0.0708000,0.0708000,0.0514700,0.0638000,1579370430
2023-10-19,WAXPUSDT,0.0638000,0.0661800,0.0525300,0.0555900,2518396669
2023-10-20,WAXPUSDT,0.0555700,0.0556000,0.0505100,0.0541300,1258288039
2023-10-21,WAXPUSDT,0.0541100,0.0543000,0.0520900,0.0534600,486722695
2023-10-22,WAXPUSDT,0.0534500,0.0544400,0.0506300,0.0522500,345242253
2023-10-23,WAXPUSDT,0.0522500,0.0522900,0.0488500,0.0516100,389633193
2023-10-24,WAXPUSDT,0.0516100,0.0528900,0.0494100,0.0518900,450144634
2023-10-25,WAXPUSDT,0.0518800,0.0525600,0.0502000,0.0515100,223166534
2023-10-26,WAXPUSDT,0.0515100,0.0619900,0.0494100,0.0614600,1636464310
2023-10-27,WAXPUSDT,0.0614900,0.0634900,0.0558200,0.0580700,1776822394
2023-10-28,WAXPUSDT,0.0580900,0.0595400,0.0557200,0.0582000,397720882
2023-10-29,WAXPUSDT,0.0582100,0.0594200,0.0569600,0.0587100,242206897
2023-10-30,WAXPUSDT,0.0587200,0.0623100,0.0573300,0.0620000,366722599
2023-10-31,WAXPUSDT,0.0619800,0.0685500,0.0566600,0.0627300,1163340532
2023-11-01,WAXPUSDT,0.0627300,0.0636500,0.0581100,0.0613500,544640147
2023-11-02,WAXPUSDT,0.0613500,0.0633600,0.0595700,0.0611500,335507769
2023-11-03,WAXPUSDT,0.0611800,0.0612100,0.0577700,0.0598000,220342910
2023-11-04,WAXPUSDT,0.0598000,0.0618000,0.0592000,0.0614900,103015569
2023-11-05,WAXPUSDT,0.0614900,0.0616400,0.0586400,0.0602000,107600157
2023-11-06,WAXPUSDT,0.0602000,0.0669900,0.0598000,0.0647500,555314388
2023-11-07,WAXPUSDT,0.0647600,0.0648700,0.0595300,0.0631100,214844444
2023-11-08,WAXPUSDT,0.0631100,0.0718100,0.0629800,0.0704800,571098212
2023-11-09,WAXPUSDT,0.0704800,0.0728500,0.0631400,0.0681900,456974742
2023-11-10,WAXPUSDT,0.0682000,0.0695900,0.0656200,0.0691600,167098748
