Date,Symbol,Open,High,Low,Close,Volume
2025-04-11,XCNUSDT,0.0233900,0.0268800,0.0177400,0.0206300,2838346127
2025-04-12,XCNUSDT,0.0206300,0.0224100,0.0180800,0.0202900,4398702073
2025-04-13,XCNUSDT,0.0202800,0.0226600,0.0188100,0.0193400,3282874020
2025-04-14,XCNUSDT,0.0193500,0.0217200,0.0188200,0.0200300,1851668340
2025-04-15,XCNUSDT,0.0200300,0.0208500,0.0181000,0.0185300,1277716064
2025-04-16,XCNUSDT,0.0185400,0.0190300,0.0164000,0.0176800,1596985852
2025-04-17,XCNUSDT,0.0176800,0.0194800,0.0172900,0.0186900,1341913739
2025-04-18,XCNUSDT,0.0186900,0.0190000,0.0175500,0.0185300,867701518
2025-04-19,XCNUSDT,0.0185300,0.0192500,0.0180600,0.0185100,570267362
2025-04-20,XCNUSDT,0.0185000,0.0187200,0.0171500,0.0175700,556580725
2025-04-21,XCNUSDT,0.0175700,0.0183500,0.0164400,0.0166900,460088221
2025-04-22,XCNUSDT,0.0166900,0.0199500,0.0165200,0.0189000,1018591270
2025-04-23,XCNUSDT,0.0189000,0.0244600,0.0177800,0.0212900,2425424863
2025-04-24,XCNUSDT,0.0212900,0.0225600,0.0202300,0.0211900,1328423048
2025-04-25,XCNUSDT,0.0211900,0.0219700,0.0204900,0.0207700,685166240
2025-04-26,XCNUSDT,0.0207900,0.0214200,0.0194200,0.0198900,505112135
2025-04-27,XCNUSDT,0.0199000,0.0200300,0.0187000,0.0188100,444096719
2025-04-28,XCNUSDT,0.0188100,0.0202900,0.0182700,0.0189100,733288219
2025-04-29,XCNUSDT,0.0189100,0.0190200,0.0179000,0.0181000,425311465
2025-04-30,XCNUSDT,0.0181200,0.0185400,0.0174400,0.0179400,342325425
2025-05-01,XCNUSDT,0.0179400,0.0183300,0.0176100,0.0178200,335982756
2025-05-02,XCNUSDT,0.0178200,0.0181800,0.0174300,0.0175600,238092241
2025-05-03,XCNUSDT,0.0175600,0.0176400,0.0165100,0.0169100,410530062
2025-05-04,XCNUSDT,0.0169200,0.0174800,0.0165700,0.0167300,537018795
2025-05-05,XCNUSDT,0.0167200,0.0169300,0.0157200,0.0160400,397189816
2025-05-06,XCNUSDT,0.0160500,0.0163900,0.0155700,0.0163500,348642584
2025-05-07,XCNUSDT,0.0163500,0.0179100,0.0162700,0.0164800,1038577816
2025-05-08,XCNUSDT,0.0164900,0.0197300,0.0163100,0.0188700,867256910
2025-05-09,XCNUSDT,0.0188700,0.0193200,0.0179900,0.0184200,373048286
2025-05-10,XCNUSDT,0.0184100,0.0188200,0.0180100,0.0187200,326064131
2025-05-11,XCNUSDT,0.0187300,0.0187300,0.0177200,0.0179500,359642948
2025-05-12,XCNUSDT,0.0179500,0.0184000,0.0169300,0.0178100,550156371
2025-05-13,XCNUSDT,0.0178100,0.0181700,0.0169500,0.0176300,367510387
2025-05-14,XCNUSDT,0.0176300,0.0179700,0.0170100,0.0170800,326579215
2025-05-15,XCNUSDT,0.0170800,0.0208400,0.0161400,0.0204700,2431506864
2025-05-16,XCNUSDT,0.0204700,0.0224700,0.0186500,0.0202600,9186404844
2025-05-17,XCNUSDT,0.0202600,0.0210600,0.0184100,0.0208900,2437650764
2025-05-18,XCNUSDT,0.0208800,0.0209800,0.0194000,0.0200900,1412320776
2025-05-19,XCNUSDT,0.0200900,0.0203400,0.0191400,0.0195900,768713719
2025-05-20,XCNUSDT,0.0195800,0.0200400,0.0191300,0.0192300,455167996
2025-05-21,XCNUSDT,0.0192200,0.0199800,0.0188300,0.0197400,596844082
2025-05-22,XCNUSDT,0.0197500,0.0209400,0.0195100,0.0198900,595471563
2025-05-23,XCNUSDT,0.0198900,0.0204000,0.0181000,0.0183000,577574454
2025-05-24,XCNUSDT,0.0182900,0.0189200,0.0181700,0.0183100,229802835
2025-05-25,XCNUSDT,0.0183200,0.0196200,0.0179800,0.0190000,554078347
2025-05-26,XCNUSDT,0.0190000,0.0191700,0.0182700,0.0185100,278448412
2025-05-27,XCNUSDT,0.0185200,0.0191900,0.0180600,0.0186600,356505125
2025-05-28,XCNUSDT,0.0186600,0.0187500,0.0180800,0.0183100,257812226
2025-05-29,XCNUSDT,0.0183200,0.0185200,0.0171700,0.0172800,318969514
2025-05-30,XCNUSDT,0.0172900,0.0178300,0.0163400,0.0164900,495622307
2025-05-31,XCNUSDT,0.0164800,0.0172100,0.0155300,0.0159800,610082937
2025-06-01,XCNUSDT,0.0159800,0.0160100,0.0155500,0.0156900,244860972
2025-06-02,XCNUSDT,0.0157000,0.0159000,0.0147400,0.0153000,376142371
2025-06-03,XCNUSDT,0.0153100,0.0159300,0.0151600,0.0157100,367714770
2025-06-04,XCNUSDT,0.0157100,0.0169600,0.0152500,0.0153900,883204924
2025-06-05,XCNUSDT,0.0153800,0.0155300,0.0140800,0.0147600,407604433
2025-06-06,XCNUSDT,0.0147500,0.0152500,0.0143100,0.0147100,429150775
2025-06-07,XCNUSDT,0.0147200,0.0149600,0.0142500,0.0147900,221337283
2025-06-08,XCNUSDT,0.0148000,0.0148100,0.0141700,0.0143200,246415335
