Date,Symbol,Open,High,Low,Close,Volume
2023-04-13,XVSUSDT,6.882000,7.391000,6.677000,7.004000,2116526.3
2023-04-14,XVSUSDT,6.991000,8.650000,6.778000,8.000000,10660910.8
2023-04-15,XVSUSDT,8.000000,8.260000,7.415000,7.672000,4920516.1
2023-04-16,XVSUSDT,7.685000,8.270000,7.327000,8.006000,3138368.7
2023-04-17,XVSUSDT,8.007000,8.130000,7.417000,7.507000,1744850.3
2023-04-18,XVSUSDT,7.507000,7.725000,7.200000,7.488000,1748847.4
2023-04-19,XVSUSDT,7.488000,7.671000,6.300000,6.681000,1737582.8
2023-04-20,XVSUSDT,6.686000,6.821000,6.301000,6.543000,1184224.4
2023-04-21,XVSUSDT,6.543000,6.673000,5.846000,6.203000,1201226.6
2023-04-22,XVSUSDT,6.202000,6.426000,6.121000,6.416000,807407.0
2023-04-23,XVSUSDT,6.416000,6.448000,6.009000,6.364000,826070.0
2023-04-24,XVSUSDT,6.364000,6.588000,5.948000,6.243000,1022806.8
2023-04-25,XVSUSDT,6.244000,6.326000,5.824000,6.217000,1367967.5
2023-04-26,XVSUSDT,6.215000,6.731000,5.800000,6.242000,2851179.2
2023-04-27,XVSUSDT,6.244000,6.479000,5.997000,6.470000,1219116.6
2023-04-28,XVSUSDT,6.471000,6.572000,6.131000,6.274000,1561417.7
2023-04-29,XVSUSDT,6.272000,6.523000,6.220000,6.428000,1320865.1
2023-04-30,XVSUSDT,6.428000,6.431000,6.127000,6.329000,1029614.0
2023-05-01,XVSUSDT,6.327000,6.357000,5.832000,5.999000,904628.4
2023-05-02,XVSUSDT,5.999000,6.006000,5.734000,5.956000,1006903.7
2023-05-03,XVSUSDT,5.957000,6.189000,5.552000,6.144000,1623885.7
2023-05-04,XVSUSDT,6.144000,6.348000,5.884000,6.023000,2622013.1
2023-05-05,XVSUSDT,6.022000,6.213000,5.913000,6.177000,1196537.9
2023-05-06,XVSUSDT,6.178000,6.180000,5.532000,5.592000,1284652.4
2023-05-07,XVSUSDT,5.593000,5.635000,5.295000,5.357000,1667036.3
2023-05-08,XVSUSDT,5.357000,5.421000,4.628000,4.648000,1838915.4
2023-05-09,XVSUSDT,4.648000,4.926000,4.560000,4.906000,1806922.4
2023-05-10,XVSUSDT,4.907000,5.238000,4.739000,4.926000,2025562.0
2023-05-11,XVSUSDT,4.926000,4.993000,4.588000,4.755000,1437306.6
2023-05-12,XVSUSDT,4.756000,5.009000,4.525000,5.002000,1630693.5
2023-05-13,XVSUSDT,5.002000,5.003000,4.741000,4.892000,1317424.6
2023-05-14,XVSUSDT,4.890000,5.033000,4.814000,4.967000,793390.0
2023-05-15,XVSUSDT,4.969000,5.104000,4.898000,5.007000,790794.9
2023-05-16,XVSUSDT,5.008000,5.132000,4.909000,5.104000,1134574.5
2023-05-17,XVSUSDT,5.106000,5.317000,4.950000,5.317000,1000147.9
2023-05-18,XVSUSDT,5.317000,5.332000,4.951000,5.084000,958163.3
2023-05-19,XVSUSDT,5.085000,5.131000,4.966000,5.096000,722050.0
2023-05-20,XVSUSDT,5.097000,5.115000,4.984000,5.063000,615504.2
2023-05-21,XVSUSDT,5.063000,5.079000,4.906000,4.909000,584661.1
2023-05-22,XVSUSDT,4.909000,5.059000,4.820000,5.022000,561123.8
2023-05-23,XVSUSDT,5.023000,5.131000,4.962000,5.032000,542511.8
2023-05-24,XVSUSDT,5.035000,5.036000,4.700000,4.865000,668314.2
2023-05-25,XVSUSDT,4.863000,4.922000,4.735000,4.902000,412300.2
2023-05-26,XVSUSDT,4.903000,4.948000,4.803000,4.939000,444401.6
2023-05-27,XVSUSDT,4.939000,4.969000,4.811000,4.858000,366862.0
2023-05-28,XVSUSDT,4.859000,5.178000,4.837000,5.096000,594702.0
2023-05-29,XVSUSDT,5.096000,5.125000,4.896000,4.923000,482386.8
2023-05-30,XVSUSDT,4.923000,4.985000,4.864000,4.952000,371033.8
2023-05-31,XVSUSDT,4.953000,5.038000,4.718000,4.819000,928292.1
2023-06-01,XVSUSDT,4.820000,4.948000,4.720000,4.872000,533724.2
2023-06-02,XVSUSDT,4.872000,4.999000,4.816000,4.913000,651280.1
2023-06-03,XVSUSDT,4.912000,4.951000,4.844000,4.891000,543693.1
2023-06-04,XVSUSDT,4.892000,4.949000,4.821000,4.864000,338145.1
2023-06-05,XVSUSDT,4.864000,4.873000,4.127000,4.242000,982233.7
2023-06-06,XVSUSDT,4.243000,4.438000,4.158000,4.374000,707325.3
2023-06-07,XVSUSDT,4.374000,4.376000,3.964000,4.004000,766954.8
2023-06-08,XVSUSDT,4.004000,4.097000,3.947000,3.988000,595304.0
2023-06-09,XVSUSDT,3.988000,4.113000,3.925000,4.027000,530780.3
2023-06-10,XVSUSDT,4.027000,4.031000,2.917000,3.348000,3366297.8
2023-06-11,XVSUSDT,3.347000,3.401000,3.236000,3.325000,1318362.3
2023-06-12,XVSUSDT,3.326000,3.547000,3.161000,3.481000,2416892.4
2023-06-13,XVSUSDT,3.482000,3.547000,3.388000,3.540000,1335632.4
2023-06-14,XVSUSDT,3.540000,3.583000,3.232000,3.352000,1575798.7
2023-06-15,XVSUSDT,3.353000,3.482000,3.325000,3.433000,974681.0
2023-06-16,XVSUSDT,3.434000,3.539000,3.352000,3.498000,897783.1
2023-06-17,XVSUSDT,3.499000,3.648000,3.457000,3.513000,741780.2
2023-06-18,XVSUSDT,3.512000,3.565000,3.404000,3.452000,751662.4
2023-06-19,XVSUSDT,3.452000,3.515000,3.371000,3.489000,804472.9
2023-06-20,XVSUSDT,3.489000,3.600000,3.361000,3.587000,703739.4
2023-06-21,XVSUSDT,3.588000,3.835000,3.573000,3.788000,1229066.4
