Date,Symbol,Open,High,Low,Close,Volume
2025-08-07,YALAUSDT,0.1886000,0.3857000,0.1828000,0.3638000,676664477
2025-08-08,YALAUSDT,0.3639000,0.4646000,0.3040000,0.4176000,1475475652
2025-08-09,YALAUSDT,0.4177000,0.4496000,0.3022000,0.3220000,703166118
2025-08-10,YALAUSDT,0.3219000,0.3554000,0.3160000,0.3429000,269986424
2025-08-11,YALAUSDT,0.3429000,0.3623000,0.3137000,0.3174000,166783969
2025-08-12,YALAUSDT,0.3174000,0.3242000,0.2529000,0.2677000,348728226
2025-08-13,YALAUSDT,0.2676000,0.3040000,0.2406000,0.2465000,307862031
2025-08-14,YALAUSDT,0.2466000,0.2486000,0.2010000,0.2075000,435835670
2025-08-15,YALAUSDT,0.2074000,0.2142000,0.1882000,0.2022000,314697430
2025-08-16,YALAUSDT,0.2021000,0.2103000,0.1927000,0.1990000,360336269
2025-08-17,YALAUSDT,0.1989000,0.2217000,0.1890000,0.2143000,242216619
2025-08-18,YALAUSDT,0.2142000,0.2162000,0.1936000,0.2010000,207194813
2025-08-19,YALAUSDT,0.2010000,0.2057000,0.1885000,0.1920000,49381053
