Date,Symbol,Open,High,Low,Close,Volume
2020-11-24,ZENUSDT,12.888,16.108,12.864,14.293,411652.2
2020-11-25,ZENUSDT,14.322,19.699,13.031,14.735,1894972.0
2020-11-26,ZENUSDT,14.728,15.432,11.087,11.857,1406867.5
2020-11-27,ZENUSDT,11.861,13.525,11.111,12.259,507469.2
2020-11-28,ZENUSDT,12.268,15.840,11.680,14.898,1074279.2
2020-11-29,ZENUSDT,14.914,15.500,13.613,13.932,762906.8
2020-11-30,ZENUSDT,13.942,15.999,13.708,15.100,782749.0
2020-12-01,ZENUSDT,15.121,16.868,13.587,13.914,1219115.3
2020-12-02,ZENUSDT,13.933,14.725,13.216,14.112,730426.6
2020-12-03,ZENUSDT,14.098,14.173,13.300,13.896,451511.5
2020-12-04,ZENUSDT,13.885,14.150,11.272,11.589,811773.7
2020-12-05,ZENUSDT,11.581,12.996,11.320,12.537,508284.7
2020-12-06,ZENUSDT,12.535,12.718,11.683,12.326,385578.1
2020-12-07,ZENUSDT,12.329,12.516,11.522,11.976,474436.2
2020-12-08,ZENUSDT,11.987,12.789,10.150,10.394,1136719.6
2020-12-09,ZENUSDT,10.389,11.040,9.800,10.638,610101.9
2020-12-10,ZENUSDT,10.652,10.699,9.720,10.106,439553.5
2020-12-11,ZENUSDT,10.098,10.178,8.957,9.062,453910.2
2020-12-12,ZENUSDT,9.045,10.407,9.026,10.211,551339.8
2020-12-13,ZENUSDT,10.213,11.430,9.892,11.033,827693.7
2020-12-14,ZENUSDT,11.041,12.243,10.928,11.358,1070205.8
2020-12-15,ZENUSDT,11.367,11.860,10.651,11.155,704562.9
2020-12-16,ZENUSDT,11.153,12.800,10.700,12.714,797108.8
2020-12-17,ZENUSDT,12.723,13.693,11.853,12.037,1277822.5
2020-12-18,ZENUSDT,12.036,12.700,11.710,12.123,665863.6
2020-12-19,ZENUSDT,12.127,12.711,12.012,12.103,599037.5
2020-12-20,ZENUSDT,12.114,12.522,11.181,11.443,551251.2
