Date,Symbol,Open,High,Low,Close,Volume
2025-01-02,ZEREBROUSDT,0.6778000,0.7328000,0.6341000,0.6684000,65572520
2025-01-03,ZEREBROUSDT,0.6681000,0.6877000,0.5793000,0.6011000,122718964
2025-01-04,ZEREBROUSDT,0.6011000,0.6132000,0.5308000,0.5421000,122996346
2025-01-05,ZEREBROUSDT,0.5421000,0.5587000,0.4657000,0.4835000,207072209
2025-01-06,ZEREBROUSDT,0.4836000,0.5830000,0.4499000,0.4618000,300437593
2025-01-07,ZEREBROUSDT,0.4618000,0.4782000,0.4108000,0.4132000,291721459
2025-01-08,ZEREBROUSDT,0.4131000,0.4259000,0.3373000,0.3733000,252526492
2025-01-09,ZEREBROUSDT,0.3732000,0.3742000,0.2840000,0.3164000,310581279
2025-01-10,ZEREBROUSDT,0.3163000,0.3409000,0.2919000,0.3089000,323221567
2025-01-11,ZEREBROUSDT,0.3089000,0.3125000,0.2672000,0.2830000,322880998
2025-01-12,ZEREBROUSDT,0.2829000,0.3022000,0.2651000,0.2681000,374511708
2025-01-13,ZEREBROUSDT,0.2680000,0.2794000,0.2190000,0.2672000,720039958
2025-01-14,ZEREBROUSDT,0.2673000,0.3390000,0.2550000,0.2877000,661092391
2025-01-15,ZEREBROUSDT,0.2878000,0.3236000,0.2389000,0.3118000,619730768
2025-01-16,ZEREBROUSDT,0.3117000,0.3673000,0.2866000,0.2874000,701982670
2025-01-17,ZEREBROUSDT,0.2875000,0.3188000,0.2526000,0.2608000,459686867
2025-01-18,ZEREBROUSDT,0.2609000,0.2620000,0.1770000,0.1907000,731320967
2025-01-19,ZEREBROUSDT,0.1907000,0.2169000,0.1357000,0.1392000,791879508
2025-01-20,ZEREBROUSDT,0.1392000,0.1551000,0.1256000,0.1550000,808593024
2025-01-21,ZEREBROUSDT,0.1550000,0.1929000,0.1325000,0.1749000,890827738
2025-01-22,ZEREBROUSDT,0.1748000,0.2358000,0.1694000,0.1720000,1133934805
2025-01-23,ZEREBROUSDT,0.1719000,0.1765000,0.1486000,0.1523000,582081526
2025-01-24,ZEREBROUSDT,0.1524000,0.1538000,0.1270000,0.1277000,449586010
2025-01-25,ZEREBROUSDT,0.1278000,0.1358000,0.1145000,0.1235000,531378152
2025-01-26,ZEREBROUSDT,0.1235000,0.1277000,0.1111000,0.1116000,332124430
2025-01-27,ZEREBROUSDT,0.1116000,0.1137000,0.0920000,0.1075000,586513189
2025-01-28,ZEREBROUSDT,0.1075000,0.1092000,0.0865000,0.0877000,384514557
2025-01-29,ZEREBROUSDT,0.0877000,0.1014000,0.0857000,0.0897000,485945617
2025-01-30,ZEREBROUSDT,0.0896000,0.1081000,0.0879000,0.0926000,502074116
2025-01-31,ZEREBROUSDT,0.0927000,0.1043000,0.0904000,0.0919000,471118800
2025-02-01,ZEREBROUSDT,0.0918000,0.0960000,0.0594000,0.0604000,986402297
2025-02-02,ZEREBROUSDT,0.0604000,0.0710000,0.0543000,0.0609000,975478625
2025-02-03,ZEREBROUSDT,0.0609000,0.0709000,0.0410000,0.0689000,1071594982
2025-02-04,ZEREBROUSDT,0.0688000,0.0716000,0.0558000,0.0585000,682102027
2025-02-05,ZEREBROUSDT,0.0585000,0.0647000,0.0491000,0.0497000,521710437
2025-02-06,ZEREBROUSDT,0.0496000,0.0555000,0.0431000,0.0436000,781625340
2025-02-07,ZEREBROUSDT,0.0436000,0.0541000,0.0411000,0.0433000,1003049797
2025-02-08,ZEREBROUSDT,0.0433000,0.0520000,0.0426000,0.0490000,795368363
2025-02-09,ZEREBROUSDT,0.0491000,0.0525000,0.0421000,0.0458000,662838127
2025-02-10,ZEREBROUSDT,0.0457000,0.0551000,0.0437000,0.0508000,1012093654
2025-02-11,ZEREBROUSDT,0.0508000,0.0619000,0.0483000,0.0512000,1095627163
2025-02-12,ZEREBROUSDT,0.0512000,0.0572000,0.0421000,0.0495000,946533606
2025-02-13,ZEREBROUSDT,0.0495000,0.0523000,0.0433000,0.0439000,778203781
2025-02-14,ZEREBROUSDT,0.0440000,0.0485000,0.0391000,0.0406000,877291531
2025-02-15,ZEREBROUSDT,0.0406000,0.0407000,0.0330000,0.0345000,974440802
2025-02-16,ZEREBROUSDT,0.0344000,0.0360000,0.0311000,0.0337000,980120675
2025-02-17,ZEREBROUSDT,0.0338000,0.0358000,0.0300000,0.0330000,740572877
2025-02-18,ZEREBROUSDT,0.0329000,0.0343000,0.0287000,0.0333000,922547697
2025-02-19,ZEREBROUSDT,0.0334000,0.0347000,0.0321000,0.0329000,646243749
2025-02-20,ZEREBROUSDT,0.0330000,0.0362000,0.0302000,0.0344000,969425655
2025-02-21,ZEREBROUSDT,0.0344000,0.0377000,0.0306000,0.0308000,1118171813
2025-02-22,ZEREBROUSDT,0.0308000,0.0417000,0.0304000,0.0399000,1108260810
2025-02-23,ZEREBROUSDT,0.0400000,0.0402000,0.0320000,0.0335000,744830430
2025-02-24,ZEREBROUSDT,0.0336000,0.0343000,0.0269000,0.0281000,948314754
2025-02-25,ZEREBROUSDT,0.0281000,0.0385000,0.0264000,0.0352000,1823703262
2025-02-26,ZEREBROUSDT,0.0352000,0.0412000,0.0338000,0.0405000,1725848693
2025-02-27,ZEREBROUSDT,0.0405000,0.0437000,0.0375000,0.0409000,1184968758
2025-02-28,ZEREBROUSDT,0.0409000,0.0525000,0.0361000,0.0471000,1873335157
2025-03-01,ZEREBROUSDT,0.0471000,0.0490000,0.0372000,0.0389000,1081781120
2025-03-02,ZEREBROUSDT,0.0388000,0.0508000,0.0361000,0.0497000,1975841266
2025-03-03,ZEREBROUSDT,0.0497000,0.0566000,0.0473000,0.0485000,1607234130
2025-03-04,ZEREBROUSDT,0.0484000,0.0731000,0.0395000,0.0402000,3130239998
2025-03-05,ZEREBROUSDT,0.0401000,0.0455000,0.0369000,0.0405000,1538722967
2025-03-06,ZEREBROUSDT,0.0406000,0.0421000,0.0347000,0.0365000,1277696284
2025-03-07,ZEREBROUSDT,0.0365000,0.0380000,0.0330000,0.0344000,1032704565
2025-03-08,ZEREBROUSDT,0.0345000,0.0364000,0.0314000,0.0329000,649447571
2025-03-09,ZEREBROUSDT,0.0328000,0.0343000,0.0306000,0.0315000,639449802
2025-03-10,ZEREBROUSDT,0.0315000,0.0337000,0.0275000,0.0303000,811132151
2025-03-11,ZEREBROUSDT,0.0303000,0.0325000,0.0289000,0.0303000,723293318
2025-03-12,ZEREBROUSDT,0.0303000,0.0323000,0.0280000,0.0317000,741492482
2025-03-13,ZEREBROUSDT,0.0318000,0.0333000,0.0265000,0.0284000,807515118
2025-03-14,ZEREBROUSDT,0.0285000,0.0315000,0.0280000,0.0285000,1115731318
2025-03-15,ZEREBROUSDT,0.0286000,0.0306000,0.0280000,0.0295000,498614724
2025-03-16,ZEREBROUSDT,0.0296000,0.0350000,0.0287000,0.0334000,1627116106
2025-03-17,ZEREBROUSDT,0.0334000,0.0362000,0.0327000,0.0347000,1159222758
2025-03-18,ZEREBROUSDT,0.0347000,0.0350000,0.0288000,0.0291000,731654758
2025-03-19,ZEREBROUSDT,0.0290000,0.0346000,0.0287000,0.0336000,876300680
2025-03-20,ZEREBROUSDT,0.0336000,0.0456000,0.0326000,0.0365000,3159636404
2025-03-21,ZEREBROUSDT,0.0364000,0.0377000,0.0296000,0.0329000,1766734047
2025-03-22,ZEREBROUSDT,0.0328000,0.0342000,0.0315000,0.0339000,1186812536
2025-03-23,ZEREBROUSDT,0.0339000,0.0357000,0.0326000,0.0334000,946586091
2025-03-24,ZEREBROUSDT,0.0335000,0.0443000,0.0324000,0.0398000,1765320224
2025-03-25,ZEREBROUSDT,0.0398000,0.0408000,0.0361000,0.0371000,1037332917
2025-03-26,ZEREBROUSDT,0.0371000,0.0439000,0.0351000,0.0374000,1289934020
2025-03-27,ZEREBROUSDT,0.0375000,0.0390000,0.0345000,0.0353000,913629411
2025-03-28,ZEREBROUSDT,0.0353000,0.0362000,0.0327000,0.0343000,679446524
2025-03-29,ZEREBROUSDT,0.0342000,0.0349000,0.0289000,0.0296000,675425540
2025-03-30,ZEREBROUSDT,0.0297000,0.0310000,0.0290000,0.0298000,648683360
2025-03-31,ZEREBROUSDT,0.0299000,0.0305000,0.0277000,0.0286000,673960680
2025-04-01,ZEREBROUSDT,0.0287000,0.0304000,0.0277000,0.0295000,753144214
2025-04-02,ZEREBROUSDT,0.0294000,0.0298000,0.0257000,0.0266000,769860307
2025-04-03,ZEREBROUSDT,0.0266000,0.0273000,0.0231000,0.0255000,614771200
2025-04-04,ZEREBROUSDT,0.0255000,0.0260000,0.0230000,0.0251000,776710291
2025-04-05,ZEREBROUSDT,0.0252000,0.0257000,0.0237000,0.0247000,448832674
2025-04-06,ZEREBROUSDT,0.0247000,0.0247000,0.0206000,0.0219000,664747459
2025-04-07,ZEREBROUSDT,0.0219000,0.0234000,0.0189000,0.0214000,1094987582
2025-04-08,ZEREBROUSDT,0.0215000,0.0223000,0.0191000,0.0192000,962513943
2025-04-09,ZEREBROUSDT,0.0193000,0.0231000,0.0187000,0.0230000,1030266532
2025-04-10,ZEREBROUSDT,0.0230000,0.0248000,0.0210000,0.0221000,1019593241
2025-04-11,ZEREBROUSDT,0.0220000,0.0238000,0.0215000,0.0230000,1259865540
2025-04-12,ZEREBROUSDT,0.0230000,0.0260000,0.0216000,0.0240000,1877381974
2025-04-13,ZEREBROUSDT,0.0240000,0.0246000,0.0196000,0.0209000,1052147801
2025-04-14,ZEREBROUSDT,0.0209000,0.0227000,0.0198000,0.0202000,1232475778
2025-04-15,ZEREBROUSDT,0.0203000,0.0211000,0.0189000,0.0191000,757699064
2025-04-16,ZEREBROUSDT,0.0190000,0.0208000,0.0181000,0.0197000,1486198349
2025-04-17,ZEREBROUSDT,0.0197000,0.0208000,0.0193100,0.0201500,927675121
2025-04-18,ZEREBROUSDT,0.0201600,0.0207700,0.0192200,0.0198300,626708397
2025-04-19,ZEREBROUSDT,0.0198300,0.0203400,0.0188300,0.0200500,519259927
2025-04-20,ZEREBROUSDT,0.0200400,0.0222900,0.0196400,0.0208800,710799045
2025-04-21,ZEREBROUSDT,0.0208800,0.0252400,0.0206100,0.0246500,1952854214
2025-04-22,ZEREBROUSDT,0.0246400,0.0558900,0.0239500,0.0516500,11087465104
2025-04-23,ZEREBROUSDT,0.0516800,0.0967100,0.0509600,0.0774800,19004641026
2025-04-24,ZEREBROUSDT,0.0774900,0.0960000,0.0662000,0.0772300,7215794863
2025-04-25,ZEREBROUSDT,0.0772400,0.0930000,0.0450800,0.0512800,6571589302
2025-04-26,ZEREBROUSDT,0.0512800,0.0544900,0.0435200,0.0477900,3712277425
2025-04-27,ZEREBROUSDT,0.0478000,0.0484000,0.0424400,0.0451300,1746284071
2025-04-28,ZEREBROUSDT,0.0451300,0.0667000,0.0425400,0.0600400,5993761719
2025-04-29,ZEREBROUSDT,0.0600400,0.0618200,0.0432300,0.0439200,2566753472
2025-04-30,ZEREBROUSDT,0.0439100,0.0493600,0.0410400,0.0488400,2052736960
2025-05-01,ZEREBROUSDT,0.0488300,0.0524800,0.0450700,0.0511400,2019232798
2025-05-02,ZEREBROUSDT,0.0511600,0.0543200,0.0448000,0.0505900,1971130258
2025-05-03,ZEREBROUSDT,0.0505900,0.0534900,0.0458700,0.0467000,1101236520
2025-05-04,ZEREBROUSDT,0.0467000,0.0483400,0.0403500,0.0429500,1870994019
2025-05-05,ZEREBROUSDT,0.0429400,0.0453500,0.0390200,0.0408500,1014862642
2025-05-06,ZEREBROUSDT,0.0408600,0.0482700,0.0364100,0.0402400,2689535855
2025-05-07,ZEREBROUSDT,0.0402400,0.0410800,0.0320400,0.0363100,2987836806
2025-05-08,ZEREBROUSDT,0.0363100,0.0482000,0.0350500,0.0471000,2106264801
2025-05-09,ZEREBROUSDT,0.0471000,0.0560100,0.0444100,0.0479700,1494107814
2025-05-10,ZEREBROUSDT,0.0479600,0.0487900,0.0411100,0.0457500,928001198
2025-05-11,ZEREBROUSDT,0.0457400,0.0529600,0.0430000,0.0492600,1111645275
2025-05-12,ZEREBROUSDT,0.0492600,0.0627600,0.0474400,0.0522500,1974766012
2025-05-13,ZEREBROUSDT,0.0522400,0.0620400,0.0436000,0.0581800,1322199963
2025-05-14,ZEREBROUSDT,0.0581800,0.0610000,0.0525500,0.0572300,960077498
2025-05-15,ZEREBROUSDT,0.0572300,0.0575800,0.0453500,0.0473600,862263585
2025-05-16,ZEREBROUSDT,0.0473600,0.0497400,0.0447000,0.0454100,598604690
2025-05-17,ZEREBROUSDT,0.0454000,0.0458200,0.0410300,0.0419800,452403959
2025-05-18,ZEREBROUSDT,0.0419700,0.0505300,0.0416600,0.0497000,705331381
2025-05-19,ZEREBROUSDT,0.0497300,0.0503500,0.0433200,0.0466000,567212828
2025-05-20,ZEREBROUSDT,0.0466000,0.0485800,0.0317500,0.0392900,2002030086
2025-05-21,ZEREBROUSDT,0.0393000,0.0442900,0.0382000,0.0422400,1392140996
2025-05-22,ZEREBROUSDT,0.0422500,0.0448800,0.0408900,0.0445300,634959914
2025-05-23,ZEREBROUSDT,0.0445400,0.0463300,0.0378600,0.0383200,830893440
