Date,Symbol,Open,High,Low,Close,Volume
2024-06-17,ZKUSDT,0.2364000,0.2639000,0.2088000,0.2130000,2121499741
2024-06-18,ZKUSDT,0.2130000,0.2318000,0.1860000,0.2199000,3429499477
2024-06-19,ZKUSDT,0.2199000,0.2400000,0.2125000,0.2242000,2208932645
2024-06-20,ZKUSDT,0.2241000,0.2242000,0.1903000,0.1983000,1474155548
2024-06-21,ZKUSDT,0.1982000,0.2037000,0.1760000,0.1820000,1152366038
2024-06-22,ZKUSDT,0.1821000,0.1887000,0.1728000,0.1820000,744549893
2024-06-23,ZKUSDT,0.1819000,0.1859000,0.1651000,0.1681000,654751292
2024-06-24,ZKUSDT,0.1680000,0.1725000,0.1518000,0.1696000,1118842736
2024-06-25,ZKUSDT,0.1696000,0.1801000,0.1603000,0.1692000,812087638
2024-06-26,ZKUSDT,0.1691000,0.1725000,0.1548000,0.1587000,587691994
2024-06-27,ZKUSDT,0.1588000,0.1648000,0.1500000,0.1612000,645244558
2024-06-28,ZKUSDT,0.1611000,0.1725000,0.1556000,0.1576000,1008678079
2024-06-29,ZKUSDT,0.1576000,0.1721000,0.1568000,0.1628000,828440741
2024-06-30,ZKUSDT,0.1629000,0.1850000,0.1586000,0.1771000,958742467
2024-07-01,ZKUSDT,0.1771000,0.1942000,0.1731000,0.1833000,1212805625
2024-07-02,ZKUSDT,0.1834000,0.1845000,0.1730000,0.1843000,831868206
2024-07-03,ZKUSDT,0.1842000,0.1915000,0.1732000,0.1881000,1521840253
2024-07-04,ZKUSDT,0.1880000,0.1896000,0.1440000,0.1464000,1790893607
2024-07-05,ZKUSDT,0.1463000,0.1534000,0.1251000,0.1502000,2210701965
2024-07-06,ZKUSDT,0.1503000,0.1708000,0.1487000,0.1653000,1249230042
2024-07-07,ZKUSDT,0.1653000,0.1668000,0.1459000,0.1473000,955438113
2024-07-08,ZKUSDT,0.1474000,0.1584000,0.1379000,0.1453000,1112551903
2024-07-09,ZKUSDT,0.1452000,0.1530000,0.1444000,0.1495000,684282175
2024-07-10,ZKUSDT,0.1495000,0.1660000,0.1473000,0.1634000,755888061
2024-07-11,ZKUSDT,0.1634000,0.1741000,0.1512000,0.1530000,903571255
2024-07-12,ZKUSDT,0.1529000,0.1585000,0.1478000,0.1571000,554472189
2024-07-13,ZKUSDT,0.1572000,0.1650000,0.1512000,0.1594000,425543600
2024-07-14,ZKUSDT,0.1595000,0.1679000,0.1534000,0.1661000,401981861
2024-07-15,ZKUSDT,0.1660000,0.1773000,0.1636000,0.1771000,555534512
2024-07-16,ZKUSDT,0.1771000,0.1772000,0.1634000,0.1724000,592452241
2024-07-17,ZKUSDT,0.1724000,0.1813000,0.1649000,0.1666000,553373078
2024-07-18,ZKUSDT,0.1665000,0.1733000,0.1604000,0.1671000,411053256
2024-07-19,ZKUSDT,0.1671000,0.1808000,0.1626000,0.1775000,635758409
2024-07-20,ZKUSDT,0.1775000,0.1943000,0.1739000,0.1896000,648468381
2024-07-21,ZKUSDT,0.1896000,0.2032000,0.1814000,0.1983000,1214299625
2024-07-22,ZKUSDT,0.1983000,0.2034000,0.1775000,0.1794000,768105879
2024-07-23,ZKUSDT,0.1794000,0.1941000,0.1749000,0.1810000,1019743761
2024-07-24,ZKUSDT,0.1809000,0.1810000,0.1644000,0.1671000,589589317
2024-07-25,ZKUSDT,0.1671000,0.1678000,0.1492000,0.1559300,724713074
2024-07-26,ZKUSDT,0.1559200,0.1629400,0.1549000,0.1611100,427524972
2024-07-27,ZKUSDT,0.1611000,0.1645200,0.1539300,0.1614900,519652970
2024-07-28,ZKUSDT,0.1615000,0.1615000,0.1551000,0.1575500,237595431
2024-07-29,ZKUSDT,0.1575500,0.1637600,0.1531000,0.1553300,335945823
2024-07-30,ZKUSDT,0.1553400,0.1578700,0.1450000,0.1488500,319751962
2024-07-31,ZKUSDT,0.1488500,0.1537300,0.1442300,0.1459800,279157208
2024-08-01,ZKUSDT,0.1459700,0.1479600,0.1290300,0.1418000,550224247
2024-08-02,ZKUSDT,0.1417600,0.1434700,0.1222100,0.1232600,589231896
2024-08-03,ZKUSDT,0.1232500,0.1240900,0.1100000,0.1145100,700626118
2024-08-04,ZKUSDT,0.1145100,0.1167300,0.1012200,0.1064500,867056028
2024-08-05,ZKUSDT,0.1064600,0.1069000,0.0801600,0.0948400,1828889849
2024-08-06,ZKUSDT,0.0948400,0.1054500,0.0946800,0.1033300,638360697
2024-08-07,ZKUSDT,0.1033200,0.1077000,0.0969000,0.0987800,521175036
2024-08-08,ZKUSDT,0.0987800,0.1198000,0.0959500,0.1179900,687822560
2024-08-09,ZKUSDT,0.1179800,0.1179800,0.1113200,0.1154400,318677955
2024-08-10,ZKUSDT,0.1154400,0.1222900,0.1130600,0.1172500,236069136
2024-08-11,ZKUSDT,0.1172600,0.1210000,0.1079900,0.1087500,292875813
2024-08-12,ZKUSDT,0.1087500,0.1225500,0.1077500,0.1168300,496500606
2024-08-13,ZKUSDT,0.1168300,0.1202300,0.1122300,0.1171500,288815995
2024-08-14,ZKUSDT,0.1171400,0.1180600,0.1094300,0.1113700,334062565
2024-08-15,ZKUSDT,0.1113700,0.1130700,0.1042000,0.1060400,297296563
2024-08-16,ZKUSDT,0.1060400,0.1082000,0.1003000,0.1038800,280950778
2024-08-17,ZKUSDT,0.1038700,0.1089100,0.1029900,0.1078700,250543594
2024-08-18,ZKUSDT,0.1078700,0.1140000,0.1059100,0.1098000,246265365
2024-08-19,ZKUSDT,0.1097900,0.1125000,0.1057200,0.1122200,279288528
2024-08-20,ZKUSDT,0.1122100,0.1142200,0.1069000,0.1107000,208085089
2024-08-21,ZKUSDT,0.1106700,0.1172200,0.1096300,0.1161100,233914157
2024-08-22,ZKUSDT,0.1161000,0.1241500,0.1141000,0.1221200,400803233
