Date,Symbol,Open,High,Low,Close,Volume
2025-07-29,ZRCUSDT,0.0353200,0.0495800,0.0351000,0.0391700,3158197711
2025-07-30,ZRCUSDT,0.0391700,0.0402500,0.0344400,0.0358800,866994420
2025-07-31,ZRCUSDT,0.0358800,0.0413600,0.0350800,0.0374600,1181785430
2025-08-01,ZRCUSDT,0.0374700,0.0381000,0.0330800,0.0340800,735150518
2025-08-02,ZRCUSDT,0.0340600,0.0347900,0.0304900,0.0307200,274044640
2025-08-03,ZRCUSDT,0.0307200,0.0336600,0.0304300,0.0333300,208664678
2025-08-04,ZRCUSDT,0.0333000,0.0454500,0.0326000,0.0363300,1525658633
2025-08-05,ZRCUSDT,0.0363300,0.0386400,0.0335200,0.0339600,368595332
2025-08-06,ZRCUSDT,0.0339700,0.0340200,0.0324400,0.0328400,166568971
2025-08-07,ZRCUSDT,0.0328700,0.0373600,0.0325500,0.0361600,292184466
2025-08-08,ZRCUSDT,0.0361400,0.0374900,0.0350200,0.0355000,219214208
2025-08-09,ZRCUSDT,0.0354900,0.0377900,0.0352300,0.0365700,199513621
2025-08-10,ZRCUSDT,0.0365600,0.0372000,0.0344800,0.0352400,210512763
2025-08-11,ZRCUSDT,0.0352400,0.0364100,0.0335400,0.0339100,173361181
2025-08-12,ZRCUSDT,0.0339100,0.0353300,0.0326000,0.0349000,136654368
2025-08-13,ZRCUSDT,0.0349100,0.0357300,0.0336800,0.0351300,199949921
2025-08-14,ZRCUSDT,0.0351400,0.0353100,0.0297000,0.0310800,175293492
2025-08-15,ZRCUSDT,0.0310800,0.0313300,0.0288200,0.0300500,146356917
2025-08-16,ZRCUSDT,0.0300600,0.0305700,0.0289800,0.0300300,87348659
2025-08-17,ZRCUSDT,0.0300200,0.0306100,0.0291900,0.0297400,103239319
2025-08-18,ZRCUSDT,0.0297200,0.0297800,0.0278000,0.0290400,88977130
2025-08-19,ZRCUSDT,0.0290500,0.0297700,0.0279800,0.0284300,36162921
