time,symbol,open,high,low,close,volume
2024-03-16,BOME/USDT,0.007322,0.029444,0.007322,0.02079,45435760752.0
2024-03-17,BOME/USDT,0.020772,0.0248,0.01481,0.018439,52734338684.0
2024-03-18,BOME/USDT,0.018443,0.0194,0.009662,0.010629,71752468893.0
2024-03-19,BOME/USDT,0.010625,0.013568,0.008716,0.011267,91311417035.0
2024-03-20,BOME/USDT,0.011268,0.0129,0.010645,0.012,49938004178.0
2024-03-21,BOME/USDT,0.012002,0.014888,0.010908,0.01383,51044344484.0
2024-03-22,BOME/USDT,0.01383,0.01687,0.013,0.014642,48582280816.0
2024-03-23,BOME/USDT,0.014642,0.01555,0.01387,0.013903,21294594756.0
2024-03-24,BOME/USDT,0.013903,0.014483,0.012631,0.014206,21509832167.0
2024-03-25,BOME/USDT,0.014204,0.0153,0.01295,0.014095,23393365093.0
2024-03-26,BOME/USDT,0.014095,0.014861,0.0132,0.013529,17789160533.0
2024-03-27,BOME/USDT,0.013529,0.014,0.012383,0.012595,18591402715.0
2024-03-28,BOME/USDT,0.012595,0.01488,0.01206,0.014568,25057475764.0
2024-03-29,BOME/USDT,0.014567,0.014569,0.01268,0.012991,15551670630.0
2024-03-30,BOME/USDT,0.01299,0.0158,0.012817,0.013921,28841432064.0
2024-03-31,BOME/USDT,0.013921,0.014831,0.013539,0.014538,15731480862.0
2024-04-01,BOME/USDT,0.014538,0.0178,0.014295,0.017422,52713840155.0
2024-04-02,BOME/USDT,0.017425,0.0186,0.01544,0.016103,39963176626.0
2024-04-03,BOME/USDT,0.016097,0.018512,0.015657,0.015752,29765225815.0
2024-04-04,BOME/USDT,0.015754,0.016352,0.014559,0.014792,18578953247.0
2024-04-05,BOME/USDT,0.01479,0.015092,0.01322,0.013829,18814517294.0
2024-04-06,BOME/USDT,0.013829,0.014727,0.0133,0.014557,14357588771.0
2024-04-07,BOME/USDT,0.014559,0.01492,0.013599,0.014144,12472968733.0
2024-04-08,BOME/USDT,0.014144,0.014921,0.013883,0.014344,13568790392.0
2024-04-09,BOME/USDT,0.014344,0.0145,0.01267,0.012802,18302842706.0
2024-04-10,BOME/USDT,0.012803,0.013421,0.012207,0.013077,17902414508.0
2024-04-11,BOME/USDT,0.013079,0.01318,0.012344,0.012656,10652989420.0
2024-04-12,BOME/USDT,0.012656,0.012905,0.0088,0.009904,26249602850.0
2024-04-13,BOME/USDT,0.009904,0.010507,0.007118,0.008235,26808968666.0
2024-04-14,BOME/USDT,0.008231,0.009593,0.0078,0.009449,23601398469.0
2024-04-15,BOME/USDT,0.009448,0.009576,0.00803,0.008412,17850960435.0
2024-04-16,BOME/USDT,0.008413,0.008628,0.00788,0.008517,15174868048.0
2024-04-17,BOME/USDT,0.008516,0.009774,0.008104,0.009172,24300562812.0
2024-04-18,BOME/USDT,0.009168,0.00958,0.008576,0.009306,16048854454.0
2024-04-19,BOME/USDT,0.009303,0.010568,0.008321,0.010348,22744433968.0
