time,symbol,open,high,low,close,volume
2025-01-10,CGPT/USDT,0.2129,0.473,0.2129,0.3764,307158907.2
2025-01-11,CGPT/USDT,0.3763,0.3763,0.3077,0.3247,190467813.2
2025-01-12,CGPT/USDT,0.3246,0.3748,0.2977,0.3592,138505989.7
2025-01-13,CGPT/USDT,0.3592,0.3683,0.3062,0.3402,228037837.4
2025-01-14,CGPT/USDT,0.3401,0.4218,0.3219,0.4035,268957396.7
2025-01-15,CGPT/USDT,0.403,0.46,0.3683,0.4432,228684285.4
2025-01-16,CGPT/USDT,0.4433,0.4676,0.3554,0.3654,153453223.4
2025-01-17,CGPT/USDT,0.3655,0.3885,0.3554,0.3609,105843842.5
2025-01-18,CGPT/USDT,0.3609,0.3615,0.3123,0.3265,69667566.0
2025-01-19,CGPT/USDT,0.3265,0.3506,0.2676,0.271,131021708.6
2025-01-20,CGPT/USDT,0.271,0.2847,0.241,0.2669,89356539.5
2025-01-21,CGPT/USDT,0.2666,0.2753,0.2474,0.2567,74941403.9
2025-01-22,CGPT/USDT,0.2566,0.2995,0.2524,0.257,136259477.6
2025-01-23,CGPT/USDT,0.2568,0.2713,0.2493,0.2645,62824027.2
2025-01-24,CGPT/USDT,0.2646,0.2712,0.2404,0.2427,40893685.8
2025-01-25,CGPT/USDT,0.2428,0.2564,0.2292,0.2486,36458719.7
2025-01-26,CGPT/USDT,0.2486,0.2603,0.242,0.2426,37928429.9
2025-01-27,CGPT/USDT,0.2422,0.2439,0.2063,0.2309,62377973.1
2025-01-28,CGPT/USDT,0.231,0.2361,0.2014,0.2027,35892315.5
2025-01-29,CGPT/USDT,0.2027,0.2297,0.2007,0.2171,33944690.6
2025-01-30,CGPT/USDT,0.2173,0.232,0.2119,0.2214,31277844.8
2025-01-31,CGPT/USDT,0.2214,0.2448,0.2164,0.2224,28674458.8
2025-02-01,CGPT/USDT,0.2222,0.2277,0.1811,0.1824,41407709.5
2025-02-02,CGPT/USDT,0.1823,0.1865,0.1514,0.1637,41757831.3
2025-02-03,CGPT/USDT,0.1635,0.1783,0.1237,0.1763,76091339.6
2025-02-04,CGPT/USDT,0.176,0.1777,0.1562,0.1627,41447902.4
