time,symbol,open,high,low,close,volume
2021-11-10,CITY/USDT,14.44,53.0,14.44,16.36,3499910.44
2021-11-11,CITY/USDT,16.31,17.74,14.9,15.13,896744.43
2021-11-12,CITY/USDT,15.13,15.21,14.23,14.58,347260.75
2021-11-13,CITY/USDT,14.55,15.93,14.33,15.03,405767.1
2021-11-14,CITY/USDT,15.03,15.19,14.6,14.83,209428.85
2021-11-15,CITY/USDT,14.85,15.5,14.68,15.0,286087.97
2021-11-16,CITY/USDT,15.03,15.05,13.5,14.05,299603.82
2021-11-17,CITY/USDT,14.05,14.28,13.52,13.77,144822.59
2021-11-18,CITY/USDT,13.77,13.81,12.6,12.7,247293.74
2021-11-19,CITY/USDT,12.7,14.45,12.63,13.42,286500.97
2021-11-20,CITY/USDT,13.39,13.72,13.1,13.31,187652.48
2021-11-21,CITY/USDT,13.31,14.3,12.88,13.11,249641.0
2021-11-22,CITY/USDT,13.11,14.23,12.92,13.3,371161.22
2021-11-23,CITY/USDT,13.3,13.77,12.34,12.6,289851.66
2021-11-24,CITY/USDT,12.64,12.77,12.09,12.35,282043.21
2021-11-25,CITY/USDT,12.37,12.6,12.07,12.36,192361.19
2021-11-26,CITY/USDT,12.38,12.46,11.01,11.17,218819.03
2021-11-27,CITY/USDT,11.18,11.75,11.17,11.43,94484.17
2021-11-28,CITY/USDT,11.41,11.42,10.9,11.41,91705.74
2021-11-29,CITY/USDT,11.43,11.54,11.23,11.49,82098.95
2021-11-30,CITY/USDT,11.49,11.84,10.95,11.06,207329.93
2021-12-01,CITY/USDT,11.06,11.41,10.87,10.92,133315.79
2021-12-02,CITY/USDT,10.9,10.91,10.48,10.64,107596.75
2021-12-03,CITY/USDT,10.64,10.89,10.0,10.19,142288.67
2021-12-04,CITY/USDT,10.2,10.2,8.5,9.62,229938.83
2021-12-05,CITY/USDT,9.62,12.1,9.44,9.98,2146809.64
2021-12-06,CITY/USDT,9.97,10.9,9.28,10.42,734647.19
2021-12-07,CITY/USDT,10.4,11.0,9.93,10.29,258272.98
2021-12-08,CITY/USDT,10.27,10.42,9.88,10.29,134825.32
2021-12-09,CITY/USDT,10.29,12.73,9.89,10.03,636341.66
2021-12-10,CITY/USDT,10.01,11.0,9.68,9.79,309642.12
2021-12-11,CITY/USDT,9.81,11.0,9.67,10.1,462762.57
2021-12-12,CITY/USDT,10.12,10.35,9.98,10.33,135161.33
2021-12-13,CITY/USDT,10.33,10.44,9.37,9.66,135130.76
2021-12-14,CITY/USDT,9.66,9.75,9.43,9.68,87536.88
2021-12-15,CITY/USDT,9.68,9.78,9.05,9.49,174700.11
2021-12-16,CITY/USDT,9.49,9.6,9.04,9.08,101957.1
2021-12-17,CITY/USDT,9.11,9.18,8.41,8.67,151215.83
2021-12-18,CITY/USDT,8.66,8.84,8.58,8.74,68193.31
2021-12-19,CITY/USDT,8.74,8.95,8.51,8.58,64239.35
2021-12-20,CITY/USDT,8.58,10.49,7.95,9.65,440585.47
2021-12-21,CITY/USDT,9.64,11.27,9.49,9.96,1274317.1
2021-12-22,CITY/USDT,9.96,10.45,9.9,10.37,124187.05
2021-12-23,CITY/USDT,10.37,12.0,10.18,10.97,255480.12
2021-12-24,CITY/USDT,10.99,11.49,10.89,11.08,107088.81
2021-12-25,CITY/USDT,11.08,11.71,10.7,11.18,105017.92
2021-12-26,CITY/USDT,11.18,11.45,11.05,11.25,54800.67
2021-12-27,CITY/USDT,11.25,11.9,11.06,11.16,104730.95
