time,symbol,open,high,low,close,volume
2021-09-24,DF/USDT,0.1968,0.2975,0.1965,0.2777,146162460.0
2021-09-25,DF/USDT,0.2776,0.35,0.244,0.2467,217411887.0
2021-09-26,DF/USDT,0.2467,0.2589,0.2147,0.2203,68498307.0
2021-09-27,DF/USDT,0.2203,0.2655,0.218,0.2234,69066969.0
2021-09-28,DF/USDT,0.2234,0.2499,0.202,0.2057,41065965.0
2021-09-29,DF/USDT,0.2054,0.2267,0.2038,0.2083,14432460.0
2021-09-30,DF/USDT,0.2084,0.2236,0.2067,0.2086,16435412.0
2021-10-01,DF/USDT,0.209,0.233,0.2064,0.2209,25978756.0
2021-10-02,DF/USDT,0.2209,0.2245,0.2113,0.2156,23526100.0
2021-10-03,DF/USDT,0.2156,0.2167,0.2072,0.2124,15572472.0
2021-10-04,DF/USDT,0.2121,0.2154,0.2028,0.2077,18441415.0
2021-10-05,DF/USDT,0.2077,0.2192,0.2011,0.2083,20739616.0
2021-10-06,DF/USDT,0.2083,0.2128,0.1943,0.201,14959939.0
2021-10-07,DF/USDT,0.2011,0.2084,0.1933,0.2043,14928365.0
2021-10-08,DF/USDT,0.2043,0.22,0.2009,0.2025,17709332.0
2021-10-09,DF/USDT,0.2024,0.2245,0.2007,0.205,17280092.0
2021-10-10,DF/USDT,0.2042,0.2369,0.197,0.2016,41079543.0
2021-10-11,DF/USDT,0.2019,0.2109,0.1991,0.2008,9169689.0
2021-10-12,DF/USDT,0.2005,0.2036,0.1909,0.1968,7028181.0
2021-10-13,DF/USDT,0.1968,0.21,0.1912,0.2016,13587236.0
2021-10-14,DF/USDT,0.2016,0.2167,0.2007,0.2041,15036882.0
2021-10-15,DF/USDT,0.2039,0.249,0.196,0.2137,59941113.0
2021-10-16,DF/USDT,0.213,0.298,0.2063,0.2262,182740200.0
2021-10-17,DF/USDT,0.2264,0.227,0.208,0.2137,29398391.0
2021-10-18,DF/USDT,0.2136,0.229,0.211,0.2165,18943440.0
2021-10-19,DF/USDT,0.2165,0.223,0.2021,0.2096,10259866.0
2021-10-20,DF/USDT,0.2096,0.2158,0.2046,0.2134,12264875.0
2021-10-21,DF/USDT,0.2135,0.2225,0.2068,0.2135,14891381.0
2021-10-22,DF/USDT,0.2135,0.221,0.2069,0.209,11446497.0
2021-10-23,DF/USDT,0.2087,0.2136,0.2075,0.2091,6079275.0
2021-10-24,DF/USDT,0.209,0.2115,0.2024,0.204,7449003.0
2021-10-25,DF/USDT,0.2036,0.221,0.2012,0.2091,11814051.0
2021-10-26,DF/USDT,0.2096,0.2139,0.2024,0.2036,7655326.0
2021-10-27,DF/USDT,0.2035,0.2083,0.1606,0.1766,13693019.0
2021-10-28,DF/USDT,0.1766,0.1978,0.172,0.1891,11468129.0
2021-10-29,DF/USDT,0.1892,0.1961,0.1823,0.1949,11671543.0
