time,symbol,open,high,low,close,volume
2025-08-27,DOLO/USDT,0.2,0.297,0.2,0.2204,157852053.0
2025-08-28,DOLO/USDT,0.2203,0.2519,0.1871,0.2395,256884228.1
2025-08-29,DOLO/USDT,0.2395,0.2455,0.2071,0.2152,91038529.0
2025-08-30,DOLO/USDT,0.2152,0.3035,0.2107,0.2927,225793686.9
2025-08-31,DOLO/USDT,0.2927,0.3719,0.2848,0.3264,238706378.3
2025-09-01,DOLO/USDT,0.3263,0.333,0.2114,0.2146,176577857.9
2025-09-02,DOLO/USDT,0.2147,0.2289,0.2009,0.2072,125855222.6
2025-09-03,DOLO/USDT,0.2074,0.2074,0.19,0.1935,81236780.3
2025-09-04,DOLO/USDT,0.1936,0.1959,0.1613,0.1716,117031856.6
2025-09-05,DOLO/USDT,0.1716,0.1821,0.166,0.1818,93003964.0
2025-09-06,DOLO/USDT,0.1817,0.2056,0.1753,0.2002,170175317.1
2025-09-07,DOLO/USDT,0.2003,0.2187,0.1902,0.1946,190003083.2
2025-09-08,DOLO/USDT,0.1946,0.1969,0.1775,0.1788,262942737.1
2025-09-09,DOLO/USDT,0.1787,0.1882,0.1754,0.1858,443288605.3
2025-09-10,DOLO/USDT,0.1858,0.1979,0.1719,0.1757,1231408936.0
2025-09-11,DOLO/USDT,0.1757,0.1817,0.1683,0.1807,916786654.6
2025-09-12,DOLO/USDT,0.1808,0.1854,0.1722,0.1758,48150905.3
2025-09-13,DOLO/USDT,0.1758,0.1776,0.1685,0.1742,84363539.0
2025-09-14,DOLO/USDT,0.1742,0.2079,0.169,0.1821,261951602.5
2025-09-15,DOLO/USDT,0.1821,0.1942,0.1615,0.1674,116314118.7
2025-09-16,DOLO/USDT,0.1674,0.1769,0.1654,0.1697,62741912.1
2025-09-17,DOLO/USDT,0.1697,0.1699,0.1545,0.1657,65801201.8
2025-09-18,DOLO/USDT,0.1658,0.1661,0.1559,0.1592,54174453.4
2025-09-19,DOLO/USDT,0.1593,0.161,0.1483,0.1524,68655342.7
2025-09-20,DOLO/USDT,0.1524,0.1584,0.1497,0.1539,55213179.9
2025-09-21,DOLO/USDT,0.1539,0.1665,0.15,0.1513,82070452.8
2025-09-22,DOLO/USDT,0.1512,0.1521,0.1213,0.1283,80368877.4
2025-09-23,DOLO/USDT,0.1283,0.1294,0.1094,0.1128,64866757.5
2025-09-24,DOLO/USDT,0.1128,0.1227,0.1102,0.1109,69538594.0
2025-09-25,DOLO/USDT,0.1109,0.1127,0.0996,0.1043,81231781.0
2025-09-26,DOLO/USDT,0.1043,0.111,0.1021,0.1083,57080285.7
2025-09-27,DOLO/USDT,0.1084,0.1098,0.1043,0.1048,32391486.0
2025-09-28,DOLO/USDT,0.1048,0.1055,0.0964,0.1043,51380994.1
2025-09-29,DOLO/USDT,0.1044,0.1108,0.0963,0.0975,69224569.8
2025-09-30,DOLO/USDT,0.0976,0.1045,0.0946,0.1043,45745291.2
2025-10-01,DOLO/USDT,0.1043,0.1089,0.0981,0.1029,33885824.1
