time,symbol,open,high,low,close,volume
2021-09-09,DYDX/USDT,3.0,16.435,3.0,12.971,38446040.96
2021-09-10,DYDX/USDT,12.992,14.5,9.821,10.425,18421740.51
2021-09-11,DYDX/USDT,10.425,12.759,10.414,10.933,11241412.43
2021-09-12,DYDX/USDT,10.929,12.691,10.692,11.303,8259547.67
2021-09-13,DYDX/USDT,11.293,11.484,9.1,10.4,10122607.64
2021-09-14,DYDX/USDT,10.401,12.2,9.996,11.699,8726719.26
2021-09-15,DYDX/USDT,11.687,12.497,11.028,11.599,6790443.33
2021-09-16,DYDX/USDT,11.605,16.99,11.584,15.387,22864521.72
2021-09-17,DYDX/USDT,15.386,18.5,14.905,16.499,21354357.1
2021-09-18,DYDX/USDT,16.499,18.022,15.481,16.08,10614651.01
2021-09-19,DYDX/USDT,16.06,16.34,13.839,14.259,8921403.58
2021-09-20,DYDX/USDT,14.259,14.278,11.19,11.831,13855506.34
2021-09-21,DYDX/USDT,11.842,13.695,10.83,12.557,13533755.13
2021-09-22,DYDX/USDT,12.552,14.991,12.25,14.637,10687185.57
2021-09-23,DYDX/USDT,14.624,14.974,13.078,14.079,7027804.71
2021-09-24,DYDX/USDT,14.08,14.15,11.103,12.108,9342176.7
2021-09-25,DYDX/USDT,12.108,14.357,11.448,13.984,9461156.48
2021-09-26,DYDX/USDT,13.985,19.666,12.817,19.308,28192101.69
2021-09-27,DYDX/USDT,19.299,22.899,18.7,20.975,25279800.3
2021-09-28,DYDX/USDT,20.963,23.588,19.255,22.558,21685750.07
2021-09-29,DYDX/USDT,22.559,26.935,21.802,26.751,19505915.14
2021-09-30,DYDX/USDT,26.747,27.857,23.106,23.555,15546595.12
2021-10-01,DYDX/USDT,23.588,25.129,21.3,22.299,17171570.54
2021-10-02,DYDX/USDT,22.308,24.398,21.721,23.216,12354701.84
2021-10-03,DYDX/USDT,23.215,23.87,21.366,23.59,9301265.41
2021-10-04,DYDX/USDT,23.564,26.431,22.6,23.46,15725757.48
2021-10-05,DYDX/USDT,23.449,24.495,22.073,22.617,8456662.92
2021-10-06,DYDX/USDT,22.629,23.541,20.52,22.992,11921331.03
2021-10-07,DYDX/USDT,22.987,24.932,21.551,21.729,10189841.28
2021-10-08,DYDX/USDT,21.711,22.77,21.0,21.964,6226904.02
2021-10-09,DYDX/USDT,21.965,23.015,21.336,21.832,4592505.89
2021-10-10,DYDX/USDT,21.832,24.9,21.103,22.595,12772132.12
2021-10-11,DYDX/USDT,22.578,26.101,22.1,23.637,14485623.25
2021-10-12,DYDX/USDT,23.611,23.634,21.28,22.286,8359129.6
2021-10-13,DYDX/USDT,22.308,24.96,21.58,22.356,11879418.68
2021-10-14,DYDX/USDT,22.346,24.037,22.127,23.62,5200369.28
2021-10-15,DYDX/USDT,23.621,24.4,22.265,22.638,6818863.82
2021-10-16,DYDX/USDT,22.642,23.368,22.025,22.338,4040467.35
2021-10-17,DYDX/USDT,22.326,22.751,20.0,21.055,4074201.19
2021-10-18,DYDX/USDT,21.043,21.532,19.6,20.131,4947579.36
2021-10-19,DYDX/USDT,20.139,20.701,18.604,19.159,3723192.6
2021-10-20,DYDX/USDT,19.17,20.929,18.5,19.965,5751407.14
2021-10-21,DYDX/USDT,19.986,20.847,18.711,19.362,4332200.56
2021-10-22,DYDX/USDT,19.355,20.435,18.992,20.29,3795634.63
2021-10-23,DYDX/USDT,20.304,20.79,19.282,19.388,2883667.29
2021-10-24,DYDX/USDT,19.389,19.647,16.81,17.926,5512480.86
2021-10-25,DYDX/USDT,17.926,19.4,17.641,18.848,5068218.84
2021-10-26,DYDX/USDT,18.848,19.347,17.491,17.836,4539419.83
2021-10-27,DYDX/USDT,17.835,19.277,14.13,15.145,10509517.69
2021-10-28,DYDX/USDT,15.148,16.365,14.66,15.798,6313726.3
2021-10-29,DYDX/USDT,15.805,17.157,15.668,16.1,4189761.05
2021-10-30,DYDX/USDT,16.1,16.247,15.162,15.556,3907967.93
2021-10-31,DYDX/USDT,15.557,15.87,14.501,15.17,3492240.26
2021-11-01,DYDX/USDT,15.179,18.3,14.858,17.255,11543558.98
2021-11-02,DYDX/USDT,17.274,17.501,15.775,16.374,4321338.71
