time,symbol,open,high,low,close,volume
2021-08-20,GHST/USDT,1.982,2.4,1.982,2.15,4124045.5
2021-08-21,GHST/USDT,2.15,2.205,2.079,2.096,1475455.3
2021-08-22,GHST/USDT,2.097,2.14,2.0,2.084,1013830.5
2021-08-23,GHST/USDT,2.075,2.198,2.05,2.093,1590025.9
2021-08-24,GHST/USDT,2.091,2.103,2.0,2.015,840088.1
2021-08-25,GHST/USDT,2.015,2.084,1.955,2.003,1384514.5
2021-08-26,GHST/USDT,2.0,2.324,1.966,2.082,4762070.6
2021-08-27,GHST/USDT,2.082,2.15,1.998,2.057,2051833.7
2021-08-28,GHST/USDT,2.057,2.081,1.985,2.001,817019.1
2021-08-29,GHST/USDT,2.0,2.049,1.976,1.976,865829.1
2021-08-30,GHST/USDT,1.987,2.085,1.944,1.96,1755798.3
2021-08-31,GHST/USDT,1.962,1.982,1.9,1.91,1091728.3
2021-09-01,GHST/USDT,1.911,1.933,1.845,1.899,755312.0
2021-09-02,GHST/USDT,1.899,1.93,1.85,1.863,978848.3
2021-09-03,GHST/USDT,1.863,1.898,1.815,1.841,921884.9
2021-09-04,GHST/USDT,1.841,1.95,1.833,1.892,1403913.6
2021-09-05,GHST/USDT,1.892,1.918,1.83,1.852,946741.6
2021-09-06,GHST/USDT,1.855,1.89,1.844,1.878,890551.7
2021-09-07,GHST/USDT,1.878,1.89,1.611,1.766,1642899.5
2021-09-08,GHST/USDT,1.758,1.839,1.714,1.729,798414.7
2021-09-09,GHST/USDT,1.736,1.837,1.717,1.743,766248.3
2021-09-10,GHST/USDT,1.747,1.789,1.685,1.721,587317.2
2021-09-11,GHST/USDT,1.721,1.787,1.675,1.714,526073.5
2021-09-12,GHST/USDT,1.71,1.84,1.703,1.74,580626.7
2021-09-13,GHST/USDT,1.738,1.778,1.683,1.703,627122.2
2021-09-14,GHST/USDT,1.701,1.745,1.683,1.71,336578.9
2021-09-15,GHST/USDT,1.712,1.749,1.682,1.732,324407.7
2021-09-16,GHST/USDT,1.733,1.77,1.694,1.735,618273.5
2021-09-17,GHST/USDT,1.737,1.78,1.699,1.733,897659.0
2021-09-18,GHST/USDT,1.736,1.769,1.686,1.72,526567.8
2021-09-19,GHST/USDT,1.719,1.719,1.666,1.675,291034.7
2021-09-20,GHST/USDT,1.677,2.259,1.568,1.628,4727558.1
2021-09-21,GHST/USDT,1.625,1.98,1.611,1.626,2362162.1
