time,symbol,open,high,low,close,volume
2022-03-11,KDA/USDT,6.211,9.675,6.211,6.523,6043741.84
2022-03-12,KDA/USDT,6.53,7.268,6.5,6.674,3225707.77
2022-03-13,KDA/USDT,6.666,6.83,6.191,6.222,1285223.07
2022-03-14,KDA/USDT,6.22,6.851,6.18,6.361,1694265.62
2022-03-15,KDA/USDT,6.361,6.45,5.88,6.007,1189370.49
2022-03-16,KDA/USDT,6.007,6.38,5.989,6.323,1508755.88
2022-03-17,KDA/USDT,6.329,6.424,6.12,6.17,1232109.22
2022-03-18,KDA/USDT,6.17,6.4,5.99,6.297,1162741.01
2022-03-19,KDA/USDT,6.299,6.401,6.194,6.291,1350450.07
2022-03-20,KDA/USDT,6.282,6.318,5.93,6.097,823976.75
2022-03-21,KDA/USDT,6.097,6.262,5.994,6.091,1087357.1
2022-03-22,KDA/USDT,6.081,6.3,6.04,6.122,1366769.38
2022-03-23,KDA/USDT,6.123,6.6,6.071,6.375,1738757.34
2022-03-24,KDA/USDT,6.375,7.12,6.203,6.556,2865909.35
2022-03-25,KDA/USDT,6.557,7.3,6.416,6.812,4198593.01
2022-03-26,KDA/USDT,6.813,6.87,6.659,6.749,1159784.35
2022-03-27,KDA/USDT,6.754,7.1,6.563,7.022,1612289.61
2022-03-28,KDA/USDT,7.022,7.2,6.7,6.707,2217006.53
2022-03-29,KDA/USDT,6.709,7.1,6.612,6.795,1729306.95
2022-03-30,KDA/USDT,6.795,7.02,6.55,6.776,2101685.26
2022-03-31,KDA/USDT,6.776,7.0,6.329,6.361,1959680.94
2022-04-01,KDA/USDT,6.36,7.25,6.2,6.867,2179925.61
2022-04-02,KDA/USDT,6.869,7.97,6.746,7.23,6671920.01
2022-04-03,KDA/USDT,7.235,7.75,6.95,7.618,3085595.57
2022-04-04,KDA/USDT,7.618,7.75,6.973,7.312,2631974.47
2022-04-05,KDA/USDT,7.322,7.8,7.0,7.096,2171295.13
2022-04-06,KDA/USDT,7.095,7.35,6.501,6.506,2323399.79
2022-04-07,KDA/USDT,6.506,6.775,6.365,6.602,1565428.3
2022-04-08,KDA/USDT,6.599,6.9,6.123,6.156,1551313.7
2022-04-09,KDA/USDT,6.157,6.401,6.01,6.281,1072700.04
2022-04-10,KDA/USDT,6.28,6.479,6.093,6.12,965523.62
2022-04-11,KDA/USDT,6.12,6.133,5.313,5.395,2837197.19
2022-04-12,KDA/USDT,5.396,6.084,5.313,5.593,2150324.52
2022-04-13,KDA/USDT,5.592,6.0,5.432,5.873,1143750.38
2022-04-14,KDA/USDT,5.868,6.12,5.429,5.547,1390129.47
2022-04-15,KDA/USDT,5.549,5.677,5.468,5.582,1031457.52
2022-04-16,KDA/USDT,5.583,5.601,5.39,5.483,644989.63
2022-04-17,KDA/USDT,5.483,5.64,5.36,5.402,903757.49
2022-04-18,KDA/USDT,5.407,5.595,5.052,5.528,1932582.43
2022-04-19,KDA/USDT,5.53,5.609,5.281,5.486,2081320.02
2022-04-20,KDA/USDT,5.486,5.759,5.338,5.397,2451278.54
2022-04-21,KDA/USDT,5.393,5.779,5.166,5.203,3004603.3
2022-04-22,KDA/USDT,5.205,5.284,5.055,5.144,1725395.39
2022-04-23,KDA/USDT,5.142,5.146,4.93,4.942,1327680.48
2022-04-24,KDA/USDT,4.942,5.1,4.768,4.844,1934938.59
