time,symbol,open,high,low,close,volume
2024-12-10,ME/USDT,0.3,6.24,0.3,5.671,89997493.48
2024-12-11,ME/USDT,5.665,8.0,4.921,5.428,118872148.04
2024-12-12,ME/USDT,5.427,5.488,4.353,4.488,34869976.76
2024-12-13,ME/USDT,4.489,4.495,4.022,4.268,25831869.25
2024-12-14,ME/USDT,4.268,4.512,3.73,3.891,18786950.7
2024-12-15,ME/USDT,3.891,3.954,3.645,3.851,11307951.09
2024-12-16,ME/USDT,3.854,3.922,3.491,3.546,12677243.07
2024-12-17,ME/USDT,3.546,3.558,2.978,3.038,16773783.75
2024-12-18,ME/USDT,3.04,3.193,2.632,2.793,15166158.1
2024-12-19,ME/USDT,2.793,2.966,2.582,2.765,14239354.41
2024-12-20,ME/USDT,2.764,3.572,2.724,3.492,39442074.63
2024-12-21,ME/USDT,3.492,3.695,3.073,3.143,18819892.49
2024-12-22,ME/USDT,3.142,3.216,2.95,3.1,7324510.29
2024-12-23,ME/USDT,3.099,3.16,2.831,3.11,6672680.01
2024-12-24,ME/USDT,3.11,3.217,2.93,3.187,6416965.61
2024-12-25,ME/USDT,3.185,3.676,3.142,3.466,15826859.12
2024-12-26,ME/USDT,3.469,4.13,3.316,3.938,27144424.52
2024-12-27,ME/USDT,3.937,4.279,3.654,4.028,18468449.75
2024-12-28,ME/USDT,4.028,4.065,3.462,3.5,9273578.07
2024-12-29,ME/USDT,3.501,3.79,3.331,3.409,10087101.31
2024-12-30,ME/USDT,3.41,3.478,3.131,3.186,6363868.66
2024-12-31,ME/USDT,3.187,3.224,3.004,3.108,5204786.09
2025-01-01,ME/USDT,3.107,3.207,2.959,3.181,3780628.49
2025-01-02,ME/USDT,3.181,3.28,3.102,3.238,5620605.35
2025-01-03,ME/USDT,3.237,3.403,3.109,3.369,4085789.88
2025-01-04,ME/USDT,3.37,3.526,3.277,3.352,5140801.63
2025-01-05,ME/USDT,3.353,3.5,3.275,3.451,4149593.8
2025-01-06,ME/USDT,3.452,3.454,3.325,3.368,2661947.48
2025-01-07,ME/USDT,3.367,3.373,2.996,3.017,3882828.42
2025-01-08,ME/USDT,3.018,3.03,2.653,2.832,3622964.9
2025-01-09,ME/USDT,2.829,2.829,2.594,2.68,3647212.16
2025-01-10,ME/USDT,2.68,2.838,2.657,2.78,2930833.87
2025-01-11,ME/USDT,2.78,2.871,2.722,2.797,2473211.07
2025-01-12,ME/USDT,2.797,2.797,2.664,2.701,2020841.0
2025-01-13,ME/USDT,2.702,2.766,2.335,2.529,4168239.2
2025-01-14,ME/USDT,2.531,2.631,2.518,2.597,2280573.16
2025-01-15,ME/USDT,2.598,2.723,2.486,2.714,3147060.54
2025-01-16,ME/USDT,2.713,2.717,2.54,2.576,2701775.16
2025-01-17,ME/USDT,2.576,2.698,2.567,2.674,2639100.98
2025-01-18,ME/USDT,2.674,2.783,2.424,2.475,6633440.54
2025-01-19,ME/USDT,2.474,2.541,2.076,2.108,8008278.67
2025-01-20,ME/USDT,2.107,2.24,1.983,2.06,8796684.76
2025-01-21,ME/USDT,2.06,2.164,1.939,2.098,4015559.37
2025-01-22,ME/USDT,2.097,2.13,2.037,2.047,2552056.18
2025-01-23,ME/USDT,2.047,2.161,2.012,2.094,5768592.38
2025-01-24,ME/USDT,2.095,2.146,1.944,1.984,2698148.86
2025-01-25,ME/USDT,1.984,2.033,1.928,1.999,2517370.68
2025-01-26,ME/USDT,1.999,2.071,1.932,1.934,1640534.45
2025-01-27,ME/USDT,1.933,1.933,1.709,1.892,4194881.99
2025-01-28,ME/USDT,1.894,1.956,1.74,1.757,2511735.71
2025-01-29,ME/USDT,1.758,1.894,1.735,1.813,2445943.12
2025-01-30,ME/USDT,1.814,1.988,1.796,1.921,2672713.84
2025-01-31,ME/USDT,1.921,2.059,1.912,1.934,5125690.74
2025-02-01,ME/USDT,1.933,1.994,1.698,1.719,3021785.28
2025-02-02,ME/USDT,1.719,1.753,1.354,1.438,4508110.97
2025-02-03,ME/USDT,1.441,1.51,1.054,1.485,11415218.96
2025-02-04,ME/USDT,1.486,1.508,1.306,1.381,3317630.79
2025-02-05,ME/USDT,1.381,1.428,1.317,1.344,2100886.88
2025-02-06,ME/USDT,1.345,1.373,1.236,1.254,2681063.03
2025-02-07,ME/USDT,1.255,1.368,1.213,1.253,2338386.96
2025-02-08,ME/USDT,1.253,2.224,1.242,1.83,39112006.07
2025-02-09,ME/USDT,1.827,2.1,1.649,1.705,46612206.47
2025-02-10,ME/USDT,1.704,2.027,1.596,1.772,20369246.67
2025-02-11,ME/USDT,1.771,2.047,1.744,1.819,12419204.24
2025-02-12,ME/USDT,1.819,2.095,1.803,2.057,16097980.84
