time,symbol,open,high,low,close,volume
2018-10-04,PAX/USDT,1.005,1.05,1.0,1.0081,1434643.78
2018-10-05,PAX/USDT,1.0086,1.0096,1.0067,1.0072,2030546.58
2018-10-06,PAX/USDT,1.0073,1.0088,1.0056,1.0063,1902564.99
2018-10-07,PAX/USDT,1.0071,1.0094,1.0063,1.0073,2201856.65
2018-10-08,PAX/USDT,1.0071,1.011,1.0054,1.009,3334065.81
2018-10-09,PAX/USDT,1.0092,1.0101,1.0078,1.0092,2280663.88
2018-10-10,PAX/USDT,1.0097,1.0147,1.0077,1.0132,2977420.99
2018-10-11,PAX/USDT,1.0132,1.05,1.0123,1.0277,4162725.6
2018-10-12,PAX/USDT,1.0272,1.0355,1.016,1.0196,2154412.43
2018-10-13,PAX/USDT,1.0195,1.028,1.0189,1.0221,4621151.47
2018-10-14,PAX/USDT,1.0223,1.037,1.0219,1.035,4144383.45
2018-10-15,PAX/USDT,1.035,1.2,1.0337,1.0504,12947949.45
2018-10-16,PAX/USDT,1.0504,1.0613,1.037,1.0461,4032139.66
2018-10-17,PAX/USDT,1.046,1.0505,1.0379,1.042,1909221.04
2018-10-18,PAX/USDT,1.0416,1.0457,1.0291,1.032,1745327.05
2018-10-19,PAX/USDT,1.0309,1.033,1.0211,1.0216,1992492.86
2018-10-20,PAX/USDT,1.0212,1.0261,1.019,1.0228,1966163.07
2018-10-21,PAX/USDT,1.0237,1.0308,1.0207,1.0269,1979910.19
2018-10-22,PAX/USDT,1.0272,1.0331,1.0214,1.0243,3379833.74
2018-10-23,PAX/USDT,1.0243,1.0284,1.021,1.0247,6346629.54
2018-10-24,PAX/USDT,1.0235,1.029,1.0228,1.0231,2540385.81
2018-10-25,PAX/USDT,1.0233,1.0253,1.0205,1.0213,6776642.23
2018-10-26,PAX/USDT,1.0213,1.0252,1.0191,1.0192,6146691.51
2018-10-27,PAX/USDT,1.0195,1.0202,1.0105,1.0125,7105680.8
2018-10-28,PAX/USDT,1.0112,1.0128,1.0105,1.0113,6891840.61
2018-10-29,PAX/USDT,1.011,1.0167,1.01,1.012,8160267.97
2018-10-30,PAX/USDT,1.012,1.0155,1.0056,1.0069,7768641.39
2018-10-31,PAX/USDT,1.0066,1.011,1.0033,1.008,9888042.09
2018-11-01,PAX/USDT,1.008,1.0111,1.0042,1.0075,7116770.23
2018-11-02,PAX/USDT,1.0075,1.0086,1.0031,1.0062,11468165.88
2018-11-03,PAX/USDT,1.0063,1.0075,1.0015,1.0021,9253649.32
2018-11-04,PAX/USDT,1.0022,1.0084,1.001,1.004,11248283.19
2018-11-05,PAX/USDT,1.0034,1.005,1.0012,1.0032,9894879.27
2018-11-06,PAX/USDT,1.0031,1.007,1.0012,1.0048,12935302.71
2018-11-07,PAX/USDT,1.0048,1.0059,1.0025,1.0036,13322721.78
2018-11-08,PAX/USDT,1.0036,1.007,1.003,1.0059,8783684.09
2018-11-09,PAX/USDT,1.0058,1.0093,1.004,1.0086,10052329.15
2018-11-10,PAX/USDT,1.0087,1.0095,1.005,1.0059,7075762.83
2018-11-11,PAX/USDT,1.0058,1.0067,1.0041,1.0049,5785039.48
2018-11-12,PAX/USDT,1.0049,1.0164,1.004,1.0155,5992676.39
2018-11-13,PAX/USDT,1.016,1.0326,1.0151,1.0314,8694650.63
2018-11-14,PAX/USDT,1.0309,1.0667,1.0136,1.038,13736583.05
2018-11-15,PAX/USDT,1.0386,1.053,1.024,1.0304,12732676.91
2018-11-16,PAX/USDT,1.0296,1.0305,1.0153,1.022,10889550.71
2018-11-17,PAX/USDT,1.0219,1.0233,1.0168,1.0191,8960745.04
2018-11-18,PAX/USDT,1.019,1.0229,1.0153,1.0164,6611833.4
2018-11-19,PAX/USDT,1.0164,1.0334,1.008,1.0307,11596552.17
2018-11-20,PAX/USDT,1.0292,1.056,1.0111,1.0361,13188714.14
2018-11-21,PAX/USDT,1.0378,1.043,1.0197,1.0215,5783916.7
2018-11-22,PAX/USDT,1.0215,1.028,1.018,1.0221,3355106.5
2018-11-23,PAX/USDT,1.0221,1.0299,1.0212,1.0256,4484765.25
2018-11-24,PAX/USDT,1.0256,1.0346,1.0245,1.0293,4298097.83
2018-11-25,PAX/USDT,1.0275,1.0584,1.0245,1.0334,7885928.39
2018-11-26,PAX/USDT,1.0318,1.045,1.0261,1.0297,10298419.14
2018-11-27,PAX/USDT,1.0297,1.0331,1.026,1.0264,10155995.97
2018-11-28,PAX/USDT,1.0266,1.0294,1.0065,1.0103,18403937.61
2018-11-29,PAX/USDT,1.0103,1.0149,1.0061,1.012,17941433.7
2018-11-30,PAX/USDT,1.012,1.0205,1.0073,1.0156,13461219.93
2018-12-01,PAX/USDT,1.0156,1.0195,1.008,1.0119,8941639.67
2018-12-02,PAX/USDT,1.0116,1.0188,1.0091,1.0149,4571102.05
2018-12-03,PAX/USDT,1.015,1.0199,1.0091,1.0093,6872613.37
2018-12-04,PAX/USDT,1.0095,1.0113,1.001,1.0063,11004892.39
2018-12-05,PAX/USDT,1.0062,1.016,1.0048,1.0139,8649919.69
2018-12-06,PAX/USDT,1.0134,1.016,1.0046,1.0117,9693342.82
2018-12-07,PAX/USDT,1.0125,1.0139,1.0009,1.0039,20252313.39
2018-12-08,PAX/USDT,1.0042,1.0061,1.0,1.0031,15334456.0
2018-12-09,PAX/USDT,1.0029,1.0046,0.9993,1.0018,7414533.87
2018-12-10,PAX/USDT,1.0023,1.003,0.9995,1.0014,6053627.99
2018-12-11,PAX/USDT,1.0014,1.0055,1.0007,1.0017,5991017.18
2018-12-12,PAX/USDT,1.0021,1.0054,0.9998,1.0019,4074145.04
2018-12-13,PAX/USDT,1.0019,1.0068,1.0005,1.0052,5396617.68
2018-12-14,PAX/USDT,1.0052,1.0118,1.0041,1.0071,6343591.06
2018-12-15,PAX/USDT,1.0071,1.0098,1.0045,1.0064,4179702.04
2018-12-16,PAX/USDT,1.008,1.0094,1.0041,1.0068,3780008.43
2018-12-17,PAX/USDT,1.0072,1.0087,1.0001,1.0004,10806447.7
2018-12-18,PAX/USDT,1.0007,1.0032,0.9976,0.9997,9804869.18
2018-12-19,PAX/USDT,0.9987,1.0038,0.9901,0.9955,9870253.49
2018-12-20,PAX/USDT,0.996,1.0005,0.9864,0.9938,15745651.85
2018-12-21,PAX/USDT,0.994,0.9998,0.9901,0.9992,13367176.23
2018-12-22,PAX/USDT,0.9992,0.9999,0.991,0.9915,5883443.97
2018-12-23,PAX/USDT,0.9914,0.9955,0.9904,0.9934,7732391.69
2018-12-24,PAX/USDT,0.9934,0.9958,0.9858,0.9928,13223981.62
2018-12-25,PAX/USDT,0.9927,0.9972,0.9866,0.9896,10334587.35
2018-12-26,PAX/USDT,0.9895,0.9925,0.9876,0.9908,8354910.59
2018-12-27,PAX/USDT,0.9907,0.9943,0.9867,0.9919,7774722.2
2018-12-28,PAX/USDT,0.9918,0.9923,0.981,0.9861,6754021.27
2018-12-29,PAX/USDT,0.9861,0.9905,0.9775,0.9884,6752122.19
2018-12-30,PAX/USDT,0.9884,0.9937,0.9862,0.991,5288855.0
2018-12-31,PAX/USDT,0.991,0.9992,0.981,0.9992,6618066.7
2019-01-01,PAX/USDT,0.9992,1.0015,0.9907,0.9923,5943689.93
2019-01-02,PAX/USDT,0.9919,0.995,0.9901,0.9914,5839393.27
2019-01-03,PAX/USDT,0.9914,0.994,0.9898,0.9936,8955970.47
2019-01-04,PAX/USDT,0.9936,0.9946,0.9895,0.9906,8995032.11
2019-01-05,PAX/USDT,0.9906,0.9924,0.9872,0.9905,6291353.78
2019-01-06,PAX/USDT,0.9905,0.9933,0.9816,0.986,7383635.3
2019-01-07,PAX/USDT,0.9861,0.9913,0.9854,0.9907,6397461.65
2019-01-08,PAX/USDT,0.9908,0.9911,0.9873,0.9888,9326356.75
2019-01-09,PAX/USDT,0.9888,0.9911,0.9881,0.99,8829525.75
2019-01-10,PAX/USDT,0.99,0.991,0.98,0.9877,15831533.03
2019-01-11,PAX/USDT,0.9877,0.9896,0.9843,0.9895,9699980.23
2019-01-12,PAX/USDT,0.9896,0.9906,0.9854,0.9897,6637833.81
2019-01-13,PAX/USDT,0.9897,0.9908,0.9866,0.9889,8153244.22
2019-01-14,PAX/USDT,0.9889,0.9927,0.9858,0.989,10713207.29
2019-01-15,PAX/USDT,0.9889,0.9931,0.9873,0.9923,9202460.6
2019-01-16,PAX/USDT,0.9922,0.996,0.9917,0.9946,7460940.5
2019-01-17,PAX/USDT,0.9947,0.9971,0.9927,0.9929,7086259.18
2019-01-18,PAX/USDT,0.9929,0.9973,0.9924,0.9963,6310387.41
2019-01-19,PAX/USDT,0.9964,0.9977,0.992,0.9953,6094580.42
2019-01-20,PAX/USDT,0.9952,1.001,0.9943,0.9993,7903350.59
2019-01-21,PAX/USDT,0.9994,1.0008,0.9962,0.9986,3875445.21
2019-01-22,PAX/USDT,0.9985,1.001,0.997,0.9984,5064439.94
