time,symbol,open,high,low,close,volume
2024-07-26,RENDER/USDT,7.03,7.03,6.303,6.777,4132651.62
2024-07-27,RENDER/USDT,6.773,6.85,6.35,6.465,2902047.18
2024-07-28,RENDER/USDT,6.463,6.552,6.154,6.266,1779112.68
2024-07-29,RENDER/USDT,6.262,6.66,6.114,6.15,2493409.54
2024-07-30,RENDER/USDT,6.151,6.302,5.921,6.009,1839028.31
2024-07-31,RENDER/USDT,6.013,6.18,5.701,5.744,2437149.11
2024-08-01,RENDER/USDT,5.742,5.894,5.106,5.604,5505511.87
2024-08-02,RENDER/USDT,5.602,5.649,4.83,4.937,3970023.1
2024-08-03,RENDER/USDT,4.935,5.335,4.757,4.95,4644617.18
2024-08-04,RENDER/USDT,4.948,5.084,4.317,4.531,4763026.42
2024-08-05,RENDER/USDT,4.534,4.603,3.41,4.131,13236235.1
2024-08-06,RENDER/USDT,4.132,4.9,4.122,4.679,7088799.74
2024-08-07,RENDER/USDT,4.676,4.981,4.292,4.374,5349783.11
2024-08-08,RENDER/USDT,4.374,5.076,4.272,5.044,5658348.53
2024-08-09,RENDER/USDT,5.042,5.128,4.804,4.853,3238950.11
2024-08-10,RENDER/USDT,4.851,4.96,4.75,4.899,1544163.13
2024-08-11,RENDER/USDT,4.903,5.119,4.467,4.481,3162902.27
2024-08-12,RENDER/USDT,4.481,4.775,4.425,4.708,2892397.88
2024-08-13,RENDER/USDT,4.706,4.879,4.524,4.828,2189383.14
2024-08-14,RENDER/USDT,4.829,4.978,4.631,4.701,2450192.37
2024-08-15,RENDER/USDT,4.702,4.85,4.461,4.547,2315523.71
2024-08-16,RENDER/USDT,4.547,4.622,4.306,4.504,1757213.43
2024-08-17,RENDER/USDT,4.503,4.57,4.393,4.514,1282696.17
2024-08-18,RENDER/USDT,4.514,4.636,4.465,4.497,1719603.68
2024-08-19,RENDER/USDT,4.499,4.616,4.315,4.613,1940561.43
2024-08-20,RENDER/USDT,4.613,4.716,4.375,4.491,2792032.73
2024-08-21,RENDER/USDT,4.492,4.857,4.389,4.784,2348874.72
2024-08-22,RENDER/USDT,4.784,5.094,4.706,5.053,3552400.38
2024-08-23,RENDER/USDT,5.054,5.771,5.047,5.595,4550259.49
2024-08-24,RENDER/USDT,5.596,6.375,5.445,6.192,5134497.3
2024-08-25,RENDER/USDT,6.193,6.495,6.1,6.314,5516158.3
