time,symbol,open,high,low,close,volume
2025-05-08,SXT/USDT,0.06,0.1988,0.06,0.1454,530480431.9
2025-05-09,SXT/USDT,0.1453,0.1623,0.1171,0.129,529745795.4
2025-05-10,SXT/USDT,0.129,0.1379,0.1196,0.1321,231968345.6
2025-05-11,SXT/USDT,0.1321,0.1591,0.1276,0.1536,353668368.9
2025-05-12,SXT/USDT,0.1535,0.1565,0.127,0.135,276853274.4
2025-05-13,SXT/USDT,0.135,0.1495,0.1263,0.1442,265052997.3
2025-05-14,SXT/USDT,0.1441,0.1642,0.1397,0.1438,322037435.4
2025-05-15,SXT/USDT,0.1439,0.1494,0.125,0.1302,217282448.6
2025-05-16,SXT/USDT,0.1302,0.1362,0.1253,0.1267,99110307.8
2025-05-17,SXT/USDT,0.1268,0.1268,0.1069,0.1151,149474904.1
2025-05-18,SXT/USDT,0.1151,0.1231,0.1077,0.1169,139445046.5
2025-05-19,SXT/USDT,0.1169,0.1171,0.1037,0.1079,94590537.5
2025-05-20,SXT/USDT,0.1079,0.147,0.1058,0.1444,321772452.3
2025-05-21,SXT/USDT,0.1445,0.1518,0.1274,0.1317,374582514.0
2025-05-22,SXT/USDT,0.1317,0.1366,0.1265,0.1327,165668805.6
2025-05-23,SXT/USDT,0.1327,0.1373,0.1133,0.1159,172211994.5
2025-05-24,SXT/USDT,0.1159,0.1262,0.1156,0.12,88243869.1
2025-05-25,SXT/USDT,0.1199,0.1263,0.1153,0.123,111138315.6
2025-05-26,SXT/USDT,0.123,0.1259,0.1174,0.1206,75409032.1
2025-05-27,SXT/USDT,0.1205,0.1251,0.1162,0.1238,67609189.5
2025-05-28,SXT/USDT,0.1239,0.1282,0.1153,0.1192,70440647.2
2025-05-29,SXT/USDT,0.1192,0.1215,0.1102,0.1115,54817848.1
2025-05-30,SXT/USDT,0.1114,0.1116,0.0946,0.0975,89326388.6
2025-05-31,SXT/USDT,0.0975,0.1035,0.0932,0.1007,39738623.9
2025-06-01,SXT/USDT,0.1008,0.1059,0.0993,0.1045,42477747.7
2025-06-02,SXT/USDT,0.1045,0.1048,0.0972,0.1013,43497038.4
2025-06-03,SXT/USDT,0.1014,0.1043,0.1,0.1018,40326288.4
2025-06-04,SXT/USDT,0.1017,0.1052,0.0967,0.0983,48733456.4
2025-06-05,SXT/USDT,0.0983,0.1077,0.0905,0.0935,96343144.8
2025-06-06,SXT/USDT,0.0934,0.1,0.0921,0.0941,44522497.2
2025-06-07,SXT/USDT,0.094,0.0996,0.0937,0.0994,22552552.0
2025-06-08,SXT/USDT,0.0993,0.0997,0.0967,0.0981,18997683.5
2025-06-09,SXT/USDT,0.0979,0.0989,0.0918,0.0982,40592349.1
2025-06-10,SXT/USDT,0.0982,0.1017,0.0942,0.1013,58811745.3
2025-06-11,SXT/USDT,0.1014,0.104,0.0918,0.0937,44347609.2
2025-06-12,SXT/USDT,0.0937,0.0937,0.0818,0.0821,49814230.1
2025-06-13,SXT/USDT,0.0822,0.0822,0.074,0.08,54368430.3
2025-06-14,SXT/USDT,0.08,0.0816,0.0772,0.0786,16185167.0
2025-06-15,SXT/USDT,0.0787,0.0788,0.0743,0.0762,14509102.7
2025-06-16,SXT/USDT,0.0763,0.081,0.0751,0.0752,32763316.4
2025-06-17,SXT/USDT,0.0752,0.077,0.0694,0.0711,44524124.0
2025-06-18,SXT/USDT,0.0711,0.073,0.0668,0.0728,37021818.3
2025-06-19,SXT/USDT,0.0728,0.0744,0.0683,0.0695,25919179.0
2025-06-20,SXT/USDT,0.0695,0.0726,0.0661,0.0677,37507483.2
2025-06-21,SXT/USDT,0.0676,0.0698,0.0619,0.0643,31083702.1
2025-06-22,SXT/USDT,0.0644,0.0655,0.0586,0.0617,58919055.8
2025-06-23,SXT/USDT,0.0616,0.0736,0.0613,0.072,81954193.9
2025-06-24,SXT/USDT,0.0721,0.0786,0.0718,0.0775,104767859.8
2025-06-25,SXT/USDT,0.0774,0.0781,0.0705,0.0712,68522999.7
2025-06-26,SXT/USDT,0.0712,0.0736,0.066,0.0674,43389616.6
2025-06-27,SXT/USDT,0.0674,0.0695,0.0664,0.0691,32322713.4
2025-06-28,SXT/USDT,0.069,0.0697,0.0644,0.0681,33175345.8
2025-06-29,SXT/USDT,0.0681,0.0723,0.0664,0.0715,34471959.6
2025-06-30,SXT/USDT,0.0716,0.0808,0.067,0.0677,122717961.7
2025-07-01,SXT/USDT,0.0677,0.0783,0.0659,0.0743,106951819.8
2025-07-02,SXT/USDT,0.0743,0.0804,0.0705,0.0784,115796700.1
2025-07-03,SXT/USDT,0.0784,0.0785,0.073,0.0743,35936415.4
2025-07-04,SXT/USDT,0.0744,0.0769,0.0685,0.0696,28311193.9
2025-07-05,SXT/USDT,0.0697,0.071,0.0666,0.0678,15835123.9
2025-07-06,SXT/USDT,0.0678,0.0705,0.0669,0.0695,12201795.0
2025-07-07,SXT/USDT,0.0695,0.0702,0.0664,0.0681,19039709.4
2025-07-08,SXT/USDT,0.068,0.0761,0.0647,0.0718,66105356.0
2025-07-09,SXT/USDT,0.0718,0.0756,0.0702,0.075,38644270.5
2025-07-10,SXT/USDT,0.0749,0.0903,0.0737,0.0859,100417424.8
2025-07-11,SXT/USDT,0.0859,0.0923,0.0786,0.0797,72783512.4
2025-07-12,SXT/USDT,0.0797,0.0846,0.0755,0.0831,42710323.8
2025-07-13,SXT/USDT,0.0831,0.0938,0.0812,0.0862,60576386.5
2025-07-14,SXT/USDT,0.0862,0.0918,0.0842,0.0868,62649309.8
2025-07-15,SXT/USDT,0.0867,0.1024,0.0846,0.0955,130939174.6
2025-07-16,SXT/USDT,0.0955,0.0979,0.0928,0.0939,36043971.6
2025-07-17,SXT/USDT,0.0941,0.0954,0.0876,0.0915,38462900.8
2025-07-18,SXT/USDT,0.0914,0.0953,0.0847,0.086,41225065.2
2025-07-19,SXT/USDT,0.0861,0.0869,0.0799,0.0834,44245127.0
2025-07-20,SXT/USDT,0.0835,0.089,0.0829,0.0849,22340325.0
2025-07-21,SXT/USDT,0.0848,0.0883,0.0825,0.0862,36222820.2
