time,symbol,open,high,low,close,volume
2024-09-16,TURBO/USDT,0.003057,0.005,0.003057,0.004622,5912773575.0
2024-09-17,TURBO/USDT,0.004622,0.005544,0.004403,0.005266,8233833947.0
2024-09-18,TURBO/USDT,0.005265,0.005574,0.004875,0.005338,7533655857.0
2024-09-19,TURBO/USDT,0.005339,0.006734,0.004975,0.006265,9156739521.0
2024-09-20,TURBO/USDT,0.006264,0.0065,0.005705,0.005952,5879943187.0
2024-09-21,TURBO/USDT,0.005952,0.006374,0.005792,0.006078,2806629880.0
2024-09-22,TURBO/USDT,0.006081,0.006093,0.005339,0.005561,2154635266.0
2024-09-23,TURBO/USDT,0.005563,0.006644,0.005414,0.006305,7590988439.0
2024-09-24,TURBO/USDT,0.006306,0.006518,0.006001,0.006432,3272310111.0
2024-09-25,TURBO/USDT,0.006434,0.00669,0.006062,0.006194,4894282643.0
2024-09-26,TURBO/USDT,0.006195,0.0066,0.006017,0.006273,4134387475.0
2024-09-27,TURBO/USDT,0.006273,0.007168,0.006156,0.006689,5381292789.0
2024-09-28,TURBO/USDT,0.006691,0.007115,0.006328,0.006528,4217752989.0
2024-09-29,TURBO/USDT,0.00653,0.006682,0.005961,0.006111,2952048248.0
2024-09-30,TURBO/USDT,0.00611,0.006179,0.005671,0.005889,2059444712.0
2024-10-01,TURBO/USDT,0.005883,0.006186,0.004888,0.005185,3816964545.0
2024-10-02,TURBO/USDT,0.005182,0.005389,0.004882,0.004975,2090528653.0
2024-10-03,TURBO/USDT,0.004974,0.00508,0.00468,0.004897,2141814439.0
2024-10-04,TURBO/USDT,0.004898,0.005381,0.004847,0.005271,1951316879.0
2024-10-05,TURBO/USDT,0.00527,0.005339,0.004974,0.005118,1337667775.0
2024-10-06,TURBO/USDT,0.005119,0.005803,0.005087,0.005773,2400497689.0
2024-10-07,TURBO/USDT,0.005769,0.006443,0.005728,0.006016,5732021366.0
2024-10-08,TURBO/USDT,0.006017,0.007236,0.006012,0.007155,9030893343.0
2024-10-09,TURBO/USDT,0.007152,0.007803,0.006558,0.006673,11307985576.0
2024-10-10,TURBO/USDT,0.006671,0.006926,0.006208,0.006405,4896628385.0
2024-10-11,TURBO/USDT,0.006403,0.007404,0.006127,0.007083,4899118584.0
2024-10-12,TURBO/USDT,0.00708,0.009405,0.00704,0.009238,8878099291.0
2024-10-13,TURBO/USDT,0.009238,0.009311,0.008322,0.009083,8581387758.0
2024-10-14,TURBO/USDT,0.009081,0.012479,0.008578,0.012103,9760521057.0
2024-10-15,TURBO/USDT,0.012112,0.013434,0.010739,0.012329,14209826042.0
2024-10-16,TURBO/USDT,0.012334,0.012711,0.010168,0.010556,10369434675.0
2024-10-17,TURBO/USDT,0.010556,0.0116,0.009678,0.010061,8090475041.0
2024-10-18,TURBO/USDT,0.010059,0.010955,0.00998,0.010356,5639943478.0
2024-10-19,TURBO/USDT,0.010353,0.011839,0.0103,0.01069,6116046668.0
2024-10-20,TURBO/USDT,0.010692,0.010744,0.010114,0.010448,3294371227.0
2024-10-21,TURBO/USDT,0.010449,0.010578,0.009581,0.00978,3583200637.0
2024-10-22,TURBO/USDT,0.009778,0.010182,0.009508,0.009831,2970262787.0
2024-10-23,TURBO/USDT,0.009832,0.010241,0.009032,0.009304,3608047474.0
2024-10-24,TURBO/USDT,0.009304,0.010417,0.009222,0.010296,3783922875.0
2024-10-25,TURBO/USDT,0.010297,0.010373,0.008167,0.008576,4550963698.0
2024-10-26,TURBO/USDT,0.008575,0.008986,0.008332,0.008682,2603237826.0
2024-10-27,TURBO/USDT,0.008681,0.009597,0.00844,0.009466,2908691225.0
2024-10-28,TURBO/USDT,0.009466,0.009598,0.00854,0.009243,4339121083.0
2024-10-29,TURBO/USDT,0.009244,0.010351,0.009106,0.009401,5547332811.0
2024-10-30,TURBO/USDT,0.009406,0.009408,0.00884,0.009064,2700858572.0
2024-10-31,TURBO/USDT,0.009065,0.009148,0.008479,0.008613,1938144977.0
2024-11-01,TURBO/USDT,0.008614,0.008968,0.008181,0.008508,2144904666.0
2024-11-02,TURBO/USDT,0.008514,0.008725,0.007807,0.007916,1906865671.0
2024-11-03,TURBO/USDT,0.007916,0.007987,0.007172,0.007602,2647014686.0
2024-11-04,TURBO/USDT,0.007603,0.007734,0.007087,0.007253,2232269114.0
2024-11-05,TURBO/USDT,0.007252,0.008454,0.007246,0.008102,4959941690.0
2024-11-06,TURBO/USDT,0.008103,0.00966,0.008026,0.009509,8529711347.0
2024-11-07,TURBO/USDT,0.009504,0.009776,0.008679,0.009049,5941096289.0
2024-11-08,TURBO/USDT,0.009051,0.009351,0.008251,0.008542,4995225045.0
2024-11-09,TURBO/USDT,0.008543,0.00931,0.008265,0.009109,4068836064.0
2024-11-10,TURBO/USDT,0.009109,0.010941,0.008783,0.009389,11481201640.0
2024-11-11,TURBO/USDT,0.00939,0.009857,0.008554,0.00907,7698561327.0
2024-11-12,TURBO/USDT,0.009068,0.010388,0.00822,0.009088,12325287326.0
2024-11-13,TURBO/USDT,0.00909,0.00959,0.007806,0.009195,11588969738.0
2024-11-14,TURBO/USDT,0.009194,0.010864,0.008659,0.008757,12648174027.0
2024-11-15,TURBO/USDT,0.00876,0.009624,0.008286,0.009373,5236168886.0
2024-11-16,TURBO/USDT,0.009374,0.009776,0.008721,0.009005,3376669462.0
2024-11-17,TURBO/USDT,0.009004,0.009721,0.008384,0.009231,4843108749.0
2024-11-18,TURBO/USDT,0.009232,0.009295,0.008461,0.008691,3240880465.0
2024-11-19,TURBO/USDT,0.008691,0.008835,0.008184,0.008572,2692100536.0
2024-11-20,TURBO/USDT,0.008574,0.008631,0.007501,0.007626,2852212854.0
2024-11-21,TURBO/USDT,0.007628,0.008432,0.007293,0.008094,3046753456.0
2024-11-22,TURBO/USDT,0.008093,0.008163,0.007269,0.007629,2615906627.0
2024-11-23,TURBO/USDT,0.007631,0.008183,0.007355,0.00771,4173605871.0
2024-11-24,TURBO/USDT,0.007711,0.008232,0.006917,0.00741,5267584162.0
2024-11-25,TURBO/USDT,0.007411,0.007605,0.006833,0.007091,4728695964.0
2024-11-26,TURBO/USDT,0.007089,0.007404,0.006481,0.006846,3428420260.0
2024-11-27,TURBO/USDT,0.006844,0.007297,0.006702,0.007267,2365607040.0
2024-11-28,TURBO/USDT,0.007264,0.007494,0.006982,0.007341,2288646556.0
2024-11-29,TURBO/USDT,0.007341,0.008229,0.007241,0.007846,5485754746.0
2024-11-30,TURBO/USDT,0.007846,0.008165,0.007579,0.008049,2944620807.0
2024-12-01,TURBO/USDT,0.00805,0.008415,0.007839,0.008011,3812253333.0
2024-12-02,TURBO/USDT,0.008012,0.008072,0.007002,0.007459,4740767458.0
2024-12-03,TURBO/USDT,0.007459,0.007834,0.006832,0.007737,4360601715.0
2024-12-04,TURBO/USDT,0.007737,0.010044,0.007488,0.008718,8956446158.0
2024-12-05,TURBO/USDT,0.008719,0.009115,0.007916,0.008613,6458248109.0
2024-12-06,TURBO/USDT,0.008613,0.009661,0.008399,0.009372,5064944630.0
2024-12-07,TURBO/USDT,0.009373,0.012,0.009109,0.011019,16238525758.0
2024-12-08,TURBO/USDT,0.011018,0.011653,0.010511,0.011192,5998863986.0
2024-12-09,TURBO/USDT,0.011191,0.013434,0.0086,0.010682,19249952551.0
2024-12-10,TURBO/USDT,0.010685,0.011388,0.008793,0.010453,10108400309.0
2024-12-11,TURBO/USDT,0.010449,0.014478,0.010109,0.013488,15814944027.0
2024-12-12,TURBO/USDT,0.01349,0.013559,0.011803,0.012103,6819221420.0
2024-12-13,TURBO/USDT,0.012103,0.012451,0.011456,0.01162,3549429160.0
2024-12-14,TURBO/USDT,0.011621,0.011881,0.010814,0.011376,2823531373.0
2024-12-15,TURBO/USDT,0.011371,0.011446,0.010654,0.011098,2300283790.0
2024-12-16,TURBO/USDT,0.011097,0.011345,0.010317,0.010664,2552938151.0
2024-12-17,TURBO/USDT,0.010665,0.011055,0.009812,0.009963,3592642361.0
2024-12-18,TURBO/USDT,0.009965,0.010095,0.00869,0.008971,3156100398.0
