time,symbol,open,high,low,close,volume
2023-03-17,UFT/USDT,0.4633,0.475,0.4311,0.4587,2133201.0
2023-03-18,UFT/USDT,0.4582,0.4733,0.4327,0.435,3211000.0
2023-03-19,UFT/USDT,0.4356,0.4815,0.4341,0.4583,4793266.0
2023-03-20,UFT/USDT,0.4584,0.4712,0.4225,0.4299,2994171.0
2023-03-21,UFT/USDT,0.4305,0.4564,0.4027,0.4268,1713587.0
2023-03-22,UFT/USDT,0.427,0.4323,0.3935,0.4083,1965210.0
2023-03-23,UFT/USDT,0.4087,0.4243,0.4003,0.4185,1139725.0
2023-03-24,UFT/USDT,0.418,0.4499,0.4051,0.4147,3434312.0
2023-03-25,UFT/USDT,0.4146,0.4231,0.4,0.4173,1243638.0
2023-03-26,UFT/USDT,0.417,0.43,0.4088,0.4176,1289475.0
2023-03-27,UFT/USDT,0.4174,0.4234,0.383,0.4009,1467121.0
2023-03-28,UFT/USDT,0.4002,0.4044,0.3836,0.4003,797730.0
2023-03-29,UFT/USDT,0.3995,0.4167,0.398,0.4117,1220168.0
2023-03-30,UFT/USDT,0.4112,0.4173,0.3945,0.4014,1168333.0
2023-03-31,UFT/USDT,0.4019,0.42,0.3917,0.4071,1435312.0
2023-04-01,UFT/USDT,0.4071,0.4155,0.403,0.4044,878501.0
2023-04-02,UFT/USDT,0.4052,0.4117,0.3898,0.3948,1164356.0
2023-04-03,UFT/USDT,0.3948,0.4055,0.381,0.3911,1466718.0
2023-04-04,UFT/USDT,0.3914,0.3983,0.3824,0.3905,1021018.0
2023-04-05,UFT/USDT,0.3905,0.409,0.39,0.3996,1545426.0
2023-04-06,UFT/USDT,0.3989,0.4056,0.3799,0.3979,1878837.0
2023-04-07,UFT/USDT,0.3981,0.407,0.389,0.3993,1581267.0
2023-04-08,UFT/USDT,0.4001,0.449,0.393,0.4123,9841839.0
2023-04-09,UFT/USDT,0.412,0.449,0.4045,0.4278,8018655.0
2023-04-10,UFT/USDT,0.4285,0.466,0.424,0.4295,10513931.0
2023-04-11,UFT/USDT,0.4295,0.436,0.4164,0.4178,2938960.0
2023-04-12,UFT/USDT,0.4178,0.419,0.4011,0.4115,1719544.0
2023-04-13,UFT/USDT,0.4105,0.4268,0.4104,0.4179,1619899.0
2023-04-14,UFT/USDT,0.4171,0.435,0.4101,0.4168,1934551.0
2023-04-15,UFT/USDT,0.4168,0.4332,0.4133,0.4256,1778921.0
2023-04-16,UFT/USDT,0.4249,0.4544,0.4218,0.4299,5528107.0
2023-04-17,UFT/USDT,0.4299,0.434,0.4172,0.4266,1757765.0
2023-04-18,UFT/USDT,0.4264,0.44,0.42,0.4323,3111737.0
2023-04-19,UFT/USDT,0.4322,0.4406,0.3958,0.4007,2405470.0
2023-04-20,UFT/USDT,0.4012,0.4136,0.3913,0.403,1188018.0
2023-04-21,UFT/USDT,0.4033,0.4064,0.37,0.3863,1403797.0
2023-04-22,UFT/USDT,0.3877,0.3981,0.3784,0.3864,713446.0
2023-04-23,UFT/USDT,0.3869,0.404,0.3742,0.3824,1105249.0
2023-04-24,UFT/USDT,0.3825,0.3948,0.375,0.3911,1471888.0
2023-04-25,UFT/USDT,0.3902,0.3922,0.3793,0.3897,1088850.0
2023-04-26,UFT/USDT,0.3904,0.4038,0.3748,0.3857,1527193.0
2023-04-27,UFT/USDT,0.3857,0.3988,0.3842,0.395,888594.0
2023-04-28,UFT/USDT,0.3949,0.4295,0.3871,0.4211,5929570.0
2023-04-29,UFT/USDT,0.4222,0.4244,0.3985,0.4037,2406435.0
2023-04-30,UFT/USDT,0.4036,0.4063,0.3938,0.3938,1162751.0
2023-05-01,UFT/USDT,0.3933,0.3956,0.3635,0.3705,2311900.0
2023-05-02,UFT/USDT,0.3709,0.382,0.3639,0.3774,1310355.0
2023-05-03,UFT/USDT,0.3778,0.384,0.3653,0.3791,1483425.0
2023-05-04,UFT/USDT,0.3793,0.3894,0.3735,0.3777,1743144.0
2023-05-05,UFT/USDT,0.3787,0.3848,0.374,0.379,1158105.0
2023-05-06,UFT/USDT,0.3788,0.417,0.3665,0.3889,8312208.0
2023-05-07,UFT/USDT,0.3895,0.4085,0.375,0.3777,4009036.0
2023-05-08,UFT/USDT,0.3771,0.379,0.3377,0.3511,2161822.0
2023-05-09,UFT/USDT,0.3515,0.3592,0.3494,0.3554,1047380.0
2023-05-10,UFT/USDT,0.3554,0.3629,0.3441,0.3537,1840446.0
2023-05-11,UFT/USDT,0.3538,0.3836,0.3412,0.3513,3636732.0
2023-05-12,UFT/USDT,0.3517,0.3656,0.3422,0.3572,1684415.0
2023-05-13,UFT/USDT,0.3568,0.3612,0.3502,0.3536,870991.0
2023-05-14,UFT/USDT,0.3536,0.3625,0.3478,0.3489,603177.0
2023-05-15,UFT/USDT,0.3493,0.3624,0.3465,0.3585,584362.0
2023-05-16,UFT/USDT,0.3588,0.3672,0.3548,0.3598,886389.0
2023-05-17,UFT/USDT,0.3597,0.3626,0.3497,0.3579,596517.0
2023-05-18,UFT/USDT,0.358,0.3737,0.3503,0.3613,1560446.0
2023-05-19,UFT/USDT,0.36,0.3636,0.354,0.3575,587504.0
2023-05-20,UFT/USDT,0.3585,0.3729,0.3533,0.3587,1341154.0
2023-05-21,UFT/USDT,0.3583,0.365,0.347,0.3515,725666.0
2023-05-22,UFT/USDT,0.3514,0.3514,0.3393,0.3445,809198.0
2023-05-23,UFT/USDT,0.3445,0.3522,0.339,0.3469,1510698.0
2023-05-24,UFT/USDT,0.3459,0.3523,0.3265,0.3319,1504779.0
2023-05-25,UFT/USDT,0.3319,0.3441,0.309,0.3334,3519047.0
2023-05-26,UFT/USDT,0.3331,0.3479,0.3289,0.3357,2307374.0
2023-05-27,UFT/USDT,0.3355,0.3382,0.3232,0.3265,1396202.0
2023-05-28,UFT/USDT,0.3264,0.3333,0.3224,0.3297,1219512.0
2023-05-29,UFT/USDT,0.3293,0.3431,0.3253,0.3363,2533316.0
2023-05-30,UFT/USDT,0.3367,0.3406,0.3261,0.328,1273365.0
2023-05-31,UFT/USDT,0.3278,0.329,0.3131,0.3167,700197.0
2023-06-01,UFT/USDT,0.3161,0.3194,0.3088,0.3099,1188506.0
2023-06-02,UFT/USDT,0.3099,0.323,0.3057,0.3183,1120105.0
2023-06-03,UFT/USDT,0.3181,0.339,0.312,0.3224,2535442.0
2023-06-04,UFT/USDT,0.3225,0.3318,0.3128,0.3144,1344040.0
2023-06-05,UFT/USDT,0.314,0.3149,0.278,0.2825,1913327.0
2023-06-06,UFT/USDT,0.282,0.2922,0.2704,0.2899,2328158.0
2023-06-07,UFT/USDT,0.2896,0.2904,0.2705,0.275,2287776.0
2023-06-08,UFT/USDT,0.275,0.2798,0.2647,0.275,1215415.0
2023-06-09,UFT/USDT,0.275,0.278,0.2657,0.2674,813659.0
2023-06-10,UFT/USDT,0.2686,0.2687,0.2228,0.2322,1656128.0
2023-06-11,UFT/USDT,0.2323,0.2536,0.2296,0.241,2439830.0
2023-06-12,UFT/USDT,0.2407,0.2408,0.2296,0.2385,1696544.0
2023-06-13,UFT/USDT,0.2389,0.2476,0.236,0.2379,876212.0
2023-06-14,UFT/USDT,0.2378,0.243,0.2222,0.2274,1091425.0
2023-06-15,UFT/USDT,0.2271,0.2282,0.2175,0.2252,1221450.0
2023-06-16,UFT/USDT,0.2253,0.2328,0.2225,0.2287,1069282.0
2023-06-17,UFT/USDT,0.2292,0.2375,0.2283,0.2329,955987.0
2023-06-18,UFT/USDT,0.233,0.2369,0.2229,0.2242,984132.0
2023-06-19,UFT/USDT,0.2241,0.2264,0.2197,0.2242,1314083.0
2023-06-20,UFT/USDT,0.2241,0.2377,0.2172,0.2324,1502048.0
2023-06-21,UFT/USDT,0.2328,0.2454,0.2312,0.2408,1496148.0
2023-06-22,UFT/USDT,0.2403,0.2462,0.2338,0.2344,1981036.0
2023-06-23,UFT/USDT,0.2348,0.273,0.2344,0.2628,7771163.0
2023-06-24,UFT/USDT,0.2624,0.2626,0.246,0.2494,2817937.0
2023-06-25,UFT/USDT,0.2494,0.258,0.247,0.249,1529487.0
2023-06-26,UFT/USDT,0.249,0.2491,0.2292,0.2317,1753403.0
2023-06-27,UFT/USDT,0.2321,0.24,0.2304,0.2333,2822376.0
2023-06-28,UFT/USDT,0.2332,0.256,0.2234,0.2401,8212651.0
2023-06-29,UFT/USDT,0.2401,0.256,0.2325,0.2338,4539929.0
2023-06-30,UFT/USDT,0.2339,0.2426,0.2196,0.2354,2551066.0
2023-07-01,UFT/USDT,0.2358,0.2387,0.2312,0.2355,1211379.0
2023-07-02,UFT/USDT,0.2355,0.2363,0.2264,0.2305,1143113.0
2023-07-03,UFT/USDT,0.2308,0.2533,0.2304,0.2436,4765666.0
2023-07-04,UFT/USDT,0.2434,0.2796,0.238,0.2502,10467069.0
2023-07-05,UFT/USDT,0.2501,0.2517,0.235,0.2412,2075879.0
2023-07-06,UFT/USDT,0.2412,0.2666,0.24,0.2609,6678385.0
2023-07-07,UFT/USDT,0.2609,0.275,0.2483,0.2665,10065039.0
2023-07-08,UFT/USDT,0.2649,0.34,0.2595,0.2947,30968860.0
2023-07-09,UFT/USDT,0.2948,0.3071,0.266,0.2907,12039560.0
2023-07-10,UFT/USDT,0.2905,0.2924,0.27,0.2844,3511291.0
2023-07-11,UFT/USDT,0.2844,0.2934,0.2735,0.2791,2495765.0
2023-07-12,UFT/USDT,0.279,0.3151,0.2735,0.2935,9234873.0
2023-07-13,UFT/USDT,0.2925,0.322,0.2861,0.2893,7076393.0
2023-07-14,UFT/USDT,0.29,0.2943,0.27,0.2767,2602880.0
2023-07-15,UFT/USDT,0.2771,0.2884,0.2718,0.2793,2075753.0
2023-07-16,UFT/USDT,0.2795,0.2854,0.2751,0.2797,1660919.0
2023-07-17,UFT/USDT,0.2806,0.2889,0.272,0.2767,1340180.0
2023-07-18,UFT/USDT,0.2767,0.2791,0.2621,0.2689,962703.0
2023-07-19,UFT/USDT,0.2689,0.2785,0.268,0.2691,592346.0
2023-07-20,UFT/USDT,0.2687,0.279,0.267,0.2755,1206020.0
2023-07-21,UFT/USDT,0.2756,0.2829,0.27,0.27,1139029.0
2023-07-22,UFT/USDT,0.2702,0.2758,0.2681,0.2694,727530.0
