time,symbol,open,high,low,close,volume
2025-09-15,ZKC/USDT,0.29,1.884,0.29,0.9394,233866237.3
2025-09-16,ZKC/USDT,0.9391,0.9528,0.7338,0.8054,114696984.4
2025-09-17,ZKC/USDT,0.8055,0.8265,0.7135,0.7735,53304762.7
2025-09-18,ZKC/USDT,0.7738,0.802,0.7404,0.775,45976889.9
2025-09-19,ZKC/USDT,0.7747,0.7818,0.7119,0.7352,25764073.0
2025-09-20,ZKC/USDT,0.7354,0.866,0.7354,0.8259,55003661.9
2025-09-21,ZKC/USDT,0.8254,0.9376,0.8111,0.8535,57490287.1
2025-09-22,ZKC/USDT,0.8538,0.8573,0.643,0.6657,35651813.4
2025-09-23,ZKC/USDT,0.6657,0.7532,0.6151,0.7235,50656909.7
2025-09-24,ZKC/USDT,0.7231,0.7517,0.6575,0.6704,31234782.5
2025-09-25,ZKC/USDT,0.6703,0.6703,0.5529,0.5637,48258237.5
2025-09-26,ZKC/USDT,0.5636,0.5797,0.5239,0.5555,54457572.7
2025-09-27,ZKC/USDT,0.5555,0.5857,0.5408,0.5609,91842501.5
2025-09-28,ZKC/USDT,0.5608,0.5649,0.5284,0.5617,197860861.4
2025-09-29,ZKC/USDT,0.5617,0.6155,0.4852,0.492,1527191609.8
2025-09-30,ZKC/USDT,0.4919,0.4919,0.4174,0.4362,33916153.7
2025-10-01,ZKC/USDT,0.4362,0.4609,0.4243,0.446,19526103.4
