Date,Symbol,Open,High,Low,Close,Volume
2025-06-05,1000000BOBUSDT,0.1104200,0.1172600,0.0890800,0.0977600,1011258628
2025-06-06,1000000BOBUSDT,0.0977100,0.1240600,0.0927300,0.1179900,1040072460
2025-06-07,1000000BOBUSDT,0.1179900,0.1263000,0.0932200,0.1080800,1307240707
2025-06-08,1000000BOBUSDT,0.1080800,0.1095000,0.0970100,0.1030400,654556662
2025-06-09,1000000BOBUSDT,0.1031100,0.1041800,0.0981100,0.1014000,326951948
2025-06-10,1000000BOBUSDT,0.1013800,0.1030100,0.0598600,0.0644300,1822873109
2025-06-11,1000000BOBUSDT,0.0643900,0.0655000,0.0502500,0.0571700,1697234101
2025-06-12,1000000BOBUSDT,0.0572000,0.0740000,0.0521900,0.0610900,4588901117
2025-06-13,1000000BOBUSDT,0.0610900,0.0625500,0.0494400,0.0577600,1726115784
2025-06-14,1000000BOBUSDT,0.0577600,0.0692800,0.0558800,0.0598100,2134622308
2025-06-15,1000000BOBUSDT,0.0598000,0.0604300,0.0489300,0.0523400,1376892283
2025-06-16,1000000BOBUSDT,0.0523700,0.0576300,0.0494200,0.0529600,1033460543
2025-06-17,1000000BOBUSDT,0.0529400,0.0563400,0.0504600,0.0522900,603082021
2025-06-18,1000000BOBUSDT,0.0523100,0.0559200,0.0511600,0.0554200,604113084
2025-06-19,1000000BOBUSDT,0.0554200,0.0559700,0.0403300,0.0410300,1083829604
2025-06-20,1000000BOBUSDT,0.0410400,0.0415000,0.0325900,0.0328400,1681874443
2025-06-21,1000000BOBUSDT,0.0328600,0.0385000,0.0320000,0.0372700,1220010412
2025-06-22,1000000BOBUSDT,0.0372700,0.0410000,0.0343600,0.0346000,933097875
2025-06-23,1000000BOBUSDT,0.0346300,0.0422800,0.0342100,0.0413100,530261815
2025-06-24,1000000BOBUSDT,0.0413300,0.0418800,0.0346200,0.0363700,474311521
2025-06-25,1000000BOBUSDT,0.0363800,0.0371800,0.0332500,0.0340300,299845143
2025-06-26,1000000BOBUSDT,0.0340200,0.0350900,0.0278100,0.0315600,566762309
2025-06-27,1000000BOBUSDT,0.0315600,0.0364400,0.0307200,0.0353100,1113712131
2025-06-28,1000000BOBUSDT,0.0353100,0.0384100,0.0337500,0.0367400,754430274
2025-06-29,1000000BOBUSDT,0.0367400,0.0510000,0.0349500,0.0501800,610791899
2025-06-30,1000000BOBUSDT,0.0501600,0.0563900,0.0416800,0.0543700,3284793270
2025-07-01,1000000BOBUSDT,0.0543800,0.0566800,0.0422600,0.0543100,1435667810
2025-07-02,1000000BOBUSDT,0.0543100,0.0556100,0.0465500,0.0527700,1007350156
2025-07-03,1000000BOBUSDT,0.0527900,0.0545100,0.0483700,0.0514600,496859466
2025-07-04,1000000BOBUSDT,0.0514600,0.0607800,0.0505000,0.0596300,755438770
2025-07-05,1000000BOBUSDT,0.0596400,0.0704100,0.0580800,0.0670000,4233094663
2025-07-06,1000000BOBUSDT,0.0670100,0.0703900,0.0639200,0.0669700,1448971232
2025-07-07,1000000BOBUSDT,0.0669000,0.0735500,0.0646700,0.0725200,956203334
2025-07-08,1000000BOBUSDT,0.0725200,0.0896000,0.0710200,0.0872500,2719616608
2025-07-09,1000000BOBUSDT,0.0871900,0.0880100,0.0647100,0.0844800,1823273200
2025-07-10,1000000BOBUSDT,0.0844500,0.0877300,0.0736100,0.0796100,843622645
2025-07-11,1000000BOBUSDT,0.0796100,0.0849000,0.0715600,0.0740600,479692378
2025-07-12,1000000BOBUSDT,0.0740700,0.0822400,0.0661400,0.0768000,360364819
2025-07-13,1000000BOBUSDT,0.0768000,0.0798500,0.0725600,0.0741700,239134516
2025-07-14,1000000BOBUSDT,0.0742000,0.0775700,0.0702200,0.0713600,204024868
2025-07-15,1000000BOBUSDT,0.0714000,0.0731900,0.0589500,0.0654800,337432902
2025-07-16,1000000BOBUSDT,0.0654500,0.0708700,0.0569900,0.0596000,397947372
2025-07-17,1000000BOBUSDT,0.0596000,0.0615000,0.0488500,0.0496900,422036542
2025-07-18,1000000BOBUSDT,0.0496600,0.0556600,0.0480500,0.0534100,406185333
2025-07-19,1000000BOBUSDT,0.0534400,0.0648700,0.0500000,0.0552300,709711948
2025-07-20,1000000BOBUSDT,0.0552300,0.0610800,0.0542300,0.0605800,217018471
2025-07-21,1000000BOBUSDT,0.0605500,0.0643900,0.0581000,0.0621600,232319845
2025-07-22,1000000BOBUSDT,0.0621600,0.0624100,0.0558100,0.0577300,190001227
2025-07-23,1000000BOBUSDT,0.0577400,0.0582400,0.0511500,0.0539400,238622206
