Date,Symbol,Open,High,Low,Close,Volume
2023-12-18,ACEUSDT,13.500000,16.356000,12.247700,13.902300,50490125.67
2023-12-19,ACEUSDT,13.907000,15.131200,12.402900,13.297200,36443853.26
2023-12-20,ACEUSDT,13.304200,13.780000,12.025000,13.395400,27011712.86
2023-12-21,ACEUSDT,13.394700,17.300000,12.649400,15.400500,56945817.33
2023-12-22,ACEUSDT,15.402100,16.345000,12.420600,13.282300,29552000.04
2023-12-23,ACEUSDT,13.282300,14.032400,12.390000,13.326300,18736703.08
2023-12-24,ACEUSDT,13.328700,13.562500,12.050000,12.688800,12303032.99
2023-12-25,ACEUSDT,12.689000,14.263000,12.500000,13.727700,16070449.25
2023-12-26,ACEUSDT,13.725900,14.263000,10.200000,11.745400,18114256.57
2023-12-27,ACEUSDT,11.744900,12.000000,10.659500,11.182700,15386044.93
2023-12-28,ACEUSDT,11.178100,11.404800,10.300000,10.737600,14773817.08
2023-12-29,ACEUSDT,10.739200,11.225700,10.034500,11.125100,13615162.03
2023-12-30,ACEUSDT,11.124700,11.267500,10.236600,10.326600,7680154.23
2023-12-31,ACEUSDT,10.326400,10.710000,8.377100,9.335000,10383701.51
2024-01-01,ACEUSDT,9.334100,9.676800,8.950000,9.532800,9611887.11
2024-01-02,ACEUSDT,9.532800,11.369700,9.291400,9.795400,22128071.08
2024-01-03,ACEUSDT,9.794300,10.080000,6.800000,8.349100,19167571.87
2024-01-04,ACEUSDT,8.348700,9.027900,7.840000,8.697100,10159557.18
2024-01-05,ACEUSDT,8.697100,8.937600,7.788800,8.311700,10009201.39
2024-01-06,ACEUSDT,8.315800,9.745800,7.501500,9.037900,17778842.60
2024-01-07,ACEUSDT,9.038000,10.184600,8.252700,8.426200,23105997.86
2024-01-08,ACEUSDT,8.428000,8.571600,7.541400,8.398400,11589503.65
2024-01-09,ACEUSDT,8.398400,8.543400,7.100000,7.551500,10921437.05
2024-01-10,ACEUSDT,7.551200,8.276000,7.050000,8.160200,9796703.17
2024-01-11,ACEUSDT,8.159600,9.109500,8.001000,8.845200,11873310.12
2024-01-12,ACEUSDT,8.841900,9.380500,8.139000,9.352700,11986884.78
2024-01-13,ACEUSDT,9.349900,9.580600,8.317400,8.847300,12056034.34
2024-01-14,ACEUSDT,8.847200,10.087500,8.714700,9.305300,16734862.99
2024-01-15,ACEUSDT,9.306100,10.591200,9.175300,10.042800,15245346.62
2024-01-16,ACEUSDT,10.042900,10.252500,9.200000,9.458900,10838559.83
2024-01-17,ACEUSDT,9.457600,9.720000,8.715300,8.933600,8574820.52
2024-01-18,ACEUSDT,8.934400,8.936400,8.000000,8.146900,7928129.09
2024-01-19,ACEUSDT,8.145600,8.297900,7.354300,8.132000,8570833.53
2024-01-20,ACEUSDT,8.130400,8.621600,7.888900,8.351800,5432083.33
2024-01-21,ACEUSDT,8.351000,8.771700,8.216000,8.274400,4385904.06
2024-01-22,ACEUSDT,8.274400,8.329200,7.744300,8.021300,7059865.02
2024-01-23,ACEUSDT,8.020500,8.642600,7.180000,7.816500,13761018.09
2024-01-24,ACEUSDT,7.817500,9.248100,7.650000,9.189800,20301755.98
2024-01-25,ACEUSDT,9.189800,9.540000,8.716300,8.861600,17807211.56
2024-01-26,ACEUSDT,8.862700,9.752300,8.808100,9.540000,11363474.91
2024-01-27,ACEUSDT,9.540800,9.885400,9.300000,9.467300,8749673.08
2024-01-28,ACEUSDT,9.465200,9.669000,9.070000,9.211900,7355527.74
2024-01-29,ACEUSDT,9.211800,9.665000,9.124400,9.406300,7155723.81
2024-01-30,ACEUSDT,9.407200,9.810000,9.177900,9.257700,7683116.11
2024-01-31,ACEUSDT,9.256000,9.650000,9.018900,9.478200,10580303.82
2024-02-01,ACEUSDT,9.475000,9.645000,9.114500,9.422300,10956038.13
2024-02-02,ACEUSDT,9.421300,9.690000,9.250000,9.349200,6693427.50
2024-02-03,ACEUSDT,9.349300,9.549600,9.110000,9.170000,3479356.38
2024-02-04,ACEUSDT,9.169800,9.192700,8.020000,8.275700,9825784.41
2024-02-05,ACEUSDT,8.276900,8.468900,8.008300,8.311000,4856709.64
2024-02-06,ACEUSDT,8.312300,8.680000,8.232200,8.312800,4130512.60
2024-02-07,ACEUSDT,8.314500,8.584000,8.155000,8.480000,2315753.46
2024-02-08,ACEUSDT,8.479600,8.604300,8.275000,8.312000,3052095.05
2024-02-09,ACEUSDT,8.312200,8.619900,8.232500,8.565000,3712054.75
2024-02-10,ACEUSDT,8.563900,8.939900,8.385800,8.660800,3921945.75
2024-02-11,ACEUSDT,8.661500,9.560300,8.614600,9.295800,7882209.76
2024-02-12,ACEUSDT,9.292700,9.548400,8.803700,9.431700,7074313.31
2024-02-13,ACEUSDT,9.433400,9.789400,8.822300,9.302000,7040021.15
2024-02-14,ACEUSDT,9.302300,10.980000,9.217400,10.752600,17640092.77
2024-02-15,ACEUSDT,10.753300,10.979900,10.060000,10.531200,9506572.94
2024-02-16,ACEUSDT,10.531500,11.319900,10.105900,10.430000,9291281.64
2024-02-17,ACEUSDT,10.430000,10.470300,9.453400,10.028400,6953820.61
2024-02-18,ACEUSDT,10.028400,10.840000,9.941900,10.265800,7054322.55
2024-02-19,ACEUSDT,10.268200,11.385300,10.250000,11.329800,11339427.30
2024-02-20,ACEUSDT,11.329200,11.450000,9.510000,10.406000,11039259.67
2024-02-21,ACEUSDT,10.406400,10.492800,9.392400,9.825700,7223989.25
2024-02-22,ACEUSDT,9.825700,10.398300,9.461200,10.043100,5596428.36
2024-02-23,ACEUSDT,10.043100,10.519400,9.500000,9.923200,6310825.46
2024-02-24,ACEUSDT,9.922900,10.340800,9.585800,10.160000,3132389.21
2024-02-25,ACEUSDT,10.160200,10.679800,9.855000,10.420000,4801367.51
2024-02-26,ACEUSDT,10.422000,11.865000,10.372000,11.584500,16385299.96
2024-02-27,ACEUSDT,11.584800,12.256000,11.092200,12.030600,12952970.32
2024-02-28,ACEUSDT,12.028800,12.557700,10.000000,11.489500,12857479.27
2024-02-29,ACEUSDT,11.489600,12.602700,11.381800,11.976400,10663211.31
2024-03-01,ACEUSDT,11.977300,12.812000,11.910000,12.421800,6628299.79
2024-03-02,ACEUSDT,12.424200,13.633000,12.100100,13.150000,8650167.44
2024-03-03,ACEUSDT,13.152400,13.427200,11.420000,13.046000,8376788.86
2024-03-04,ACEUSDT,13.045900,14.332200,12.750000,13.437300,11161883.44
2024-03-05,ACEUSDT,13.436700,13.793300,9.891900,11.804400,13745900.72
2024-03-06,ACEUSDT,11.804900,12.450000,11.227200,12.253600,8360097.71
2024-03-07,ACEUSDT,12.255200,13.149200,12.234800,13.057300,6807558.26
2024-03-08,ACEUSDT,13.062200,13.187800,12.000000,12.491200,6315832.21
2024-03-09,ACEUSDT,12.490800,13.698800,12.304500,13.074300,10055524.96
2024-03-10,ACEUSDT,13.072800,14.057600,12.780000,13.388200,10651644.62
2024-03-11,ACEUSDT,13.389300,14.285000,12.333300,13.081600,9592254.67
2024-03-12,ACEUSDT,13.086000,13.320000,11.565400,12.574200,8110401.07
2024-03-13,ACEUSDT,12.574200,12.772100,11.950000,12.404700,3959053.89
2024-03-14,ACEUSDT,12.403800,12.771800,11.350000,12.164400,6986524.45
2024-03-15,ACEUSDT,12.165800,12.248900,10.279400,11.124600,8182538.52
2024-03-16,ACEUSDT,11.125400,11.846000,10.260000,10.594000,7429767.34
2024-03-17,ACEUSDT,10.595300,10.907200,9.864700,10.715200,4761763.65
2024-03-18,ACEUSDT,10.716300,10.800900,9.725000,9.944200,3998502.75
2024-03-19,ACEUSDT,9.944200,10.101600,8.500000,8.935900,7769003.96
2024-03-20,ACEUSDT,8.935100,9.914000,8.581700,9.873400,5407734.90
2024-03-21,ACEUSDT,9.871900,10.472000,9.551000,10.368700,6336674.18
2024-03-22,ACEUSDT,10.372200,10.504800,9.450100,9.791800,4898635.97
2024-03-23,ACEUSDT,9.792500,10.316700,9.669200,10.116700,3218008.12
2024-03-24,ACEUSDT,10.115200,10.400000,9.800100,10.325100,2892123.30
2024-03-25,ACEUSDT,10.323300,10.641000,10.150000,10.522300,4066564.47
2024-03-26,ACEUSDT,10.522400,11.262000,10.455700,10.902300,5493913.52
2024-03-27,ACEUSDT,10.902600,11.378200,10.460000,11.027000,6323340.31
2024-03-28,ACEUSDT,11.027000,11.162000,10.326200,10.416500,3742382.43
2024-03-29,ACEUSDT,10.417300,10.429700,9.742500,9.932300,3938054.39
2024-03-30,ACEUSDT,9.933300,10.001300,9.631100,9.710500,2239793.37
2024-03-31,ACEUSDT,9.712500,9.895300,9.648800,9.803200,1777856.25
2024-04-01,ACEUSDT,9.803200,9.891000,8.888000,9.246800,6898066.15
2024-04-02,ACEUSDT,9.247000,9.296400,8.434900,8.649600,5670654.37
2024-04-03,ACEUSDT,8.650300,8.857800,8.209200,8.433100,3372833.12
2024-04-04,ACEUSDT,8.434200,8.805800,8.245200,8.637200,2621890.97
2024-04-05,ACEUSDT,8.637200,8.697200,8.000000,8.399500,2948389.63
2024-04-06,ACEUSDT,8.399400,8.720000,8.322500,8.625300,1628488.67
2024-04-07,ACEUSDT,8.626400,8.868800,8.567400,8.724000,1865104.94
2024-04-08,ACEUSDT,8.724000,9.122900,8.544300,9.089100,2269773.94
2024-04-09,ACEUSDT,9.087800,9.369700,8.611400,8.931000,7642398.08
2024-04-10,ACEUSDT,8.930800,9.042200,8.031100,8.647500,5430255.07
2024-04-11,ACEUSDT,8.648700,8.814100,8.267300,8.369900,2561573.34
2024-04-12,ACEUSDT,8.370100,8.564500,4.636400,5.981000,13029164.43
2024-04-13,ACEUSDT,5.980900,6.324600,4.250000,5.051600,20553632.89
2024-04-14,ACEUSDT,5.050700,5.520100,4.795700,5.419300,9842179.80
2024-04-15,ACEUSDT,5.419600,5.600200,4.892100,5.086500,6203159.60
2024-04-16,ACEUSDT,5.087100,5.520700,4.832900,5.468500,8776001.47
2024-04-17,ACEUSDT,5.467800,5.796400,5.170400,5.549700,8745739.84
2024-04-18,ACEUSDT,5.549200,5.653700,5.292600,5.459700,4924145.61
2024-04-19,ACEUSDT,5.459700,5.587200,4.914900,5.374800,5935468.85
2024-04-20,ACEUSDT,5.374400,6.093300,5.290200,5.979000,3159054.77
2024-04-21,ACEUSDT,5.978300,6.054400,5.742600,5.820900,2919699.91
2024-04-22,ACEUSDT,5.820300,6.059900,5.780100,5.933300,2925008.26
2024-04-23,ACEUSDT,5.932700,6.193400,5.758800,5.940500,5232996.14
2024-04-24,ACEUSDT,5.939100,6.148500,5.424800,5.499100,3605257.87
2024-04-25,ACEUSDT,5.498700,5.761500,5.246300,5.607500,3339016.46
2024-04-26,ACEUSDT,5.606600,5.885500,5.401000,5.740300,5313531.18
2024-04-27,ACEUSDT,5.738800,5.803200,5.341500,5.582700,4693212.01
2024-04-28,ACEUSDT,5.583100,5.730200,5.381200,5.404100,3007697.53
2024-04-29,ACEUSDT,5.403700,5.436500,5.066200,5.310900,3712772.76
2024-04-30,ACEUSDT,5.312300,5.381300,4.529200,4.730100,4798979.88
2024-05-01,ACEUSDT,4.729600,4.944300,4.413500,4.823700,4068169.34
2024-05-02,ACEUSDT,4.823600,4.947200,4.661500,4.880700,2272220.36
2024-05-03,ACEUSDT,4.881000,5.269300,4.779900,5.203900,3033887.23
2024-05-04,ACEUSDT,5.203900,5.232500,5.090900,5.100200,1954523.59
2024-05-05,ACEUSDT,5.099800,5.481300,4.960100,5.294000,3764267.84
2024-05-06,ACEUSDT,5.292900,5.466700,5.116300,5.150600,3457880.60
2024-05-07,ACEUSDT,5.151300,5.257600,4.881900,4.890000,3253372.73
2024-05-08,ACEUSDT,4.890000,5.800000,4.807900,5.264100,23995368.43
2024-05-09,ACEUSDT,5.264100,5.499900,5.132900,5.459200,9034640.39
2024-05-10,ACEUSDT,5.458600,5.521100,4.909800,5.202000,6688753.31
2024-05-11,ACEUSDT,5.201200,5.400700,5.060000,5.094600,4128964.39
2024-05-12,ACEUSDT,5.093100,5.138700,4.910100,4.960200,2511819.11
2024-05-13,ACEUSDT,4.960100,5.080400,4.577300,4.864000,5287898.05
2024-05-14,ACEUSDT,4.863000,4.892700,4.522500,4.565800,3877143.97
2024-05-15,ACEUSDT,4.567200,4.915300,4.351100,4.883900,5255467.01
2024-05-16,ACEUSDT,4.883400,4.963500,4.580900,4.840800,3480480.04
2024-05-17,ACEUSDT,4.841000,5.001600,4.749200,4.903600,2637763.51
2024-05-18,ACEUSDT,4.903300,4.997900,4.735100,4.873000,2234276.10
2024-05-19,ACEUSDT,4.873000,5.011300,4.468200,4.510600,3126647.43
