Date,Symbol,Open,High,Low,Close,Volume
2023-02-16,AGIXUSDT,0.4465000,0.4700000,0.3978000,0.4044000,38639133
2023-02-17,AGIXUSDT,0.4045000,0.4460000,0.4028000,0.4374000,82911909
2023-02-18,AGIXUSDT,0.4376000,0.4633000,0.3900000,0.4200000,70503952
2023-02-19,AGIXUSDT,0.4199000,0.4321000,0.3910000,0.4005000,72165008
2023-02-20,AGIXUSDT,0.4005000,0.4110000,0.3774000,0.3892000,94144937
2023-02-21,AGIXUSDT,0.3893000,0.4753000,0.3840000,0.4202000,396731488
2023-02-22,AGIXUSDT,0.4201000,0.4209000,0.3706000,0.4000000,176548430
2023-02-23,AGIXUSDT,0.3999000,0.4428000,0.3891000,0.4021000,170446157
2023-02-24,AGIXUSDT,0.4020000,0.4518000,0.3975000,0.4474000,473308540
2023-02-25,AGIXUSDT,0.4473000,0.4614000,0.3803000,0.4050000,405234457
2023-02-26,AGIXUSDT,0.4050000,0.4249000,0.3962000,0.4165000,150999245
2023-02-27,AGIXUSDT,0.4165000,0.4488000,0.4060000,0.4428000,340268926
2023-02-28,AGIXUSDT,0.4428000,0.5500000,0.4354000,0.4915000,1643896150
2023-03-01,AGIXUSDT,0.4916000,0.5600000,0.4836000,0.5409000,1148266599
2023-03-02,AGIXUSDT,0.5408000,0.5553000,0.4936000,0.5292000,654505458
2023-03-03,AGIXUSDT,0.5292000,0.5296000,0.4309000,0.4595000,715252071
2023-03-04,AGIXUSDT,0.4595000,0.4854000,0.4226000,0.4762000,944046743
2023-03-05,AGIXUSDT,0.4762000,0.4941000,0.4585000,0.4656000,769485873
2023-03-06,AGIXUSDT,0.4655000,0.4655000,0.4282000,0.4400000,474997514
2023-03-07,AGIXUSDT,0.4401000,0.4500000,0.3974000,0.4147000,510636949
2023-03-08,AGIXUSDT,0.4147000,0.4200000,0.3490000,0.3614000,611421614
2023-03-09,AGIXUSDT,0.3613000,0.3848000,0.3176000,0.3299000,770766479
2023-03-10,AGIXUSDT,0.3299000,0.3409000,0.2849000,0.3351000,967261997
2023-03-11,AGIXUSDT,0.3350000,0.3386000,0.2932000,0.3127000,580113016
2023-03-12,AGIXUSDT,0.3126000,0.3850000,0.3040000,0.3767000,701347931
2023-03-13,AGIXUSDT,0.3766000,0.4031000,0.3424000,0.3894000,724712953
2023-03-14,AGIXUSDT,0.3893000,0.5280000,0.3729000,0.4830000,1432589680
2023-03-15,AGIXUSDT,0.4830000,0.5651000,0.4113000,0.4548000,2304677786
2023-03-16,AGIXUSDT,0.4547000,0.5149000,0.4473000,0.4926000,1117324397
2023-03-17,AGIXUSDT,0.4926000,0.5588000,0.4763000,0.5582000,1036325189
2023-03-18,AGIXUSDT,0.5581000,0.5912000,0.4981000,0.5053000,790828464
2023-03-19,AGIXUSDT,0.5051000,0.5334000,0.4861000,0.5169000,616961107
2023-03-20,AGIXUSDT,0.5168000,0.5298000,0.4495000,0.4563000,572394863
2023-03-21,AGIXUSDT,0.4563000,0.4970000,0.4450000,0.4752000,465254731
2023-03-22,AGIXUSDT,0.4752000,0.5256000,0.4567000,0.4854000,800841245
2023-03-23,AGIXUSDT,0.4855000,0.5080000,0.4696000,0.4897000,457201661
2023-03-24,AGIXUSDT,0.4899000,0.5090000,0.4660000,0.4797000,395731037
2023-03-25,AGIXUSDT,0.4798000,0.4857000,0.4256000,0.4295000,302504756
2023-03-26,AGIXUSDT,0.4296000,0.4575000,0.4273000,0.4464000,262415282
2023-03-27,AGIXUSDT,0.4464000,0.4469000,0.3903000,0.4022000,410602413
2023-03-28,AGIXUSDT,0.4023000,0.4228000,0.3864000,0.4198000,338810502
2023-03-29,AGIXUSDT,0.4199000,0.4536000,0.4158000,0.4371000,378794805
2023-03-30,AGIXUSDT,0.4371000,0.4479000,0.4025000,0.4144000,325890634
2023-03-31,AGIXUSDT,0.4145000,0.4267000,0.3980000,0.4222000,243929803
2023-04-01,AGIXUSDT,0.4222000,0.4519000,0.4178000,0.4196000,235522766
2023-04-02,AGIXUSDT,0.4196000,0.4253000,0.4009000,0.4110000,146853794
2023-04-03,AGIXUSDT,0.4109000,0.4186000,0.3906000,0.4103000,202863699
2023-04-04,AGIXUSDT,0.4104000,0.4155000,0.4018000,0.4108000,131903508
2023-04-05,AGIXUSDT,0.4107000,0.4288000,0.4032000,0.4138000,169117676
2023-04-06,AGIXUSDT,0.4137000,0.4147000,0.4004000,0.4047000,96090350
2023-04-07,AGIXUSDT,0.4048000,0.4089000,0.3901000,0.3960000,130898313
2023-04-08,AGIXUSDT,0.3960000,0.3991000,0.3723000,0.3779000,155187748
2023-04-09,AGIXUSDT,0.3779000,0.4212000,0.3667000,0.4023000,271056517
2023-04-10,AGIXUSDT,0.4023000,0.4167000,0.3854000,0.4140000,242617671
2023-04-11,AGIXUSDT,0.4140000,0.4147000,0.4018000,0.4045000,166586046
2023-04-12,AGIXUSDT,0.4045000,0.4069000,0.3787000,0.3940000,205831842
2023-04-13,AGIXUSDT,0.3941000,0.4080000,0.3864000,0.4027000,146773149
2023-04-14,AGIXUSDT,0.4028000,0.4504000,0.4024000,0.4427000,414439792
2023-04-15,AGIXUSDT,0.4428000,0.4601000,0.4253000,0.4391000,314595780
2023-04-16,AGIXUSDT,0.4392000,0.4449000,0.4236000,0.4392000,150623621
2023-04-17,AGIXUSDT,0.4393000,0.4403000,0.4168000,0.4258000,185411112
2023-04-18,AGIXUSDT,0.4258000,0.4377000,0.4150000,0.4331000,162160668
2023-04-19,AGIXUSDT,0.4332000,0.4450000,0.3701000,0.3815000,267859708
2023-04-20,AGIXUSDT,0.3814000,0.3850000,0.3551000,0.3637000,221025933
2023-04-21,AGIXUSDT,0.3637000,0.3679000,0.3216000,0.3414000,218681967
2023-04-22,AGIXUSDT,0.3414000,0.3527000,0.3351000,0.3512000,94180573
2023-04-23,AGIXUSDT,0.3512000,0.3512000,0.3313000,0.3501000,97537350
2023-04-24,AGIXUSDT,0.3500000,0.3563000,0.3326000,0.3446000,118390962
2023-04-25,AGIXUSDT,0.3446000,0.3579000,0.3315000,0.3570000,120627295
2023-04-26,AGIXUSDT,0.3569000,0.3668000,0.3251000,0.3417000,172883116
2023-04-27,AGIXUSDT,0.3418000,0.3539000,0.3352000,0.3480000,127001440
2023-04-28,AGIXUSDT,0.3479000,0.3489000,0.3341000,0.3402000,83171217
2023-04-29,AGIXUSDT,0.3403000,0.3479000,0.3368000,0.3440000,90251109
2023-04-30,AGIXUSDT,0.3440000,0.3440000,0.3266000,0.3272000,108866056
2023-05-01,AGIXUSDT,0.3273000,0.3296000,0.3050000,0.3099000,146293962
2023-05-02,AGIXUSDT,0.3100000,0.3172000,0.3052000,0.3148000,101981611
2023-05-03,AGIXUSDT,0.3147000,0.3290000,0.2961000,0.3255000,204655042
2023-05-04,AGIXUSDT,0.3254000,0.3255000,0.3060000,0.3097000,122539648
2023-05-05,AGIXUSDT,0.3097000,0.3127000,0.2993000,0.3049000,157595628
2023-05-06,AGIXUSDT,0.3048000,0.3090000,0.2644000,0.2784000,346033493
2023-05-07,AGIXUSDT,0.2785000,0.2848000,0.2724000,0.2786000,164154410
2023-05-08,AGIXUSDT,0.2785000,0.2818000,0.2244000,0.2362000,354449193
2023-05-09,AGIXUSDT,0.2362000,0.2453000,0.2336000,0.2425000,188178237
2023-05-10,AGIXUSDT,0.2426000,0.2614000,0.2350000,0.2563000,276791001
2023-05-11,AGIXUSDT,0.2564000,0.2566000,0.2292000,0.2377000,196082111
2023-05-12,AGIXUSDT,0.2377000,0.2571000,0.2262000,0.2551000,201700905
2023-05-13,AGIXUSDT,0.2551000,0.2564000,0.2435000,0.2448000,135241121
2023-05-14,AGIXUSDT,0.2447000,0.2523000,0.2400000,0.2454000,98898279
2023-05-15,AGIXUSDT,0.2454000,0.2669000,0.2391000,0.2543000,201484265
2023-05-16,AGIXUSDT,0.2543000,0.2664000,0.2507000,0.2565000,192359811
2023-05-17,AGIXUSDT,0.2566000,0.2740000,0.2475000,0.2688000,199482118
2023-05-18,AGIXUSDT,0.2687000,0.2712000,0.2497000,0.2596000,147967023
2023-05-19,AGIXUSDT,0.2597000,0.3255000,0.2567000,0.3049000,1596564366
2023-05-20,AGIXUSDT,0.3049000,0.3127000,0.2942000,0.2974000,1221320276
2023-05-21,AGIXUSDT,0.2973000,0.2974000,0.2750000,0.2801000,508857264
2023-05-22,AGIXUSDT,0.2802000,0.2825000,0.2630000,0.2658000,370345078
2023-05-23,AGIXUSDT,0.2658000,0.2744000,0.2603000,0.2699000,271608970
2023-05-24,AGIXUSDT,0.2700000,0.2703000,0.2520000,0.2644000,302417607
2023-05-25,AGIXUSDT,0.2644000,0.3082000,0.2500000,0.2865000,1161808226
2023-05-26,AGIXUSDT,0.2866000,0.3037000,0.2684000,0.2934000,1116715709
2023-05-27,AGIXUSDT,0.2935000,0.3190000,0.2899000,0.3097000,927885603
2023-05-28,AGIXUSDT,0.3097000,0.3297000,0.2941000,0.3153000,670234259
2023-05-29,AGIXUSDT,0.3153000,0.3183000,0.2971000,0.3000000,322949922
2023-05-30,AGIXUSDT,0.3000000,0.3339000,0.2925000,0.3094000,582694395
2023-05-31,AGIXUSDT,0.3095000,0.3148000,0.2963000,0.3014000,365971111
2023-06-01,AGIXUSDT,0.3014000,0.3059000,0.2908000,0.2927000,236964123
2023-06-02,AGIXUSDT,0.2927000,0.3015000,0.2842000,0.2987000,216094700
2023-06-03,AGIXUSDT,0.2986000,0.2986000,0.2875000,0.2917000,106843657
2023-06-04,AGIXUSDT,0.2917000,0.2994000,0.2860000,0.2928000,109590058
2023-06-05,AGIXUSDT,0.2927000,0.2940000,0.2404000,0.2581000,313177009
2023-06-06,AGIXUSDT,0.2581000,0.2746000,0.2544000,0.2712000,203786716
2023-06-07,AGIXUSDT,0.2713000,0.2779000,0.2488000,0.2548000,223927873
2023-06-08,AGIXUSDT,0.2548000,0.2619000,0.2449000,0.2552000,126679557
2023-06-09,AGIXUSDT,0.2551000,0.2567000,0.2452000,0.2468000,118159083
2023-06-10,AGIXUSDT,0.2468000,0.2476000,0.1692000,0.1998000,467490716
2023-06-11,AGIXUSDT,0.1997000,0.2064000,0.1938000,0.1998000,164408437
2023-06-12,AGIXUSDT,0.1999000,0.2045000,0.1914000,0.2003000,192138751
2023-06-13,AGIXUSDT,0.2004000,0.2179000,0.1979000,0.2070000,282246380
2023-06-14,AGIXUSDT,0.2070000,0.2098000,0.1834000,0.1935000,219884229
2023-06-15,AGIXUSDT,0.1934000,0.2051000,0.1859000,0.2008000,218050786
2023-06-16,AGIXUSDT,0.2009000,0.2127000,0.1944000,0.2077000,443737464
2023-06-17,AGIXUSDT,0.2077000,0.2265000,0.2051000,0.2199000,294425600
2023-06-18,AGIXUSDT,0.2200000,0.2277000,0.2115000,0.2150000,265022375
2023-06-19,AGIXUSDT,0.2151000,0.2218000,0.2089000,0.2185000,220646226
2023-06-20,AGIXUSDT,0.2186000,0.2278000,0.2096000,0.2272000,211539754
2023-06-21,AGIXUSDT,0.2272000,0.2411000,0.2253000,0.2350000,330388785
2023-06-22,AGIXUSDT,0.2350000,0.2634000,0.2330000,0.2420000,558979833
2023-06-23,AGIXUSDT,0.2419000,0.2607000,0.2401000,0.2496000,321732863
2023-06-24,AGIXUSDT,0.2496000,0.2521000,0.2329000,0.2393000,194044544
2023-06-25,AGIXUSDT,0.2393000,0.2525000,0.2373000,0.2427000,158110146
2023-06-26,AGIXUSDT,0.2427000,0.2433000,0.2259000,0.2316000,191866278
2023-06-27,AGIXUSDT,0.2317000,0.2419000,0.2307000,0.2388000,218166766
2023-06-28,AGIXUSDT,0.2390000,0.2392000,0.2128000,0.2203000,229883209
2023-06-29,AGIXUSDT,0.2203000,0.2280000,0.2186000,0.2224000,135472540
