Date,Symbol,Open,High,Low,Close,Volume
2025-05-20,AGTUSDT,0.0295710,0.0337500,0.0290490,0.0325840,3122791117
2025-05-21,AGTUSDT,0.0325630,0.0349990,0.0302380,0.0325650,1385459920
2025-05-22,AGTUSDT,0.0325640,0.0359240,0.0269610,0.0317190,1402966945
2025-05-23,AGTUSDT,0.0317200,0.0353270,0.0295970,0.0334290,873317161
2025-05-24,AGTUSDT,0.0334240,0.0348970,0.0305290,0.0322730,820066424
2025-05-25,AGTUSDT,0.0322700,0.0345000,0.0315200,0.0333910,750813380
2025-05-26,AGTUSDT,0.0333880,0.0351700,0.0322900,0.0325160,439316080
2025-05-27,AGTUSDT,0.0325190,0.0386000,0.0320860,0.0340160,619807364
2025-05-28,AGTUSDT,0.0340150,0.0360560,0.0319310,0.0331790,511643900
2025-05-29,AGTUSDT,0.0331820,0.0335530,0.0317940,0.0323880,284516813
2025-05-30,AGTUSDT,0.0323990,0.0358870,0.0295060,0.0301140,1061035679
2025-05-31,AGTUSDT,0.0301140,0.0307220,0.0271100,0.0274140,554977192
2025-06-01,AGTUSDT,0.0274140,0.0295000,0.0269610,0.0292000,302524054
2025-06-02,AGTUSDT,0.0292000,0.0303800,0.0289130,0.0296060,356775361
2025-06-03,AGTUSDT,0.0296070,0.0333770,0.0295590,0.0319750,445776648
2025-06-04,AGTUSDT,0.0319750,0.0330660,0.0312110,0.0314630,229910074
2025-06-05,AGTUSDT,0.0314700,0.0325980,0.0283940,0.0294010,370806167
2025-06-06,AGTUSDT,0.0294010,0.0320970,0.0275690,0.0279510,346822736
2025-06-07,AGTUSDT,0.0279560,0.0291380,0.0270000,0.0274310,358712642
2025-06-08,AGTUSDT,0.0274290,0.0288050,0.0269120,0.0278920,244317850
2025-06-09,AGTUSDT,0.0278950,0.0293660,0.0274600,0.0285690,253930113
2025-06-10,AGTUSDT,0.0285690,0.0293710,0.0265130,0.0276380,209694506
2025-06-11,AGTUSDT,0.0276060,0.0277140,0.0241570,0.0243850,290187094
2025-06-12,AGTUSDT,0.0243840,0.0247390,0.0203850,0.0205980,272486895
2025-06-13,AGTUSDT,0.0205960,0.0206390,0.0186620,0.0190000,397160905
2025-06-14,AGTUSDT,0.0190020,0.0194020,0.0168680,0.0172090,793904396
2025-06-15,AGTUSDT,0.0172090,0.0175980,0.0134110,0.0139780,2852614175
2025-06-16,AGTUSDT,0.0139750,0.0159800,0.0133510,0.0145900,2261700007
2025-06-17,AGTUSDT,0.0145820,0.0145820,0.0121210,0.0126150,2240538588
2025-06-18,AGTUSDT,0.0126150,0.0129340,0.0116660,0.0123180,961617544
2025-06-19,AGTUSDT,0.0123230,0.0144260,0.0121230,0.0142430,1296832533
2025-06-20,AGTUSDT,0.0142370,0.0155200,0.0131000,0.0131730,3050140938
2025-06-21,AGTUSDT,0.0131700,0.0132530,0.0116260,0.0127210,911948884
2025-06-22,AGTUSDT,0.0127270,0.0137230,0.0112390,0.0115000,1596493187
2025-06-23,AGTUSDT,0.0115000,0.0137120,0.0111800,0.0135900,664388695
2025-06-24,AGTUSDT,0.0135950,0.0144870,0.0127800,0.0130090,352780575
2025-06-25,AGTUSDT,0.0130190,0.0147400,0.0126120,0.0135370,908586051
2025-06-26,AGTUSDT,0.0135390,0.0157820,0.0127950,0.0128750,1679886346
2025-06-27,AGTUSDT,0.0128760,0.0146270,0.0122930,0.0139890,737093130
2025-06-28,AGTUSDT,0.0139880,0.0153000,0.0138590,0.0146740,871972574
2025-06-29,AGTUSDT,0.0146720,0.0155130,0.0144440,0.0152260,389308371
2025-06-30,AGTUSDT,0.0152160,0.0163980,0.0144820,0.0149520,609868640
2025-07-01,AGTUSDT,0.0149540,0.0154860,0.0144440,0.0146240,289649242
2025-07-02,AGTUSDT,0.0146230,0.0175850,0.0142720,0.0168130,677168648
2025-07-03,AGTUSDT,0.0168100,0.0182350,0.0160200,0.0163570,384534478
2025-07-04,AGTUSDT,0.0163550,0.0175370,0.0160200,0.0168550,381679303
2025-07-05,AGTUSDT,0.0168490,0.0172500,0.0162200,0.0163590,203489363
2025-07-06,AGTUSDT,0.0163620,0.0172710,0.0163210,0.0167790,117197141
2025-07-07,AGTUSDT,0.0167800,0.0181290,0.0163040,0.0166190,276980349
2025-07-08,AGTUSDT,0.0166190,0.0169460,0.0155410,0.0157890,140666010
2025-07-09,AGTUSDT,0.0157900,0.0160680,0.0093120,0.0095690,4857290566
2025-07-10,AGTUSDT,0.0095740,0.0101900,0.0089820,0.0097410,1985666303
2025-07-11,AGTUSDT,0.0097400,0.0104100,0.0076510,0.0086650,2754259292
2025-07-12,AGTUSDT,0.0086650,0.0092780,0.0077130,0.0085870,1751128522
2025-07-13,AGTUSDT,0.0085930,0.0088680,0.0079110,0.0086670,744992964
2025-07-14,AGTUSDT,0.0086690,0.0092070,0.0070000,0.0072000,2617024664
2025-07-15,AGTUSDT,0.0072010,0.0072570,0.0063210,0.0066370,2858420475
2025-07-16,AGTUSDT,0.0066420,0.0066900,0.0061730,0.0064480,1601798184
2025-07-17,AGTUSDT,0.0064510,0.0065770,0.0058690,0.0061640,1265047512
2025-07-18,AGTUSDT,0.0061640,0.0065860,0.0055970,0.0058060,1500616440
2025-07-19,AGTUSDT,0.0058060,0.0061580,0.0054300,0.0058120,1328214593
2025-07-20,AGTUSDT,0.0058120,0.0061330,0.0044140,0.0048870,4819150520
2025-07-21,AGTUSDT,0.0048890,0.0053680,0.0048100,0.0051720,3702227705
2025-07-22,AGTUSDT,0.0051730,0.0052080,0.0044220,0.0045530,3570797619
2025-07-23,AGTUSDT,0.0045560,0.0049440,0.0044310,0.0046620,4195110752
2025-07-24,AGTUSDT,0.0046610,0.0065780,0.0045110,0.0056540,18585697996
2025-07-25,AGTUSDT,0.0056560,0.0064850,0.0054960,0.0063470,16630559466
2025-07-26,AGTUSDT,0.0063490,0.0066970,0.0055310,0.0057150,5876127506
2025-07-27,AGTUSDT,0.0057170,0.0062360,0.0051770,0.0055580,4333257825
2025-07-28,AGTUSDT,0.0055590,0.0062730,0.0052000,0.0053320,5428619197
2025-07-29,AGTUSDT,0.0053320,0.0056870,0.0045290,0.0048200,3170165278
2025-07-30,AGTUSDT,0.0048220,0.0049330,0.0045800,0.0047370,2020394982
2025-07-31,AGTUSDT,0.0047370,0.0048850,0.0044500,0.0046750,2222244454
2025-08-01,AGTUSDT,0.0046780,0.0078720,0.0045050,0.0076210,48967462556
2025-08-02,AGTUSDT,0.0076240,0.0081730,0.0050170,0.0051200,66673314560
2025-08-03,AGTUSDT,0.0051200,0.0052660,0.0048150,0.0049710,11121427075
2025-08-04,AGTUSDT,0.0049710,0.0050500,0.0046000,0.0048910,6952642842
2025-08-05,AGTUSDT,0.0048900,0.0064230,0.0046280,0.0057360,22834108969
2025-08-06,AGTUSDT,0.0057330,0.0062100,0.0049340,0.0058670,11864155712
2025-08-07,AGTUSDT,0.0058680,0.0065200,0.0052260,0.0058240,9685400577
2025-08-08,AGTUSDT,0.0058240,0.0066880,0.0057330,0.0065590,7091362215
2025-08-09,AGTUSDT,0.0065590,0.0071600,0.0061250,0.0068180,5538253941
2025-08-10,AGTUSDT,0.0068140,0.0073200,0.0058800,0.0061420,4997739427
2025-08-11,AGTUSDT,0.0061430,0.0068370,0.0058150,0.0059480,3994682614
2025-08-12,AGTUSDT,0.0059500,0.0060900,0.0055550,0.0058140,2315348289
2025-08-13,AGTUSDT,0.0058120,0.0062270,0.0057680,0.0059120,1984635600
2025-08-14,AGTUSDT,0.0059130,0.0059780,0.0047890,0.0050290,3189145964
2025-08-15,AGTUSDT,0.0050300,0.0052800,0.0049330,0.0050310,2011213820
2025-08-16,AGTUSDT,0.0050320,0.0050650,0.0048500,0.0050300,1519200914
