Date,Symbol,Open,High,Low,Close,Volume
2024-12-20,AIXBTUSDT,0.2585000,0.3685200,0.2585000,0.3206200,137596325
2024-12-21,AIXBTUSDT,0.3210500,0.3799700,0.2935500,0.3031800,389213324
2024-12-22,AIXBTUSDT,0.3032200,0.3142100,0.2653200,0.2733500,209854603
2024-12-23,AIXBTUSDT,0.2733800,0.3377500,0.2619300,0.3317400,179201200
2024-12-24,AIXBTUSDT,0.3316700,0.3459200,0.3030000,0.3068700,143091453
2024-12-25,AIXBTUSDT,0.3068700,0.3603500,0.3000000,0.3557700,246599461
2024-12-26,AIXBTUSDT,0.3557800,0.3798000,0.3380000,0.3547700,472456851
2024-12-27,AIXBTUSDT,0.3549500,0.3917000,0.3118800,0.3615500,257337421
2024-12-28,AIXBTUSDT,0.3615400,0.4260000,0.3454000,0.4140200,291020836
2024-12-29,AIXBTUSDT,0.4139700,0.5274200,0.4030000,0.5016500,779376526
2024-12-30,AIXBTUSDT,0.5015400,0.5679900,0.4743100,0.5327400,550607182
2024-12-31,AIXBTUSDT,0.5328100,0.6656200,0.5100400,0.6023800,620211626
2025-01-01,AIXBTUSDT,0.6023700,0.6699900,0.5191000,0.5760700,689995055
2025-01-02,AIXBTUSDT,0.5759500,0.6659700,0.4847600,0.5109300,528369344
2025-01-03,AIXBTUSDT,0.5109400,0.5513900,0.4765400,0.5163400,427364702
2025-01-04,AIXBTUSDT,0.5164200,0.5397700,0.4661300,0.5107000,330100094
2025-01-05,AIXBTUSDT,0.5107500,0.5484200,0.4850000,0.4925000,268336276
2025-01-06,AIXBTUSDT,0.4925400,0.6066600,0.4816400,0.5494300,395017665
2025-01-07,AIXBTUSDT,0.5494200,0.5622300,0.4711100,0.4754000,273554262
2025-01-08,AIXBTUSDT,0.4753600,0.4769400,0.3838900,0.4377600,318578659
2025-01-09,AIXBTUSDT,0.4375500,0.4777100,0.3808000,0.3938000,356789521
2025-01-10,AIXBTUSDT,0.3940200,0.6030000,0.3886100,0.5061900,1191843804
2025-01-11,AIXBTUSDT,0.5062400,0.5358000,0.4373600,0.4971600,744975418
2025-01-12,AIXBTUSDT,0.4971800,0.5172200,0.4444900,0.4519600,476617283
2025-01-13,AIXBTUSDT,0.4519600,0.4748700,0.3640000,0.4304300,643584231
2025-01-14,AIXBTUSDT,0.4304200,0.6725000,0.4211600,0.6402100,1922529597
2025-01-15,AIXBTUSDT,0.6402000,0.9659000,0.6162700,0.8741800,1659967610
2025-01-16,AIXBTUSDT,0.8742400,0.9550000,0.7515000,0.8107500,1045143148
2025-01-17,AIXBTUSDT,0.8107900,0.8438400,0.7301300,0.7697600,512849602
2025-01-18,AIXBTUSDT,0.7697400,0.7697400,0.6274500,0.7332200,540821799
2025-01-19,AIXBTUSDT,0.7331800,0.8651800,0.6550000,0.6641700,840188364
2025-01-20,AIXBTUSDT,0.6641600,0.7343600,0.5881500,0.7233600,591165005
2025-01-21,AIXBTUSDT,0.7233300,0.7569600,0.5902200,0.6608000,572606931
2025-01-22,AIXBTUSDT,0.6607700,0.8906600,0.6431600,0.7483000,819347278
2025-01-23,AIXBTUSDT,0.7482500,0.7889700,0.6767500,0.7022000,593509234
2025-01-24,AIXBTUSDT,0.7022200,0.7372500,0.6405000,0.6547000,340216070
2025-01-25,AIXBTUSDT,0.6547100,0.6749600,0.6184600,0.6493000,243808691
