Date,Symbol,Open,High,Low,Close,Volume
2025-08-06,ALLUSDT,1.224,1.224,0.991,1.041000,29270745
2025-08-07,ALLUSDT,1.041000,1.101000,1.025000,1.099000,24870158
2025-08-08,ALLUSDT,1.098000,1.130000,1.079000,1.125000,17036440
2025-08-09,ALLUSDT,1.124000,1.191000,1.122000,1.178000,16471016
2025-08-10,ALLUSDT,1.178000,1.197000,1.140000,1.176000,17207445
2025-08-11,ALLUSDT,1.176000,1.230000,0.979100,1.117400,37677969
2025-08-12,ALLUSDT,1.117400,1.188900,1.094100,1.170100,42461347
2025-08-13,ALLUSDT,1.170200,1.212900,1.160400,1.205200,43526168
2025-08-14,ALLUSDT,1.205200,1.221700,1.079300,1.100900,83134466
2025-08-15,ALLUSDT,1.100900,1.127000,1.061200,1.098000,189893704
2025-08-16,ALLUSDT,1.098000,1.129400,1.091800,1.124700,10688406
2025-08-17,ALLUSDT,1.124700,1.157200,1.117700,1.129500,9302340
2025-08-18,ALLUSDT,1.129500,1.129600,1.065000,1.086800,13848991
2025-08-19,ALLUSDT,1.087200,1.104200,1.038500,1.041200,13358725
2025-08-20,ALLUSDT,1.041200,1.103900,1.034000,1.096600,9332027
2025-08-21,ALLUSDT,1.096400,1.107100,1.052400,1.060100,5896750
2025-08-22,ALLUSDT,1.060200,1.161800,1.027000,1.159200,12503131
2025-08-23,ALLUSDT,1.159100,1.161000,1.123300,1.146000,6957120
2025-08-24,ALLUSDT,1.146000,1.161400,1.096700,1.120900,9916160
2025-08-25,ALLUSDT,1.121100,1.133000,1.017000,1.034200,9308313
2025-08-26,ALLUSDT,1.034400,1.079400,1.021000,1.072600,6169115
2025-08-27,ALLUSDT,1.072500,1.089500,1.059200,1.067900,7026303
2025-08-28,ALLUSDT,1.067900,1.103500,1.056900,1.103300,4068005
2025-08-29,ALLUSDT,1.102900,1.108200,1.035100,1.056500,5745773
2025-08-30,ALLUSDT,1.056800,1.076800,1.040300,1.071300,2669705
2025-08-31,ALLUSDT,1.071400,1.087500,1.050700,1.051300,2797142
2025-09-01,ALLUSDT,1.051200,1.064300,0.994300,1.015000,6588530
2025-09-02,ALLUSDT,1.014900,1.055000,1.008000,1.045400,11253672
2025-09-03,ALLUSDT,1.045500,1.061900,1.033000,1.057400,2082979
2025-09-04,ALLUSDT,1.057800,1.062300,0.995400,1.021900,3822265
2025-09-05,ALLUSDT,1.021800,1.062200,1.021600,1.045200,3533957
2025-09-06,ALLUSDT,1.045000,1.063300,1.032700,1.049600,2160029
2025-09-07,ALLUSDT,1.049800,1.084000,1.048900,1.081400,2372142
2025-09-08,ALLUSDT,1.081100,1.123600,1.073500,1.116200,5441462
2025-09-09,ALLUSDT,1.116100,1.151200,1.098000,1.114700,7141530
2025-09-10,ALLUSDT,1.114700,1.152700,1.103000,1.143100,3642196
2025-09-11,ALLUSDT,1.142600,1.158100,1.126100,1.155000,3441626
2025-09-12,ALLUSDT,1.154600,1.217600,1.149000,1.208400,5315362
2025-09-13,ALLUSDT,1.208500,1.243500,1.202800,1.236900,8494529
2025-09-14,ALLUSDT,1.236900,1.259200,1.181000,1.188600,5124664
2025-09-15,ALLUSDT,1.188500,1.210600,1.124000,1.148800,4479933
2025-09-16,ALLUSDT,1.148700,1.176200,1.128300,1.171000,2314552
2025-09-17,ALLUSDT,1.171000,1.210800,1.141300,1.202100,3199050
2025-09-18,ALLUSDT,1.202500,1.237900,1.197000,1.231000,3335028
2025-09-19,ALLUSDT,1.231500,1.242100,1.167600,1.175400,4689220
2025-09-20,ALLUSDT,1.175500,1.208700,1.163700,1.199600,2141816
2025-09-21,ALLUSDT,1.199500,1.222600,1.184600,1.192900,3582920
2025-09-22,ALLUSDT,1.192800,1.198500,1.066300,1.088700,8792127
2025-09-23,ALLUSDT,1.088600,1.107200,1.054800,1.079200,5936109
2025-09-24,ALLUSDT,1.079200,1.117100,1.058400,1.095800,4430741
2025-09-25,ALLUSDT,1.095900,1.096500,1.006600,1.017400,10845723
2025-09-26,ALLUSDT,1.017500,1.064500,1.009100,1.057300,6650942
2025-09-27,ALLUSDT,1.057600,1.065700,1.040900,1.054800,2768710
2025-09-28,ALLUSDT,1.054900,1.078300,1.028000,1.077000,3367891
2025-09-29,ALLUSDT,1.077100,1.077500,1.037500,1.056600,5182194
2025-09-30,ALLUSDT,1.056300,1.060000,1.005400,1.041200,5171424
2025-10-01,ALLUSDT,1.041500,1.046700,1.026400,1.039500,1242984
