Date,Symbol,Open,High,Low,Close,Volume
2025-09-03,ARIAUSDT,0.0988100,0.1488000,0.0988100,0.1078700,1308989838
2025-09-04,ARIAUSDT,0.1079100,0.1265600,0.0967400,0.1202000,1423145490
2025-09-05,ARIAUSDT,0.1202300,0.1399300,0.1058300,0.1128500,1483068058
2025-09-06,ARIAUSDT,0.1128600,0.1325000,0.1119100,0.1169200,590150644
2025-09-07,ARIAUSDT,0.1169300,0.1313100,0.1140000,0.1225400,435505684
2025-09-08,ARIAUSDT,0.1225500,0.1292800,0.1040000,0.1117700,457783441
2025-09-09,ARIAUSDT,0.1117600,0.1158300,0.1012400,0.1056900,226832600
2025-09-10,ARIAUSDT,0.1056900,0.1122900,0.1012300,0.1034900,216112248
2025-09-11,ARIAUSDT,0.1034900,0.1377600,0.1017400,0.1222100,458012781
2025-09-12,ARIAUSDT,0.1222300,0.2101400,0.1208700,0.1654200,3711225593
2025-09-13,ARIAUSDT,0.1654400,0.1716500,0.1400100,0.1529700,610713051
2025-09-14,ARIAUSDT,0.1529700,0.1654100,0.1449300,0.1601000,324601394
2025-09-15,ARIAUSDT,0.1600700,0.1773400,0.1409900,0.1496100,367887797
2025-09-16,ARIAUSDT,0.1496000,0.1620000,0.1479900,0.1525000,174888519
2025-09-17,ARIAUSDT,0.1525000,0.1703700,0.1488100,0.1585300,159596985
2025-09-18,ARIAUSDT,0.1584900,0.1886700,0.1580800,0.1835400,124405180
2025-09-19,ARIAUSDT,0.1834800,0.1873500,0.1495000,0.1562300,151919841
2025-09-20,ARIAUSDT,0.1562400,0.1657000,0.1481000,0.1585100,85531437
2025-09-21,ARIAUSDT,0.1585100,0.1700000,0.1525100,0.1531000,77056032
2025-09-22,ARIAUSDT,0.1531000,0.1727200,0.1320100,0.1637300,127825654
2025-09-23,ARIAUSDT,0.1638100,0.1802600,0.1522100,0.1713700,104969046
2025-09-24,ARIAUSDT,0.1713700,0.2000000,0.1601700,0.1767200,129355817
2025-09-25,ARIAUSDT,0.1766800,0.2015100,0.1730000,0.1886800,195592469
2025-09-26,ARIAUSDT,0.1887100,0.1975200,0.1759000,0.1779200,74414976
2025-09-27,ARIAUSDT,0.1779500,0.1921200,0.1705900,0.1865800,39734557
2025-09-28,ARIAUSDT,0.1865000,0.1973100,0.1767900,0.1783100,58943366
2025-09-29,ARIAUSDT,0.1783200,0.1885700,0.1751500,0.1859100,28404690
2025-09-30,ARIAUSDT,0.1858600,0.2288800,0.1805600,0.2248000,91965672
2025-10-01,ARIAUSDT,0.2247900,0.2507600,0.1849900,0.2071200,187911100
