Date,Symbol,Open,High,Low,Close,Volume
2025-05-06,ASRUSDT,1.860000,2.374000,1.702000,1.839000,68667491.9
2025-05-07,ASRUSDT,1.840000,1.863000,1.524000,1.575000,28489374.6
2025-05-08,ASRUSDT,1.575000,1.870000,1.555000,1.713000,24994563.4
2025-05-09,ASRUSDT,1.712000,1.837000,1.663000,1.776000,8655533.1
2025-05-10,ASRUSDT,1.777000,1.842000,1.681000,1.791000,5695744.2
2025-05-11,ASRUSDT,1.791000,2.192000,1.709000,1.815000,21776345.1
2025-05-12,ASRUSDT,1.815000,1.855000,1.698000,1.758000,8735351.2
2025-05-13,ASRUSDT,1.757000,1.798000,1.680000,1.704000,4558951.2
2025-05-14,ASRUSDT,1.704000,1.852000,1.694000,1.766000,7965169.9
2025-05-15,ASRUSDT,1.765000,1.840000,1.557000,1.625000,12019138.9
2025-05-16,ASRUSDT,1.625000,1.770000,1.622000,1.701000,7412018.3
2025-05-17,ASRUSDT,1.701000,1.711000,1.562000,1.588000,3827233.1
2025-05-18,ASRUSDT,1.588000,1.660000,1.524000,1.637000,2690700.7
2025-05-19,ASRUSDT,1.637000,1.768000,1.576000,1.624000,14141113.7
2025-05-20,ASRUSDT,1.623000,1.640000,1.582000,1.609000,2364477.6
2025-05-21,ASRUSDT,1.610000,1.615000,1.539000,1.599000,3290993.0
2025-05-22,ASRUSDT,1.600000,1.723000,1.593000,1.693000,3480316.8
2025-05-23,ASRUSDT,1.693000,1.912000,1.653000,1.792000,15098593.2
2025-05-24,ASRUSDT,1.793000,1.959000,1.771000,1.774000,22191729.4
2025-05-25,ASRUSDT,1.774000,1.925000,1.772000,1.905000,7376183.5
2025-05-26,ASRUSDT,1.906000,1.917000,1.832000,1.900000,3306216.5
2025-05-27,ASRUSDT,1.899000,1.989000,1.854000,1.960000,3920999.5
2025-05-28,ASRUSDT,1.959000,2.169000,1.924000,2.096000,13086099.1
2025-05-29,ASRUSDT,2.095000,2.145000,2.019000,2.096000,4051197.0
2025-05-30,ASRUSDT,2.095000,2.212000,2.000000,2.084000,9425070.8
2025-05-31,ASRUSDT,2.084000,2.109000,1.845000,1.969000,6940250.7
2025-06-01,ASRUSDT,1.969000,2.163000,1.930000,2.092000,4945528.2
2025-06-02,ASRUSDT,2.093000,2.181000,2.044000,2.138000,2726737.3
2025-06-03,ASRUSDT,2.138000,2.213000,2.126000,2.151000,2079817.6
2025-06-04,ASRUSDT,2.152000,2.160000,2.031000,2.059000,1134842.7
2025-06-05,ASRUSDT,2.059000,2.110000,2.007000,2.055000,2470697.7
2025-06-06,ASRUSDT,2.055000,2.098000,2.018000,2.038000,1304086.9
2025-06-07,ASRUSDT,2.038000,2.046000,2.003000,2.018000,830197.0
2025-06-08,ASRUSDT,2.018000,2.025000,1.953000,1.988000,971429.6
2025-06-09,ASRUSDT,1.987000,2.126000,1.985000,2.077000,2504272.0
2025-06-10,ASRUSDT,2.078000,2.143000,2.065000,2.099000,1243455.2
2025-06-11,ASRUSDT,2.099000,2.145000,2.080000,2.087000,890422.2
2025-06-12,ASRUSDT,2.087000,2.193000,2.061000,2.104000,4226811.2
2025-06-13,ASRUSDT,2.104000,2.143000,2.024000,2.077000,2206979.5
2025-06-14,ASRUSDT,2.078000,2.083000,1.933000,1.970000,1487652.8
2025-06-15,ASRUSDT,1.970000,1.987000,1.840000,1.915000,2134882.8
2025-06-16,ASRUSDT,1.915000,1.988000,1.872000,1.961000,1781345.1
2025-06-17,ASRUSDT,1.961000,2.000000,1.914000,1.948000,1951546.8
2025-06-18,ASRUSDT,1.947000,1.964000,1.874000,1.924000,1045966.9
2025-06-19,ASRUSDT,1.924000,2.109000,1.915000,2.080000,3312710.4
2025-06-20,ASRUSDT,2.079000,2.105000,2.005000,2.053000,1300322.0
2025-06-21,ASRUSDT,2.053000,2.130000,2.028000,2.107000,2423904.1
2025-06-22,ASRUSDT,2.108000,2.130000,2.025000,2.090000,1680487.4
2025-06-23,ASRUSDT,2.090000,2.304000,2.087000,2.296000,3031048.6
2025-06-24,ASRUSDT,2.296000,2.535000,2.282000,2.518000,4262083.5
2025-06-25,ASRUSDT,2.517000,2.699000,2.459000,2.523000,4722521.3
2025-06-26,ASRUSDT,2.524000,2.564000,2.403000,2.437000,1434476.6
2025-06-27,ASRUSDT,2.437000,2.475000,2.319000,2.357000,1367033.3
2025-06-28,ASRUSDT,2.356000,2.411000,2.276000,2.318000,707975.0
2025-06-29,ASRUSDT,2.318000,2.388000,2.298000,2.357000,674270.5
2025-06-30,ASRUSDT,2.357000,2.433000,2.322000,2.330000,704397.7
2025-07-01,ASRUSDT,2.330000,2.375000,2.221000,2.315000,965155.4
2025-07-02,ASRUSDT,2.315000,2.372000,2.265000,2.267000,563084.6
2025-07-03,ASRUSDT,2.267000,2.318000,2.242000,2.264000,609756.3
2025-07-04,ASRUSDT,2.264000,2.338000,2.238000,2.257000,1206494.1
2025-07-05,ASRUSDT,2.257000,2.257000,2.132000,2.133000,581298.6
2025-07-06,ASRUSDT,2.133000,2.159000,2.110000,2.113000,474781.1
2025-07-07,ASRUSDT,2.113000,2.380000,2.112000,2.334000,4674015.6
2025-07-08,ASRUSDT,2.335000,2.455000,2.315000,2.353000,4445564.9
2025-07-09,ASRUSDT,2.353000,2.353000,2.244000,2.284000,1306877.4
2025-07-10,ASRUSDT,2.285000,2.289000,2.162000,2.261000,1255758.5
2025-07-11,ASRUSDT,2.260000,2.425000,2.173000,2.310000,2826459.0
2025-07-12,ASRUSDT,2.310000,2.370000,2.250000,2.284000,953416.2
2025-07-13,ASRUSDT,2.284000,2.387000,2.272000,2.312000,811863.0
2025-07-14,ASRUSDT,2.312000,2.372000,2.233000,2.260000,957121.9
2025-07-15,ASRUSDT,2.260000,2.301000,2.222000,2.291000,901861.8
2025-07-16,ASRUSDT,2.291000,2.350000,2.264000,2.288000,769108.2
2025-07-17,ASRUSDT,2.287000,2.430000,2.257000,2.353000,1157189.5
2025-07-18,ASRUSDT,2.353000,2.429000,2.271000,2.322000,782766.7
2025-07-19,ASRUSDT,2.322000,2.325000,2.266000,2.293000,509690.1
2025-07-20,ASRUSDT,2.293000,2.379000,2.282000,2.336000,477944.6
2025-07-21,ASRUSDT,2.337000,2.387000,2.299000,2.373000,556547.6
2025-07-22,ASRUSDT,2.373000,2.467000,2.272000,2.330000,1054632.3
2025-07-23,ASRUSDT,2.330000,2.385000,2.217000,2.265000,783866.7
2025-07-24,ASRUSDT,2.264000,2.406000,2.132000,2.364000,1258100.0
2025-07-25,ASRUSDT,2.366000,3.407000,2.304000,3.105000,21837110.4
2025-07-26,ASRUSDT,3.104000,3.746000,3.033000,3.589000,45376345.5
2025-07-27,ASRUSDT,3.590000,6.776000,3.587000,5.272000,100477306.0
2025-07-28,ASRUSDT,5.269000,6.446000,4.909000,6.003000,62033281.2
2025-07-29,ASRUSDT,6.004000,6.480000,5.544000,5.972000,32648513.6
2025-07-30,ASRUSDT,5.971000,6.369000,4.834000,5.359000,19052172.7
2025-07-31,ASRUSDT,5.358000,5.544000,5.128000,5.191000,8093956.7
2025-08-01,ASRUSDT,5.190000,5.631000,4.681000,5.194000,12459806.0
2025-08-02,ASRUSDT,5.194000,5.399000,4.879000,5.076000,7803792.5
2025-08-03,ASRUSDT,5.076000,5.265000,4.939000,4.993000,5393795.4
2025-08-04,ASRUSDT,4.994000,5.239000,4.925000,5.035000,4192986.7
2025-08-05,ASRUSDT,5.035000,5.271000,4.829000,5.084000,4322857.1
2025-08-06,ASRUSDT,5.082000,5.082000,4.740000,4.742000,2601240.4
2025-08-07,ASRUSDT,4.742000,7.769000,4.557000,7.465000,24793640.7
2025-08-08,ASRUSDT,7.465000,8.408000,6.800000,7.870000,41193792.7
2025-08-09,ASRUSDT,7.870000,8.764000,7.790000,7.861000,14345050.4
2025-08-10,ASRUSDT,7.861000,8.426000,7.274000,7.492000,8743256.3
2025-08-11,ASRUSDT,7.493000,7.682000,6.654000,6.765000,7011726.0
2025-08-12,ASRUSDT,6.765000,6.859000,6.261000,6.312000,4438145.3
2025-08-13,ASRUSDT,6.312000,6.338000,5.900000,5.981000,4467374.1
2025-08-14,ASRUSDT,5.981000,6.381000,5.257000,5.515000,8793814.8
2025-08-15,ASRUSDT,5.514000,5.588000,4.859000,4.925000,6584751.3
2025-08-16,ASRUSDT,4.927000,4.963000,4.353000,4.445000,6181165.3
2025-08-17,ASRUSDT,4.445000,5.495000,4.334000,4.548000,17182440.7
2025-08-18,ASRUSDT,4.548000,4.571000,3.845000,3.863000,9779076.9
2025-08-19,ASRUSDT,3.863000,3.926000,3.291000,3.339000,11441121.1
2025-08-20,ASRUSDT,3.339000,3.358000,2.969000,3.086000,14317409.4
2025-08-21,ASRUSDT,3.085000,4.090000,3.054000,3.403000,70685292.8
2025-08-22,ASRUSDT,3.402000,3.494000,3.153000,3.340000,24464193.6
2025-08-23,ASRUSDT,3.339000,3.367000,3.154000,3.189000,9802809.1
2025-08-24,ASRUSDT,3.189000,3.288000,2.912000,2.953000,13179591.6
2025-08-25,ASRUSDT,2.953000,2.977000,2.681000,2.789000,10067010.7
2025-08-26,ASRUSDT,2.788000,2.835000,2.641000,2.670000,5098626.1
2025-08-27,ASRUSDT,2.669000,2.692000,2.570000,2.597000,5172981.6
2025-08-28,ASRUSDT,2.597000,2.998000,2.584000,2.624000,13246393.9
2025-08-29,ASRUSDT,2.624000,2.756000,2.524000,2.600000,7771607.7
2025-08-30,ASRUSDT,2.600000,2.705000,2.574000,2.609000,4441554.0
2025-08-31,ASRUSDT,2.608000,2.654000,2.533000,2.542000,2886255.2
