Date,Symbol,Open,High,Low,Close,Volume
2024-03-01,AXLUSDT,2.0523000,2.0910000,1.8800000,1.9751000,10863974.3
2024-03-02,AXLUSDT,1.9750000,2.0608000,1.8400000,1.9671000,18064871.3
2024-03-03,AXLUSDT,1.9673000,2.6900000,1.9302000,2.3708000,78601340.0
2024-03-04,AXLUSDT,2.3710000,2.5278000,2.1097000,2.1974000,25302542.3
2024-03-05,AXLUSDT,2.1971000,2.2869000,1.8110000,2.0728000,19331272.2
2024-03-06,AXLUSDT,2.0732000,2.2080000,2.0020000,2.2030000,9267624.9
2024-03-07,AXLUSDT,2.2023000,2.2624000,2.1050000,2.2175000,11011878.5
2024-03-08,AXLUSDT,2.2178000,2.2765000,2.0434000,2.1315000,8965585.4
2024-03-09,AXLUSDT,2.1313000,2.2943000,2.1188000,2.2785000,11805176.5
2024-03-10,AXLUSDT,2.2777000,2.3383000,2.1210000,2.1987000,12102834.2
2024-03-11,AXLUSDT,2.1987000,2.3089000,2.1177000,2.2630000,14079547.5
2024-03-12,AXLUSDT,2.2630000,2.3540000,2.0747000,2.1935000,12920642.6
2024-03-13,AXLUSDT,2.1935000,2.2443000,2.1210000,2.1727000,7513233.6
2024-03-14,AXLUSDT,2.1734000,2.1795000,1.9880000,2.0797000,13389452.1
2024-03-15,AXLUSDT,2.0795000,2.1166000,1.8450000,1.9724000,17881414.8
2024-03-16,AXLUSDT,1.9721000,2.0823000,1.8145000,1.8488000,13102158.6
2024-03-17,AXLUSDT,1.8484000,1.9281000,1.7705000,1.9159000,9734274.2
2024-03-18,AXLUSDT,1.9153000,1.9645000,1.7708000,1.7805000,8981517.0
2024-03-19,AXLUSDT,1.7803000,1.8015000,1.5800000,1.6380000,17292592.6
2024-03-20,AXLUSDT,1.6383000,1.8280000,1.5651000,1.8257000,15215715.4
2024-03-21,AXLUSDT,1.8256000,2.3155000,1.8148000,2.0065000,47183943.5
2024-03-22,AXLUSDT,2.0065000,2.0245000,1.8146000,1.8515000,13924225.5
2024-03-23,AXLUSDT,1.8522000,1.9825000,1.8221000,1.9086000,7714960.2
2024-03-24,AXLUSDT,1.9086000,1.9436000,1.8508000,1.9381000,5348264.3
2024-03-25,AXLUSDT,1.9383000,2.0977000,1.9354000,1.9690000,12331745.9
2024-03-26,AXLUSDT,1.9689000,2.0671000,1.9232000,1.9511000,9564456.3
2024-03-27,AXLUSDT,1.9519000,2.1912000,1.9304000,2.0816000,22003262.7
2024-03-28,AXLUSDT,2.0826000,2.2050000,2.0050000,2.0555000,23264508.4
2024-03-29,AXLUSDT,2.0555000,2.1480000,1.9893000,2.0270000,16051225.3
2024-03-30,AXLUSDT,2.0267000,2.0800000,1.9853000,2.0121000,9610804.2
2024-03-31,AXLUSDT,2.0126000,2.0701000,1.9969000,2.0658000,6504601.3
2024-04-01,AXLUSDT,2.0656000,2.1573000,1.8912000,1.8928000,22366875.8
2024-04-02,AXLUSDT,1.8932000,1.8941000,1.7119000,1.7780000,23480046.2
2024-04-03,AXLUSDT,1.7781000,1.7986000,1.6436000,1.6695000,18086367.9
2024-04-04,AXLUSDT,1.6698000,1.7299000,1.6253000,1.6551000,11990721.0
2024-04-05,AXLUSDT,1.6551000,1.6552000,1.4549000,1.4879000,23248747.7
2024-04-06,AXLUSDT,1.4880000,1.5621000,1.4787000,1.4941000,12796226.1
2024-04-07,AXLUSDT,1.4942000,1.6135000,1.4830000,1.5257000,20069145.3
2024-04-08,AXLUSDT,1.5260000,1.6695000,1.4630000,1.6307000,30182755.8
2024-04-09,AXLUSDT,1.6305000,1.6380000,1.4409000,1.4430000,20452730.3
2024-04-10,AXLUSDT,1.4428000,1.4515000,1.3070000,1.3777000,26905120.3
2024-04-11,AXLUSDT,1.3779000,1.4628000,1.3198000,1.3221000,22650767.5
2024-04-12,AXLUSDT,1.3220000,1.3635000,0.8581000,1.0946000,43996378.5
2024-04-13,AXLUSDT,1.0946000,1.1887000,0.8822000,1.0306000,30552405.6
2024-04-14,AXLUSDT,1.0308000,1.1355000,0.9924000,1.1236000,21226632.7
2024-04-15,AXLUSDT,1.1237000,1.1650000,1.0564000,1.1016000,17518928.6
2024-04-16,AXLUSDT,1.1018000,1.1066000,1.0359000,1.0954000,14314680.7
2024-04-17,AXLUSDT,1.0951000,1.1750000,1.0801000,1.1489000,38043564.0
2024-04-18,AXLUSDT,1.1489000,1.2096000,1.1126000,1.1883000,23509827.4
2024-04-19,AXLUSDT,1.1883000,1.2330000,1.1111000,1.1854000,17156930.4
2024-04-20,AXLUSDT,1.1854000,1.2811000,1.1660000,1.2764000,9681834.0
2024-04-21,AXLUSDT,1.2765000,1.2926000,1.2001000,1.2296000,8876268.9
2024-04-22,AXLUSDT,1.2297000,1.2766000,1.2159000,1.2658000,8614054.5
2024-04-23,AXLUSDT,1.2659000,1.2953000,1.2309000,1.2593000,8062237.3
2024-04-24,AXLUSDT,1.2594000,1.2949000,1.1708000,1.1853000,9821989.0
2024-04-25,AXLUSDT,1.1854000,1.1936000,1.0901000,1.0986000,13032295.3
2024-04-26,AXLUSDT,1.0986000,1.1012000,1.0407000,1.0567000,22113866.0
2024-04-27,AXLUSDT,1.0567000,1.1738000,1.0110000,1.1250000,39149986.0
2024-04-28,AXLUSDT,1.1250000,1.1670000,1.1205000,1.1267000,11384676.7
2024-04-29,AXLUSDT,1.1269000,1.1417000,1.0750000,1.1062000,10418016.9
2024-04-30,AXLUSDT,1.1063000,1.1148000,1.0073000,1.0638000,10976901.3
2024-05-01,AXLUSDT,1.0638000,1.1754000,1.0319000,1.1619000,43873214.4
2024-05-02,AXLUSDT,1.1618000,1.2987000,1.1464000,1.2067000,68832737.7
2024-05-03,AXLUSDT,1.2064000,1.2681000,1.2056000,1.2520000,20193399.8
2024-05-04,AXLUSDT,1.2520000,1.3114000,1.2466000,1.2608000,13785914.4
2024-05-05,AXLUSDT,1.2608000,1.2878000,1.2205000,1.2688000,10506510.8
2024-05-06,AXLUSDT,1.2688000,1.3298000,1.2332000,1.2346000,11246433.5
2024-05-07,AXLUSDT,1.2345000,1.2716000,1.1979000,1.2000000,10427752.6
2024-05-08,AXLUSDT,1.1997000,1.2066000,1.0999000,1.1051000,11622099.1
2024-05-09,AXLUSDT,1.1057000,1.1259000,1.0790000,1.1101000,11623372.9
2024-05-10,AXLUSDT,1.1102000,1.1414000,1.0500000,1.0875000,16756384.0
2024-05-11,AXLUSDT,1.0875000,1.1010000,1.0205000,1.0263000,12721865.1
2024-05-12,AXLUSDT,1.0263000,1.0459000,1.0016000,1.0116000,8875122.8
2024-05-13,AXLUSDT,1.0118000,1.0194000,0.9560000,0.9700000,12716970.7
2024-05-14,AXLUSDT,0.9699000,0.9733000,0.8919000,0.9140000,22050585.5
2024-05-15,AXLUSDT,0.9140000,1.0915000,0.9130000,1.0593000,43278833.8
2024-05-16,AXLUSDT,1.0593000,1.0705000,0.9865000,0.9982000,16851772.0
2024-05-17,AXLUSDT,0.9979000,1.0658000,0.9887000,1.0279000,15534830.7
2024-05-18,AXLUSDT,1.0279000,1.0615000,1.0073000,1.0141000,10566795.8
2024-05-19,AXLUSDT,1.0140000,1.0246000,0.9570000,0.9635000,9181766.5
2024-05-20,AXLUSDT,0.9634000,1.0617000,0.9458000,1.0399000,17434990.6
2024-05-21,AXLUSDT,1.0403000,1.0800000,0.9748000,0.9810000,23839890.3
2024-05-22,AXLUSDT,0.9810000,1.0317000,0.9654000,0.9846000,19691410.9
2024-05-23,AXLUSDT,0.9847000,1.0008000,0.8161000,0.9094000,41607154.4
2024-05-24,AXLUSDT,0.9094000,0.9320000,0.8434000,0.8937000,31015076.5
2024-05-25,AXLUSDT,0.8936000,0.9441000,0.8817000,0.9238000,17154713.8
2024-05-26,AXLUSDT,0.9240000,0.9523000,0.9001000,0.9452000,20056670.9
2024-05-27,AXLUSDT,0.9453000,0.9711000,0.9288000,0.9543000,15520067.8
2024-05-28,AXLUSDT,0.9541000,1.0156000,0.9122000,1.0007000,21524824.6
2024-05-29,AXLUSDT,1.0006000,1.0864000,0.9968000,1.0239000,39932255.0
2024-05-30,AXLUSDT,1.0238000,1.1364000,0.9924000,1.1050000,37321002.3
