Date,Symbol,Open,High,Low,Close,Volume
2025-08-26,BASUSDT,0.0142000,0.0187870,0.0122560,0.0175840,10942283430
2025-08-27,BASUSDT,0.0175860,0.0271890,0.0150220,0.0210440,15102637845
2025-08-28,BASUSDT,0.0210390,0.0232200,0.0195870,0.0215340,10998443736
2025-08-29,BASUSDT,0.0215290,0.0260980,0.0202000,0.0239410,5848030675
2025-08-30,BASUSDT,0.0239420,0.0259970,0.0158540,0.0236000,9523478533
2025-08-31,BASUSDT,0.0236000,0.0259970,0.0195930,0.0206590,7734060522
2025-09-01,BASUSDT,0.0206620,0.0267500,0.0205210,0.0245360,8053965720
2025-09-02,BASUSDT,0.0245360,0.0252380,0.0212330,0.0220040,4831434665
2025-09-03,BASUSDT,0.0220070,0.0236090,0.0205760,0.0230230,4841860054
2025-09-04,BASUSDT,0.0230220,0.0235360,0.0213420,0.0227420,9179830164
2025-09-05,BASUSDT,0.0227420,0.0245570,0.0218580,0.0222420,1677627691
2025-09-06,BASUSDT,0.0222430,0.0225170,0.0187500,0.0190360,1955501809
2025-09-07,BASUSDT,0.0190380,0.0258640,0.0184200,0.0228620,2922977940
2025-09-08,BASUSDT,0.0228550,0.0270020,0.0217590,0.0245760,2907910814
2025-09-09,BASUSDT,0.0245720,0.0262020,0.0223040,0.0239240,1364523336
2025-09-10,BASUSDT,0.0239220,0.0242980,0.0174500,0.0186780,1598624127
2025-09-11,BASUSDT,0.0186790,0.0217640,0.0183460,0.0211370,1428824148
2025-09-12,BASUSDT,0.0211320,0.0228000,0.0180180,0.0184140,1186858426
2025-09-13,BASUSDT,0.0184130,0.0210670,0.0180180,0.0208750,1081781988
2025-09-14,BASUSDT,0.0208750,0.0231020,0.0182220,0.0213050,2147009590
2025-09-15,BASUSDT,0.0213160,0.0243140,0.0210460,0.0225680,2623853668
2025-09-16,BASUSDT,0.0225740,0.0234850,0.0204250,0.0220250,873400856
2025-09-17,BASUSDT,0.0220250,0.0232800,0.0205770,0.0213020,674593654
2025-09-18,BASUSDT,0.0213080,0.0224860,0.0206750,0.0215600,392365262
2025-09-19,BASUSDT,0.0215600,0.0219130,0.0175000,0.0183650,1108729464
2025-09-20,BASUSDT,0.0183690,0.0195410,0.0178010,0.0188500,674896053
2025-09-21,BASUSDT,0.0188460,0.0190810,0.0177400,0.0181220,434554951
2025-09-22,BASUSDT,0.0181230,0.0182980,0.0154520,0.0158530,680063848
2025-09-23,BASUSDT,0.0158460,0.0164260,0.0150000,0.0156580,461447331
2025-09-24,BASUSDT,0.0156640,0.0162030,0.0145900,0.0151460,483087340
2025-09-25,BASUSDT,0.0151470,0.0151760,0.0137130,0.0144620,636045595
2025-09-26,BASUSDT,0.0144610,0.0156360,0.0141890,0.0152910,1133743866
2025-09-27,BASUSDT,0.0152940,0.0176080,0.0147930,0.0170580,1455124047
2025-09-28,BASUSDT,0.0170580,0.0176920,0.0161550,0.0168530,726049479
2025-09-29,BASUSDT,0.0168550,0.0169430,0.0155790,0.0160690,353287446
2025-09-30,BASUSDT,0.0160590,0.0173520,0.0158130,0.0165490,585640449
2025-10-01,BASUSDT,0.0165470,0.0167050,0.0158510,0.0160870,176491562
