Date,Symbol,Open,High,Low,Close,Volume
2023-09-28,BICOUSDT,0.2530000,0.3047000,0.2409000,0.2572000,269520768
2023-09-29,BICOUSDT,0.2570000,0.2738000,0.2377000,0.2457000,162647722
2023-09-30,BICOUSDT,0.2456000,0.2532000,0.2316000,0.2489000,75567142
2023-10-01,BICOUSDT,0.2488000,0.2531000,0.2380000,0.2445000,49346909
2023-10-02,BICOUSDT,0.2445000,0.2523000,0.2298000,0.2354000,32249004
2023-10-03,BICOUSDT,0.2356000,0.2448000,0.2305000,0.2419000,28827334
2023-10-04,BICOUSDT,0.2421000,0.2421000,0.2230000,0.2313000,34067175
2023-10-05,BICOUSDT,0.2314000,0.2397000,0.2263000,0.2312000,31395528
2023-10-06,BICOUSDT,0.2313000,0.2388000,0.2280000,0.2340000,17034439
2023-10-07,BICOUSDT,0.2341000,0.2378000,0.2307000,0.2339000,10732093
2023-10-08,BICOUSDT,0.2339000,0.2342000,0.2203000,0.2273000,19069976
2023-10-09,BICOUSDT,0.2272000,0.2274000,0.2066000,0.2125000,18713856
2023-10-10,BICOUSDT,0.2126000,0.2131000,0.2040000,0.2093000,11462710
2023-10-11,BICOUSDT,0.2092000,0.2093000,0.2003000,0.2068000,20217687
2023-10-12,BICOUSDT,0.2069000,0.2117000,0.2007000,0.2057000,19399584
2023-10-13,BICOUSDT,0.2057000,0.2129000,0.2043000,0.2089000,18601882
2023-10-14,BICOUSDT,0.2088000,0.2100000,0.2054000,0.2079000,6312061
2023-10-15,BICOUSDT,0.2081000,0.2181000,0.2049000,0.2116000,20763039
2023-10-16,BICOUSDT,0.2115000,0.2174000,0.2072000,0.2128000,18438539
2023-10-17,BICOUSDT,0.2127000,0.2128000,0.2012000,0.2064000,15996794
2023-10-18,BICOUSDT,0.2064000,0.2064000,0.1981000,0.2009000,11444576
2023-10-19,BICOUSDT,0.2008000,0.2134000,0.1970000,0.2040000,55244070
2023-10-20,BICOUSDT,0.2040000,0.2084000,0.2004000,0.2064000,16024958
2023-10-21,BICOUSDT,0.2064000,0.2157000,0.2055000,0.2100000,11894724
2023-10-22,BICOUSDT,0.2100000,0.2162000,0.2070000,0.2137000,10833054
2023-10-23,BICOUSDT,0.2136000,0.2227000,0.2089000,0.2214000,21719764
2023-10-24,BICOUSDT,0.2214000,0.2320000,0.2156000,0.2286000,27553806
2023-10-25,BICOUSDT,0.2286000,0.2328000,0.2217000,0.2292000,19722822
2023-10-26,BICOUSDT,0.2292000,0.2463000,0.2232000,0.2379000,39151294
2023-10-27,BICOUSDT,0.2379000,0.2380000,0.2270000,0.2306000,18526345
2023-10-28,BICOUSDT,0.2306000,0.2420000,0.2292000,0.2406000,15757593
2023-10-29,BICOUSDT,0.2406000,0.2442000,0.2348000,0.2407000,14683311
2023-10-30,BICOUSDT,0.2408000,0.2430000,0.2321000,0.2378000,18786275
2023-10-31,BICOUSDT,0.2379000,0.2434000,0.2225000,0.2326000,23881033
2023-11-01,BICOUSDT,0.2327000,0.2410000,0.2228000,0.2379000,22835623
2023-11-02,BICOUSDT,0.2380000,0.2451000,0.2252000,0.2289000,21825760
2023-11-03,BICOUSDT,0.2289000,0.2348000,0.2146000,0.2346000,28827552
2023-11-04,BICOUSDT,0.2345000,0.2399000,0.2309000,0.2386000,15023167
2023-11-05,BICOUSDT,0.2385000,0.2519000,0.2356000,0.2436000,27544306
2023-11-06,BICOUSDT,0.2436000,0.2530000,0.2354000,0.2505000,17907770
2023-11-07,BICOUSDT,0.2504000,0.2540000,0.2358000,0.2424000,26470694
2023-11-08,BICOUSDT,0.2425000,0.2519000,0.2400000,0.2492000,25322965
2023-11-09,BICOUSDT,0.2491000,0.2857000,0.2290000,0.2584000,82511058
2023-11-10,BICOUSDT,0.2585000,0.2788000,0.2572000,0.2761000,32988274
2023-11-11,BICOUSDT,0.2761000,0.2875000,0.2644000,0.2737000,27625086
2023-11-12,BICOUSDT,0.2737000,0.2775000,0.2611000,0.2729000,21029364
2023-11-13,BICOUSDT,0.2729000,0.2808000,0.2571000,0.2576000,51672395
2023-11-14,BICOUSDT,0.2576000,0.2742000,0.2451000,0.2604000,38501771
2023-11-15,BICOUSDT,0.2605000,0.3325000,0.2599000,0.2973000,225600325
2023-11-16,BICOUSDT,0.2973000,0.3040000,0.2698000,0.2765000,66549249
2023-11-17,BICOUSDT,0.2765000,0.2877000,0.2597000,0.2759000,35628132
2023-11-18,BICOUSDT,0.2759000,0.2910000,0.2560000,0.2665000,34785084
2023-11-19,BICOUSDT,0.2664000,0.2775000,0.2595000,0.2768000,17732069
2023-11-20,BICOUSDT,0.2766000,0.2768000,0.2640000,0.2684000,17535202
2023-11-21,BICOUSDT,0.2684000,0.2757000,0.2393000,0.2398000,32464916
2023-11-22,BICOUSDT,0.2399000,0.2611000,0.2391000,0.2586000,15323147
2023-11-23,BICOUSDT,0.2587000,0.2642000,0.2551000,0.2634000,9423948
2023-11-24,BICOUSDT,0.2634000,0.2784000,0.2612000,0.2734000,22402727
2023-11-25,BICOUSDT,0.2734000,0.2841000,0.2711000,0.2768000,13780064
2023-11-26,BICOUSDT,0.2767000,0.2776000,0.2600000,0.2710000,13589607
2023-11-27,BICOUSDT,0.2710000,0.2722000,0.2544000,0.2609000,14329871
2023-11-28,BICOUSDT,0.2609000,0.2702000,0.2526000,0.2663000,20255917
2023-11-29,BICOUSDT,0.2662000,0.2735000,0.2621000,0.2657000,10618252
2023-11-30,BICOUSDT,0.2658000,0.2728000,0.2631000,0.2675000,9364391
2023-12-01,BICOUSDT,0.2675000,0.2758000,0.2649000,0.2722000,10508550
2023-12-02,BICOUSDT,0.2723000,0.2849000,0.2719000,0.2776000,17270747
2023-12-03,BICOUSDT,0.2777000,0.2811000,0.2711000,0.2749000,8272400
2023-12-04,BICOUSDT,0.2751000,0.2980000,0.2639000,0.2930000,32278448
2023-12-05,BICOUSDT,0.2931000,0.3168000,0.2915000,0.3118000,33973985
2023-12-06,BICOUSDT,0.3119000,0.3321000,0.3013000,0.3076000,27693569
2023-12-07,BICOUSDT,0.3076000,0.3214000,0.3044000,0.3156000,15981785
2023-12-08,BICOUSDT,0.3156000,0.3379000,0.3125000,0.3264000,24320847
2023-12-09,BICOUSDT,0.3263000,0.3617000,0.3198000,0.3246000,30196451
2023-12-10,BICOUSDT,0.3247000,0.3362000,0.3145000,0.3322000,11717687
2023-12-11,BICOUSDT,0.3322000,0.3605000,0.2831000,0.3574000,90099163
2023-12-12,BICOUSDT,0.3573000,0.3773000,0.3360000,0.3586000,61284765
2023-12-13,BICOUSDT,0.3587000,0.3667000,0.3350000,0.3540000,40479697
2023-12-14,BICOUSDT,0.3541000,0.3598000,0.3380000,0.3540000,23113777
2023-12-15,BICOUSDT,0.3539000,0.3735000,0.3486000,0.3601000,30503936
2023-12-16,BICOUSDT,0.3602000,0.3967000,0.3544000,0.3604000,44459490
2023-12-17,BICOUSDT,0.3602000,0.3745000,0.3519000,0.3552000,23600408
