Date,Symbol,Open,High,Low,Close,Volume
2020-09-17,BLZUSDT,0.11770,0.12000,0.11347,0.11976,5206007
2020-09-18,BLZUSDT,0.11980,0.12400,0.11425,0.11870,9095068
2020-09-19,BLZUSDT,0.11870,0.11991,0.11027,0.11647,7174037
2020-09-20,BLZUSDT,0.11649,0.11896,0.10000,0.10457,13428398
2020-09-21,BLZUSDT,0.10457,0.10575,0.08149,0.08451,18323372
2020-09-22,BLZUSDT,0.08450,0.08957,0.08216,0.08726,9282156
2020-09-23,BLZUSDT,0.08703,0.09288,0.07500,0.07630,18563723
2020-09-24,BLZUSDT,0.07643,0.08619,0.07555,0.08544,10669132
2020-09-25,BLZUSDT,0.08546,0.09651,0.08056,0.09429,14597316
2020-09-26,BLZUSDT,0.09416,0.09957,0.08976,0.09745,17848904
2020-09-27,BLZUSDT,0.09750,0.09971,0.08646,0.09354,13007683
2020-09-28,BLZUSDT,0.09358,0.11123,0.09358,0.10330,52317498
2020-09-29,BLZUSDT,0.10325,0.12020,0.10183,0.11561,66037799
2020-09-30,BLZUSDT,0.11577,0.11942,0.11066,0.11461,17851509
2020-10-01,BLZUSDT,0.11457,0.11566,0.10120,0.10532,24765619
2020-10-02,BLZUSDT,0.10532,0.10876,0.08879,0.09829,27417462
2020-10-03,BLZUSDT,0.09833,0.10675,0.09717,0.10324,24053923
2020-10-04,BLZUSDT,0.10321,0.10521,0.09798,0.10482,18017859
2020-10-05,BLZUSDT,0.10482,0.11023,0.10212,0.10791,19513911
2020-10-06,BLZUSDT,0.10790,0.10854,0.09464,0.09612,26072500
2020-10-07,BLZUSDT,0.09609,0.09630,0.08700,0.09565,25103392
2020-10-08,BLZUSDT,0.09562,0.10353,0.09186,0.10203,37482579
2020-10-09,BLZUSDT,0.10211,0.10677,0.09867,0.10283,20731633
2020-10-10,BLZUSDT,0.10281,0.12999,0.10203,0.12565,89152938
2020-10-11,BLZUSDT,0.12550,0.12791,0.11551,0.11899,48323531
2020-10-12,BLZUSDT,0.11888,0.12267,0.11148,0.11378,47397193
2020-10-13,BLZUSDT,0.11378,0.11845,0.10767,0.11252,36179922
2020-10-14,BLZUSDT,0.11252,0.11686,0.09840,0.10166,40116829
2020-10-15,BLZUSDT,0.10142,0.10191,0.09558,0.09621,29387238
2020-10-16,BLZUSDT,0.09627,0.09640,0.08409,0.08454,41243826
2020-10-17,BLZUSDT,0.08464,0.08936,0.08234,0.08879,17067713
2020-10-18,BLZUSDT,0.08874,0.09430,0.08803,0.09115,19086934
2020-10-19,BLZUSDT,0.09120,0.09155,0.08097,0.08280,29797859
2020-10-20,BLZUSDT,0.08288,0.08289,0.07540,0.07643,38789672
2020-10-21,BLZUSDT,0.07642,0.08422,0.07636,0.07928,36262769
2020-10-22,BLZUSDT,0.07915,0.08883,0.07915,0.08542,38879630
2020-10-23,BLZUSDT,0.08536,0.08546,0.07866,0.08092,29700469
2020-10-24,BLZUSDT,0.08095,0.08976,0.07995,0.08752,27957134
2020-10-25,BLZUSDT,0.08739,0.09196,0.08340,0.08637,38286065
2020-10-26,BLZUSDT,0.08632,0.08711,0.07600,0.07828,26297105
2020-10-27,BLZUSDT,0.07827,0.08071,0.07507,0.07753,29729830
2020-10-28,BLZUSDT,0.07753,0.07797,0.06616,0.06835,37878426
2020-10-29,BLZUSDT,0.06833,0.06997,0.06434,0.06575,26872007
2020-10-30,BLZUSDT,0.06583,0.06674,0.05891,0.06283,24091356
2020-10-31,BLZUSDT,0.06285,0.06430,0.05955,0.05998,22457531
2020-11-01,BLZUSDT,0.05994,0.06097,0.05778,0.05910,25151092
2020-11-02,BLZUSDT,0.05916,0.06091,0.05679,0.05773,28508212
