Date,Symbol,Open,High,Low,Close,Volume
2024-08-20,BRETTUSDT,0.1000000,0.1010900,0.0862800,0.0894600,514729044
2024-08-21,BRETTUSDT,0.0894200,0.0912100,0.0833500,0.0894500,521879585
2024-08-22,BRETTUSDT,0.0894400,0.0957000,0.0872200,0.0933200,390069285
2024-08-23,BRETTUSDT,0.0933400,0.1033700,0.0917800,0.1027400,297290012
2024-08-24,BRETTUSDT,0.1027800,0.1043500,0.0982200,0.1006700,195318195
2024-08-25,BRETTUSDT,0.1006500,0.1007500,0.0927600,0.0936100,137220728
2024-08-26,BRETTUSDT,0.0935700,0.0946500,0.0867200,0.0872400,151328070
2024-08-27,BRETTUSDT,0.0872200,0.0889900,0.0785800,0.0819000,221801157
2024-08-28,BRETTUSDT,0.0818900,0.0849400,0.0782400,0.0799600,209606840
2024-08-29,BRETTUSDT,0.0799900,0.0854300,0.0796600,0.0812200,179053846
2024-08-30,BRETTUSDT,0.0812000,0.0825800,0.0777000,0.0817300,119326928
2024-08-31,BRETTUSDT,0.0817200,0.0823100,0.0792900,0.0798800,44545026
2024-09-01,BRETTUSDT,0.0798600,0.0799600,0.0716600,0.0720800,178815387
2024-09-02,BRETTUSDT,0.0720700,0.0776100,0.0716700,0.0769400,117716509
2024-09-03,BRETTUSDT,0.0769200,0.0781800,0.0674400,0.0675400,155264735
2024-09-04,BRETTUSDT,0.0675300,0.0749600,0.0639400,0.0735900,245767267
2024-09-05,BRETTUSDT,0.0736000,0.0747000,0.0674600,0.0679200,171763939
2024-09-06,BRETTUSDT,0.0679300,0.0712900,0.0620900,0.0660700,273090374
2024-09-07,BRETTUSDT,0.0660600,0.0717200,0.0656800,0.0686700,126310787
2024-09-08,BRETTUSDT,0.0686900,0.0732700,0.0680100,0.0721200,118805706
2024-09-09,BRETTUSDT,0.0721100,0.0804000,0.0708600,0.0780500,237763792
2024-09-10,BRETTUSDT,0.0780900,0.0812700,0.0765300,0.0800800,139534873
2024-09-11,BRETTUSDT,0.0800900,0.0801800,0.0733700,0.0780600,160722167
2024-09-12,BRETTUSDT,0.0780600,0.0812600,0.0779500,0.0805900,138030042
2024-09-13,BRETTUSDT,0.0805700,0.0844900,0.0784700,0.0833900,94536933
2024-09-14,BRETTUSDT,0.0834700,0.0837100,0.0805800,0.0817300,41262696
2024-09-15,BRETTUSDT,0.0817400,0.0825100,0.0757400,0.0767200,55291908
2024-09-16,BRETTUSDT,0.0767100,0.0776600,0.0720800,0.0734700,78498316
2024-09-17,BRETTUSDT,0.0734700,0.0789500,0.0723700,0.0759100,104697811
2024-09-18,BRETTUSDT,0.0759200,0.0766900,0.0704700,0.0765800,148119089
2024-09-19,BRETTUSDT,0.0766000,0.0855700,0.0766000,0.0823000,191880792
2024-09-20,BRETTUSDT,0.0823300,0.0869000,0.0802000,0.0827100,142512354
