Date,Symbol,Open,High,Low,Close,Volume
2024-11-27,CHILLGUYUSDT,0.6270000,0.6374000,0.5283000,0.5655000,130971602
2024-11-28,CHILLGUYUSDT,0.5655000,0.5770000,0.4680000,0.4832000,304194535
2024-11-29,CHILLGUYUSDT,0.4831000,0.5239000,0.4346000,0.4562000,319337874
2024-11-30,CHILLGUYUSDT,0.4564000,0.5095000,0.4420000,0.4433000,333304767
2024-12-01,CHILLGUYUSDT,0.4432000,0.4882000,0.4160000,0.4484000,282832787
2024-12-02,CHILLGUYUSDT,0.4485000,0.4576000,0.3590000,0.4214000,573173486
2024-12-03,CHILLGUYUSDT,0.4213000,0.5329000,0.4125000,0.4861000,470474809
2024-12-04,CHILLGUYUSDT,0.4861000,0.5699000,0.4472000,0.4722000,359724979
2024-12-05,CHILLGUYUSDT,0.4723000,0.4929000,0.4200000,0.4481000,303442954
2024-12-06,CHILLGUYUSDT,0.4481000,0.4707000,0.4060000,0.4171000,224818333
2024-12-07,CHILLGUYUSDT,0.4171000,0.4724000,0.4004000,0.4489000,236741612
2024-12-08,CHILLGUYUSDT,0.4487000,0.4583000,0.4182000,0.4359000,156857525
2024-12-09,CHILLGUYUSDT,0.4360000,0.4395000,0.2583000,0.3551000,357225146
2024-12-10,CHILLGUYUSDT,0.3550000,0.3646000,0.2849000,0.3338000,296574183
2024-12-11,CHILLGUYUSDT,0.3340000,0.4082000,0.3197000,0.3592000,322901527
2024-12-12,CHILLGUYUSDT,0.3594000,0.4518000,0.3258000,0.3384000,697669685
2024-12-13,CHILLGUYUSDT,0.3385000,0.3452000,0.2806000,0.3057000,764284264
2024-12-14,CHILLGUYUSDT,0.3057000,0.3809000,0.2972000,0.3089000,916830533
2024-12-15,CHILLGUYUSDT,0.3089000,0.3621000,0.3012000,0.3613000,563447921
2024-12-16,CHILLGUYUSDT,0.3614000,0.3781000,0.3077000,0.3101000,585967279
2024-12-17,CHILLGUYUSDT,0.3102000,0.3212000,0.2654000,0.2726000,542847000
2024-12-18,CHILLGUYUSDT,0.2727000,0.2841000,0.2121000,0.2242000,637594682
2024-12-19,CHILLGUYUSDT,0.2243000,0.2247000,0.1717000,0.1842000,1129020361
2024-12-20,CHILLGUYUSDT,0.1842000,0.1947000,0.1459000,0.1915000,1165124512
2024-12-21,CHILLGUYUSDT,0.1915000,0.1955000,0.1565000,0.1630000,615188974
2024-12-22,CHILLGUYUSDT,0.1631000,0.2135000,0.1582000,0.1862000,1379187426
2024-12-23,CHILLGUYUSDT,0.1862000,0.2067000,0.1712000,0.2003000,856897991
2024-12-24,CHILLGUYUSDT,0.2002000,0.2030000,0.1768000,0.1891000,507037638
2024-12-25,CHILLGUYUSDT,0.1891000,0.2205000,0.1742000,0.1791000,751432238
2024-12-26,CHILLGUYUSDT,0.1791000,0.1856000,0.1640000,0.1664000,506300281
2024-12-27,CHILLGUYUSDT,0.1664000,0.1874000,0.1629000,0.1656000,504368472
2024-12-28,CHILLGUYUSDT,0.1657000,0.1747000,0.1566000,0.1717000,321816849
2024-12-29,CHILLGUYUSDT,0.1717000,0.1730000,0.1485000,0.1510000,322570570
2024-12-30,CHILLGUYUSDT,0.1511000,0.1745000,0.1504000,0.1595000,641251129
2024-12-31,CHILLGUYUSDT,0.1596000,0.1682000,0.1517000,0.1586000,428485343
2025-01-01,CHILLGUYUSDT,0.1586000,0.1773000,0.1504000,0.1673000,556475811
2025-01-02,CHILLGUYUSDT,0.1673000,0.2014000,0.1622000,0.1706000,619438178
2025-01-03,CHILLGUYUSDT,0.1706000,0.2369000,0.1624000,0.2312000,1088918104
2025-01-04,CHILLGUYUSDT,0.2311000,0.2595000,0.2240000,0.2547000,2491477344
2025-01-05,CHILLGUYUSDT,0.2548000,0.2640000,0.2077000,0.2168000,1046685883
2025-01-06,CHILLGUYUSDT,0.2168000,0.2169000,0.1941000,0.1977000,716549573
2025-01-07,CHILLGUYUSDT,0.1977000,0.1997000,0.1638000,0.1648000,714098676
2025-01-08,CHILLGUYUSDT,0.1647000,0.1691000,0.1295000,0.1400000,1040160684
2025-01-09,CHILLGUYUSDT,0.1399000,0.1436000,0.1250000,0.1335000,894946184
2025-01-10,CHILLGUYUSDT,0.1335000,0.1446000,0.1284000,0.1335000,727208260
2025-01-11,CHILLGUYUSDT,0.1334000,0.1374000,0.1258000,0.1293000,442722808
2025-01-12,CHILLGUYUSDT,0.1294000,0.1303000,0.1196000,0.1227000,492216631
2025-01-13,CHILLGUYUSDT,0.1227000,0.1289000,0.1036000,0.1177000,985983520
2025-01-14,CHILLGUYUSDT,0.1178000,0.1233000,0.1168000,0.1200000,495947674
2025-01-15,CHILLGUYUSDT,0.1199000,0.1340000,0.1113000,0.1293000,533407359
2025-01-16,CHILLGUYUSDT,0.1294000,0.1303000,0.1175000,0.1192000,443027340
2025-01-17,CHILLGUYUSDT,0.1192000,0.1360000,0.1180000,0.1338000,501544574
2025-01-18,CHILLGUYUSDT,0.1338000,0.1377000,0.0937000,0.0979000,928334660
2025-01-19,CHILLGUYUSDT,0.0979000,0.1440000,0.0829000,0.0880000,2226493394
2025-01-20,CHILLGUYUSDT,0.0880000,0.0885000,0.0671000,0.0736000,1544473525
2025-01-21,CHILLGUYUSDT,0.0736000,0.0802000,0.0683000,0.0779000,991365453
2025-01-22,CHILLGUYUSDT,0.0779000,0.0896000,0.0768000,0.0826000,824459195
2025-01-23,CHILLGUYUSDT,0.0825000,0.0902000,0.0767000,0.0806000,840417934
2025-01-24,CHILLGUYUSDT,0.0806000,0.0834000,0.0681000,0.0688000,610178930
2025-01-25,CHILLGUYUSDT,0.0688000,0.0740000,0.0635000,0.0679000,726235856
2025-01-26,CHILLGUYUSDT,0.0678000,0.0751000,0.0647000,0.0654000,509835113
2025-01-27,CHILLGUYUSDT,0.0654000,0.0659000,0.0544000,0.0600000,1108511655
2025-01-28,CHILLGUYUSDT,0.0600000,0.0607000,0.0478000,0.0486000,841135542
2025-01-29,CHILLGUYUSDT,0.0486000,0.0579000,0.0483000,0.0531000,1068042282
2025-01-30,CHILLGUYUSDT,0.0531000,0.0650000,0.0529000,0.0550000,1188164770
2025-01-31,CHILLGUYUSDT,0.0550000,0.0643000,0.0544000,0.0565000,965296098
2025-02-01,CHILLGUYUSDT,0.0564000,0.0603000,0.0431000,0.0438000,1047207986
2025-02-02,CHILLGUYUSDT,0.0438000,0.0457000,0.0333000,0.0367000,1647568066
2025-02-03,CHILLGUYUSDT,0.0368000,0.0407000,0.0244000,0.0397000,2411006740
2025-02-04,CHILLGUYUSDT,0.0397000,0.0404000,0.0328000,0.0364000,1672975223
2025-02-05,CHILLGUYUSDT,0.0365000,0.0383000,0.0322000,0.0329000,984230511
2025-02-06,CHILLGUYUSDT,0.0329000,0.0347000,0.0280000,0.0283000,1259570291
2025-02-07,CHILLGUYUSDT,0.0283000,0.0356000,0.0274000,0.0288000,1375114193
2025-02-08,CHILLGUYUSDT,0.0289000,0.0358000,0.0287000,0.0338000,1111146380
2025-02-09,CHILLGUYUSDT,0.0338000,0.0368000,0.0313000,0.0329000,866767954
2025-02-10,CHILLGUYUSDT,0.0328000,0.0346000,0.0306000,0.0313000,1183533188
2025-02-11,CHILLGUYUSDT,0.0312000,0.0358000,0.0294000,0.0308000,1205377179
2025-02-12,CHILLGUYUSDT,0.0307000,0.0313000,0.0276000,0.0306000,1324461196
2025-02-13,CHILLGUYUSDT,0.0306000,0.0315000,0.0280000,0.0303000,1214430532
2025-02-14,CHILLGUYUSDT,0.0304000,0.0372000,0.0295000,0.0328000,1994609514
2025-02-15,CHILLGUYUSDT,0.0328000,0.0344000,0.0311000,0.0322000,810766121
2025-02-16,CHILLGUYUSDT,0.0323000,0.0330000,0.0294000,0.0301000,768848003
2025-02-17,CHILLGUYUSDT,0.0301000,0.0314000,0.0274000,0.0288000,1053574901
2025-02-18,CHILLGUYUSDT,0.0288000,0.0291000,0.0252000,0.0270000,1052379843
2025-02-19,CHILLGUYUSDT,0.0270000,0.0285000,0.0254000,0.0266000,872621574
2025-02-20,CHILLGUYUSDT,0.0267000,0.0296000,0.0262000,0.0292000,907429713
2025-02-21,CHILLGUYUSDT,0.0292000,0.0335000,0.0280000,0.0286000,1343914800
2025-02-22,CHILLGUYUSDT,0.0286000,0.0375000,0.0279000,0.0354000,1896844618
2025-02-23,CHILLGUYUSDT,0.0354000,0.0358000,0.0302000,0.0318000,880574707
2025-02-24,CHILLGUYUSDT,0.0318000,0.0323000,0.0253000,0.0262000,900189481
2025-02-25,CHILLGUYUSDT,0.0262000,0.0367000,0.0246000,0.0318000,2128637007
2025-02-26,CHILLGUYUSDT,0.0318000,0.0388000,0.0317000,0.0385000,2396667087
2025-02-27,CHILLGUYUSDT,0.0386000,0.0390000,0.0333000,0.0346000,1709235259
2025-02-28,CHILLGUYUSDT,0.0345000,0.0462000,0.0324000,0.0407000,2047858756
2025-03-01,CHILLGUYUSDT,0.0407000,0.0414000,0.0330000,0.0338000,1209281935
2025-03-02,CHILLGUYUSDT,0.0339000,0.0393000,0.0332000,0.0382000,1397596744
2025-03-03,CHILLGUYUSDT,0.0382000,0.0413000,0.0312000,0.0325000,1460727976
2025-03-04,CHILLGUYUSDT,0.0324000,0.0332000,0.0280000,0.0304000,1344918559
2025-03-05,CHILLGUYUSDT,0.0303000,0.0317000,0.0295000,0.0309000,800287243
2025-03-06,CHILLGUYUSDT,0.0310000,0.0314000,0.0283000,0.0289000,844147530
2025-03-07,CHILLGUYUSDT,0.0289000,0.0300000,0.0263000,0.0284000,1002921458
2025-03-08,CHILLGUYUSDT,0.0284000,0.0300000,0.0257000,0.0268000,637877056
2025-03-09,CHILLGUYUSDT,0.0268000,0.0272000,0.0232000,0.0244000,603934878
2025-03-10,CHILLGUYUSDT,0.0245000,0.0268000,0.0243000,0.0261000,805153085
2025-03-11,CHILLGUYUSDT,0.0261000,0.0295000,0.0241000,0.0283000,1080738180
2025-03-12,CHILLGUYUSDT,0.0282000,0.0288000,0.0266000,0.0286000,560152268
2025-03-13,CHILLGUYUSDT,0.0285000,0.0289000,0.0253000,0.0259000,550236651
2025-03-14,CHILLGUYUSDT,0.0258000,0.0306000,0.0256000,0.0289000,488974148
2025-03-15,CHILLGUYUSDT,0.0289000,0.0303000,0.0288000,0.0302000,329615069
2025-03-16,CHILLGUYUSDT,0.0302000,0.0314000,0.0290000,0.0292000,434242034
2025-03-17,CHILLGUYUSDT,0.0292000,0.0317000,0.0290000,0.0303000,374853161
2025-03-18,CHILLGUYUSDT,0.0304000,0.0305000,0.0262000,0.0273000,531657077
2025-03-19,CHILLGUYUSDT,0.0273000,0.0299000,0.0265000,0.0295000,473763987
2025-03-20,CHILLGUYUSDT,0.0296000,0.0307000,0.0284000,0.0289000,470100677
2025-03-21,CHILLGUYUSDT,0.0289000,0.0301000,0.0276000,0.0287000,397312794
2025-03-22,CHILLGUYUSDT,0.0286000,0.0311000,0.0285000,0.0293000,222212278
2025-03-23,CHILLGUYUSDT,0.0294000,0.0298000,0.0280000,0.0297000,305149084
2025-03-24,CHILLGUYUSDT,0.0297000,0.0328000,0.0293000,0.0318000,445607342
2025-03-25,CHILLGUYUSDT,0.0318000,0.0334000,0.0297000,0.0322000,479003171
2025-03-26,CHILLGUYUSDT,0.0322000,0.0393000,0.0306000,0.0314000,1533682887
2025-03-27,CHILLGUYUSDT,0.0314000,0.0333000,0.0288000,0.0293000,608625260
2025-03-28,CHILLGUYUSDT,0.0292000,0.0296000,0.0255000,0.0269000,608403871
2025-03-29,CHILLGUYUSDT,0.0268000,0.0274000,0.0252000,0.0260000,462290650
2025-03-30,CHILLGUYUSDT,0.0260000,0.0270000,0.0254000,0.0263000,285877627
2025-03-31,CHILLGUYUSDT,0.0263000,0.0266000,0.0250000,0.0260000,406746759
2025-04-01,CHILLGUYUSDT,0.0260000,0.0277000,0.0244000,0.0248000,484510100
2025-04-02,CHILLGUYUSDT,0.0248000,0.0259000,0.0225000,0.0233000,623404209
2025-04-03,CHILLGUYUSDT,0.0233000,0.0242000,0.0219000,0.0233000,404523855
2025-04-04,CHILLGUYUSDT,0.0233000,0.0240000,0.0223000,0.0234000,326227138
2025-04-05,CHILLGUYUSDT,0.0234000,0.0237000,0.0220000,0.0226000,229068953
2025-04-06,CHILLGUYUSDT,0.0226000,0.0226000,0.0185000,0.0190000,555997786
2025-04-07,CHILLGUYUSDT,0.0191000,0.0213000,0.0178000,0.0202000,749028811
2025-04-08,CHILLGUYUSDT,0.0202000,0.0211000,0.0183000,0.0185000,451998706
2025-04-09,CHILLGUYUSDT,0.0185000,0.0207000,0.0178000,0.0205000,516646337
2025-04-10,CHILLGUYUSDT,0.0205000,0.0207000,0.0183000,0.0196000,342919018
2025-04-11,CHILLGUYUSDT,0.0195000,0.0210000,0.0193000,0.0205000,363664194
2025-04-12,CHILLGUYUSDT,0.0205000,0.0226000,0.0200000,0.0218000,495281575
2025-04-13,CHILLGUYUSDT,0.0218000,0.0218000,0.0188000,0.0191000,404043014
2025-04-14,CHILLGUYUSDT,0.0191000,0.0216000,0.0189000,0.0209000,475326769
2025-04-15,CHILLGUYUSDT,0.0209000,0.0220000,0.0191000,0.0194000,476839841
2025-04-16,CHILLGUYUSDT,0.0194000,0.0210000,0.0184000,0.0201000,458613766
2025-04-17,CHILLGUYUSDT,0.0200000,0.0266500,0.0198000,0.0249200,3614752396
2025-04-18,CHILLGUYUSDT,0.0249200,0.0256900,0.0203600,0.0213800,1901034845
2025-04-19,CHILLGUYUSDT,0.0213900,0.0222900,0.0204800,0.0214800,693684698
2025-04-20,CHILLGUYUSDT,0.0214800,0.0221500,0.0203600,0.0211100,578420899
2025-04-21,CHILLGUYUSDT,0.0211100,0.0220500,0.0207900,0.0209800,662405447
2025-04-22,CHILLGUYUSDT,0.0209800,0.0306200,0.0201500,0.0302300,2165988514
2025-04-23,CHILLGUYUSDT,0.0302200,0.0342000,0.0253700,0.0279300,2898634534
2025-04-24,CHILLGUYUSDT,0.0279200,0.0324500,0.0248000,0.0314000,1252175117
2025-04-25,CHILLGUYUSDT,0.0314100,0.0333900,0.0280900,0.0288400,1134484105
2025-04-26,CHILLGUYUSDT,0.0288400,0.0348700,0.0284800,0.0321400,831307174
2025-04-27,CHILLGUYUSDT,0.0321500,0.0326300,0.0285000,0.0308700,654466714
2025-04-28,CHILLGUYUSDT,0.0308500,0.0421500,0.0295800,0.0387200,5317523395
2025-04-29,CHILLGUYUSDT,0.0387300,0.0390600,0.0333600,0.0380500,1103902072
2025-04-30,CHILLGUYUSDT,0.0380500,0.0408800,0.0339300,0.0367200,956183209
2025-05-01,CHILLGUYUSDT,0.0367200,0.0460000,0.0361900,0.0455600,1554559575
2025-05-02,CHILLGUYUSDT,0.0455500,0.0564900,0.0452400,0.0515500,4592764041
2025-05-03,CHILLGUYUSDT,0.0515600,0.0545200,0.0475200,0.0487200,1372963471
2025-05-04,CHILLGUYUSDT,0.0487300,0.0487600,0.0414900,0.0425300,858672534
2025-05-05,CHILLGUYUSDT,0.0425400,0.0582900,0.0420000,0.0525600,2440471393
2025-05-06,CHILLGUYUSDT,0.0525600,0.0547800,0.0481600,0.0516100,1534957474
2025-05-07,CHILLGUYUSDT,0.0516100,0.0535500,0.0455300,0.0498100,1030712157
2025-05-08,CHILLGUYUSDT,0.0498100,0.0629800,0.0483600,0.0591200,1190904962
2025-05-09,CHILLGUYUSDT,0.0591100,0.0849200,0.0557600,0.0836700,1878552899
2025-05-10,CHILLGUYUSDT,0.0836900,0.0878000,0.0660200,0.0734600,878292197
2025-05-11,CHILLGUYUSDT,0.0734800,0.0902900,0.0652600,0.0872600,1239677162
2025-05-12,CHILLGUYUSDT,0.0872500,0.1158800,0.0851600,0.1025300,2013201746
2025-05-13,CHILLGUYUSDT,0.1025600,0.1167400,0.0908000,0.1063300,1276102642
2025-05-14,CHILLGUYUSDT,0.1063400,0.1188800,0.0994000,0.1094400,1214064929
2025-05-15,CHILLGUYUSDT,0.1094500,0.1120600,0.0815100,0.0879200,1482398277
2025-05-16,CHILLGUYUSDT,0.0879300,0.0929400,0.0780100,0.0794200,1050214139
2025-05-17,CHILLGUYUSDT,0.0794100,0.0837800,0.0691300,0.0779200,1075974718
2025-05-18,CHILLGUYUSDT,0.0779100,0.0944400,0.0764200,0.0875600,1209510475
2025-05-19,CHILLGUYUSDT,0.0875700,0.0881000,0.0762200,0.0821600,775358933
2025-05-20,CHILLGUYUSDT,0.0821500,0.0876800,0.0760300,0.0853400,777847579
2025-05-21,CHILLGUYUSDT,0.0853500,0.1025700,0.0847600,0.0939500,1658572058
2025-05-22,CHILLGUYUSDT,0.0939700,0.1103500,0.0912300,0.1085600,751352077
2025-05-23,CHILLGUYUSDT,0.1085900,0.1153200,0.0860100,0.0877500,896305775
2025-05-24,CHILLGUYUSDT,0.0877200,0.0904900,0.0854400,0.0874500,480665938
2025-05-25,CHILLGUYUSDT,0.0874400,0.0887100,0.0787000,0.0877500,451643707
2025-05-26,CHILLGUYUSDT,0.0877500,0.0923600,0.0834600,0.0856300,420895800
2025-05-27,CHILLGUYUSDT,0.0856200,0.0913000,0.0831200,0.0863200,359926440
2025-05-28,CHILLGUYUSDT,0.0863200,0.0877900,0.0773300,0.0801300,383257103
2025-05-29,CHILLGUYUSDT,0.0801400,0.0860400,0.0732100,0.0751800,447569452
2025-05-30,CHILLGUYUSDT,0.0751800,0.0788000,0.0660300,0.0666500,747163850
2025-05-31,CHILLGUYUSDT,0.0666500,0.0701900,0.0614100,0.0683100,536468219
2025-06-01,CHILLGUYUSDT,0.0683000,0.0719800,0.0636300,0.0712000,372331289
2025-06-02,CHILLGUYUSDT,0.0712100,0.0765500,0.0656600,0.0736000,757431736
2025-06-03,CHILLGUYUSDT,0.0736000,0.0767600,0.0664500,0.0673900,558523626
2025-06-04,CHILLGUYUSDT,0.0673700,0.0684600,0.0596000,0.0604300,439560187
2025-06-05,CHILLGUYUSDT,0.0604400,0.0620400,0.0554400,0.0575800,467563569
2025-06-06,CHILLGUYUSDT,0.0575900,0.0635300,0.0566200,0.0573900,531394104
2025-06-07,CHILLGUYUSDT,0.0574000,0.0655500,0.0572900,0.0621200,427753427
2025-06-08,CHILLGUYUSDT,0.0621100,0.0641200,0.0597400,0.0615600,370037518
2025-06-09,CHILLGUYUSDT,0.0615700,0.0703700,0.0589900,0.0683000,464406674
2025-06-10,CHILLGUYUSDT,0.0683100,0.0686800,0.0629100,0.0662200,531366335
2025-06-11,CHILLGUYUSDT,0.0662300,0.0666900,0.0559600,0.0574400,600845290
2025-06-12,CHILLGUYUSDT,0.0574500,0.0579100,0.0522700,0.0524900,475963848
2025-06-13,CHILLGUYUSDT,0.0524900,0.0526400,0.0473300,0.0513300,572634684
2025-06-14,CHILLGUYUSDT,0.0513300,0.0514300,0.0483500,0.0498400,252737944
2025-06-15,CHILLGUYUSDT,0.0498500,0.0541600,0.0491200,0.0527900,420837810
2025-06-16,CHILLGUYUSDT,0.0528000,0.0554100,0.0503500,0.0518200,548385888
2025-06-17,CHILLGUYUSDT,0.0518300,0.0542300,0.0471400,0.0480000,400571304
2025-06-18,CHILLGUYUSDT,0.0480000,0.0498200,0.0439800,0.0497500,390479604
2025-06-19,CHILLGUYUSDT,0.0497600,0.0508100,0.0484000,0.0491000,268547638
2025-06-20,CHILLGUYUSDT,0.0491100,0.0518100,0.0455400,0.0460300,329711554
2025-06-21,CHILLGUYUSDT,0.0460300,0.0505300,0.0418500,0.0445100,427438223
2025-06-22,CHILLGUYUSDT,0.0445300,0.0457400,0.0397500,0.0425100,371666426
2025-06-23,CHILLGUYUSDT,0.0425100,0.0513900,0.0421700,0.0504000,389149718
2025-06-24,CHILLGUYUSDT,0.0504100,0.0529500,0.0488700,0.0501700,312978399
2025-06-25,CHILLGUYUSDT,0.0501700,0.0515600,0.0454500,0.0458300,360289028
2025-06-26,CHILLGUYUSDT,0.0458300,0.0476200,0.0429700,0.0442000,292999995
2025-06-27,CHILLGUYUSDT,0.0441900,0.0466600,0.0434000,0.0460800,240249563
2025-06-28,CHILLGUYUSDT,0.0460800,0.0526200,0.0453400,0.0509000,267273513
2025-06-29,CHILLGUYUSDT,0.0509000,0.0560700,0.0500100,0.0544500,493891526
2025-06-30,CHILLGUYUSDT,0.0544500,0.0554900,0.0509300,0.0518700,462696060
2025-07-01,CHILLGUYUSDT,0.0518800,0.0523400,0.0448200,0.0459500,290767283
2025-07-02,CHILLGUYUSDT,0.0459600,0.0605600,0.0453700,0.0574600,660540626
2025-07-03,CHILLGUYUSDT,0.0574800,0.0626300,0.0547200,0.0560400,816571298
2025-07-04,CHILLGUYUSDT,0.0560300,0.0572200,0.0522200,0.0537500,343590026
2025-07-05,CHILLGUYUSDT,0.0537600,0.0562000,0.0512800,0.0527800,284404866
2025-07-06,CHILLGUYUSDT,0.0527900,0.0590500,0.0519600,0.0566600,536448157
2025-07-07,CHILLGUYUSDT,0.0566600,0.0600200,0.0512700,0.0525800,445452791
2025-07-08,CHILLGUYUSDT,0.0525900,0.0586800,0.0510600,0.0567800,456056078
2025-07-09,CHILLGUYUSDT,0.0567700,0.0629300,0.0548500,0.0619900,455219487
2025-07-10,CHILLGUYUSDT,0.0620000,0.0734900,0.0615400,0.0721900,684209691
2025-07-11,CHILLGUYUSDT,0.0721800,0.0737200,0.0655800,0.0678700,477135418
2025-07-12,CHILLGUYUSDT,0.0678600,0.0687000,0.0614100,0.0660200,279009394
2025-07-13,CHILLGUYUSDT,0.0660500,0.0734000,0.0640100,0.0693500,448975140
2025-07-14,CHILLGUYUSDT,0.0693600,0.0754900,0.0635500,0.0653500,447963840
2025-07-15,CHILLGUYUSDT,0.0653600,0.0696200,0.0617500,0.0689200,355877253
2025-07-16,CHILLGUYUSDT,0.0689300,0.0749500,0.0665100,0.0719200,383601217
2025-07-17,CHILLGUYUSDT,0.0719400,0.0751400,0.0656200,0.0690600,407433385
2025-07-18,CHILLGUYUSDT,0.0690700,0.0752800,0.0642800,0.0659800,379386138
2025-07-19,CHILLGUYUSDT,0.0659900,0.0692800,0.0631800,0.0682500,226591157
2025-07-20,CHILLGUYUSDT,0.0682500,0.0806900,0.0671500,0.0770300,470487378
2025-07-21,CHILLGUYUSDT,0.0770400,0.0816600,0.0712000,0.0795300,546308501
2025-07-22,CHILLGUYUSDT,0.0795300,0.0839900,0.0704300,0.0838400,633582448
2025-07-23,CHILLGUYUSDT,0.0838700,0.0860200,0.0701000,0.0736400,603599537
2025-07-24,CHILLGUYUSDT,0.0736600,0.0803500,0.0696800,0.0707900,467925233
2025-07-25,CHILLGUYUSDT,0.0708200,0.0708600,0.0637200,0.0695700,390583121
2025-07-26,CHILLGUYUSDT,0.0695600,0.0711800,0.0677000,0.0685300,145254485
2025-07-27,CHILLGUYUSDT,0.0685400,0.0741400,0.0683400,0.0731000,180318379
2025-07-28,CHILLGUYUSDT,0.0731300,0.0740900,0.0640600,0.0647700,290123189
2025-07-29,CHILLGUYUSDT,0.0647900,0.0663300,0.0581800,0.0594500,288372336
2025-07-30,CHILLGUYUSDT,0.0594600,0.0604400,0.0555500,0.0589800,324838849
2025-07-31,CHILLGUYUSDT,0.0589900,0.0613100,0.0545100,0.0551000,259457228
2025-08-01,CHILLGUYUSDT,0.0551000,0.0552400,0.0505400,0.0529200,338398370
2025-08-02,CHILLGUYUSDT,0.0529400,0.0536000,0.0492900,0.0511100,219223103
2025-08-03,CHILLGUYUSDT,0.0511300,0.0536400,0.0502900,0.0529800,148551147
2025-08-04,CHILLGUYUSDT,0.0529800,0.0560500,0.0529300,0.0555000,168115515
