Date,Symbol,Open,High,Low,Close,Volume
2025-05-16,CVCUSDT,0.1294100,0.1384100,0.1280000,0.1304800,208050621
2025-05-17,CVCUSDT,0.1304800,0.1337000,0.1161500,0.1187600,183707311
2025-05-18,CVCUSDT,0.1187600,0.1272800,0.1172800,0.1259400,196754848
2025-05-19,CVCUSDT,0.1259800,0.1293400,0.1160100,0.1287100,183486746
2025-05-20,CVCUSDT,0.1287000,0.1378800,0.1264400,0.1367700,186496128
2025-05-21,CVCUSDT,0.1367800,0.1507900,0.1323000,0.1494900,167237408
2025-05-22,CVCUSDT,0.1495100,0.1603400,0.1454000,0.1519700,163732358
2025-05-23,CVCUSDT,0.1519400,0.1576300,0.1448700,0.1482800,83427775
2025-05-24,CVCUSDT,0.1483000,0.1541600,0.1452600,0.1461200,44284048
2025-05-25,CVCUSDT,0.1461100,0.1599500,0.1371400,0.1418500,210192419
2025-05-26,CVCUSDT,0.1418800,0.1480000,0.1383800,0.1405600,59780067
2025-05-27,CVCUSDT,0.1405400,0.1434200,0.1352000,0.1419700,38761746
2025-05-28,CVCUSDT,0.1419600,0.1476900,0.1357200,0.1406000,52170599
2025-05-29,CVCUSDT,0.1406700,0.1428700,0.1350200,0.1356400,26389837
2025-05-30,CVCUSDT,0.1356500,0.1448200,0.1288700,0.1391300,104657939
2025-05-31,CVCUSDT,0.1391100,0.1474600,0.1210500,0.1237100,91691974
2025-06-01,CVCUSDT,0.1237200,0.1294900,0.1184400,0.1287000,44006644
2025-06-02,CVCUSDT,0.1287000,0.1369100,0.1276800,0.1342000,69623766
2025-06-03,CVCUSDT,0.1342200,0.1356400,0.1278600,0.1287800,33494669
2025-06-04,CVCUSDT,0.1287800,0.1306000,0.1223000,0.1236300,27724411
2025-06-05,CVCUSDT,0.1236300,0.1243600,0.1113600,0.1142000,35800179
2025-06-06,CVCUSDT,0.1142100,0.1177600,0.1099900,0.1128200,48583960
2025-06-07,CVCUSDT,0.1128300,0.1171000,0.1124600,0.1152600,19311767
2025-06-08,CVCUSDT,0.1152900,0.1152900,0.1105500,0.1120900,30705913
2025-06-09,CVCUSDT,0.1120900,0.1156100,0.1095400,0.1150500,46251308
2025-06-10,CVCUSDT,0.1150800,0.1161900,0.1042000,0.1073500,119403306
2025-06-11,CVCUSDT,0.1073500,0.1074900,0.1013800,0.1033100,77897214
2025-06-12,CVCUSDT,0.1033200,0.1060600,0.0977000,0.0985800,68952330
2025-06-13,CVCUSDT,0.0985900,0.0985900,0.0902100,0.0945700,117416980
2025-06-14,CVCUSDT,0.0946000,0.0960500,0.0911500,0.0935200,26380411
2025-06-15,CVCUSDT,0.0935100,0.0939800,0.0905700,0.0924900,26691387
2025-06-16,CVCUSDT,0.0925100,0.0946200,0.0909500,0.0911200,30132993
2025-06-17,CVCUSDT,0.0910900,0.0923200,0.0865200,0.0890300,28392436
2025-06-18,CVCUSDT,0.0890200,0.0902800,0.0860600,0.0894000,20863739
2025-06-19,CVCUSDT,0.0894200,0.0902900,0.0880100,0.0899500,11071462
2025-06-20,CVCUSDT,0.0899400,0.0960000,0.0894900,0.0936800,85995807
2025-06-21,CVCUSDT,0.0936600,0.0972500,0.0840000,0.0863800,64525160
2025-06-22,CVCUSDT,0.0863800,0.0873900,0.0786700,0.0836900,60245736
2025-06-23,CVCUSDT,0.0836800,0.0913500,0.0836800,0.0902600,25984636
2025-06-24,CVCUSDT,0.0902900,0.0931500,0.0899100,0.0920200,16969271
2025-06-25,CVCUSDT,0.0920400,0.0932700,0.0876000,0.0890400,16406533
2025-06-26,CVCUSDT,0.0890400,0.0909700,0.0861800,0.0869000,12151198
2025-06-27,CVCUSDT,0.0869400,0.0878200,0.0849700,0.0867200,10518212
2025-06-28,CVCUSDT,0.0867200,0.0891000,0.0856000,0.0886800,10010427
2025-06-29,CVCUSDT,0.0887200,0.0907200,0.0870400,0.0899500,10111418
2025-06-30,CVCUSDT,0.0899300,0.0900000,0.0865200,0.0876300,9876703
2025-07-01,CVCUSDT,0.0875900,0.0883700,0.0845000,0.0846400,17276792
2025-07-02,CVCUSDT,0.0846600,0.0915400,0.0841500,0.0904300,18463256
2025-07-03,CVCUSDT,0.0904300,0.0919100,0.0896300,0.0911100,13838032
2025-07-04,CVCUSDT,0.0910900,0.0913600,0.0862700,0.0875500,10873796
2025-07-05,CVCUSDT,0.0875400,0.0881300,0.0866800,0.0877700,7817726
2025-07-06,CVCUSDT,0.0877500,0.0895500,0.0865000,0.0887100,6903798
2025-07-07,CVCUSDT,0.0887100,0.0941500,0.0883400,0.0908400,64712153
2025-07-08,CVCUSDT,0.0908300,0.0970000,0.0894300,0.0943800,104738289
2025-07-09,CVCUSDT,0.0943500,0.0952900,0.0911400,0.0948700,28115085
2025-07-10,CVCUSDT,0.0948200,0.0986900,0.0928000,0.0983500,25688115
2025-07-11,CVCUSDT,0.0983600,0.1013700,0.0954200,0.0973300,33768203
2025-07-12,CVCUSDT,0.0973800,0.1074700,0.0967800,0.1027200,69956716
2025-07-13,CVCUSDT,0.1027100,0.1048100,0.0997300,0.1031400,18977717
2025-07-14,CVCUSDT,0.1031600,0.1065800,0.0989800,0.1014000,24268639
2025-07-15,CVCUSDT,0.1013500,0.1022700,0.0973200,0.1021900,18762188
2025-07-16,CVCUSDT,0.1021800,0.1043500,0.1012600,0.1032300,20697734
2025-07-17,CVCUSDT,0.1032100,0.1044200,0.1001700,0.1035600,15821740
2025-07-18,CVCUSDT,0.1035400,0.1075300,0.1013600,0.1058400,21032388
2025-07-19,CVCUSDT,0.1058800,0.1110200,0.1020500,0.1069800,49382552
2025-07-20,CVCUSDT,0.1070100,0.1110000,0.1061300,0.1101000,21493062
2025-07-21,CVCUSDT,0.1100900,0.1147100,0.1075200,0.1130300,22761661
2025-07-22,CVCUSDT,0.1130400,0.1135300,0.1068100,0.1133000,26912310
2025-07-23,CVCUSDT,0.1133300,0.1166700,0.1023500,0.1054600,32534654
