Date,Symbol,Open,High,Low,Close,Volume
2024-12-13,DEGOUSDT,3.6302000,4.5500000,3.5000000,3.7261000,36992337.1
2024-12-14,DEGOUSDT,3.7239000,4.1519000,3.2400000,3.3463000,29804696.7
2024-12-15,DEGOUSDT,3.3463000,3.3575000,3.0784000,3.1990000,10799583.1
2024-12-16,DEGOUSDT,3.1991000,3.6517000,3.1800000,3.1871000,16104647.0
2024-12-17,DEGOUSDT,3.1889000,3.3151000,3.1000000,3.1186000,5518819.7
2024-12-18,DEGOUSDT,3.1188000,3.2060000,2.8980000,2.9305000,5307124.9
2024-12-19,DEGOUSDT,2.9322000,3.2420000,2.6918000,2.9793000,10937452.1
2024-12-20,DEGOUSDT,2.9792000,3.2491000,2.6057000,3.0210000,10035805.3
2024-12-21,DEGOUSDT,3.0211000,3.1636000,2.8460000,2.9920000,5864507.2
2024-12-22,DEGOUSDT,2.9920000,3.1713000,2.8824000,2.9601000,7213155.7
2024-12-23,DEGOUSDT,2.9591000,3.2602000,2.8510000,3.1649000,4699999.4
2024-12-24,DEGOUSDT,3.1644000,3.5063000,3.1083000,3.2857000,7131759.3
2024-12-25,DEGOUSDT,3.2859000,3.3159000,3.1132000,3.1599000,3029453.0
2024-12-26,DEGOUSDT,3.1596000,3.1854000,2.9433000,3.0072000,2099755.7
2024-12-27,DEGOUSDT,3.0081000,3.1069000,2.9170000,2.9849000,2277129.2
2024-12-28,DEGOUSDT,2.9848000,3.0731000,2.8718000,3.0514000,2176312.2
2024-12-29,DEGOUSDT,3.0527000,3.0909000,2.9045000,2.9488000,1611086.6
2024-12-30,DEGOUSDT,2.9489000,3.0147000,2.7244000,2.8580000,2841593.8
2024-12-31,DEGOUSDT,2.8584000,2.9066000,2.7778000,2.8300000,1502084.2
2025-01-01,DEGOUSDT,2.8298000,2.8862000,2.7750000,2.8741000,1132923.8
2025-01-02,DEGOUSDT,2.8739000,2.9767000,2.8715000,2.9470000,1170951.3
2025-01-03,DEGOUSDT,2.9472000,3.0707000,2.8720000,3.0457000,1929360.8
2025-01-04,DEGOUSDT,3.0457000,3.2040000,3.0038000,3.1079000,1875935.1
2025-01-05,DEGOUSDT,3.1079000,3.1410000,3.0303000,3.1369000,1105741.5
2025-01-06,DEGOUSDT,3.1379000,3.1618000,3.0369000,3.1079000,1289341.5
2025-01-07,DEGOUSDT,3.1077000,3.1206000,2.7721000,2.7747000,2139444.4
2025-01-08,DEGOUSDT,2.7758000,2.8104000,2.6601000,2.7717000,2539388.9
2025-01-09,DEGOUSDT,2.7715000,2.8344000,2.6748000,2.7646000,2493067.7
2025-01-10,DEGOUSDT,2.7649000,2.8607000,2.6789000,2.7459000,1751377.6
2025-01-11,DEGOUSDT,2.7464000,2.7812000,2.6400000,2.6742000,1329657.1
2025-01-12,DEGOUSDT,2.6750000,2.7137000,2.5305000,2.5704000,3296112.9
2025-01-13,DEGOUSDT,2.5712000,2.6216000,2.1100000,2.2435000,6167368.2
2025-01-14,DEGOUSDT,2.2440000,2.3464000,2.1907000,2.3166000,4231646.6
2025-01-15,DEGOUSDT,2.3162000,2.4767000,2.1978000,2.4610000,3294862.9
2025-01-16,DEGOUSDT,2.4605000,2.5322000,2.3585000,2.3844000,2236409.7
2025-01-17,DEGOUSDT,2.3843000,2.5335000,2.3840000,2.5122000,1326236.5
2025-01-18,DEGOUSDT,2.5128000,2.5394000,2.2641000,2.3141000,1760254.7
2025-01-19,DEGOUSDT,2.3140000,2.3767000,1.9692000,2.0251000,4417947.0
2025-01-20,DEGOUSDT,2.0242000,2.1818000,1.9211000,2.0176000,3892005.1
2025-01-21,DEGOUSDT,2.0179000,2.1473000,1.9200000,2.1114000,1485835.3
2025-01-22,DEGOUSDT,2.1110000,2.1394000,2.0407000,2.0562000,982346.6
2025-01-23,DEGOUSDT,2.0569000,2.0814000,1.9527000,2.0249000,1463422.0
2025-01-24,DEGOUSDT,2.0245000,2.0650000,1.9423000,1.9637000,956990.5
2025-01-25,DEGOUSDT,1.9633000,1.9912000,1.9228000,1.9546000,866352.8
2025-01-26,DEGOUSDT,1.9545000,2.0279000,1.9254000,1.9272000,855902.4
2025-01-27,DEGOUSDT,1.9267000,2.0562000,1.7502000,1.8891000,8034944.7
2025-01-28,DEGOUSDT,1.8894000,1.9072000,1.7367000,1.7556000,1847724.9
2025-01-29,DEGOUSDT,1.7558000,1.9515000,1.7501000,1.8614000,2393928.8
2025-01-30,DEGOUSDT,1.8619000,2.0106000,1.8447000,1.9927000,904036.0
2025-01-31,DEGOUSDT,1.9930000,2.1814000,1.9744000,2.0109000,4209991.2
2025-02-01,DEGOUSDT,2.0116000,2.0527000,1.8561000,1.8975000,1539506.7
2025-02-02,DEGOUSDT,1.8975000,1.9528000,1.6378000,1.7328000,2949992.8
2025-02-03,DEGOUSDT,1.7331000,2.0499000,1.3593000,1.8682000,17236960.7
2025-02-04,DEGOUSDT,1.8685000,1.8836000,1.6178000,1.7014000,5068795.8
2025-02-05,DEGOUSDT,1.7001000,1.7521000,1.6546000,1.6912000,2610002.3
2025-02-06,DEGOUSDT,1.6916000,1.7128000,1.5971000,1.6147000,1712293.7
2025-02-07,DEGOUSDT,1.6145000,1.7151000,1.5844000,1.6413000,1533964.9
2025-02-08,DEGOUSDT,1.6408000,1.7485000,1.6204000,1.7423000,1369593.1
2025-02-09,DEGOUSDT,1.7422000,1.8058000,1.6034000,1.6962000,1741261.3
2025-02-10,DEGOUSDT,1.6964000,1.7692000,1.6209000,1.7154000,1486380.7
2025-02-11,DEGOUSDT,1.7161000,1.7997000,1.6833000,1.7076000,1718499.1
2025-02-12,DEGOUSDT,1.7075000,2.0963000,1.6752000,2.0426000,5867529.6
2025-02-13,DEGOUSDT,2.0423000,2.1625000,1.8637000,1.8896000,9585394.6
2025-02-14,DEGOUSDT,1.8898000,1.9250000,1.8041000,1.8329000,3209048.8
2025-02-15,DEGOUSDT,1.8328000,1.8835000,1.7902000,1.8353000,1602741.0
2025-02-16,DEGOUSDT,1.8354000,1.8445000,1.7611000,1.8249000,1748197.0
2025-02-17,DEGOUSDT,1.8254000,1.9000000,1.7596000,1.8014000,2178167.8
2025-02-18,DEGOUSDT,1.8015000,1.8100000,1.5823000,1.6896000,2453911.5
2025-02-19,DEGOUSDT,1.6898000,1.7311000,1.5972000,1.6481000,1499515.6
2025-02-20,DEGOUSDT,1.6496000,1.6822000,1.6004000,1.6680000,1072822.0
2025-02-21,DEGOUSDT,1.6684000,1.7808000,1.4672000,1.5015000,5699796.6
2025-02-22,DEGOUSDT,1.5016000,1.5967000,1.4733000,1.5744000,2494794.6
2025-02-23,DEGOUSDT,1.5744000,1.5904000,1.5044000,1.5328000,1652828.7
2025-02-24,DEGOUSDT,1.5333000,1.5367000,1.3334000,1.3676000,3009245.0
2025-02-25,DEGOUSDT,1.3672000,1.4138000,1.2582000,1.3915000,4586683.9
2025-02-26,DEGOUSDT,1.3919000,1.5876000,1.3761000,1.4765000,6938721.7
2025-02-27,DEGOUSDT,1.4765000,1.5488000,1.4449000,1.5087000,2804839.9
2025-02-28,DEGOUSDT,1.5090000,1.5996000,1.3723000,1.5224000,5848501.6
2025-03-01,DEGOUSDT,1.5225000,1.5768000,1.4555000,1.5012000,2368591.6
2025-03-02,DEGOUSDT,1.5014000,1.6608000,1.4766000,1.6390000,2034371.5
2025-03-03,DEGOUSDT,1.6390000,1.6449000,1.4308000,1.5079000,3096173.1
2025-03-04,DEGOUSDT,1.5080000,1.5749000,1.4086000,1.5478000,4709350.7
2025-03-05,DEGOUSDT,1.5474000,1.5857000,1.5025000,1.5651000,1817512.9
2025-03-06,DEGOUSDT,1.5661000,1.6308000,1.4521000,1.5738000,3581421.9
2025-03-07,DEGOUSDT,1.5741000,2.2738000,1.5172000,1.9662000,88351397.2
2025-03-08,DEGOUSDT,1.9662000,2.0699000,1.8781000,2.0300000,47180643.8
2025-03-09,DEGOUSDT,2.0298000,2.1700000,1.9900000,2.0262000,23937815.2
2025-03-10,DEGOUSDT,2.0263000,2.2287000,2.0030000,2.0436000,20036139.1
2025-03-11,DEGOUSDT,2.0438000,2.3400000,2.0385000,2.1777000,16165988.5
2025-03-12,DEGOUSDT,2.1781000,2.1841000,2.0129000,2.0893000,7880853.1
2025-03-13,DEGOUSDT,2.0886000,2.1150000,1.8300000,1.8925000,7869062.5
2025-03-14,DEGOUSDT,1.8925000,1.9037000,1.7731000,1.8124000,5346403.1
2025-03-15,DEGOUSDT,1.8124000,1.8480000,1.7843000,1.8330000,3081978.8
2025-03-16,DEGOUSDT,1.8330000,1.8815000,1.7740000,1.7930000,3053767.6
2025-03-17,DEGOUSDT,1.7924000,2.0346000,1.7895000,1.9668000,6603316.4
2025-03-18,DEGOUSDT,1.9663000,1.9666000,1.8608000,1.9284000,2252717.5
2025-03-19,DEGOUSDT,1.9284000,1.9375000,1.8840000,1.9123000,2302223.5
2025-03-20,DEGOUSDT,1.9129000,1.9186000,1.7866000,1.8558000,2264536.5
2025-03-21,DEGOUSDT,1.8557000,1.8999000,1.7983000,1.8624000,2401146.2
2025-03-22,DEGOUSDT,1.8627000,1.9926000,1.8472000,1.9088000,2171496.6
2025-03-23,DEGOUSDT,1.9087000,1.9134000,1.8641000,1.8948000,1053640.4
2025-03-24,DEGOUSDT,1.8949000,1.9538000,1.8718000,1.9224000,1279099.9
2025-03-25,DEGOUSDT,1.9220000,1.9492000,1.8573000,1.9206000,1458986.3
2025-03-26,DEGOUSDT,1.9208000,1.9666000,1.8420000,1.8559000,1322241.2
2025-03-27,DEGOUSDT,1.8562000,1.9014000,1.8101000,1.8422000,1261092.6
2025-03-28,DEGOUSDT,1.8420000,1.8791000,1.7714000,1.8194000,1875601.9
2025-03-29,DEGOUSDT,1.8193000,1.8270000,1.7394000,1.7972000,1914054.4
2025-03-30,DEGOUSDT,1.7971000,1.9133000,1.7782000,1.8076000,3637748.1
2025-03-31,DEGOUSDT,1.8080000,1.8394000,1.7676000,1.7960000,1452537.5
2025-04-01,DEGOUSDT,1.7961000,1.8354000,1.4777000,1.5201000,5077773.8
2025-04-02,DEGOUSDT,1.5201000,1.6318000,1.4370000,1.5258000,5734939.4
2025-04-03,DEGOUSDT,1.5259000,1.5844000,1.4921000,1.5541000,2462268.7
2025-04-04,DEGOUSDT,1.5544000,1.6281000,1.4726000,1.5990000,3933229.3
2025-04-05,DEGOUSDT,1.5990000,1.6299000,1.5723000,1.5903000,1432324.2
2025-04-06,DEGOUSDT,1.5903000,1.6079000,1.5437000,1.5618000,2311428.8
2025-04-07,DEGOUSDT,1.5615000,1.6170000,1.4249000,1.5734000,4129181.2
2025-04-08,DEGOUSDT,1.5737000,1.6375000,1.4860000,1.5103000,1790212.3
2025-04-09,DEGOUSDT,1.5099000,1.6480000,1.4718000,1.6341000,2259437.0
2025-04-10,DEGOUSDT,1.6340000,1.6350000,1.5088000,1.5502000,1619047.8
2025-04-11,DEGOUSDT,1.5503000,1.6211000,1.5452000,1.5840000,1140468.1
2025-04-12,DEGOUSDT,1.5833000,1.6050000,1.5201000,1.5974000,1766320.9
2025-04-13,DEGOUSDT,1.5975000,1.9588000,1.3187000,1.7267000,32658540.2
2025-04-14,DEGOUSDT,1.7269000,1.8266000,1.6661000,1.7665000,17158702.4
2025-04-15,DEGOUSDT,1.7662000,1.9347000,1.7569000,1.8815000,5228051.2
2025-04-16,DEGOUSDT,1.8807000,2.0243000,1.8433000,2.0010000,7117876.5
2025-04-17,DEGOUSDT,2.0009000,2.0616000,1.9544000,1.9784000,4106643.2
2025-04-18,DEGOUSDT,1.9785000,1.9841000,1.7834000,1.7841000,3776840.1
2025-04-19,DEGOUSDT,1.7845000,1.8469000,1.7278000,1.8024000,2973423.9
2025-04-20,DEGOUSDT,1.8029000,1.8795000,1.7877000,1.8354000,1442894.7
2025-04-21,DEGOUSDT,1.8360000,1.8828000,1.8049000,1.8199000,1119570.5
2025-04-22,DEGOUSDT,1.8195000,1.9011000,1.7800000,1.8863000,1325254.6
2025-04-23,DEGOUSDT,1.8856000,1.9998000,1.8704000,1.9482000,1134037.5
2025-04-24,DEGOUSDT,1.9481000,2.0263000,1.9302000,2.0093000,974478.0
2025-04-25,DEGOUSDT,2.0099000,2.2677000,1.9861000,2.2370000,2939583.6
2025-04-26,DEGOUSDT,2.2373000,2.4298000,2.1732000,2.4269000,3402832.7
2025-04-27,DEGOUSDT,2.4266000,2.4800000,1.8795000,1.9726000,9955290.3
2025-04-28,DEGOUSDT,1.9726000,2.0370000,1.8570000,1.9296000,4791273.9
2025-04-29,DEGOUSDT,1.9297000,1.9492000,1.8615000,1.8834000,2006537.5
2025-04-30,DEGOUSDT,1.8833000,1.9590000,1.8424000,1.9338000,1973325.1
2025-05-01,DEGOUSDT,1.9353000,2.0369000,1.9103000,1.9870000,1523584.1
2025-05-02,DEGOUSDT,1.9860000,2.0495000,1.9558000,1.9985000,1662906.9
2025-05-03,DEGOUSDT,1.9987000,2.0020000,1.8917000,1.9076000,1059400.4
2025-05-04,DEGOUSDT,1.9079000,1.9161000,1.8021000,1.8229000,1135321.2
2025-05-05,DEGOUSDT,1.8229000,1.8410000,1.7370000,1.7656000,1215707.9
2025-05-06,DEGOUSDT,1.7652000,1.7730000,1.6693000,1.7273000,1274959.3
2025-05-07,DEGOUSDT,1.7262000,1.7748000,1.5777000,1.6484000,1894326.1
2025-05-08,DEGOUSDT,1.6488000,1.8073000,1.6456000,1.8019000,1367944.9
2025-05-09,DEGOUSDT,1.8018000,1.9795000,1.8006000,1.9780000,1456113.0
2025-05-10,DEGOUSDT,1.9780000,2.0700000,1.9249000,1.9762000,1452796.6
2025-05-11,DEGOUSDT,1.9763000,2.0382000,1.8072000,1.8664000,2666224.2
2025-05-12,DEGOUSDT,1.8653000,1.9753000,1.7650000,1.8599000,2185180.4
2025-05-13,DEGOUSDT,1.8599000,1.9720000,1.7539000,1.9609000,1806330.2
2025-05-14,DEGOUSDT,1.9609000,2.0016000,1.8625000,1.8945000,1234799.2
2025-05-15,DEGOUSDT,1.8947000,1.9205000,1.7130000,1.7665000,1524287.6
2025-05-16,DEGOUSDT,1.7672000,1.8319000,1.7448000,1.7632000,881755.6
2025-05-17,DEGOUSDT,1.7637000,1.8597000,1.7001000,1.7714000,2448250.1
2025-05-18,DEGOUSDT,1.7717000,1.9946000,1.7574000,1.9543000,3016721.1
2025-05-19,DEGOUSDT,1.9541000,2.0756000,1.9015000,1.9780000,7972919.4
2025-05-20,DEGOUSDT,1.9781000,2.0056000,1.9084000,1.9962000,2338328.1
2025-05-21,DEGOUSDT,1.9967000,2.0683000,1.8807000,1.9431000,2720008.9
2025-05-22,DEGOUSDT,1.9432000,2.0402000,1.9266000,2.0206000,1519832.8
2025-05-23,DEGOUSDT,2.0209000,2.0699000,1.8501000,1.9141000,1870543.6
2025-05-24,DEGOUSDT,1.9124000,2.0616000,1.8940000,2.0016000,2289066.2
2025-05-25,DEGOUSDT,2.0026000,2.0677000,1.9429000,2.0577000,2887191.6
2025-05-26,DEGOUSDT,2.0577000,2.3640000,2.0376000,2.3094000,10940971.1
2025-05-27,DEGOUSDT,2.3100000,2.3987000,2.2800000,2.3240000,4872364.2
2025-05-28,DEGOUSDT,2.3247000,2.5888000,2.3144000,2.5185000,11731603.2
