Date,Symbol,Open,High,Low,Close,Volume
2024-12-30,DFUSDT,0.0966900,0.1080000,0.0807100,0.0936400,452900277
2024-12-31,DFUSDT,0.0936000,0.0976000,0.0844100,0.0876000,453785431
2025-01-01,DFUSDT,0.0876900,0.0966100,0.0845100,0.0881000,750139241
2025-01-02,DFUSDT,0.0880900,0.0899500,0.0841100,0.0855300,389599792
2025-01-03,DFUSDT,0.0855000,0.0881500,0.0830000,0.0870900,261571081
2025-01-04,DFUSDT,0.0871300,0.1024800,0.0858100,0.0987100,1034269081
2025-01-05,DFUSDT,0.0987100,0.1029700,0.0900500,0.0918000,550304088
2025-01-06,DFUSDT,0.0918000,0.0918700,0.0850000,0.0863700,335071838
2025-01-07,DFUSDT,0.0863600,0.0863800,0.0738800,0.0761000,373100737
2025-01-08,DFUSDT,0.0761100,0.0838500,0.0759500,0.0786400,866101504
2025-01-09,DFUSDT,0.0786400,0.0788000,0.0713200,0.0737200,343323024
2025-01-10,DFUSDT,0.0737100,0.0777600,0.0713700,0.0730000,182933421
2025-01-11,DFUSDT,0.0729700,0.0739000,0.0706000,0.0716200,106872580
2025-01-12,DFUSDT,0.0716300,0.0729200,0.0670500,0.0690700,104449020
2025-01-13,DFUSDT,0.0690700,0.0708600,0.0630600,0.0691200,233185195
2025-01-14,DFUSDT,0.0691300,0.0713000,0.0675500,0.0698700,135291817
2025-01-15,DFUSDT,0.0698400,0.0752300,0.0662000,0.0744900,152121326
2025-01-16,DFUSDT,0.0744500,0.0753900,0.0690000,0.0698200,140824752
2025-01-17,DFUSDT,0.0698100,0.0888000,0.0696300,0.0837400,549827961
2025-01-18,DFUSDT,0.0837600,0.0925000,0.0730600,0.0825700,740156667
2025-01-19,DFUSDT,0.0825800,0.0892800,0.0774600,0.0808000,515869492
2025-01-20,DFUSDT,0.0808100,0.0874700,0.0771800,0.0784800,344317974
2025-01-21,DFUSDT,0.0784900,0.0918800,0.0762400,0.0830500,301888350
2025-01-22,DFUSDT,0.0830100,0.0853700,0.0764500,0.0799400,274976493
2025-01-23,DFUSDT,0.0799200,0.0839300,0.0752000,0.0832100,371591320
2025-01-24,DFUSDT,0.0832400,0.0845000,0.0784400,0.0793300,211418601
2025-01-25,DFUSDT,0.0793100,0.0839100,0.0778200,0.0824600,126125581
2025-01-26,DFUSDT,0.0824600,0.0915600,0.0818700,0.0847300,411771099
