Date,Symbol,Open,High,Low,Close,Volume
2025-05-09,DOODUSDT,0.0085694,0.0092769,0.0066050,0.0085152,14164323832
2025-05-10,DOODUSDT,0.0085153,0.0089870,0.0072786,0.0081121,11229785408
2025-05-11,DOODUSDT,0.0081091,0.0081521,0.0065514,0.0068220,7430720040
2025-05-12,DOODUSDT,0.0068197,0.0073513,0.0052000,0.0059546,8926533566
2025-05-13,DOODUSDT,0.0059542,0.0063500,0.0054172,0.0061490,9822361141
2025-05-14,DOODUSDT,0.0061484,0.0065454,0.0053198,0.0056120,7871570303
2025-05-15,DOODUSDT,0.0056116,0.0057969,0.0046368,0.0049465,6594150898
2025-05-16,DOODUSDT,0.0049499,0.0055532,0.0047964,0.0053175,8201789869
2025-05-17,DOODUSDT,0.0053154,0.0053478,0.0044047,0.0044833,6148697800
2025-05-18,DOODUSDT,0.0044824,0.0047950,0.0041658,0.0045379,5759875946
2025-05-19,DOODUSDT,0.0045400,0.0046087,0.0041000,0.0042793,3159955832
2025-05-20,DOODUSDT,0.0042795,0.0043592,0.0038204,0.0042569,5725342825
2025-05-21,DOODUSDT,0.0042565,0.0046842,0.0039834,0.0041622,7276236972
2025-05-22,DOODUSDT,0.0041621,0.0043549,0.0040843,0.0043364,3022210244
2025-05-23,DOODUSDT,0.0043362,0.0046776,0.0039300,0.0039911,4914487715
2025-05-24,DOODUSDT,0.0039915,0.0041559,0.0038349,0.0039609,3452006015
2025-05-25,DOODUSDT,0.0039606,0.0039870,0.0034555,0.0036891,4314649822
2025-05-26,DOODUSDT,0.0036891,0.0038526,0.0035439,0.0036892,3543903280
2025-05-27,DOODUSDT,0.0036889,0.0039725,0.0035850,0.0037738,3744091694
2025-05-28,DOODUSDT,0.0037746,0.0038112,0.0033571,0.0034928,2785227081
2025-05-29,DOODUSDT,0.0034925,0.0036121,0.0031100,0.0032333,3042160113
2025-05-30,DOODUSDT,0.0032338,0.0032772,0.0026775,0.0027197,3756377157
2025-05-31,DOODUSDT,0.0027197,0.0028562,0.0026457,0.0028260,2836803578
2025-06-01,DOODUSDT,0.0028260,0.0032108,0.0028096,0.0031566,5879567271
2025-06-02,DOODUSDT,0.0031559,0.0031579,0.0029299,0.0031060,2467213820
2025-06-03,DOODUSDT,0.0031060,0.0035512,0.0030538,0.0033830,6391395443
2025-06-04,DOODUSDT,0.0033831,0.0034689,0.0030838,0.0031104,2048255864
2025-06-05,DOODUSDT,0.0031102,0.0031924,0.0028294,0.0029025,2599671051
2025-06-06,DOODUSDT,0.0029032,0.0030595,0.0026457,0.0029909,4548403461
2025-06-07,DOODUSDT,0.0029908,0.0032868,0.0028627,0.0031052,7389132109
2025-06-08,DOODUSDT,0.0031042,0.0032103,0.0029766,0.0030024,3843854049
2025-06-09,DOODUSDT,0.0030019,0.0031366,0.0029061,0.0031288,1321756084
2025-06-10,DOODUSDT,0.0031297,0.0032092,0.0029801,0.0031269,1225708270
2025-06-11,DOODUSDT,0.0031266,0.0032197,0.0028595,0.0028946,1172977695
2025-06-12,DOODUSDT,0.0028948,0.0029263,0.0025670,0.0026329,952289224
2025-06-13,DOODUSDT,0.0026333,0.0026350,0.0024179,0.0025910,1496760414
2025-06-14,DOODUSDT,0.0025917,0.0026283,0.0024967,0.0025475,585606592
2025-06-15,DOODUSDT,0.0025477,0.0025912,0.0025164,0.0025793,499148625
2025-06-16,DOODUSDT,0.0025798,0.0029307,0.0025626,0.0026740,2157628426
2025-06-17,DOODUSDT,0.0026744,0.0029438,0.0026214,0.0029111,2415507130
2025-06-18,DOODUSDT,0.0029116,0.0029694,0.0027166,0.0028333,4931491180
2025-06-19,DOODUSDT,0.0028333,0.0028566,0.0027462,0.0027874,877935884
2025-06-20,DOODUSDT,0.0027862,0.0028167,0.0024537,0.0024596,1498400836
2025-06-21,DOODUSDT,0.0024599,0.0025123,0.0021912,0.0022626,1398583394
2025-06-22,DOODUSDT,0.0022654,0.0023056,0.0020257,0.0021398,1491265441
2025-06-23,DOODUSDT,0.0021401,0.0022862,0.0020893,0.0022744,963997545
2025-06-24,DOODUSDT,0.0022750,0.0024121,0.0022469,0.0023576,1285309190
2025-06-25,DOODUSDT,0.0023555,0.0023943,0.0022088,0.0022165,979794404
2025-06-26,DOODUSDT,0.0022162,0.0022919,0.0021239,0.0021666,979492024
2025-06-27,DOODUSDT,0.0021664,0.0023613,0.0021359,0.0023121,1456048278
2025-06-28,DOODUSDT,0.0023128,0.0023455,0.0022113,0.0023349,933014070
2025-06-29,DOODUSDT,0.0023345,0.0025948,0.0022940,0.0025848,1206367609
2025-06-30,DOODUSDT,0.0025824,0.0027489,0.0024892,0.0025000,2360946558
2025-07-01,DOODUSDT,0.0024997,0.0025809,0.0023668,0.0023963,1690343991
2025-07-02,DOODUSDT,0.0023964,0.0026837,0.0023880,0.0025851,3070450571
2025-07-03,DOODUSDT,0.0025861,0.0027152,0.0024450,0.0025648,1429684166
2025-07-04,DOODUSDT,0.0025650,0.0025837,0.0024271,0.0024898,926990267
2025-07-05,DOODUSDT,0.0024900,0.0028174,0.0024865,0.0027697,8263346314
2025-07-06,DOODUSDT,0.0027685,0.0027861,0.0026382,0.0026828,2095473797
2025-07-07,DOODUSDT,0.0026822,0.0026967,0.0024453,0.0024818,1204801866
2025-07-08,DOODUSDT,0.0024818,0.0025999,0.0024607,0.0025919,972752015
2025-07-09,DOODUSDT,0.0025920,0.0026462,0.0025361,0.0026303,743871961
2025-07-10,DOODUSDT,0.0026317,0.0031975,0.0025867,0.0031899,1372543729
2025-07-11,DOODUSDT,0.0031910,0.0035967,0.0029560,0.0030108,3698375594
2025-07-12,DOODUSDT,0.0030102,0.0030972,0.0026563,0.0027543,1957077531
2025-07-13,DOODUSDT,0.0027541,0.0032910,0.0027420,0.0031467,2775218035
2025-07-14,DOODUSDT,0.0031486,0.0032457,0.0028922,0.0029937,1440957840
2025-07-15,DOODUSDT,0.0029937,0.0046498,0.0029729,0.0045791,35345881942
2025-07-16,DOODUSDT,0.0045796,0.0046800,0.0038310,0.0042437,14337333529
2025-07-17,DOODUSDT,0.0042429,0.0043500,0.0036483,0.0037502,4814486535
2025-07-18,DOODUSDT,0.0037506,0.0039063,0.0033897,0.0035160,1998750377
2025-07-19,DOODUSDT,0.0035194,0.0038784,0.0034067,0.0036696,2598165882
2025-07-20,DOODUSDT,0.0036720,0.0038188,0.0035200,0.0037885,2029597482
2025-07-21,DOODUSDT,0.0037887,0.0052426,0.0036068,0.0042397,14025820805
2025-07-22,DOODUSDT,0.0042412,0.0049417,0.0039949,0.0048890,4885077407
2025-07-23,DOODUSDT,0.0048876,0.0061091,0.0042501,0.0046470,9232220664
2025-07-24,DOODUSDT,0.0046475,0.0050799,0.0040534,0.0040971,3454692810
