Date,Symbol,Open,High,Low,Close,Volume
2020-09-29,ENJUSDT,0.18970,0.18970,0.15045,0.16021,32674284
2020-09-30,ENJUSDT,0.16049,0.16468,0.15390,0.16094,15999488
2020-10-01,ENJUSDT,0.16125,0.16610,0.14961,0.15411,11751573
2020-10-02,ENJUSDT,0.15382,0.15474,0.14266,0.15016,8566272
2020-10-03,ENJUSDT,0.15041,0.15412,0.14823,0.14979,3373453
2020-10-04,ENJUSDT,0.14980,0.15465,0.14591,0.15204,6028972
2020-10-05,ENJUSDT,0.15183,0.15596,0.14692,0.15439,7561328
2020-10-06,ENJUSDT,0.15464,0.15502,0.14200,0.14386,7057608
2020-10-07,ENJUSDT,0.14391,0.14926,0.13860,0.14881,7839902
2020-10-08,ENJUSDT,0.14898,0.15217,0.14055,0.15069,9475525
2020-10-09,ENJUSDT,0.15058,0.15691,0.14661,0.15436,8097493
2020-10-10,ENJUSDT,0.15432,0.16422,0.15374,0.15980,9429930
2020-10-11,ENJUSDT,0.15952,0.16650,0.15469,0.15882,12924040
2020-10-12,ENJUSDT,0.15860,0.17273,0.15749,0.16629,24050703
2020-10-13,ENJUSDT,0.16643,0.16725,0.15662,0.16197,9049165
2020-10-14,ENJUSDT,0.16193,0.16302,0.14972,0.15387,9295467
2020-10-15,ENJUSDT,0.15399,0.15600,0.14900,0.15278,5808846
2020-10-16,ENJUSDT,0.15274,0.15362,0.14380,0.14554,5572189
2020-10-17,ENJUSDT,0.14586,0.15199,0.14398,0.14833,4471270
2020-10-18,ENJUSDT,0.14852,0.15124,0.14685,0.15079,3215298
2020-10-19,ENJUSDT,0.15099,0.15176,0.14658,0.14929,4692834
2020-10-20,ENJUSDT,0.14908,0.14951,0.13733,0.14017,7468573
2020-10-21,ENJUSDT,0.13987,0.14941,0.13977,0.14407,7336946
2020-10-22,ENJUSDT,0.14407,0.15422,0.14380,0.15163,7348893
2020-10-23,ENJUSDT,0.15172,0.15359,0.14518,0.14811,7924940
2020-10-24,ENJUSDT,0.14817,0.15057,0.14456,0.14686,4796747
2020-10-25,ENJUSDT,0.14676,0.14875,0.14182,0.14400,4720873
2020-10-26,ENJUSDT,0.14393,0.14598,0.13254,0.13835,11552415
2020-10-27,ENJUSDT,0.13843,0.14207,0.13574,0.13952,7240815
2020-10-28,ENJUSDT,0.13971,0.14136,0.13089,0.13480,7054545
2020-10-29,ENJUSDT,0.13499,0.13800,0.12973,0.13253,8957969
2020-10-30,ENJUSDT,0.13232,0.13381,0.12480,0.12608,12084248
2020-10-31,ENJUSDT,0.12612,0.13153,0.12577,0.12763,7783969
2020-11-01,ENJUSDT,0.12759,0.12890,0.12409,0.12730,9371952
2020-11-02,ENJUSDT,0.12734,0.12994,0.12110,0.12121,12035127
2020-11-03,ENJUSDT,0.12119,0.12134,0.11550,0.11915,13686556
2020-11-04,ENJUSDT,0.11935,0.11991,0.11103,0.11832,11121698
2020-11-05,ENJUSDT,0.11832,0.12641,0.11795,0.12377,16229410
2020-11-06,ENJUSDT,0.12382,0.13871,0.12311,0.13800,20067639
2020-11-07,ENJUSDT,0.13801,0.14410,0.12326,0.12808,33652231
2020-11-08,ENJUSDT,0.12795,0.13968,0.12541,0.13669,13643631
2020-11-09,ENJUSDT,0.13675,0.13811,0.12804,0.13379,8359943
2020-11-10,ENJUSDT,0.13384,0.14230,0.13236,0.13985,10222886
2020-11-11,ENJUSDT,0.13987,0.14512,0.13700,0.13837,12342811
2020-11-12,ENJUSDT,0.13837,0.14212,0.13168,0.13472,10901521
2020-11-13,ENJUSDT,0.13475,0.14487,0.13310,0.14406,12307633
2020-11-14,ENJUSDT,0.14423,0.14473,0.13515,0.14142,7500762
2020-11-15,ENJUSDT,0.14170,0.15137,0.13840,0.14461,24090293
2020-11-16,ENJUSDT,0.14460,0.15045,0.14102,0.14587,17407152
2020-11-17,ENJUSDT,0.14596,0.14788,0.14341,0.14613,13212754
2020-11-18,ENJUSDT,0.14616,0.14750,0.13304,0.13861,16889413
2020-11-19,ENJUSDT,0.13878,0.14104,0.13400,0.13694,10167704
2020-11-20,ENJUSDT,0.13689,0.14163,0.13507,0.14069,19888383
2020-11-21,ENJUSDT,0.14069,0.15150,0.13715,0.15082,21856450
2020-11-22,ENJUSDT,0.15102,0.15424,0.13630,0.14592,24876345
2020-11-23,ENJUSDT,0.14600,0.15722,0.14121,0.15550,28490787
2020-11-24,ENJUSDT,0.15545,0.16450,0.14731,0.15993,34433072
2020-11-25,ENJUSDT,0.15999,0.17864,0.15514,0.16234,37788357
2020-11-26,ENJUSDT,0.16192,0.16890,0.13248,0.14206,44466803
2020-11-27,ENJUSDT,0.14193,0.14513,0.13323,0.14145,14694280
2020-11-28,ENJUSDT,0.14173,0.15149,0.14014,0.14458,12742248
2020-11-29,ENJUSDT,0.14467,0.14549,0.14095,0.14390,8911022
2020-11-30,ENJUSDT,0.14384,0.14948,0.13869,0.14903,24164624
2020-12-01,ENJUSDT,0.14906,0.15417,0.13522,0.14640,39421692
2020-12-02,ENJUSDT,0.14628,0.16169,0.14407,0.16152,22936545
2020-12-03,ENJUSDT,0.16146,0.16393,0.15372,0.15733,19290410
2020-12-04,ENJUSDT,0.15752,0.16229,0.14411,0.14651,51471538
2020-12-05,ENJUSDT,0.14642,0.15644,0.14333,0.15305,29439534
2020-12-06,ENJUSDT,0.15308,0.15419,0.14760,0.15273,17667580
2020-12-07,ENJUSDT,0.15281,0.15677,0.14932,0.15177,15710932
2020-12-08,ENJUSDT,0.15176,0.15779,0.13895,0.14044,28068959
2020-12-09,ENJUSDT,0.14037,0.14176,0.13091,0.14096,18023067
2020-12-10,ENJUSDT,0.14082,0.14461,0.13662,0.14274,23208189
2020-12-11,ENJUSDT,0.14282,0.14337,0.13429,0.14009,14341493
2020-12-12,ENJUSDT,0.14014,0.14508,0.14002,0.14472,8060897
2020-12-13,ENJUSDT,0.14479,0.14616,0.14122,0.14375,10204594
2020-12-14,ENJUSDT,0.14376,0.15364,0.14104,0.15128,21207002
2020-12-15,ENJUSDT,0.15134,0.15947,0.14700,0.15539,32109920
2020-12-16,ENJUSDT,0.15539,0.15745,0.15145,0.15517,19472784
2020-12-17,ENJUSDT,0.15506,0.16282,0.15051,0.15303,30042723
2020-12-18,ENJUSDT,0.15322,0.16404,0.15000,0.16062,19695081
2020-12-19,ENJUSDT,0.16062,0.16711,0.15878,0.15926,18042580
2020-12-20,ENJUSDT,0.15907,0.15926,0.14996,0.15251,11481400
2020-12-21,ENJUSDT,0.15246,0.15605,0.14133,0.14531,18611810
2020-12-22,ENJUSDT,0.14526,0.14699,0.13845,0.14480,17143362
2020-12-23,ENJUSDT,0.14469,0.14559,0.11557,0.12211,30379023
2020-12-24,ENJUSDT,0.12211,0.14383,0.11924,0.14378,26590192
2020-12-25,ENJUSDT,0.14378,0.14550,0.13839,0.14093,14023030
2020-12-26,ENJUSDT,0.14096,0.14133,0.13423,0.14064,11788187
2020-12-27,ENJUSDT,0.14064,0.14701,0.13376,0.13684,26311962
2020-12-28,ENJUSDT,0.13676,0.14490,0.13544,0.13905,21441683
2020-12-29,ENJUSDT,0.13917,0.14100,0.12919,0.13360,17167858
2020-12-30,ENJUSDT,0.13360,0.13704,0.12910,0.12971,19611644
2020-12-31,ENJUSDT,0.12977,0.13083,0.12450,0.12989,14804516
2021-01-01,ENJUSDT,0.13003,0.13911,0.12874,0.13575,21513428
2021-01-02,ENJUSDT,0.13576,0.13588,0.12733,0.13189,11965619
2021-01-03,ENJUSDT,0.13189,0.13748,0.12850,0.13549,27415169
2021-01-04,ENJUSDT,0.13556,0.14808,0.12891,0.14152,66139328
2021-01-05,ENJUSDT,0.14154,0.14882,0.13445,0.14711,41199932
2021-01-06,ENJUSDT,0.14694,0.16320,0.14277,0.16070,65446864
2021-01-07,ENJUSDT,0.16072,0.18971,0.15457,0.16432,100540701
2021-01-08,ENJUSDT,0.16428,0.27200,0.16428,0.21566,491460120
2021-01-09,ENJUSDT,0.21566,0.21654,0.18887,0.20505,135985806
2021-01-10,ENJUSDT,0.20472,0.21461,0.16783,0.18560,106606380
2021-01-11,ENJUSDT,0.18564,0.18621,0.14018,0.16325,105495220
2021-01-12,ENJUSDT,0.16328,0.18086,0.15676,0.16711,81727168
2021-01-13,ENJUSDT,0.16716,0.18096,0.15723,0.17984,41183404
2021-01-14,ENJUSDT,0.17973,0.19038,0.17278,0.18394,35530802
2021-01-15,ENJUSDT,0.18396,0.19810,0.16878,0.18893,73310364
2021-01-16,ENJUSDT,0.18902,0.20950,0.18694,0.19523,61201326
2021-01-17,ENJUSDT,0.19523,0.29500,0.19501,0.23233,302507450
2021-01-18,ENJUSDT,0.23229,0.27299,0.22605,0.24801,120109661
2021-01-19,ENJUSDT,0.24810,0.41960,0.23733,0.35950,593136073
2021-01-20,ENJUSDT,0.35886,0.45300,0.34687,0.42030,537445512
2021-01-21,ENJUSDT,0.42029,0.43544,0.32427,0.33034,236766576
2021-01-22,ENJUSDT,0.32991,0.41472,0.29201,0.38155,193690153
2021-01-23,ENJUSDT,0.38127,0.44686,0.37447,0.42960,132494225
2021-01-24,ENJUSDT,0.42962,0.43037,0.39538,0.42054,51307424
2021-01-25,ENJUSDT,0.42093,0.49600,0.40328,0.47277,100759229
