Date,Symbol,Open,High,Low,Close,Volume
2021-11-30,ENSUSDT,70.850,78.342,66.045,70.009,558847.7
2021-12-01,ENSUSDT,70.000,75.055,63.292,64.834,662288.5
2021-12-02,ENSUSDT,64.834,64.883,58.565,61.717,761347.8
2021-12-03,ENSUSDT,61.782,63.338,49.937,54.280,1064599.4
2021-12-04,ENSUSDT,54.298,54.999,38.102,50.826,1424403.1
2021-12-05,ENSUSDT,50.801,54.779,45.439,49.252,1445367.4
2021-12-06,ENSUSDT,49.255,51.496,42.255,51.346,1150697.5
2021-12-07,ENSUSDT,51.360,53.999,48.693,50.689,949158.8
2021-12-08,ENSUSDT,50.689,52.419,47.273,49.338,689957.7
2021-12-09,ENSUSDT,49.348,50.744,44.644,44.919,701314.4
2021-12-10,ENSUSDT,44.947,46.800,42.419,42.597,610646.7
2021-12-11,ENSUSDT,42.576,49.174,41.575,47.472,1491242.7
2021-12-12,ENSUSDT,47.482,47.624,44.067,46.988,1020299.1
2021-12-13,ENSUSDT,46.999,47.186,39.333,39.921,987957.7
2021-12-14,ENSUSDT,39.931,41.714,37.702,39.815,1137229.3
2021-12-15,ENSUSDT,39.862,44.330,37.019,42.448,1372103.7
2021-12-16,ENSUSDT,42.455,47.900,42.264,44.360,1897299.2
2021-12-17,ENSUSDT,44.342,46.675,40.100,42.170,1528978.3
2021-12-18,ENSUSDT,42.150,44.000,40.493,42.614,755030.8
2021-12-19,ENSUSDT,42.629,43.758,40.549,40.843,620080.3
2021-12-20,ENSUSDT,40.827,41.644,37.300,40.416,958844.8
2021-12-21,ENSUSDT,40.419,42.130,39.670,40.945,776104.4
2021-12-22,ENSUSDT,40.936,46.240,40.713,45.103,1460234.4
2021-12-23,ENSUSDT,45.136,49.820,42.778,49.507,1928252.3
2021-12-24,ENSUSDT,49.522,49.593,44.667,45.642,962457.6
2021-12-25,ENSUSDT,45.643,48.180,44.862,46.454,1013395.7
2021-12-26,ENSUSDT,46.454,46.851,43.882,45.718,912436.6
2021-12-27,ENSUSDT,45.730,48.200,44.100,44.458,1167887.7
2021-12-28,ENSUSDT,44.462,44.482,38.923,39.687,1739700.9
2021-12-29,ENSUSDT,39.682,40.880,37.802,38.599,1155337.0
2021-12-30,ENSUSDT,38.580,40.976,37.950,39.088,1181269.5
2021-12-31,ENSUSDT,39.086,41.884,38.157,38.933,1124668.8
2022-01-01,ENSUSDT,38.946,40.415,38.693,40.169,834072.5
2022-01-02,ENSUSDT,40.182,41.700,39.550,41.085,974072.9
2022-01-03,ENSUSDT,41.049,41.194,38.400,39.300,845290.1
2022-01-04,ENSUSDT,39.317,41.654,38.500,38.666,1269337.7
2022-01-05,ENSUSDT,38.667,39.950,31.255,33.780,2120910.7
2022-01-06,ENSUSDT,33.791,34.485,31.485,33.171,1549395.3
2022-01-07,ENSUSDT,33.158,33.266,28.212,30.057,2200904.2
2022-01-08,ENSUSDT,30.046,30.861,26.415,27.741,1696324.7
2022-01-09,ENSUSDT,27.749,29.488,26.878,28.024,1429658.8
2022-01-10,ENSUSDT,28.022,28.740,24.383,25.373,2191658.1
2022-01-11,ENSUSDT,25.370,27.113,25.107,26.756,1423520.3
2022-01-12,ENSUSDT,26.757,28.872,26.200,27.966,1420684.3
2022-01-13,ENSUSDT,27.966,28.292,25.515,25.679,1487314.8
2022-01-14,ENSUSDT,25.671,26.677,24.819,26.267,1434518.5
2022-01-15,ENSUSDT,26.268,27.785,25.992,26.642,1726257.7
2022-01-16,ENSUSDT,26.644,28.330,25.608,27.662,1912151.6
2022-01-17,ENSUSDT,27.664,27.869,23.873,24.286,2075279.4
2022-01-18,ENSUSDT,24.284,24.634,22.377,23.380,2145167.0
2022-01-19,ENSUSDT,23.389,23.491,21.209,22.155,2116949.6
2022-01-20,ENSUSDT,22.155,24.511,20.875,21.082,2439193.3
2022-01-21,ENSUSDT,21.080,21.565,17.214,17.841,3213813.5
2022-01-22,ENSUSDT,17.831,18.356,15.034,16.047,3171938.3
2022-01-23,ENSUSDT,16.052,17.423,15.760,17.117,2043334.8
2022-01-24,ENSUSDT,17.108,17.110,14.386,16.448,2564580.0
2022-01-25,ENSUSDT,16.430,16.982,15.712,16.527,1742078.1
2022-01-26,ENSUSDT,16.526,19.479,16.294,16.997,4927529.8
2022-01-27,ENSUSDT,17.000,17.374,15.772,16.800,1621331.1
2022-01-28,ENSUSDT,16.797,18.041,16.013,17.847,3352883.5
2022-01-29,ENSUSDT,17.840,20.880,17.740,20.067,5566432.6
2022-01-30,ENSUSDT,20.065,20.741,18.586,19.021,3198072.7
2022-01-31,ENSUSDT,19.018,21.187,17.591,20.165,3148111.0
2022-02-01,ENSUSDT,20.167,21.197,19.262,19.369,2486230.6
2022-02-02,ENSUSDT,19.367,19.648,17.622,17.971,2047972.5
2022-02-03,ENSUSDT,17.982,18.400,17.319,18.388,1939058.7
2022-02-04,ENSUSDT,18.386,20.797,18.061,20.609,1840616.9
2022-02-05,ENSUSDT,20.606,22.000,19.720,20.029,1848070.0
2022-02-06,ENSUSDT,20.026,20.889,19.150,20.823,2403507.5
2022-02-07,ENSUSDT,20.829,22.880,19.680,21.795,3152515.4
