Date,Symbol,Open,High,Low,Close,Volume
2025-07-17,ERAUSDT,0.8461000,1.9456000,0.8361000,1.6842000,1173146919
2025-07-18,ERAUSDT,1.6846000,1.7219000,1.3126000,1.3553000,751692164
2025-07-19,ERAUSDT,1.3550000,1.3551000,1.1561000,1.2267000,299812290
2025-07-20,ERAUSDT,1.2268000,1.2950000,1.2011000,1.2572000,196242808
2025-07-21,ERAUSDT,1.2573000,1.3350000,1.2350000,1.2643000,120811841
2025-07-22,ERAUSDT,1.2643000,1.2996000,1.1900000,1.2538000,100209503
2025-07-23,ERAUSDT,1.2539000,1.3805000,1.2041000,1.2714000,194448835
2025-07-24,ERAUSDT,1.2713000,1.5652000,1.2694000,1.4542000,351471345
2025-07-25,ERAUSDT,1.4541000,1.6065000,1.1692000,1.2673000,298597566
2025-07-26,ERAUSDT,1.2675000,1.3200000,1.2231000,1.2967000,134377720
2025-07-27,ERAUSDT,1.2966000,1.4222000,1.2649000,1.4033000,139046333
2025-07-28,ERAUSDT,1.4032000,1.4235000,1.2364000,1.2696000,77955301
2025-07-29,ERAUSDT,1.2696000,1.3094000,1.1723000,1.2031000,67243852
2025-07-30,ERAUSDT,1.2030000,1.2247000,1.0896000,1.1241000,82045346
2025-07-31,ERAUSDT,1.1241000,1.1659000,1.0680000,1.0720000,69823068
2025-08-01,ERAUSDT,1.0720000,1.0739000,0.9675000,0.9997000,79184287
2025-08-02,ERAUSDT,0.9997000,1.0114000,0.9032000,0.9178000,72050874
2025-08-03,ERAUSDT,0.9178000,0.9567000,0.9006000,0.9333000,40413388
2025-08-04,ERAUSDT,0.9334000,0.9660000,0.9131000,0.9629000,60392603
2025-08-05,ERAUSDT,0.9629000,1.0391000,0.9513000,1.0052000,83172738
2025-08-06,ERAUSDT,1.0053000,1.0114000,0.9347000,0.9685000,40096224
2025-08-07,ERAUSDT,0.9686000,1.0083000,0.9366000,1.0042000,33763538
2025-08-08,ERAUSDT,1.0043000,1.0105000,0.9672000,1.0026000,38413773
2025-08-09,ERAUSDT,1.0028000,1.0477000,0.9984000,1.0319000,37713225
2025-08-10,ERAUSDT,1.0318000,1.1856000,1.0224000,1.0887000,109255808
2025-08-11,ERAUSDT,1.0887000,1.1004000,0.9960000,1.0109000,46319869
2025-08-12,ERAUSDT,1.0107000,1.0645000,0.9822000,1.0344000,44133609
2025-08-13,ERAUSDT,1.0344000,1.0439000,0.9945000,1.0134000,41843445
2025-08-14,ERAUSDT,1.0134000,1.0150000,0.8985000,0.9276000,41737435
2025-08-15,ERAUSDT,0.9275000,0.9385000,0.9045000,0.9313000,25203313
2025-08-16,ERAUSDT,0.9311000,0.9812000,0.9264000,0.9548000,31291455
2025-08-17,ERAUSDT,0.9548000,0.9744000,0.9383000,0.9439000,22164931
2025-08-18,ERAUSDT,0.9441000,0.9452000,0.8748000,0.8970000,39002761
2025-08-19,ERAUSDT,0.8970000,0.9086000,0.8265000,0.8362000,30516259
2025-08-20,ERAUSDT,0.8361000,0.8683000,0.8237000,0.8652000,22244766
2025-08-21,ERAUSDT,0.8652000,0.8841000,0.8363000,0.8419000,16121056
2025-08-22,ERAUSDT,0.8418000,0.8928000,0.8065000,0.8844000,29255090
2025-08-23,ERAUSDT,0.8844000,0.8886000,0.8538000,0.8700000,13891319
2025-08-24,ERAUSDT,0.8701000,0.8812000,0.8358000,0.8542000,15964865
2025-08-25,ERAUSDT,0.8541000,0.8564000,0.7599000,0.7716000,20535047
2025-08-26,ERAUSDT,0.7716000,0.8079000,0.7608000,0.7995000,12674398
2025-08-27,ERAUSDT,0.7996000,0.8060000,0.7806000,0.7845000,11152715
2025-08-28,ERAUSDT,0.7845000,0.8153000,0.7751000,0.8105000,11734881
2025-08-29,ERAUSDT,0.8105000,0.8111000,0.7426000,0.7607000,14660025
2025-08-30,ERAUSDT,0.7605000,0.7692000,0.7458000,0.7558000,8739496
2025-08-31,ERAUSDT,0.7556000,0.7703000,0.7353000,0.7366000,9955024
2025-09-01,ERAUSDT,0.7366000,0.7366000,0.6628000,0.6817000,17944625
2025-09-02,ERAUSDT,0.6817000,0.7102000,0.6732000,0.7049000,12061824
2025-09-03,ERAUSDT,0.7049000,0.7285000,0.6994000,0.7229000,11953873
2025-09-04,ERAUSDT,0.7229000,0.7444000,0.6824000,0.6967000,11088305
2025-09-05,ERAUSDT,0.6967000,0.7189000,0.6912000,0.7046000,8634278
2025-09-06,ERAUSDT,0.7044000,0.7300000,0.6973000,0.7223000,9191237
2025-09-07,ERAUSDT,0.7224000,0.7296000,0.7086000,0.7181000,5831352
2025-09-08,ERAUSDT,0.7182000,0.7402000,0.7153000,0.7344000,8693622
2025-09-09,ERAUSDT,0.7345000,0.7529000,0.7164000,0.7329000,12018417
2025-09-10,ERAUSDT,0.7330000,0.7610000,0.7303000,0.7464000,13254326
2025-09-11,ERAUSDT,0.7465000,0.7623000,0.7181000,0.7353000,10983742
2025-09-12,ERAUSDT,0.7355000,0.7680000,0.7296000,0.7655000,7355962
2025-09-13,ERAUSDT,0.7656000,0.7817000,0.7509000,0.7766000,8145185
2025-09-14,ERAUSDT,0.7766000,0.7911000,0.7477000,0.7600000,9981028
2025-09-15,ERAUSDT,0.7600000,0.7629000,0.7003000,0.7156000,8950890
2025-09-16,ERAUSDT,0.7157000,0.7246000,0.7019000,0.7181000,6521816
2025-09-17,ERAUSDT,0.7182000,0.7410000,0.7003000,0.7347000,10976811
2025-09-18,ERAUSDT,0.7350000,0.7480000,0.7288000,0.7451000,5824203
2025-09-19,ERAUSDT,0.7452000,0.7486000,0.7075000,0.7155000,5340583
2025-09-20,ERAUSDT,0.7154000,0.7334000,0.7047000,0.7223000,4197355
2025-09-21,ERAUSDT,0.7224000,0.7406000,0.7118000,0.7209000,4815789
