Date,Symbol,Open,High,Low,Close,Volume
2025-07-29,ESPORTSUSDT,0.1668000,0.2538000,0.1116000,0.1262000,1141600756
2025-07-30,ESPORTSUSDT,0.1262000,0.1678000,0.1056000,0.1436000,853991411
2025-07-31,ESPORTSUSDT,0.1434000,0.1650000,0.1266000,0.1303000,1893745860
2025-08-01,ESPORTSUSDT,0.1304000,0.1360000,0.1164000,0.1212000,366832603
2025-08-02,ESPORTSUSDT,0.1212000,0.1392000,0.1092000,0.1132000,376780305
2025-08-03,ESPORTSUSDT,0.1132000,0.1604000,0.1090000,0.1470000,634758965
2025-08-04,ESPORTSUSDT,0.1469000,0.1950000,0.1162000,0.1201000,1527270786
2025-08-05,ESPORTSUSDT,0.1201000,0.1426000,0.1135000,0.1379000,650501917
2025-08-06,ESPORTSUSDT,0.1378000,0.1460000,0.1240000,0.1264000,318502317
2025-08-07,ESPORTSUSDT,0.1264000,0.1503000,0.1195000,0.1482000,281947746
2025-08-08,ESPORTSUSDT,0.1481000,0.1787000,0.1142000,0.1397000,427496062
2025-08-09,ESPORTSUSDT,0.1398000,0.1455000,0.1320000,0.1377000,176433799
2025-08-10,ESPORTSUSDT,0.1377000,0.1548000,0.1360000,0.1405000,229926326
2025-08-11,ESPORTSUSDT,0.1406000,0.1477000,0.1306000,0.1319000,134639644
2025-08-12,ESPORTSUSDT,0.1319000,0.1363000,0.1245000,0.1264000,93650347
2025-08-13,ESPORTSUSDT,0.1264000,0.1273000,0.1182000,0.1219000,135923332
2025-08-14,ESPORTSUSDT,0.1219000,0.1220000,0.0944000,0.1057000,150562507
2025-08-15,ESPORTSUSDT,0.1056000,0.1123000,0.1013000,0.1036000,87318268
2025-08-16,ESPORTSUSDT,0.1036000,0.1071000,0.1006000,0.1016000,64394332
2025-08-17,ESPORTSUSDT,0.1017000,0.1039000,0.0954000,0.0996000,147340250
2025-08-18,ESPORTSUSDT,0.0996000,0.0997000,0.0910000,0.0933000,112117195
2025-08-19,ESPORTSUSDT,0.0933000,0.0957000,0.0768000,0.0820000,198205038
2025-08-20,ESPORTSUSDT,0.0821000,0.0914000,0.0821000,0.0897000,114021711
2025-08-21,ESPORTSUSDT,0.0896000,0.0901000,0.0827000,0.0838000,68311043
2025-08-22,ESPORTSUSDT,0.0838000,0.0942000,0.0825000,0.0934000,141208173
2025-08-23,ESPORTSUSDT,0.0933000,0.0955000,0.0890000,0.0934000,51649447
2025-08-24,ESPORTSUSDT,0.0934000,0.0943000,0.0858000,0.0898000,56620046
2025-08-25,ESPORTSUSDT,0.0897000,0.1009500,0.0848600,0.0966500,252882507
2025-08-26,ESPORTSUSDT,0.0966600,0.1017000,0.0911200,0.0957200,232508532
2025-08-27,ESPORTSUSDT,0.0957200,0.1000800,0.0940000,0.0946500,43457908
2025-08-28,ESPORTSUSDT,0.0946500,0.1039000,0.0921600,0.1023400,45603321
2025-08-29,ESPORTSUSDT,0.1023200,0.1050000,0.0972200,0.1004100,47718538
2025-08-30,ESPORTSUSDT,0.1004400,0.1223200,0.0924400,0.1021400,288201865
2025-08-31,ESPORTSUSDT,0.1021500,0.1056600,0.0987800,0.0999800,39099714
2025-09-01,ESPORTSUSDT,0.0999900,0.1250900,0.0985100,0.1169800,278126341
2025-09-02,ESPORTSUSDT,0.1169800,0.1229900,0.1090900,0.1103500,218336236
2025-09-03,ESPORTSUSDT,0.1103900,0.1106400,0.1044000,0.1094000,44075825
2025-09-04,ESPORTSUSDT,0.1094000,0.1352900,0.1024900,0.1125500,531368940
2025-09-05,ESPORTSUSDT,0.1125400,0.1190700,0.1068700,0.1081000,111425836
2025-09-06,ESPORTSUSDT,0.1081000,0.1154400,0.1080900,0.1106700,47728326
2025-09-07,ESPORTSUSDT,0.1106500,0.1201100,0.1069500,0.1144600,60315604
2025-09-08,ESPORTSUSDT,0.1144800,0.1215600,0.1124300,0.1191600,50936891
2025-09-09,ESPORTSUSDT,0.1191800,0.1397500,0.1157500,0.1281500,168727425
2025-09-10,ESPORTSUSDT,0.1281000,0.1307400,0.1238800,0.1278000,48908987
2025-09-11,ESPORTSUSDT,0.1277300,0.1305700,0.1205500,0.1275200,32691404
2025-09-12,ESPORTSUSDT,0.1275300,0.1441400,0.1258000,0.1402500,71471190
2025-09-13,ESPORTSUSDT,0.1401900,0.1449500,0.1355400,0.1403500,26602866
2025-09-14,ESPORTSUSDT,0.1403300,0.1660100,0.1318700,0.1488800,113315963
2025-09-15,ESPORTSUSDT,0.1488700,0.1598200,0.1418200,0.1461600,107774461
2025-09-16,ESPORTSUSDT,0.1462000,0.1728700,0.1450200,0.1605700,197897712
2025-09-17,ESPORTSUSDT,0.1606100,0.1677500,0.1500400,0.1605200,63663496
2025-09-18,ESPORTSUSDT,0.1604400,0.1784600,0.1590600,0.1657900,59863850
2025-09-19,ESPORTSUSDT,0.1658600,0.1709400,0.1563000,0.1591000,28247193
