Date,Symbol,Open,High,Low,Close,Volume
2023-01-17,FETUSDT,0.2255000,0.2845000,0.2238000,0.2791000,1264439423
2023-01-18,FETUSDT,0.2792000,0.2986000,0.2310000,0.2486000,822124828
2023-01-19,FETUSDT,0.2487000,0.2745000,0.2439000,0.2722000,288226302
2023-01-20,FETUSDT,0.2722000,0.2950000,0.2580000,0.2831000,300450380
2023-01-21,FETUSDT,0.2832000,0.3081000,0.2654000,0.2681000,309200541
2023-01-22,FETUSDT,0.2682000,0.2842000,0.2500000,0.2656000,146741499
2023-01-23,FETUSDT,0.2656000,0.3079000,0.2630000,0.2850000,400587151
2023-01-24,FETUSDT,0.2851000,0.2938000,0.2510000,0.2661000,199713950
2023-01-25,FETUSDT,0.2660000,0.2799000,0.2520000,0.2704000,181541642
2023-01-26,FETUSDT,0.2705000,0.2819000,0.2597000,0.2637000,126314628
2023-01-27,FETUSDT,0.2638000,0.3000000,0.2555000,0.2812000,230910010
2023-01-28,FETUSDT,0.2813000,0.3131000,0.2791000,0.2948000,285648882
2023-01-29,FETUSDT,0.2949000,0.2974000,0.2833000,0.2898000,118354672
2023-01-30,FETUSDT,0.2898000,0.2898000,0.2575000,0.2660000,116132867
2023-01-31,FETUSDT,0.2660000,0.2876000,0.2583000,0.2753000,152997196
2023-02-01,FETUSDT,0.2754000,0.3005000,0.2572000,0.2892000,210123694
2023-02-02,FETUSDT,0.2893000,0.3037000,0.2716000,0.2751000,205944663
2023-02-03,FETUSDT,0.2750000,0.3382000,0.2682000,0.3303000,470781712
2023-02-04,FETUSDT,0.3304000,0.3513000,0.3150000,0.3320000,557602557
2023-02-05,FETUSDT,0.3321000,0.4646000,0.3268000,0.4495000,1231779431
2023-02-06,FETUSDT,0.4496000,0.4764000,0.4063000,0.4329000,971689519
2023-02-07,FETUSDT,0.4330000,0.6000000,0.4329000,0.5414000,1129780754
2023-02-08,FETUSDT,0.5413000,0.6092000,0.4443000,0.4776000,926698980
2023-02-09,FETUSDT,0.4777000,0.4971000,0.3636000,0.3893000,819235654
2023-02-10,FETUSDT,0.3893000,0.4522000,0.3784000,0.4217000,720520262
2023-02-11,FETUSDT,0.4217000,0.4291000,0.3961000,0.4170000,286946981
2023-02-12,FETUSDT,0.4169000,0.4250000,0.3922000,0.3980000,238167217
2023-02-13,FETUSDT,0.3981000,0.4089000,0.3653000,0.3856000,302377120
2023-02-14,FETUSDT,0.3856000,0.4630000,0.3777000,0.4526000,798692816
2023-02-15,FETUSDT,0.4526000,0.4800000,0.4074000,0.4735000,494379651
2023-02-16,FETUSDT,0.4736000,0.4838000,0.4101000,0.4131000,383630473
2023-02-17,FETUSDT,0.4131000,0.4484000,0.4112000,0.4429000,234504525
2023-02-18,FETUSDT,0.4428000,0.4554000,0.4292000,0.4321000,142716019
2023-02-19,FETUSDT,0.4322000,0.4431000,0.4070000,0.4144000,156934310
2023-02-20,FETUSDT,0.4145000,0.4305000,0.4003000,0.4178000,127313863
2023-02-21,FETUSDT,0.4179000,0.5021000,0.4121000,0.4345000,753011314
2023-02-22,FETUSDT,0.4345000,0.4418000,0.4032000,0.4380000,301872683
2023-02-23,FETUSDT,0.4379000,0.4729000,0.4262000,0.4364000,269491447
2023-02-24,FETUSDT,0.4365000,0.4808000,0.4275000,0.4740000,650633709
2023-02-25,FETUSDT,0.4739000,0.4831000,0.4040000,0.4262000,389884657
2023-02-26,FETUSDT,0.4261000,0.4370000,0.4166000,0.4337000,195284868
2023-02-27,FETUSDT,0.4337000,0.4508000,0.4208000,0.4344000,211889339
2023-02-28,FETUSDT,0.4345000,0.4918000,0.4296000,0.4397000,573634513
2023-03-01,FETUSDT,0.4397000,0.4937000,0.4385000,0.4839000,455485506
2023-03-02,FETUSDT,0.4838000,0.4877000,0.4481000,0.4682000,298792409
2023-03-03,FETUSDT,0.4683000,0.4701000,0.3940000,0.4395000,391519061
2023-03-04,FETUSDT,0.4396000,0.4539000,0.4066000,0.4296000,303589523
2023-03-05,FETUSDT,0.4295000,0.4450000,0.4231000,0.4315000,221406853
2023-03-06,FETUSDT,0.4315000,0.4316000,0.4104000,0.4188000,165414127
2023-03-07,FETUSDT,0.4189000,0.4284000,0.3850000,0.3996000,283523774
2023-03-08,FETUSDT,0.3996000,0.4049000,0.3376000,0.3474000,318325756
2023-03-09,FETUSDT,0.3474000,0.3719000,0.3121000,0.3196000,400758055
2023-03-10,FETUSDT,0.3196000,0.3375000,0.2957000,0.3336000,503939577
2023-03-11,FETUSDT,0.3337000,0.3407000,0.3022000,0.3152000,273858420
2023-03-12,FETUSDT,0.3150000,0.3879000,0.3079000,0.3796000,327492346
2023-03-13,FETUSDT,0.3797000,0.4022000,0.3533000,0.3885000,416193340
2023-03-14,FETUSDT,0.3885000,0.4845000,0.3741000,0.4506000,656325457
2023-03-15,FETUSDT,0.4505000,0.4830000,0.3762000,0.4094000,649181000
2023-03-16,FETUSDT,0.4093000,0.4375000,0.3954000,0.4210000,391971202
2023-03-17,FETUSDT,0.4210000,0.4517000,0.4096000,0.4515000,329040235
2023-03-18,FETUSDT,0.4516000,0.4615000,0.4085000,0.4172000,278756396
2023-03-19,FETUSDT,0.4171000,0.4351000,0.4118000,0.4195000,189547070
2023-03-20,FETUSDT,0.4195000,0.4225000,0.3829000,0.3920000,237421953
2023-03-21,FETUSDT,0.3920000,0.4149000,0.3785000,0.3953000,201607200
2023-03-22,FETUSDT,0.3954000,0.4035000,0.3597000,0.3789000,246278524
2023-03-23,FETUSDT,0.3789000,0.3932000,0.3730000,0.3865000,146565459
2023-03-24,FETUSDT,0.3865000,0.3883000,0.3583000,0.3674000,141254372
2023-03-25,FETUSDT,0.3675000,0.3773000,0.3560000,0.3637000,95936790
2023-03-26,FETUSDT,0.3637000,0.3782000,0.3603000,0.3720000,87252633
2023-03-27,FETUSDT,0.3721000,0.3742000,0.3331000,0.3457000,123949376
2023-03-28,FETUSDT,0.3456000,0.3588000,0.3324000,0.3557000,152809095
2023-03-29,FETUSDT,0.3558000,0.4064000,0.3537000,0.3846000,353796178
2023-03-30,FETUSDT,0.3846000,0.3902000,0.3548000,0.3651000,178025218
2023-03-31,FETUSDT,0.3652000,0.3704000,0.3536000,0.3662000,104398612
2023-04-01,FETUSDT,0.3661000,0.3766000,0.3584000,0.3634000,72133635
2023-04-02,FETUSDT,0.3634000,0.3641000,0.3425000,0.3490000,63627778
2023-04-03,FETUSDT,0.3491000,0.3601000,0.3363000,0.3511000,113751540
2023-04-04,FETUSDT,0.3511000,0.3636000,0.3447000,0.3610000,114869068
2023-04-05,FETUSDT,0.3610000,0.3752000,0.3524000,0.3638000,127505466
2023-04-06,FETUSDT,0.3638000,0.3646000,0.3481000,0.3525000,84759337
2023-04-07,FETUSDT,0.3526000,0.3536000,0.3413000,0.3451000,73554904
2023-04-08,FETUSDT,0.3452000,0.3481000,0.3350000,0.3390000,63639222
2023-04-09,FETUSDT,0.3390000,0.3518000,0.3248000,0.3436000,111115649
2023-04-10,FETUSDT,0.3437000,0.3577000,0.3363000,0.3557000,127188465
2023-04-11,FETUSDT,0.3557000,0.3645000,0.3500000,0.3525000,178426435
2023-04-12,FETUSDT,0.3525000,0.3543000,0.3306000,0.3417000,161050847
2023-04-13,FETUSDT,0.3418000,0.3649000,0.3377000,0.3611000,159182573
2023-04-14,FETUSDT,0.3612000,0.4158000,0.3605000,0.4053000,541967021
2023-04-15,FETUSDT,0.4054000,0.4258000,0.3914000,0.4078000,429599718
2023-04-16,FETUSDT,0.4078000,0.4129000,0.3950000,0.4057000,180835661
2023-04-17,FETUSDT,0.4056000,0.4485000,0.3920000,0.4267000,466734293
2023-04-18,FETUSDT,0.4267000,0.4451000,0.4122000,0.4247000,321225901
2023-04-19,FETUSDT,0.4247000,0.4286000,0.3629000,0.3729000,341571890
2023-04-20,FETUSDT,0.3729000,0.3811000,0.3470000,0.3639000,262050721
2023-04-21,FETUSDT,0.3639000,0.3668000,0.3240000,0.3331000,219790693
2023-04-22,FETUSDT,0.3331000,0.3482000,0.3290000,0.3478000,104679608
2023-04-23,FETUSDT,0.3478000,0.3478000,0.3239000,0.3353000,124144844
2023-04-24,FETUSDT,0.3354000,0.3449000,0.3240000,0.3317000,141266296
2023-04-25,FETUSDT,0.3317000,0.3478000,0.3183000,0.3446000,164593760
2023-04-26,FETUSDT,0.3446000,0.3630000,0.3096000,0.3339000,266040534
2023-04-27,FETUSDT,0.3339000,0.3480000,0.3289000,0.3438000,200302795
2023-04-28,FETUSDT,0.3437000,0.3473000,0.3298000,0.3328000,124155333
2023-04-29,FETUSDT,0.3329000,0.3445000,0.3312000,0.3409000,89413567
2023-04-30,FETUSDT,0.3410000,0.3411000,0.3255000,0.3271000,108804811
2023-05-01,FETUSDT,0.3272000,0.3302000,0.3131000,0.3182000,99205659
2023-05-02,FETUSDT,0.3181000,0.3210000,0.3111000,0.3185000,80985051
2023-05-03,FETUSDT,0.3186000,0.3286000,0.2986000,0.3251000,154423206
2023-05-04,FETUSDT,0.3250000,0.3260000,0.3068000,0.3102000,89016400
2023-05-05,FETUSDT,0.3101000,0.3137000,0.2988000,0.3102000,127271848
2023-05-06,FETUSDT,0.3102000,0.3137000,0.2753000,0.2877000,204096667
2023-05-07,FETUSDT,0.2876000,0.2983000,0.2865000,0.2896000,121285872
2023-05-08,FETUSDT,0.2897000,0.2929000,0.2386000,0.2595000,234318790
2023-05-09,FETUSDT,0.2595000,0.2649000,0.2472000,0.2631000,151146180
2023-05-10,FETUSDT,0.2632000,0.2735000,0.2434000,0.2625000,212500647
2023-05-11,FETUSDT,0.2625000,0.2628000,0.2327000,0.2412000,169330523
2023-05-12,FETUSDT,0.2412000,0.2468000,0.2272000,0.2453000,147472641
2023-05-13,FETUSDT,0.2453000,0.2460000,0.2365000,0.2379000,77602905
2023-05-14,FETUSDT,0.2379000,0.2472000,0.2327000,0.2411000,74381566
2023-05-15,FETUSDT,0.2411000,0.2534000,0.2347000,0.2463000,166594479
2023-05-16,FETUSDT,0.2463000,0.2489000,0.2388000,0.2445000,127274687
2023-05-17,FETUSDT,0.2446000,0.2605000,0.2363000,0.2568000,166010753
2023-05-18,FETUSDT,0.2568000,0.2588000,0.2407000,0.2466000,142381215
2023-05-19,FETUSDT,0.2467000,0.2840000,0.2417000,0.2647000,633320015
2023-05-20,FETUSDT,0.2648000,0.2665000,0.2537000,0.2587000,328774320
2023-05-21,FETUSDT,0.2587000,0.2589000,0.2391000,0.2428000,224886349
2023-05-22,FETUSDT,0.2428000,0.2454000,0.2341000,0.2392000,193135072
2023-05-23,FETUSDT,0.2393000,0.2484000,0.2367000,0.2450000,158075605
2023-05-24,FETUSDT,0.2451000,0.2453000,0.2174000,0.2315000,233198037
2023-05-25,FETUSDT,0.2315000,0.2467000,0.2227000,0.2370000,363955511
2023-05-26,FETUSDT,0.2370000,0.2500000,0.2303000,0.2451000,239386833
2023-05-27,FETUSDT,0.2451000,0.2638000,0.2414000,0.2549000,383897390
2023-05-28,FETUSDT,0.2550000,0.2728000,0.2532000,0.2679000,294928121
2023-05-29,FETUSDT,0.2680000,0.2708000,0.2559000,0.2606000,192565588
2023-05-30,FETUSDT,0.2606000,0.2843000,0.2562000,0.2763000,325223018
2023-05-31,FETUSDT,0.2762000,0.2897000,0.2584000,0.2638000,341122496
2023-06-01,FETUSDT,0.2638000,0.2697000,0.2529000,0.2627000,187844490
2023-06-02,FETUSDT,0.2626000,0.2797000,0.2566000,0.2731000,193179154
2023-06-03,FETUSDT,0.2731000,0.2751000,0.2650000,0.2685000,83357401
2023-06-04,FETUSDT,0.2685000,0.2799000,0.2649000,0.2707000,102219428
2023-06-05,FETUSDT,0.2706000,0.2719000,0.2193000,0.2410000,229912383
2023-06-06,FETUSDT,0.2410000,0.2517000,0.2325000,0.2459000,151089543
2023-06-07,FETUSDT,0.2460000,0.2469000,0.2254000,0.2287000,156662849
2023-06-08,FETUSDT,0.2287000,0.2321000,0.2217000,0.2275000,98063674
2023-06-09,FETUSDT,0.2276000,0.2300000,0.2155000,0.2193000,128274721
2023-06-10,FETUSDT,0.2193000,0.2196000,0.1657000,0.1878000,347472551
2023-06-11,FETUSDT,0.1877000,0.1897000,0.1789000,0.1829000,159226999
2023-06-12,FETUSDT,0.1829000,0.1897000,0.1753000,0.1850000,198002810
2023-06-13,FETUSDT,0.1851000,0.1945000,0.1826000,0.1895000,222133343
2023-06-14,FETUSDT,0.1895000,0.1931000,0.1758000,0.1796000,148893943
2023-06-15,FETUSDT,0.1797000,0.1885000,0.1700000,0.1821000,174914223
2023-06-16,FETUSDT,0.1822000,0.1955000,0.1802000,0.1903000,269228757
2023-06-17,FETUSDT,0.1904000,0.2004000,0.1886000,0.1975000,130185083
2023-06-18,FETUSDT,0.1975000,0.1976000,0.1778000,0.1828000,183669242
2023-06-19,FETUSDT,0.1829000,0.1931000,0.1808000,0.1896000,172483656
2023-06-20,FETUSDT,0.1895000,0.1997000,0.1820000,0.1996000,223952554
2023-06-21,FETUSDT,0.1997000,0.2290000,0.1988000,0.2219000,378167415
2023-06-22,FETUSDT,0.2220000,0.2543000,0.2215000,0.2287000,742855482
2023-06-23,FETUSDT,0.2287000,0.2494000,0.2286000,0.2381000,345246083
2023-06-24,FETUSDT,0.2381000,0.2405000,0.2202000,0.2297000,196487602
2023-06-25,FETUSDT,0.2298000,0.2401000,0.2251000,0.2274000,166081670
2023-06-26,FETUSDT,0.2274000,0.2331000,0.2150000,0.2199000,232583680
2023-06-27,FETUSDT,0.2200000,0.2377000,0.2186000,0.2340000,343108372
2023-06-28,FETUSDT,0.2340000,0.2348000,0.2039000,0.2140000,332541021
2023-06-29,FETUSDT,0.2141000,0.2247000,0.2137000,0.2180000,156736325
2023-06-30,FETUSDT,0.2181000,0.2320000,0.2044000,0.2271000,354408171
2023-07-01,FETUSDT,0.2270000,0.2410000,0.2219000,0.2366000,262567952
2023-07-02,FETUSDT,0.2365000,0.2387000,0.2250000,0.2360000,255311983
2023-07-03,FETUSDT,0.2360000,0.2513000,0.2359000,0.2452000,258169380
2023-07-04,FETUSDT,0.2453000,0.2495000,0.2328000,0.2385000,196322694
2023-07-05,FETUSDT,0.2386000,0.2429000,0.2226000,0.2262000,176211806
2023-07-06,FETUSDT,0.2262000,0.2363000,0.2124000,0.2129000,215132914
2023-07-07,FETUSDT,0.2129000,0.2240000,0.2104000,0.2231000,187972399
2023-07-08,FETUSDT,0.2231000,0.2260000,0.2145000,0.2193000,118460827
2023-07-09,FETUSDT,0.2192000,0.2210000,0.2158000,0.2171000,88390811
2023-07-10,FETUSDT,0.2171000,0.2189000,0.2083000,0.2149000,153479740
2023-07-11,FETUSDT,0.2150000,0.2189000,0.2111000,0.2137000,110703841
2023-07-12,FETUSDT,0.2138000,0.2211000,0.2099000,0.2195000,288995890
2023-07-13,FETUSDT,0.2195000,0.2376000,0.2148000,0.2333000,525465650
2023-07-14,FETUSDT,0.2334000,0.2561000,0.2225000,0.2373000,463405917
2023-07-15,FETUSDT,0.2373000,0.2464000,0.2306000,0.2413000,207995282
2023-07-16,FETUSDT,0.2414000,0.2486000,0.2337000,0.2356000,216249580
2023-07-17,FETUSDT,0.2357000,0.2462000,0.2280000,0.2362000,239068056
2023-07-18,FETUSDT,0.2361000,0.2391000,0.2205000,0.2253000,143147192
2023-07-19,FETUSDT,0.2253000,0.2314000,0.2232000,0.2249000,152123869
2023-07-20,FETUSDT,0.2249000,0.2316000,0.2185000,0.2227000,141792609
2023-07-21,FETUSDT,0.2226000,0.2264000,0.2201000,0.2249000,103007605
2023-07-22,FETUSDT,0.2250000,0.2273000,0.2170000,0.2196000,72437380
2023-07-23,FETUSDT,0.2196000,0.2256000,0.2174000,0.2233000,75680172
2023-07-24,FETUSDT,0.2233000,0.2260000,0.2080000,0.2121000,151190072
2023-07-25,FETUSDT,0.2121000,0.2135000,0.2074000,0.2097000,89595752
2023-07-26,FETUSDT,0.2097000,0.2147000,0.2042000,0.2116000,109901920
2023-07-27,FETUSDT,0.2117000,0.2179000,0.2095000,0.2146000,95027904
2023-07-28,FETUSDT,0.2145000,0.2173000,0.2124000,0.2157000,71385257
2023-07-29,FETUSDT,0.2157000,0.2181000,0.2138000,0.2148000,57246677
2023-07-30,FETUSDT,0.2148000,0.2149000,0.2024000,0.2099000,99718926
2023-07-31,FETUSDT,0.2098000,0.2138000,0.2062000,0.2078000,99255107
2023-08-01,FETUSDT,0.2078000,0.2107000,0.1996000,0.2105000,139431117
2023-08-02,FETUSDT,0.2105000,0.2147000,0.2030000,0.2040000,157641365
2023-08-03,FETUSDT,0.2039000,0.2059000,0.2000000,0.2015000,102755920
2023-08-04,FETUSDT,0.2015000,0.2034000,0.1959000,0.1980000,102137564
2023-08-05,FETUSDT,0.1980000,0.1981000,0.1915000,0.1943000,71182106
2023-08-06,FETUSDT,0.1942000,0.2000000,0.1936000,0.1970000,67467366
2023-08-07,FETUSDT,0.1970000,0.2002000,0.1894000,0.1953000,93680160
2023-08-08,FETUSDT,0.1954000,0.2020000,0.1929000,0.2003000,132351179
2023-08-09,FETUSDT,0.2002000,0.2035000,0.1952000,0.1987000,100174076
2023-08-10,FETUSDT,0.1987000,0.2039000,0.1963000,0.2008000,74036969
2023-08-11,FETUSDT,0.2008000,0.2037000,0.1996000,0.2023000,46413756
2023-08-12,FETUSDT,0.2022000,0.2034000,0.1992000,0.2002000,38930287
2023-08-13,FETUSDT,0.2003000,0.2220000,0.1993000,0.2188000,251394748
2023-08-14,FETUSDT,0.2187000,0.2348000,0.2120000,0.2198000,754771803
2023-08-15,FETUSDT,0.2198000,0.2219000,0.1900000,0.2027000,293980150
2023-08-16,FETUSDT,0.2027000,0.2055000,0.1909000,0.1961000,181454422
2023-08-17,FETUSDT,0.1962000,0.2012000,0.1601000,0.1876000,277707390
2023-08-18,FETUSDT,0.1876000,0.2048000,0.1824000,0.1994000,403307098
2023-08-19,FETUSDT,0.1994000,0.2199000,0.1990000,0.2096000,313011555
2023-08-20,FETUSDT,0.2097000,0.2127000,0.2029000,0.2048000,127015153
2023-08-21,FETUSDT,0.2047000,0.2089000,0.1959000,0.2013000,177639642
2023-08-22,FETUSDT,0.2013000,0.2044000,0.1850000,0.1961000,185324413
2023-08-23,FETUSDT,0.1961000,0.2100000,0.1951000,0.2083000,175207166
2023-08-24,FETUSDT,0.2083000,0.2169000,0.2038000,0.2090000,281695334
2023-08-25,FETUSDT,0.2091000,0.2178000,0.2000000,0.2170000,415804298
2023-08-26,FETUSDT,0.2170000,0.2176000,0.2057000,0.2075000,175023177
2023-08-27,FETUSDT,0.2075000,0.2144000,0.2062000,0.2100000,161325633
2023-08-28,FETUSDT,0.2101000,0.2122000,0.2025000,0.2069000,140783980
2023-08-29,FETUSDT,0.2068000,0.2174000,0.2018000,0.2158000,194413153
2023-08-30,FETUSDT,0.2158000,0.2350000,0.2125000,0.2335000,414129114
2023-08-31,FETUSDT,0.2335000,0.2570000,0.2225000,0.2291000,1429680388
2023-09-01,FETUSDT,0.2292000,0.2394000,0.2219000,0.2300000,469001504
2023-09-02,FETUSDT,0.2300000,0.2537000,0.2242000,0.2514000,506851684
2023-09-03,FETUSDT,0.2513000,0.2736000,0.2472000,0.2589000,836564555
2023-09-04,FETUSDT,0.2589000,0.2698000,0.2522000,0.2673000,453211429
2023-09-05,FETUSDT,0.2672000,0.2718000,0.2486000,0.2498000,355832562
2023-09-06,FETUSDT,0.2499000,0.2615000,0.2451000,0.2564000,354926944
2023-09-07,FETUSDT,0.2564000,0.2576000,0.2405000,0.2489000,211984389
2023-09-08,FETUSDT,0.2489000,0.2554000,0.2367000,0.2384000,255060029
2023-09-09,FETUSDT,0.2385000,0.2406000,0.2333000,0.2350000,119870123
2023-09-10,FETUSDT,0.2350000,0.2351000,0.2124000,0.2307000,190922038
2023-09-11,FETUSDT,0.2307000,0.2362000,0.2173000,0.2229000,303875647
2023-09-12,FETUSDT,0.2228000,0.2380000,0.2212000,0.2251000,197321410
2023-09-13,FETUSDT,0.2251000,0.2303000,0.2210000,0.2234000,173198380
2023-09-14,FETUSDT,0.2234000,0.2311000,0.2229000,0.2295000,134089814
2023-09-15,FETUSDT,0.2296000,0.2378000,0.2269000,0.2371000,141908071
2023-09-16,FETUSDT,0.2371000,0.2411000,0.2337000,0.2362000,120879755
2023-09-17,FETUSDT,0.2362000,0.2363000,0.2225000,0.2255000,97192048
2023-09-18,FETUSDT,0.2256000,0.2344000,0.2231000,0.2268000,119785554
2023-09-19,FETUSDT,0.2267000,0.2359000,0.2252000,0.2334000,110579394
2023-09-20,FETUSDT,0.2335000,0.2363000,0.2244000,0.2275000,117081605
2023-09-21,FETUSDT,0.2276000,0.2381000,0.2224000,0.2233000,263506986
2023-09-22,FETUSDT,0.2232000,0.2237000,0.2181000,0.2233000,109317249
2023-09-23,FETUSDT,0.2233000,0.2249000,0.2155000,0.2211000,88767692
2023-09-24,FETUSDT,0.2211000,0.2217000,0.2116000,0.2151000,83382915
2023-09-25,FETUSDT,0.2152000,0.2189000,0.2125000,0.2161000,80173513
2023-09-26,FETUSDT,0.2161000,0.2176000,0.2100000,0.2139000,71004519
2023-09-27,FETUSDT,0.2139000,0.2161000,0.2091000,0.2112000,90612013
2023-09-28,FETUSDT,0.2111000,0.2196000,0.2095000,0.2181000,116907844
2023-09-29,FETUSDT,0.2182000,0.2214000,0.2147000,0.2189000,102722579
