Date,Symbol,Open,High,Low,Close,Volume
2024-09-20,FIOUSDT,0.4999000,0.4999000,0.0415200,0.0444700,3211886907
2024-09-21,FIOUSDT,0.0444600,0.0446000,0.0375000,0.0393100,3066664040
2024-09-22,FIOUSDT,0.0393100,0.0403900,0.0331800,0.0346600,1907994611
2024-09-23,FIOUSDT,0.0346700,0.0366300,0.0337100,0.0360300,979206002
2024-09-24,FIOUSDT,0.0360400,0.0398300,0.0346200,0.0367000,1570388296
2024-09-25,FIOUSDT,0.0367000,0.0367100,0.0336200,0.0343500,933372782
2024-09-26,FIOUSDT,0.0343500,0.0361100,0.0341400,0.0354400,807996643
2024-09-27,FIOUSDT,0.0354400,0.0369800,0.0350700,0.0358600,671087767
2024-09-28,FIOUSDT,0.0358600,0.0372100,0.0346900,0.0357900,511194708
2024-09-29,FIOUSDT,0.0357900,0.0376800,0.0341500,0.0347100,808175254
2024-09-30,FIOUSDT,0.0347200,0.0348900,0.0324100,0.0329600,806927494
2024-10-01,FIOUSDT,0.0329700,0.0343300,0.0300900,0.0339200,924465844
2024-10-02,FIOUSDT,0.0339300,0.0373800,0.0329500,0.0345200,1795690225
2024-10-03,FIOUSDT,0.0345000,0.0354500,0.0330000,0.0347600,647115679
2024-10-04,FIOUSDT,0.0347700,0.0368000,0.0341600,0.0356200,469195135
2024-10-05,FIOUSDT,0.0356400,0.0387500,0.0312300,0.0321500,964508288
2024-10-06,FIOUSDT,0.0321500,0.0339000,0.0316000,0.0321800,1123537310
2024-10-07,FIOUSDT,0.0321800,0.0329000,0.0303100,0.0307100,921288674
2024-10-08,FIOUSDT,0.0307000,0.0334000,0.0302700,0.0327900,698240239
2024-10-09,FIOUSDT,0.0327900,0.0335200,0.0303600,0.0307400,599840689
2024-10-10,FIOUSDT,0.0307300,0.0313800,0.0290600,0.0299100,386068237
2024-10-11,FIOUSDT,0.0299100,0.0319700,0.0298100,0.0314600,284521304
2024-10-12,FIOUSDT,0.0314600,0.0324800,0.0312300,0.0319500,244975635
2024-10-13,FIOUSDT,0.0319500,0.0321300,0.0300100,0.0311100,321433581
2024-10-14,FIOUSDT,0.0311200,0.0334600,0.0304200,0.0329100,355997410
2024-10-15,FIOUSDT,0.0329200,0.0330800,0.0300000,0.0313800,465679478
2024-10-16,FIOUSDT,0.0313900,0.0322400,0.0298900,0.0302700,246388063
2024-10-17,FIOUSDT,0.0302700,0.0306800,0.0285700,0.0293900,256828086
2024-10-18,FIOUSDT,0.0294000,0.0305200,0.0293600,0.0303400,311224856
2024-10-19,FIOUSDT,0.0303400,0.0309300,0.0296300,0.0302800,133306538
2024-10-20,FIOUSDT,0.0302900,0.0325000,0.0301600,0.0321500,328868907
2024-10-21,FIOUSDT,0.0321500,0.0323200,0.0308100,0.0315300,204010759
2024-10-22,FIOUSDT,0.0315300,0.0335000,0.0307200,0.0325800,480179745
2024-10-23,FIOUSDT,0.0325700,0.0326700,0.0288900,0.0297400,334678641
2024-10-24,FIOUSDT,0.0297300,0.0308000,0.0293700,0.0300100,227747696
2024-10-25,FIOUSDT,0.0300100,0.0303500,0.0260100,0.0274300,318908672
2024-10-26,FIOUSDT,0.0274300,0.0284700,0.0266500,0.0274500,217417098
2024-10-27,FIOUSDT,0.0274600,0.0283500,0.0271900,0.0279200,112886777
2024-10-28,FIOUSDT,0.0279300,0.0288200,0.0265000,0.0282700,215634172
2024-10-29,FIOUSDT,0.0282800,0.0298000,0.0281200,0.0294700,207622520
2024-10-30,FIOUSDT,0.0294700,0.0305000,0.0286500,0.0303400,227903111
2024-10-31,FIOUSDT,0.0303400,0.0304300,0.0275800,0.0280600,267300098
2024-11-01,FIOUSDT,0.0280500,0.0282300,0.0262000,0.0267900,249593703
2024-11-02,FIOUSDT,0.0267900,0.0282400,0.0257100,0.0258600,433117488
2024-11-03,FIOUSDT,0.0258600,0.0259400,0.0231700,0.0245100,360214222
2024-11-04,FIOUSDT,0.0245100,0.0256900,0.0233700,0.0240400,337469291
2024-11-05,FIOUSDT,0.0240300,0.0255700,0.0240200,0.0249500,258591881
2024-11-06,FIOUSDT,0.0249400,0.0287500,0.0249400,0.0285400,385498069
2024-11-07,FIOUSDT,0.0285400,0.0297700,0.0280600,0.0285200,314165231
2024-11-08,FIOUSDT,0.0285300,0.0289800,0.0267900,0.0281400,207798610
2024-11-09,FIOUSDT,0.0281400,0.0303700,0.0277700,0.0301100,239380251
2024-11-10,FIOUSDT,0.0301100,0.0341500,0.0295000,0.0319000,757271860
2024-11-11,FIOUSDT,0.0319100,0.0338000,0.0307700,0.0330000,448761661
2024-11-12,FIOUSDT,0.0330100,0.0342800,0.0289600,0.0307600,628729018
2024-11-13,FIOUSDT,0.0307700,0.0311000,0.0275600,0.0301000,603462596
2024-11-14,FIOUSDT,0.0300900,0.0319000,0.0283100,0.0289000,529921807
2024-11-15,FIOUSDT,0.0289000,0.0301000,0.0279000,0.0297700,444609615
2024-11-16,FIOUSDT,0.0297800,0.0325700,0.0294200,0.0322500,412118685
2024-11-17,FIOUSDT,0.0322400,0.0336000,0.0300100,0.0313700,396899194
2024-11-18,FIOUSDT,0.0313700,0.0344100,0.0309400,0.0337400,359645820
2024-11-19,FIOUSDT,0.0337400,0.0348400,0.0312200,0.0322900,396198482
2024-11-20,FIOUSDT,0.0322700,0.0322900,0.0294600,0.0306000,258997731
2024-11-21,FIOUSDT,0.0306000,0.0332500,0.0293400,0.0324900,551646760
2024-11-22,FIOUSDT,0.0325000,0.0338900,0.0316300,0.0337900,225799773
2024-11-23,FIOUSDT,0.0337900,0.0358000,0.0332900,0.0353900,321845782
2024-11-24,FIOUSDT,0.0353900,0.0372900,0.0325300,0.0369500,405999484
2024-11-25,FIOUSDT,0.0369600,0.0386000,0.0351400,0.0360700,418925864
2024-11-26,FIOUSDT,0.0360900,0.0383800,0.0329500,0.0353800,346728947
2024-11-27,FIOUSDT,0.0353800,0.0402800,0.0342400,0.0395900,392164275
2024-11-28,FIOUSDT,0.0395800,0.0396100,0.0374000,0.0387600,233701724
2024-11-29,FIOUSDT,0.0387700,0.0415900,0.0371900,0.0409200,269499876
2024-11-30,FIOUSDT,0.0409100,0.0456100,0.0403600,0.0445700,306157196
2024-12-01,FIOUSDT,0.0445900,0.0476500,0.0431500,0.0459200,294107653
2024-12-02,FIOUSDT,0.0459100,0.0474700,0.0426800,0.0471200,323965659
2024-12-03,FIOUSDT,0.0471200,0.0503300,0.0422200,0.0498900,352480549
2024-12-04,FIOUSDT,0.0498700,0.0518300,0.0469100,0.0498300,377060377
2024-12-05,FIOUSDT,0.0498400,0.0654900,0.0471600,0.0582100,2631670436
2024-12-06,FIOUSDT,0.0582300,0.0622400,0.0568200,0.0609200,883106823
2024-12-07,FIOUSDT,0.0609200,0.0635400,0.0575000,0.0581400,305624549
2024-12-08,FIOUSDT,0.0581400,0.0606600,0.0574000,0.0598400,202091511
2024-12-09,FIOUSDT,0.0598500,0.0628900,0.0389600,0.0476300,1268971073
2024-12-10,FIOUSDT,0.0476300,0.0505500,0.0420100,0.0467400,608668184
2024-12-11,FIOUSDT,0.0467500,0.0507800,0.0442800,0.0492700,383627860
2024-12-12,FIOUSDT,0.0493000,0.0534300,0.0487500,0.0506100,287671740
2024-12-13,FIOUSDT,0.0506000,0.0546700,0.0490500,0.0537500,335218798
2024-12-14,FIOUSDT,0.0537500,0.0547100,0.0471400,0.0485700,244702808
2024-12-15,FIOUSDT,0.0485700,0.0529300,0.0465800,0.0518800,307435716
2024-12-16,FIOUSDT,0.0519100,0.0529600,0.0490100,0.0506100,370686407
2024-12-17,FIOUSDT,0.0506200,0.0524900,0.0475600,0.0482500,300956715
2024-12-18,FIOUSDT,0.0482500,0.0492300,0.0412700,0.0430200,518451936
2024-12-19,FIOUSDT,0.0430100,0.0437900,0.0365400,0.0381100,625489698
2024-12-20,FIOUSDT,0.0381000,0.0399000,0.0329300,0.0393700,472903219
2024-12-21,FIOUSDT,0.0393700,0.0424500,0.0375800,0.0384300,305239495
2024-12-22,FIOUSDT,0.0384200,0.0393300,0.0364300,0.0377600,259231418
2024-12-23,FIOUSDT,0.0377600,0.0414900,0.0366200,0.0407500,247727151
2024-12-24,FIOUSDT,0.0407500,0.0428700,0.0394200,0.0423700,267192913
2024-12-25,FIOUSDT,0.0423600,0.0462500,0.0420400,0.0433200,274620405
2024-12-26,FIOUSDT,0.0433200,0.0440100,0.0396300,0.0404900,208937626
2024-12-27,FIOUSDT,0.0404800,0.0426900,0.0393800,0.0409400,228305339
2024-12-28,FIOUSDT,0.0409400,0.0444500,0.0398400,0.0439600,174347282
2024-12-29,FIOUSDT,0.0439500,0.0465500,0.0433600,0.0440900,580656148
2024-12-30,FIOUSDT,0.0440900,0.0461100,0.0415500,0.0428200,261860063
2024-12-31,FIOUSDT,0.0428300,0.0433100,0.0409100,0.0412300,147959796
2025-01-01,FIOUSDT,0.0412300,0.0424000,0.0397800,0.0422400,147277120
2025-01-02,FIOUSDT,0.0422400,0.0442600,0.0422300,0.0432200,147074702
2025-01-03,FIOUSDT,0.0432200,0.0453900,0.0423900,0.0450800,140738045
2025-01-04,FIOUSDT,0.0450700,0.0453600,0.0435500,0.0443000,121201856
2025-01-05,FIOUSDT,0.0442900,0.0450200,0.0428600,0.0445300,118384386
2025-01-06,FIOUSDT,0.0445400,0.0458800,0.0433200,0.0448600,171970764
2025-01-07,FIOUSDT,0.0448700,0.0449800,0.0394100,0.0394500,159643261
2025-01-08,FIOUSDT,0.0394400,0.0401700,0.0351500,0.0372000,227361165
2025-01-09,FIOUSDT,0.0371900,0.0379300,0.0350400,0.0361100,224181716
2025-01-10,FIOUSDT,0.0360700,0.0380100,0.0354900,0.0364700,196868973
2025-01-11,FIOUSDT,0.0364600,0.0368200,0.0352400,0.0359400,88761440
2025-01-12,FIOUSDT,0.0359300,0.0365900,0.0349800,0.0355200,103924277
2025-01-13,FIOUSDT,0.0355100,0.0365000,0.0319600,0.0345800,215893417
2025-01-14,FIOUSDT,0.0345800,0.0360500,0.0344600,0.0357200,154391282
2025-01-15,FIOUSDT,0.0357300,0.0383500,0.0346300,0.0381500,166228915
2025-01-16,FIOUSDT,0.0381500,0.0383700,0.0365800,0.0376200,153086462
2025-01-17,FIOUSDT,0.0376100,0.0399600,0.0376100,0.0396800,167569011
2025-01-18,FIOUSDT,0.0396800,0.0399800,0.0360300,0.0368600,190918124
2025-01-19,FIOUSDT,0.0368500,0.0379100,0.0323700,0.0330100,260153781
2025-01-20,FIOUSDT,0.0330000,0.0355700,0.0313000,0.0323800,396863683
2025-01-21,FIOUSDT,0.0323700,0.0340900,0.0303800,0.0334600,180539100
2025-01-22,FIOUSDT,0.0334500,0.0338600,0.0323800,0.0326800,89133468
2025-01-23,FIOUSDT,0.0326700,0.0334800,0.0316100,0.0328100,167229488
2025-01-24,FIOUSDT,0.0328300,0.0332800,0.0310300,0.0313600,152989778
2025-01-25,FIOUSDT,0.0313600,0.0322200,0.0305800,0.0318400,113863656
2025-01-26,FIOUSDT,0.0318500,0.0336200,0.0316900,0.0320400,156501800
2025-01-27,FIOUSDT,0.0320400,0.0320700,0.0285900,0.0316500,233677139
2025-01-28,FIOUSDT,0.0316600,0.0324300,0.0290100,0.0293600,132502775
2025-01-29,FIOUSDT,0.0293500,0.0314700,0.0291800,0.0302200,109426561
2025-01-30,FIOUSDT,0.0302200,0.0319700,0.0297500,0.0307600,102864970
2025-01-31,FIOUSDT,0.0307500,0.0327400,0.0304500,0.0312300,86611617
2025-02-01,FIOUSDT,0.0312300,0.0319000,0.0277900,0.0280200,237111774
2025-02-02,FIOUSDT,0.0280300,0.0287500,0.0220100,0.0238800,344963359
2025-02-03,FIOUSDT,0.0238800,0.0242800,0.0176000,0.0237200,577158562
2025-02-04,FIOUSDT,0.0237200,0.0239900,0.0214200,0.0225500,213409710
2025-02-05,FIOUSDT,0.0225500,0.0240000,0.0218500,0.0223300,163560089
2025-02-06,FIOUSDT,0.0223300,0.0230300,0.0207400,0.0209600,135091999
2025-02-07,FIOUSDT,0.0209500,0.0228100,0.0202800,0.0210200,122884268
2025-02-08,FIOUSDT,0.0210200,0.0235900,0.0208100,0.0233900,113912354
2025-02-09,FIOUSDT,0.0233800,0.0240100,0.0217900,0.0229700,107615345
2025-02-10,FIOUSDT,0.0229800,0.0247800,0.0220500,0.0239500,211109304
2025-02-11,FIOUSDT,0.0239300,0.0256700,0.0233900,0.0238100,103315007
2025-02-12,FIOUSDT,0.0238100,0.0267400,0.0232200,0.0267300,160621770
2025-02-13,FIOUSDT,0.0267300,0.0269400,0.0245900,0.0252000,131022790
2025-02-14,FIOUSDT,0.0252100,0.0265400,0.0249800,0.0259700,88981710
2025-02-15,FIOUSDT,0.0259600,0.0261900,0.0247100,0.0250500,64072830
2025-02-16,FIOUSDT,0.0250300,0.0263600,0.0245700,0.0251200,164850196
2025-02-17,FIOUSDT,0.0251100,0.0258800,0.0238400,0.0247800,102410783
2025-02-18,FIOUSDT,0.0247700,0.0249400,0.0221800,0.0230700,102785671
2025-02-19,FIOUSDT,0.0230800,0.0239900,0.0228500,0.0233000,73245753
2025-02-20,FIOUSDT,0.0233000,0.0242600,0.0232500,0.0240200,92443973
2025-02-21,FIOUSDT,0.0240200,0.0250500,0.0220800,0.0224500,115558100
2025-02-22,FIOUSDT,0.0224400,0.0243500,0.0222300,0.0242600,63773781
2025-02-23,FIOUSDT,0.0242700,0.0244100,0.0226200,0.0231400,69795729
2025-02-24,FIOUSDT,0.0231400,0.0233200,0.0194100,0.0202400,133467659
2025-02-25,FIOUSDT,0.0202300,0.0205600,0.0183300,0.0202400,237644663
2025-02-26,FIOUSDT,0.0202500,0.0208000,0.0194000,0.0205700,107523319
2025-02-27,FIOUSDT,0.0205700,0.0313700,0.0200200,0.0251100,9503905683
2025-02-28,FIOUSDT,0.0251200,0.0252800,0.0217600,0.0247500,4148721010
2025-03-01,FIOUSDT,0.0247400,0.0247500,0.0225200,0.0235000,962918015
2025-03-02,FIOUSDT,0.0235100,0.0245900,0.0227400,0.0241700,738737781
2025-03-03,FIOUSDT,0.0241700,0.0244000,0.0205000,0.0209300,846458292
2025-03-04,FIOUSDT,0.0209300,0.0210600,0.0190200,0.0201000,749069527
2025-03-05,FIOUSDT,0.0201000,0.0211400,0.0200000,0.0205100,277992140
2025-03-06,FIOUSDT,0.0205100,0.0207900,0.0191000,0.0194300,274047852
2025-03-07,FIOUSDT,0.0194200,0.0201300,0.0185900,0.0195500,316787728
2025-03-08,FIOUSDT,0.0195500,0.0197200,0.0187400,0.0192200,156855708
2025-03-09,FIOUSDT,0.0192300,0.0192300,0.0167600,0.0171800,269400010
2025-03-10,FIOUSDT,0.0171900,0.0184800,0.0159700,0.0164300,373381139
2025-03-11,FIOUSDT,0.0164400,0.0173400,0.0143300,0.0167200,641319311
2025-03-12,FIOUSDT,0.0167200,0.0170500,0.0159600,0.0168200,226652900
2025-03-13,FIOUSDT,0.0168300,0.0170500,0.0159600,0.0163800,175959823
2025-03-14,FIOUSDT,0.0163800,0.0171500,0.0163300,0.0166700,139503952
2025-03-15,FIOUSDT,0.0166800,0.0173800,0.0165900,0.0172600,109815322
2025-03-16,FIOUSDT,0.0172600,0.0173500,0.0161200,0.0162900,109359128
2025-03-17,FIOUSDT,0.0162700,0.0176600,0.0162600,0.0175200,100664438
2025-03-18,FIOUSDT,0.0175300,0.0175300,0.0162300,0.0171800,144898635
2025-03-19,FIOUSDT,0.0171900,0.0179000,0.0170000,0.0177700,137502110
2025-03-20,FIOUSDT,0.0177700,0.0178400,0.0169800,0.0172000,93475545
2025-03-21,FIOUSDT,0.0171900,0.0173500,0.0167000,0.0168800,88982165
2025-03-22,FIOUSDT,0.0168800,0.0180700,0.0168200,0.0175800,110315197
2025-03-23,FIOUSDT,0.0175700,0.0178600,0.0169400,0.0174000,72900511
2025-03-24,FIOUSDT,0.0174000,0.0183000,0.0169900,0.0181700,107470978
