Date,Symbol,Open,High,Low,Close,Volume
2020-09-29,FLMUSDT,0.8211,0.8870,0.5685,0.6468,50149412
2020-09-30,FLMUSDT,0.6464,0.6800,0.5800,0.6307,48792028
2020-10-01,FLMUSDT,0.6291,0.6760,0.5462,0.5617,38465476
2020-10-02,FLMUSDT,0.5615,0.5783,0.4223,0.4675,63065124
2020-10-03,FLMUSDT,0.4671,0.4888,0.4055,0.4148,56348819
2020-10-04,FLMUSDT,0.4148,0.4167,0.3369,0.3601,61520794
2020-10-05,FLMUSDT,0.3606,0.3980,0.2983,0.3777,166784354
2020-10-06,FLMUSDT,0.3777,0.3900,0.2770,0.2875,172612568
2020-10-07,FLMUSDT,0.2879,0.2880,0.2347,0.2529,199414872
2020-10-08,FLMUSDT,0.2530,0.2910,0.2258,0.2838,179890592
2020-10-09,FLMUSDT,0.2836,0.3097,0.2610,0.2926,95297318
2020-10-10,FLMUSDT,0.2930,0.3066,0.2562,0.2647,59412323
2020-10-11,FLMUSDT,0.2644,0.2828,0.2459,0.2785,73984923
2020-10-12,FLMUSDT,0.2785,0.2795,0.2516,0.2597,52809001
2020-10-13,FLMUSDT,0.2597,0.2834,0.2520,0.2744,51546999
2020-10-14,FLMUSDT,0.2744,0.2944,0.2563,0.2733,63733667
2020-10-15,FLMUSDT,0.2729,0.2740,0.2546,0.2631,33567457
2020-10-16,FLMUSDT,0.2631,0.2660,0.2451,0.2514,24307168
2020-10-17,FLMUSDT,0.2513,0.2588,0.2423,0.2545,17999464
2020-10-18,FLMUSDT,0.2541,0.2607,0.2505,0.2580,18292695
2020-10-19,FLMUSDT,0.2581,0.2650,0.2483,0.2619,19690750
2020-10-20,FLMUSDT,0.2616,0.2619,0.2329,0.2366,21595574
2020-10-21,FLMUSDT,0.2366,0.2519,0.2362,0.2415,20535160
2020-10-22,FLMUSDT,0.2414,0.2480,0.2322,0.2360,19841910
2020-10-23,FLMUSDT,0.2361,0.2363,0.2171,0.2225,20093919
2020-10-24,FLMUSDT,0.2225,0.2348,0.2189,0.2264,21968284
2020-10-25,FLMUSDT,0.2263,0.2327,0.2037,0.2096,30955402
2020-10-26,FLMUSDT,0.2096,0.2249,0.1891,0.1959,41048910
2020-10-27,FLMUSDT,0.1959,0.2001,0.1845,0.1911,31610079
2020-10-28,FLMUSDT,0.1912,0.1965,0.1631,0.1670,37477726
2020-10-29,FLMUSDT,0.1670,0.1711,0.1502,0.1516,33590002
2020-10-30,FLMUSDT,0.1516,0.1638,0.1388,0.1566,75202111
2020-10-31,FLMUSDT,0.1565,0.1631,0.1505,0.1517,36868661
2020-11-01,FLMUSDT,0.1518,0.1536,0.1441,0.1491,25451514
2020-11-02,FLMUSDT,0.1489,0.1583,0.1442,0.1484,44291347
