Date,Symbol,Open,High,Low,Close,Volume
2025-03-19,FORMUSDT,2.000000,2.035000,1.358000,1.741800,121165084.8
2025-03-20,FORMUSDT,1.741800,1.993000,1.639500,1.871700,109531099.0
2025-03-21,FORMUSDT,1.871600,1.948200,1.671600,1.832500,67795062.6
2025-03-22,FORMUSDT,1.832400,1.910000,1.800200,1.859500,23728226.5
2025-03-23,FORMUSDT,1.859500,2.165500,1.713000,2.029500,64566952.1
2025-03-24,FORMUSDT,2.029700,2.648800,1.883600,2.448700,104322522.8
2025-03-25,FORMUSDT,2.448600,2.580100,2.339100,2.389100,78820635.0
2025-03-26,FORMUSDT,2.389100,2.408600,2.212600,2.279500,28777544.6
2025-03-27,FORMUSDT,2.279500,2.507700,2.245600,2.433700,32679630.8
2025-03-28,FORMUSDT,2.433900,2.472300,2.252000,2.254000,26697151.3
2025-03-29,FORMUSDT,2.253900,2.296000,2.166700,2.206000,17276255.1
2025-03-30,FORMUSDT,2.205700,2.409800,2.151400,2.320200,19988174.3
2025-03-31,FORMUSDT,2.320700,2.498900,2.286000,2.315700,23501989.3
2025-04-01,FORMUSDT,2.316100,2.399000,2.225400,2.238100,12986057.8
2025-04-02,FORMUSDT,2.238200,2.378300,2.060700,2.179200,24945219.7
2025-04-03,FORMUSDT,2.179700,2.219000,2.066600,2.184100,11246175.8
2025-04-04,FORMUSDT,2.184100,2.205900,2.050100,2.171000,9402209.6
2025-04-05,FORMUSDT,2.171000,2.190900,2.030000,2.174100,10233051.8
2025-04-06,FORMUSDT,2.174200,2.234800,1.825700,1.915900,24114376.9
2025-04-07,FORMUSDT,1.915900,2.149900,1.854700,1.984200,23683209.3
2025-04-08,FORMUSDT,1.984200,2.067400,1.888500,1.948700,12727043.6
2025-04-09,FORMUSDT,1.948800,2.180000,1.907100,2.131300,12778218.4
2025-04-10,FORMUSDT,2.131300,2.136000,1.941700,1.985200,10090020.7
2025-04-11,FORMUSDT,1.985500,2.019500,1.942100,1.961400,6926744.1
2025-04-12,FORMUSDT,1.961200,2.104300,1.903300,2.063700,8732049.6
2025-04-13,FORMUSDT,2.063800,2.078400,1.928700,2.025300,8060093.6
2025-04-14,FORMUSDT,2.025200,2.049800,1.967800,2.022000,5211917.4
2025-04-15,FORMUSDT,2.022200,2.032800,1.933200,1.973800,5509156.1
2025-04-16,FORMUSDT,1.974500,2.018500,1.914300,1.969800,5436449.7
2025-04-17,FORMUSDT,1.970000,2.070400,1.923000,2.023900,5158591.2
2025-04-18,FORMUSDT,2.023900,2.173700,2.006700,2.073300,5745586.1
2025-04-19,FORMUSDT,2.073600,2.130000,2.023400,2.063200,4516363.5
2025-04-20,FORMUSDT,2.063100,2.127200,2.063100,2.074100,2474111.3
2025-04-21,FORMUSDT,2.074100,2.121900,2.045000,2.114100,2840945.5
2025-04-22,FORMUSDT,2.114400,2.144000,2.056100,2.140200,3120242.9
2025-04-23,FORMUSDT,2.140300,2.318800,2.083900,2.149000,6969732.9
2025-04-24,FORMUSDT,2.148600,2.159900,2.047000,2.087500,3087240.9
2025-04-25,FORMUSDT,2.087500,2.154700,2.056700,2.095600,3557395.2
2025-04-26,FORMUSDT,2.095400,2.188500,2.051800,2.146900,3353379.7
2025-04-27,FORMUSDT,2.148000,2.244700,2.100100,2.142300,5131339.8
2025-04-28,FORMUSDT,2.142400,2.182700,2.083000,2.143000,3066439.5
2025-04-29,FORMUSDT,2.143200,2.166400,2.094200,2.118100,2047990.3
2025-04-30,FORMUSDT,2.118100,2.172600,2.100000,2.123400,2042965.6
2025-05-01,FORMUSDT,2.123700,2.249900,2.111900,2.170200,3075127.5
2025-05-02,FORMUSDT,2.170100,2.230600,2.110000,2.207000,2040810.9
2025-05-03,FORMUSDT,2.206600,2.230000,2.148700,2.160700,2575231.4
2025-05-04,FORMUSDT,2.160800,2.267500,2.144100,2.249000,2520797.5
2025-05-05,FORMUSDT,2.249600,2.643500,2.199600,2.585700,19356562.0
2025-05-06,FORMUSDT,2.586200,2.641200,2.404300,2.507900,14852476.0
2025-05-07,FORMUSDT,2.507900,2.592800,2.504200,2.562300,7204823.5
2025-05-08,FORMUSDT,2.562200,2.630700,2.408200,2.431500,7888589.9
2025-05-09,FORMUSDT,2.431500,2.540700,2.240000,2.351200,9840206.5
2025-05-10,FORMUSDT,2.351200,2.515000,2.338800,2.396500,4835221.3
2025-05-11,FORMUSDT,2.396400,2.460900,2.327400,2.395200,3167389.3
2025-05-12,FORMUSDT,2.394900,2.979900,2.392900,2.797200,17937118.7
2025-05-13,FORMUSDT,2.797700,2.858200,2.590100,2.740500,8248229.3
2025-05-14,FORMUSDT,2.740500,2.804000,2.704700,2.730200,4832352.3
2025-05-15,FORMUSDT,2.730200,2.861800,2.621900,2.668000,4355158.2
2025-05-16,FORMUSDT,2.668400,2.837900,2.658700,2.780400,3455641.0
2025-05-17,FORMUSDT,2.780400,2.800000,2.722000,2.772700,3934373.6
2025-05-18,FORMUSDT,2.772800,2.929900,2.729300,2.783200,5301898.7
2025-05-19,FORMUSDT,2.783100,2.786200,2.558700,2.606400,6265570.0
2025-05-20,FORMUSDT,2.605900,2.716500,2.592100,2.626500,3845080.6
2025-05-21,FORMUSDT,2.625800,2.685600,2.570000,2.647700,2876867.9
2025-05-22,FORMUSDT,2.648200,2.738000,2.602400,2.627400,2672925.7
2025-05-23,FORMUSDT,2.627600,3.048800,2.620400,2.867300,17107782.9
2025-05-24,FORMUSDT,2.867500,2.944900,2.853500,2.880500,5901227.0
2025-05-25,FORMUSDT,2.880500,2.920400,2.822500,2.856000,3487020.8
2025-05-26,FORMUSDT,2.855900,3.064400,2.847100,2.989800,3741744.8
2025-05-27,FORMUSDT,2.990000,3.035800,2.930600,3.001600,3892415.9
2025-05-28,FORMUSDT,3.001300,3.037600,2.943700,2.970900,2351161.3
2025-05-29,FORMUSDT,2.971000,3.025600,2.870300,2.988400,4105992.2
2025-05-30,FORMUSDT,2.988900,3.005300,2.792600,2.796000,3602795.4
2025-05-31,FORMUSDT,2.796000,2.900000,2.714200,2.848400,3340529.1
2025-06-01,FORMUSDT,2.849100,2.880800,2.782300,2.855700,1561657.1
2025-06-02,FORMUSDT,2.855900,2.871900,2.781500,2.805300,1579206.0
2025-06-03,FORMUSDT,2.805200,2.998800,2.655700,2.880500,8583832.0
2025-06-04,FORMUSDT,2.880200,2.971300,2.762300,2.770800,3905848.1
2025-06-05,FORMUSDT,2.770600,2.810900,2.654900,2.742200,2796592.8
2025-06-06,FORMUSDT,2.742500,2.781600,2.678900,2.769900,2137550.7
2025-06-07,FORMUSDT,2.770000,2.788100,2.748400,2.761300,896224.2
2025-06-08,FORMUSDT,2.761900,2.779400,2.736200,2.756800,1116755.3
2025-06-09,FORMUSDT,2.757500,2.788800,2.739000,2.777600,1427221.3
2025-06-10,FORMUSDT,2.777700,2.835400,2.733400,2.789400,3094432.9
2025-06-11,FORMUSDT,2.789500,2.929000,2.722400,2.735700,2914908.5
2025-06-12,FORMUSDT,2.735700,2.774600,2.686600,2.723900,2103049.8
2025-06-13,FORMUSDT,2.724700,2.768000,2.635100,2.673100,3311326.8
2025-06-14,FORMUSDT,2.673500,2.693000,2.616700,2.638600,1484473.9
2025-06-15,FORMUSDT,2.638600,2.687600,2.578600,2.616700,1552996.6
2025-06-16,FORMUSDT,2.616700,2.799600,2.062600,2.585500,32417606.6
2025-06-17,FORMUSDT,2.585400,2.675400,2.536200,2.563900,7766628.7
2025-06-18,FORMUSDT,2.563900,2.568500,2.457000,2.522600,4270220.3
2025-06-19,FORMUSDT,2.522600,2.522600,2.363400,2.410600,6700701.5
2025-06-20,FORMUSDT,2.410600,2.456900,2.398700,2.418000,2518048.7
2025-06-21,FORMUSDT,2.418000,2.430500,2.234700,2.344100,2616578.8
2025-06-22,FORMUSDT,2.344100,2.450000,2.278500,2.401700,6637356.9
2025-06-23,FORMUSDT,2.401600,2.833300,2.390400,2.798700,8990845.2
2025-06-24,FORMUSDT,2.798500,2.804900,2.680500,2.702400,3503455.7
2025-06-25,FORMUSDT,2.702300,2.848100,2.698500,2.808100,3347365.9
2025-06-26,FORMUSDT,2.808100,2.834200,2.762300,2.794800,2151186.1
2025-06-27,FORMUSDT,2.794900,2.869800,2.787700,2.827800,2449248.1
2025-06-28,FORMUSDT,2.827500,2.849800,2.780200,2.801800,2054220.8
2025-06-29,FORMUSDT,2.802000,3.130000,2.762800,2.909600,3687690.8
2025-06-30,FORMUSDT,2.909500,2.960400,2.873800,2.921800,2048672.5
2025-07-01,FORMUSDT,2.921500,2.987000,2.914100,2.974200,2702265.0
2025-07-02,FORMUSDT,2.974000,2.975700,2.849200,2.876000,2082070.9
2025-07-03,FORMUSDT,2.876000,2.913000,2.780000,2.784200,2449937.9
2025-07-04,FORMUSDT,2.783200,2.885500,2.777400,2.826100,2303288.8
2025-07-05,FORMUSDT,2.826400,2.876500,2.764800,2.801300,2350697.4
2025-07-06,FORMUSDT,2.801300,2.815200,2.687400,2.718900,2001554.7
2025-07-07,FORMUSDT,2.719000,2.811700,2.670400,2.696200,2475561.1
2025-07-08,FORMUSDT,2.695800,2.726300,2.664000,2.725300,1315061.0
2025-07-09,FORMUSDT,2.725000,2.920900,2.708500,2.903500,2781308.6
2025-07-10,FORMUSDT,2.903700,3.000000,2.860300,2.990900,2506837.6
2025-07-11,FORMUSDT,2.990500,3.759100,2.985000,3.304000,14633388.7
2025-07-12,FORMUSDT,3.304600,3.489100,3.264200,3.418900,2751054.7
2025-07-13,FORMUSDT,3.422000,3.457600,3.278600,3.351500,2708741.2
2025-07-14,FORMUSDT,3.350100,3.682800,3.230200,3.279600,5520168.9
2025-07-15,FORMUSDT,3.279600,3.293800,3.071400,3.122000,3771868.3
2025-07-16,FORMUSDT,3.122700,3.233700,3.064600,3.161600,2689262.9
2025-07-17,FORMUSDT,3.160200,3.387700,3.149300,3.373100,2080586.7
2025-07-18,FORMUSDT,3.373200,3.493600,3.356500,3.435800,2737174.7
2025-07-19,FORMUSDT,3.436300,3.571800,3.427500,3.517400,1550389.2
2025-07-20,FORMUSDT,3.517500,3.540700,3.440000,3.491100,1302089.6
2025-07-21,FORMUSDT,3.491500,3.529900,3.366500,3.519500,1892509.2
2025-07-22,FORMUSDT,3.519900,3.611500,3.450000,3.571800,1985506.2
2025-07-23,FORMUSDT,3.571800,3.632800,3.418500,3.505300,1799425.3
2025-07-24,FORMUSDT,3.505700,3.595700,3.397500,3.524100,1830196.4
2025-07-25,FORMUSDT,3.523100,3.524300,3.279300,3.398200,2239655.6
2025-07-26,FORMUSDT,3.398300,3.429800,3.334800,3.357900,783125.4
2025-07-27,FORMUSDT,3.358100,3.530400,3.333800,3.477800,1770790.0
2025-07-28,FORMUSDT,3.477700,3.513100,3.341600,3.411000,1145195.8
2025-07-29,FORMUSDT,3.411600,3.850000,3.246700,3.805200,13947711.7
2025-07-30,FORMUSDT,3.803600,3.841600,3.677700,3.831600,11587924.6
2025-07-31,FORMUSDT,3.831600,4.019800,3.730000,3.782200,8841095.5
2025-08-01,FORMUSDT,3.781900,3.960100,3.735000,3.792000,5109447.2
2025-08-02,FORMUSDT,3.792700,3.847100,3.628500,3.688500,4529688.0
2025-08-03,FORMUSDT,3.688400,3.855000,3.658700,3.822500,3603545.9
2025-08-04,FORMUSDT,3.822500,3.886800,3.759300,3.825600,2951119.4
2025-08-05,FORMUSDT,3.825700,3.840000,3.743200,3.806500,2538250.6
2025-08-06,FORMUSDT,3.806100,3.834800,3.723100,3.762500,2020974.2
2025-08-07,FORMUSDT,3.762600,3.931800,3.735300,3.915600,3496307.6
