Date,Symbol,Open,High,Low,Close,Volume
2025-04-08,FORTHUSDT,2.482000,4.160000,2.285000,3.093000,157971400.8
2025-04-09,FORTHUSDT,3.095000,3.486000,2.750000,3.082000,84834143.6
2025-04-10,FORTHUSDT,3.082000,3.124000,2.695000,2.790000,22637730.8
2025-04-11,FORTHUSDT,2.790000,3.145000,2.711000,2.917000,17019403.5
2025-04-12,FORTHUSDT,2.917000,3.485000,2.845000,3.177000,20120616.2
2025-04-13,FORTHUSDT,3.177000,3.575000,3.056000,3.174000,19075042.7
2025-04-14,FORTHUSDT,3.173000,3.280000,2.819000,2.884000,7561446.1
2025-04-15,FORTHUSDT,2.885000,2.896000,2.476000,2.497000,7469183.7
2025-04-16,FORTHUSDT,2.497000,2.777000,2.449000,2.594000,7853017.8
2025-04-17,FORTHUSDT,2.594000,2.658000,2.381000,2.448000,4321332.1
2025-04-18,FORTHUSDT,2.448000,2.518000,2.386000,2.435000,2780049.7
2025-04-19,FORTHUSDT,2.435000,2.497000,2.405000,2.458000,2369304.2
2025-04-20,FORTHUSDT,2.457000,2.555000,2.307000,2.352000,4423178.2
2025-04-21,FORTHUSDT,2.352000,2.467000,2.350000,2.377000,2460472.6
2025-04-22,FORTHUSDT,2.378000,2.539000,2.374000,2.513000,1921068.7
2025-04-23,FORTHUSDT,2.514000,2.609000,2.472000,2.591000,2338488.0
2025-04-24,FORTHUSDT,2.591000,2.765000,2.480000,2.727000,3136010.3
2025-04-25,FORTHUSDT,2.727000,2.865000,2.679000,2.801000,2982935.2
2025-04-26,FORTHUSDT,2.800000,2.922000,2.751000,2.801000,1654997.4
2025-04-27,FORTHUSDT,2.801000,2.828000,2.653000,2.727000,1205567.5
2025-04-28,FORTHUSDT,2.726000,2.967000,2.647000,2.720000,2101453.3
2025-04-29,FORTHUSDT,2.721000,2.823000,2.668000,2.711000,1291562.0
2025-04-30,FORTHUSDT,2.710000,2.862000,2.680000,2.808000,976822.6
2025-05-01,FORTHUSDT,2.806000,2.828000,2.726000,2.767000,714182.6
2025-05-02,FORTHUSDT,2.767000,2.934000,2.735000,2.874000,2198337.6
2025-05-03,FORTHUSDT,2.872000,2.990000,2.812000,2.901000,2973409.8
2025-05-04,FORTHUSDT,2.901000,2.929000,2.765000,2.812000,947055.6
2025-05-05,FORTHUSDT,2.813000,2.869000,2.518000,2.525000,1727181.3
2025-05-06,FORTHUSDT,2.524000,2.621000,2.504000,2.612000,1204216.3
2025-05-07,FORTHUSDT,2.611000,2.665000,2.565000,2.632000,857845.3
2025-05-08,FORTHUSDT,2.632000,2.996000,2.609000,2.851000,1259432.3
2025-05-09,FORTHUSDT,2.850000,3.031000,2.821000,2.997000,1321327.0
2025-05-10,FORTHUSDT,2.997000,3.135000,2.961000,3.101000,1028369.7
2025-05-11,FORTHUSDT,3.100000,3.166000,2.986000,3.063000,1243273.3
2025-05-12,FORTHUSDT,3.063000,3.164000,2.925000,3.104000,1119897.2
2025-05-13,FORTHUSDT,3.104000,3.107000,2.894000,3.033000,1002007.1
2025-05-14,FORTHUSDT,3.035000,3.121000,2.897000,2.965000,1168941.2
2025-05-15,FORTHUSDT,2.966000,3.002000,2.741000,2.804000,1251560.7
2025-05-16,FORTHUSDT,2.804000,2.884000,2.697000,2.736000,520297.3
2025-05-17,FORTHUSDT,2.736000,2.740000,2.654000,2.699000,521824.0
2025-05-18,FORTHUSDT,2.700000,2.735000,2.546000,2.701000,1166047.7
2025-05-19,FORTHUSDT,2.702000,2.712000,2.533000,2.621000,1082778.8
2025-05-20,FORTHUSDT,2.621000,2.688000,2.583000,2.677000,745650.1
2025-05-21,FORTHUSDT,2.677000,2.696000,2.383000,2.559000,3470979.1
2025-05-22,FORTHUSDT,2.559000,2.601000,2.533000,2.597000,807907.0
2025-05-23,FORTHUSDT,2.596000,2.653000,2.406000,2.419000,1017478.5
2025-05-24,FORTHUSDT,2.420000,2.563000,2.410000,2.480000,658002.6
2025-05-25,FORTHUSDT,2.480000,2.487000,2.401000,2.463000,440739.0
2025-05-26,FORTHUSDT,2.463000,2.524000,2.430000,2.488000,701425.3
2025-05-27,FORTHUSDT,2.487000,2.532000,2.411000,2.488000,655622.1
2025-05-28,FORTHUSDT,2.489000,2.595000,2.462000,2.548000,1003711.9
