Date,Symbol,Open,High,Low,Close,Volume
2020-09-24,FTMUSDT,0.034630,0.042000,0.034630,0.039761,241855280
2020-09-25,FTMUSDT,0.039696,0.043662,0.036506,0.041920,139677112
2020-09-26,FTMUSDT,0.041843,0.042400,0.038241,0.040105,99734379
2020-09-27,FTMUSDT,0.040105,0.041195,0.037443,0.039657,94255490
2020-09-28,FTMUSDT,0.039699,0.044993,0.038563,0.039300,196701375
2020-09-29,FTMUSDT,0.039300,0.040774,0.036940,0.039048,103195848
2020-09-30,FTMUSDT,0.039052,0.039200,0.035597,0.039080,109823603
2020-10-01,FTMUSDT,0.039200,0.040614,0.035150,0.037027,113958004
2020-10-02,FTMUSDT,0.037009,0.037659,0.030259,0.033286,185197484
2020-10-03,FTMUSDT,0.033337,0.033815,0.030553,0.030929,125624287
2020-10-04,FTMUSDT,0.030946,0.032605,0.029513,0.031898,115836224
2020-10-05,FTMUSDT,0.031898,0.032438,0.029016,0.030221,108467776
2020-10-06,FTMUSDT,0.030221,0.030338,0.024873,0.025894,199873480
2020-10-07,FTMUSDT,0.025856,0.027888,0.023512,0.027013,208494543
2020-10-08,FTMUSDT,0.027012,0.029351,0.025016,0.029238,156694698
2020-10-09,FTMUSDT,0.029229,0.032196,0.028500,0.031639,204964585
2020-10-10,FTMUSDT,0.031634,0.033652,0.030824,0.031301,183160636
2020-10-11,FTMUSDT,0.031338,0.033775,0.030010,0.032584,123511384
2020-10-12,FTMUSDT,0.032653,0.034588,0.030421,0.031810,188437042
2020-10-13,FTMUSDT,0.031810,0.032900,0.030565,0.031210,69863429
2020-10-14,FTMUSDT,0.031215,0.031595,0.027577,0.028927,129083426
2020-10-15,FTMUSDT,0.028919,0.031189,0.026541,0.029950,210878745
2020-10-16,FTMUSDT,0.029971,0.030324,0.022222,0.025176,161917153
2020-10-17,FTMUSDT,0.025228,0.026450,0.024392,0.026019,106334313
2020-10-18,FTMUSDT,0.026005,0.027439,0.025846,0.026226,54167701
2020-10-19,FTMUSDT,0.026278,0.026383,0.024889,0.025193,58523792
2020-10-20,FTMUSDT,0.025188,0.025563,0.021548,0.022724,146274246
2020-10-21,FTMUSDT,0.022737,0.025216,0.022670,0.023668,126116955
2020-10-22,FTMUSDT,0.023652,0.027600,0.023572,0.025168,185434300
2020-10-23,FTMUSDT,0.025116,0.025857,0.023444,0.024462,92320038
2020-10-24,FTMUSDT,0.024454,0.026519,0.024048,0.025913,108247421
2020-10-25,FTMUSDT,0.025931,0.026269,0.023625,0.024262,81267836
2020-10-26,FTMUSDT,0.024226,0.024785,0.021600,0.021853,92371204
2020-10-27,FTMUSDT,0.021883,0.023049,0.021000,0.021653,202894360
2020-10-28,FTMUSDT,0.021653,0.021935,0.018300,0.018926,327923855
2020-10-29,FTMUSDT,0.018918,0.019330,0.016111,0.016717,227688861
2020-10-30,FTMUSDT,0.016705,0.017682,0.014955,0.017091,330417027
2020-10-31,FTMUSDT,0.017118,0.018412,0.016308,0.016733,301317865
2020-11-01,FTMUSDT,0.016727,0.017099,0.015725,0.016123,200663546
2020-11-02,FTMUSDT,0.016148,0.017496,0.015869,0.015970,197176440
2020-11-03,FTMUSDT,0.015963,0.016132,0.014498,0.015234,194604709
2020-11-04,FTMUSDT,0.015234,0.015269,0.012812,0.013810,268230406
2020-11-05,FTMUSDT,0.013819,0.015135,0.013341,0.014358,271134800
2020-11-06,FTMUSDT,0.014361,0.018325,0.014241,0.017991,434975291
2020-11-07,FTMUSDT,0.017991,0.022026,0.016853,0.018009,507515252
2020-11-08,FTMUSDT,0.018009,0.020086,0.017350,0.019349,380641095
2020-11-09,FTMUSDT,0.019346,0.019500,0.017513,0.018194,222004983
2020-11-10,FTMUSDT,0.018192,0.020992,0.017840,0.020860,201578996
2020-11-11,FTMUSDT,0.020857,0.022125,0.019719,0.019746,211366570
2020-11-12,FTMUSDT,0.019745,0.020344,0.017015,0.017589,245634859
2020-11-13,FTMUSDT,0.017592,0.019345,0.017317,0.018635,233407048
2020-11-14,FTMUSDT,0.018645,0.019017,0.017060,0.017960,150465038
2020-11-15,FTMUSDT,0.017983,0.018833,0.017148,0.017734,180611564
2020-11-16,FTMUSDT,0.017691,0.020007,0.017269,0.019317,217212333
2020-11-17,FTMUSDT,0.019332,0.020365,0.018300,0.019588,267038566
2020-11-18,FTMUSDT,0.019589,0.019910,0.016238,0.017437,247191574
2020-11-19,FTMUSDT,0.017417,0.019000,0.016680,0.018216,244321560
2020-11-20,FTMUSDT,0.018184,0.019405,0.018062,0.018594,220990416
2020-11-21,FTMUSDT,0.018547,0.020765,0.018075,0.020179,394994128
2020-11-22,FTMUSDT,0.020183,0.020486,0.017645,0.018926,302264997
2020-11-23,FTMUSDT,0.018937,0.022574,0.018613,0.022289,528317235
2020-11-24,FTMUSDT,0.022316,0.024316,0.021444,0.023601,494714458
2020-11-25,FTMUSDT,0.023587,0.025677,0.021712,0.022603,456435595
2020-11-26,FTMUSDT,0.022599,0.023625,0.016612,0.018313,650995447
2020-11-27,FTMUSDT,0.018313,0.019098,0.017000,0.018001,190883087
2020-11-28,FTMUSDT,0.018007,0.020085,0.017635,0.019397,196139909
2020-11-29,FTMUSDT,0.019403,0.020280,0.018842,0.019340,117120144
2020-11-30,FTMUSDT,0.019368,0.021155,0.019368,0.021080,217666921
2020-12-01,FTMUSDT,0.021071,0.023245,0.019896,0.020462,327935857
2020-12-02,FTMUSDT,0.020462,0.023148,0.020048,0.022631,188644977
2020-12-03,FTMUSDT,0.022614,0.024774,0.022404,0.022863,316223025
2020-12-04,FTMUSDT,0.022867,0.023213,0.020613,0.020907,208541190
2020-12-05,FTMUSDT,0.020880,0.022705,0.020613,0.022521,154689125
2020-12-06,FTMUSDT,0.022519,0.023143,0.020979,0.021987,148433591
2020-12-07,FTMUSDT,0.021998,0.022719,0.021227,0.021707,130353265
2020-12-08,FTMUSDT,0.021709,0.021740,0.018732,0.019115,228108345
2020-12-09,FTMUSDT,0.019115,0.019969,0.017581,0.019606,194815054
2020-12-10,FTMUSDT,0.019609,0.020642,0.018739,0.019941,271335030
2020-12-11,FTMUSDT,0.019958,0.020038,0.018002,0.018368,191939642
2020-12-12,FTMUSDT,0.018351,0.019401,0.018327,0.019105,84349757
2020-12-13,FTMUSDT,0.019108,0.020782,0.018917,0.019949,143052134
2020-12-14,FTMUSDT,0.019952,0.021285,0.019385,0.021049,163725259
2020-12-15,FTMUSDT,0.021056,0.021489,0.020419,0.021018,142090931
2020-12-16,FTMUSDT,0.021032,0.021541,0.020170,0.020870,131783818
2020-12-17,FTMUSDT,0.020890,0.021415,0.019400,0.019639,284340788
2020-12-18,FTMUSDT,0.019654,0.020720,0.019091,0.020299,159713782
2020-12-19,FTMUSDT,0.020318,0.021537,0.020054,0.020725,170939132
2020-12-20,FTMUSDT,0.020736,0.021934,0.019840,0.020907,251631275
2020-12-21,FTMUSDT,0.020922,0.021875,0.018819,0.018988,333486216
2020-12-22,FTMUSDT,0.018984,0.019349,0.017825,0.018824,191852717
2020-12-23,FTMUSDT,0.018817,0.019374,0.014690,0.016405,316967151
2020-12-24,FTMUSDT,0.016392,0.017615,0.015440,0.017590,238024683
2020-12-25,FTMUSDT,0.017608,0.018406,0.016652,0.017297,205661191
2020-12-26,FTMUSDT,0.017301,0.017313,0.016249,0.016646,155241696
2020-12-27,FTMUSDT,0.016638,0.017714,0.016148,0.016701,314103164
2020-12-28,FTMUSDT,0.016684,0.018000,0.016298,0.017434,296748522
2020-12-29,FTMUSDT,0.017424,0.017777,0.015557,0.016360,322655382
2020-12-30,FTMUSDT,0.016371,0.017193,0.015527,0.016601,285994834
2020-12-31,FTMUSDT,0.016609,0.017164,0.015892,0.016952,243305012
2021-01-01,FTMUSDT,0.016967,0.017950,0.016600,0.017241,292165898
2021-01-02,FTMUSDT,0.017244,0.017276,0.016083,0.016421,200230063
2021-01-03,FTMUSDT,0.016418,0.019387,0.016149,0.018942,544926848
2021-01-04,FTMUSDT,0.018941,0.020802,0.016838,0.020539,912341242
2021-01-05,FTMUSDT,0.020556,0.021472,0.018715,0.020620,567149578
2021-01-06,FTMUSDT,0.020614,0.024609,0.019964,0.024516,450513371
2021-01-07,FTMUSDT,0.024521,0.027509,0.023171,0.023875,615852446
2021-01-08,FTMUSDT,0.023903,0.027515,0.021458,0.026334,550804274
2021-01-09,FTMUSDT,0.026311,0.029086,0.025056,0.027250,378875977
2021-01-10,FTMUSDT,0.027228,0.029392,0.023336,0.025269,483268426
2021-01-11,FTMUSDT,0.025252,0.025344,0.018891,0.022162,562718485
2021-01-12,FTMUSDT,0.022164,0.024558,0.021357,0.021956,340873416
2021-01-13,FTMUSDT,0.021910,0.024422,0.021113,0.023931,200702649
2021-01-14,FTMUSDT,0.023930,0.025400,0.023056,0.024709,205142021
2021-01-15,FTMUSDT,0.024707,0.028046,0.023508,0.026400,460714955
2021-01-16,FTMUSDT,0.026385,0.030918,0.026378,0.028585,363247021
2021-01-17,FTMUSDT,0.028600,0.031091,0.026231,0.030040,350546055
2021-01-18,FTMUSDT,0.030032,0.031548,0.028578,0.029855,230194470
2021-01-19,FTMUSDT,0.029862,0.031192,0.028001,0.028049,209785890
2021-01-20,FTMUSDT,0.028025,0.028888,0.025772,0.028674,193504220
2021-01-21,FTMUSDT,0.028699,0.029104,0.025675,0.026395,413197274
2021-01-22,FTMUSDT,0.026410,0.028478,0.024244,0.027065,217368444
2021-01-23,FTMUSDT,0.027047,0.043075,0.026604,0.040408,1265236218
2021-01-24,FTMUSDT,0.040436,0.059758,0.039385,0.056878,2876284805
2021-01-25,FTMUSDT,0.056879,0.064789,0.052158,0.052276,1253126949
2021-01-26,FTMUSDT,0.052287,0.074336,0.050525,0.072842,1001972310
2021-01-27,FTMUSDT,0.072729,0.085500,0.064763,0.081014,1841068979
2021-01-28,FTMUSDT,0.081014,0.131814,0.076663,0.119556,1151487660
2021-01-29,FTMUSDT,0.119555,0.262861,0.116000,0.128697,1746813594
2021-01-30,FTMUSDT,0.128684,0.168466,0.114197,0.132164,576569283
2021-01-31,FTMUSDT,0.132136,0.134991,0.103006,0.128493,454683380
2021-02-01,FTMUSDT,0.127981,0.128833,0.105904,0.108768,256722275
2021-02-02,FTMUSDT,0.108730,0.135151,0.097219,0.127050,541910167
2021-02-03,FTMUSDT,0.126942,0.158872,0.124770,0.130675,772422412
2021-02-04,FTMUSDT,0.130791,0.151568,0.120000,0.134837,432706435
2021-02-05,FTMUSDT,0.134795,0.175150,0.134734,0.164709,404172365
2021-02-06,FTMUSDT,0.164547,0.172692,0.130219,0.141523,324869513
2021-02-07,FTMUSDT,0.141529,0.144666,0.119620,0.132798,236334152
2021-02-08,FTMUSDT,0.132779,0.151491,0.128125,0.146311,250530275
2021-02-09,FTMUSDT,0.146414,0.156118,0.137940,0.148445,289871201
2021-02-10,FTMUSDT,0.148515,0.158726,0.127647,0.139298,378847857
2021-02-11,FTMUSDT,0.139142,0.190000,0.134393,0.178155,514695099
2021-02-12,FTMUSDT,0.178298,0.199500,0.169411,0.185285,493939042
2021-02-13,FTMUSDT,0.185434,0.198965,0.169215,0.180956,311287658
2021-02-14,FTMUSDT,0.181022,0.184757,0.162520,0.169426,196403792
2021-02-15,FTMUSDT,0.169588,0.198800,0.135741,0.173655,369282465
2021-02-16,FTMUSDT,0.173903,0.190000,0.163279,0.172287,218444774
2021-02-17,FTMUSDT,0.172439,0.174710,0.153142,0.165715,147590672
2021-02-18,FTMUSDT,0.165839,0.231100,0.165839,0.210825,481788368
2021-02-19,FTMUSDT,0.210910,0.252370,0.191082,0.243361,218688356
2021-02-20,FTMUSDT,0.243465,0.292765,0.212000,0.233921,354829370
2021-02-21,FTMUSDT,0.233882,0.379000,0.225340,0.347358,722352051
2021-02-22,FTMUSDT,0.347500,0.487361,0.300000,0.459525,758869333
2021-02-23,FTMUSDT,0.458809,0.520901,0.305857,0.449033,648689196
2021-02-24,FTMUSDT,0.448835,0.668888,0.413124,0.648368,551640354
2021-02-25,FTMUSDT,0.648999,0.872400,0.588829,0.597000,816766292
2021-02-26,FTMUSDT,0.597865,0.700000,0.500000,0.522689,626374337
2021-02-27,FTMUSDT,0.522935,0.562110,0.441129,0.468936,538474324
2021-02-28,FTMUSDT,0.469213,0.507247,0.381308,0.423353,417396417
2021-03-01,FTMUSDT,0.423810,0.646600,0.414892,0.584697,805275402
2021-03-02,FTMUSDT,0.584762,0.591200,0.483405,0.518552,428390476
2021-03-03,FTMUSDT,0.518972,0.606797,0.506613,0.521026,293583976
2021-03-04,FTMUSDT,0.521773,0.527295,0.439729,0.458006,260045568
2021-03-05,FTMUSDT,0.458006,0.491107,0.420000,0.458376,219037991
2021-03-06,FTMUSDT,0.458573,0.470000,0.428000,0.442401,117607991
2021-03-07,FTMUSDT,0.442439,0.475000,0.423179,0.444305,144432930
2021-03-08,FTMUSDT,0.445037,0.478235,0.426530,0.450493,212288457
2021-03-09,FTMUSDT,0.450694,0.547373,0.437649,0.532132,394848944
2021-03-10,FTMUSDT,0.532438,0.555069,0.444000,0.458552,287399375
2021-03-11,FTMUSDT,0.458745,0.470863,0.435000,0.443689,216993715
2021-03-12,FTMUSDT,0.443521,0.448057,0.357659,0.389341,418687690
2021-03-13,FTMUSDT,0.389428,0.448000,0.363100,0.407584,246932623
2021-03-14,FTMUSDT,0.407719,0.423999,0.375826,0.389684,182229822
2021-03-15,FTMUSDT,0.389683,0.423214,0.349746,0.367333,218481258
2021-03-16,FTMUSDT,0.367361,0.408500,0.350000,0.381989,187885011
2021-03-17,FTMUSDT,0.382169,0.437148,0.367719,0.426882,221951250
2021-03-18,FTMUSDT,0.426866,0.445000,0.383689,0.399400,169708676
2021-03-19,FTMUSDT,0.399437,0.439599,0.385126,0.412915,161661141
2021-03-20,FTMUSDT,0.412989,0.488651,0.412160,0.427937,265390084
2021-03-21,FTMUSDT,0.428320,0.443037,0.396047,0.425621,191641730
2021-03-22,FTMUSDT,0.425764,0.455857,0.383378,0.395002,227750772
2021-03-23,FTMUSDT,0.394897,0.413000,0.362304,0.379169,186637326
2021-03-24,FTMUSDT,0.379223,0.410903,0.288475,0.336824,212392900
2021-03-25,FTMUSDT,0.337054,0.352187,0.312565,0.323777,243924624
2021-03-26,FTMUSDT,0.323833,0.377621,0.322541,0.368121,185146699
2021-03-27,FTMUSDT,0.368097,0.375369,0.341000,0.360087,149580511
2021-03-28,FTMUSDT,0.359916,0.420557,0.354064,0.393880,293951374
2021-03-29,FTMUSDT,0.393914,0.439656,0.384331,0.432805,265820186
2021-03-30,FTMUSDT,0.432852,0.480640,0.422100,0.432045,333435968
2021-03-31,FTMUSDT,0.432134,0.449838,0.385260,0.423041,367732182
2021-04-01,FTMUSDT,0.423249,0.458566,0.410500,0.444392,208069697
2021-04-02,FTMUSDT,0.444435,0.469676,0.421111,0.428037,158323051
2021-04-03,FTMUSDT,0.428278,0.447213,0.385505,0.388052,163413257
2021-04-04,FTMUSDT,0.387991,0.424161,0.379290,0.408537,120787372
2021-04-05,FTMUSDT,0.408600,0.488595,0.394304,0.482316,309918394
2021-04-06,FTMUSDT,0.482663,0.557100,0.444567,0.458559,540085202
2021-04-07,FTMUSDT,0.458702,0.484370,0.397043,0.415264,377845898
2021-04-08,FTMUSDT,0.415290,0.457130,0.410669,0.438702,212079538
2021-04-09,FTMUSDT,0.438680,0.476568,0.430214,0.452113,175504434
2021-04-10,FTMUSDT,0.452444,0.477669,0.423300,0.439484,148964695
2021-04-11,FTMUSDT,0.439612,0.466750,0.427503,0.459157,126005942
2021-04-12,FTMUSDT,0.459169,0.468700,0.425062,0.428190,136795246
2021-04-13,FTMUSDT,0.428251,0.445167,0.412800,0.419356,138480565
2021-04-14,FTMUSDT,0.419330,0.445000,0.380000,0.418085,186285059
2021-04-15,FTMUSDT,0.417944,0.459712,0.412665,0.445197,176011690
2021-04-16,FTMUSDT,0.445195,0.459500,0.407376,0.455495,187974033
2021-04-17,FTMUSDT,0.455579,0.579203,0.442787,0.495690,590417913
2021-04-18,FTMUSDT,0.495699,0.505869,0.300000,0.423922,482296890
2021-04-19,FTMUSDT,0.423749,0.434994,0.358587,0.399940,307601305
2021-04-20,FTMUSDT,0.400289,0.418115,0.356898,0.400586,208791742
2021-04-21,FTMUSDT,0.400492,0.407997,0.367608,0.367938,149092943
2021-04-22,FTMUSDT,0.368235,0.390894,0.305147,0.328353,216018018
2021-04-23,FTMUSDT,0.328271,0.337028,0.246000,0.315624,334116035
2021-04-24,FTMUSDT,0.315391,0.320795,0.276470,0.278863,169011694
2021-04-25,FTMUSDT,0.278766,0.324449,0.276814,0.305527,161308301
2021-04-26,FTMUSDT,0.305468,0.417374,0.296231,0.385638,353039658
2021-04-27,FTMUSDT,0.385638,0.535000,0.378355,0.526599,466839645
2021-04-28,FTMUSDT,0.526622,0.619632,0.447535,0.594573,677692065
2021-04-29,FTMUSDT,0.594614,0.727999,0.573225,0.582329,846771284
2021-04-30,FTMUSDT,0.582329,0.796440,0.563334,0.740800,693304365
2021-05-01,FTMUSDT,0.740900,0.839490,0.693880,0.814520,499049931
2021-05-02,FTMUSDT,0.814560,0.850000,0.743680,0.754370,364530230
2021-05-03,FTMUSDT,0.754310,0.787970,0.704450,0.711780,317315661
2021-05-04,FTMUSDT,0.712000,0.764860,0.631620,0.649970,438458461
2021-05-05,FTMUSDT,0.650410,0.840000,0.642600,0.784330,441614582
2021-05-06,FTMUSDT,0.784320,0.817670,0.704530,0.730350,249834354
2021-05-07,FTMUSDT,0.730930,0.790050,0.686410,0.776470,190586379
2021-05-08,FTMUSDT,0.776830,0.939990,0.771350,0.816060,522002172
2021-05-09,FTMUSDT,0.816250,0.947000,0.713520,0.920160,368878856
2021-05-10,FTMUSDT,0.920810,0.961130,0.688000,0.772030,329956510
2021-05-11,FTMUSDT,0.772130,0.812370,0.710220,0.787630,233182701
2021-05-12,FTMUSDT,0.787740,0.789340,0.583720,0.605940,282975847
2021-05-13,FTMUSDT,0.604600,0.703410,0.565000,0.618670,255482644
2021-05-14,FTMUSDT,0.618320,0.740000,0.613960,0.691830,212664432
2021-05-15,FTMUSDT,0.691490,0.736390,0.609830,0.614690,209180330
2021-05-16,FTMUSDT,0.614680,0.729370,0.588000,0.632550,265815659
2021-05-17,FTMUSDT,0.632120,0.637250,0.540000,0.581230,219050432
2021-05-18,FTMUSDT,0.581680,0.710390,0.570220,0.683450,281106625
2021-05-19,FTMUSDT,0.683080,0.768230,0.242060,0.392480,960533329
2021-05-20,FTMUSDT,0.393300,0.513670,0.334490,0.447070,400665175
2021-05-21,FTMUSDT,0.446660,0.480440,0.302690,0.351350,298302119
2021-05-22,FTMUSDT,0.351210,0.365100,0.289310,0.290620,266293720
2021-05-23,FTMUSDT,0.290470,0.302410,0.183110,0.251980,588833184
2021-05-24,FTMUSDT,0.251990,0.353490,0.251930,0.343100,508536045
2021-05-25,FTMUSDT,0.343030,0.370320,0.286680,0.329550,402737082
2021-05-26,FTMUSDT,0.329420,0.404600,0.313920,0.377870,317465111
2021-05-27,FTMUSDT,0.377770,0.378640,0.322390,0.348360,206424663
2021-05-28,FTMUSDT,0.348280,0.352970,0.285280,0.303130,226707776
2021-05-29,FTMUSDT,0.303170,0.318750,0.261440,0.276040,179037401
2021-05-30,FTMUSDT,0.276260,0.312060,0.261730,0.294560,167444996
2021-05-31,FTMUSDT,0.294660,0.323830,0.274150,0.319470,167733589
2021-06-01,FTMUSDT,0.319610,0.329280,0.300830,0.309230,265677225
2021-06-02,FTMUSDT,0.309390,0.366980,0.297050,0.349650,352690252
2021-06-03,FTMUSDT,0.349750,0.402420,0.342720,0.381650,353731573
2021-06-04,FTMUSDT,0.381850,0.383420,0.315510,0.335210,310012384
2021-06-05,FTMUSDT,0.335140,0.362850,0.301290,0.312290,271269410
2021-06-06,FTMUSDT,0.312410,0.348050,0.310790,0.341040,189511940
2021-06-07,FTMUSDT,0.341040,0.357090,0.293670,0.298370,244717880
2021-06-08,FTMUSDT,0.298270,0.306280,0.257410,0.292130,374722762
2021-06-09,FTMUSDT,0.292020,0.314670,0.271680,0.306040,307408126
2021-06-10,FTMUSDT,0.306400,0.309080,0.270100,0.279520,232773374
2021-06-11,FTMUSDT,0.279540,0.284420,0.247740,0.252910,213604736
2021-06-12,FTMUSDT,0.252910,0.253050,0.231610,0.238860,277514114
2021-06-13,FTMUSDT,0.238910,0.283160,0.231950,0.279590,282085973
2021-06-14,FTMUSDT,0.279700,0.308000,0.268590,0.299520,379735305
2021-06-15,FTMUSDT,0.299480,0.310290,0.280510,0.288410,244081618
2021-06-16,FTMUSDT,0.288450,0.291560,0.265000,0.280390,253868793
2021-06-17,FTMUSDT,0.280450,0.321460,0.278820,0.321000,555486457
2021-06-18,FTMUSDT,0.320990,0.347000,0.285170,0.295580,884345353
2021-06-19,FTMUSDT,0.295590,0.328000,0.281500,0.307890,542013786
2021-06-20,FTMUSDT,0.307750,0.319990,0.281900,0.308690,464721132
2021-06-21,FTMUSDT,0.308770,0.311480,0.233220,0.234730,534267371
2021-06-22,FTMUSDT,0.234710,0.254070,0.185810,0.217070,613474443
2021-06-23,FTMUSDT,0.217100,0.266050,0.206680,0.246280,391410195
2021-06-24,FTMUSDT,0.246260,0.257470,0.232220,0.242000,259059669
2021-06-25,FTMUSDT,0.242000,0.247750,0.203870,0.205500,358242316
2021-06-26,FTMUSDT,0.205530,0.216750,0.193840,0.212260,312440729
2021-06-27,FTMUSDT,0.212310,0.218520,0.200490,0.218340,228620577
2021-06-28,FTMUSDT,0.218450,0.232920,0.215070,0.225350,287014310
2021-06-29,FTMUSDT,0.225380,0.250000,0.224380,0.235420,249881447
2021-06-30,FTMUSDT,0.235480,0.241590,0.213060,0.241460,275117589
2021-07-01,FTMUSDT,0.241440,0.242750,0.218390,0.221300,224931329
2021-07-02,FTMUSDT,0.221270,0.230390,0.214060,0.227030,168863719
2021-07-03,FTMUSDT,0.227060,0.239670,0.224420,0.234330,120690673
2021-07-04,FTMUSDT,0.234430,0.253000,0.226800,0.242620,168034958
2021-07-05,FTMUSDT,0.242620,0.244920,0.224020,0.229440,177450177
2021-07-06,FTMUSDT,0.229700,0.254740,0.229370,0.249400,200414112
2021-07-07,FTMUSDT,0.249380,0.277620,0.245170,0.257990,269123291
2021-07-08,FTMUSDT,0.258130,0.260240,0.230840,0.238490,216062731
2021-07-09,FTMUSDT,0.238420,0.240850,0.223960,0.234200,170075563
2021-07-10,FTMUSDT,0.234060,0.241690,0.221160,0.225960,141351322
2021-07-11,FTMUSDT,0.226020,0.236660,0.220040,0.231800,144849657
2021-07-12,FTMUSDT,0.231820,0.238800,0.218270,0.223550,145943515
2021-07-13,FTMUSDT,0.223530,0.235060,0.215870,0.222620,168106191
2021-07-14,FTMUSDT,0.222670,0.223620,0.205440,0.219500,123463858
2021-07-15,FTMUSDT,0.219450,0.223300,0.202620,0.211610,120253281
2021-07-16,FTMUSDT,0.211610,0.215890,0.193310,0.193560,135142100
2021-07-17,FTMUSDT,0.193520,0.198070,0.187820,0.196180,120598032
2021-07-18,FTMUSDT,0.196260,0.202780,0.187240,0.189920,115657679
2021-07-19,FTMUSDT,0.190060,0.191370,0.168010,0.170470,162186094
2021-07-20,FTMUSDT,0.170460,0.173480,0.152780,0.159810,248337901
2021-07-21,FTMUSDT,0.159910,0.184420,0.155660,0.176970,214177927
2021-07-22,FTMUSDT,0.176990,0.189580,0.171520,0.185590,230230073
2021-07-23,FTMUSDT,0.185510,0.193210,0.178570,0.191150,156431679
2021-07-24,FTMUSDT,0.191100,0.201600,0.189100,0.194490,188966901
2021-07-25,FTMUSDT,0.194630,0.198170,0.186000,0.197780,148584836
2021-07-26,FTMUSDT,0.197780,0.241940,0.195400,0.208980,429010097
2021-07-27,FTMUSDT,0.209010,0.234860,0.199770,0.224110,286986227
2021-07-28,FTMUSDT,0.224050,0.229850,0.215420,0.227650,234683654
2021-07-29,FTMUSDT,0.227680,0.255500,0.222990,0.249600,419290359
2021-07-30,FTMUSDT,0.249710,0.257930,0.228560,0.253800,254825323
2021-07-31,FTMUSDT,0.253740,0.260180,0.244250,0.256210,158267044
2021-08-01,FTMUSDT,0.256160,0.267830,0.241800,0.245590,207569071
2021-08-02,FTMUSDT,0.245570,0.254810,0.238000,0.250990,198842848
2021-08-03,FTMUSDT,0.251010,0.258020,0.233620,0.238350,169468769
