Date,Symbol,Open,High,Low,Close,Volume
2025-03-31,FUNUSDT,0.0050010,0.0052530,0.0041390,0.0047530,5265794947
2025-04-01,FUNUSDT,0.0047560,0.0052590,0.0040980,0.0045350,7934596770
2025-04-02,FUNUSDT,0.0045350,0.0052260,0.0037430,0.0038670,13140041918
2025-04-03,FUNUSDT,0.0038650,0.0062180,0.0038280,0.0056870,94504123520
2025-04-04,FUNUSDT,0.0056870,0.0061100,0.0049390,0.0055050,65732523903
2025-04-05,FUNUSDT,0.0055060,0.0084000,0.0054050,0.0080610,164572577712
2025-04-06,FUNUSDT,0.0080610,0.0087480,0.0063010,0.0077910,156500917394
2025-04-07,FUNUSDT,0.0077900,0.0089550,0.0071850,0.0081210,66914839537
2025-04-08,FUNUSDT,0.0081210,0.0084880,0.0062220,0.0063480,39681917765
2025-04-09,FUNUSDT,0.0063470,0.0085500,0.0062140,0.0074900,48713131826
2025-04-10,FUNUSDT,0.0074900,0.0075350,0.0065460,0.0068390,19136740891
2025-04-11,FUNUSDT,0.0068400,0.0073210,0.0065690,0.0065810,17333196912
2025-04-12,FUNUSDT,0.0065820,0.0078290,0.0060620,0.0066870,22405941260
2025-04-13,FUNUSDT,0.0066890,0.0072180,0.0062290,0.0071010,13562799111
2025-04-14,FUNUSDT,0.0071000,0.0081800,0.0069360,0.0077380,31142369974
2025-04-15,FUNUSDT,0.0077410,0.0089850,0.0076220,0.0085830,17564991296
2025-04-16,FUNUSDT,0.0085840,0.0088970,0.0081590,0.0083670,12448472084
2025-04-17,FUNUSDT,0.0083660,0.0084710,0.0077100,0.0077110,7368685562
2025-04-18,FUNUSDT,0.0077110,0.0079370,0.0073110,0.0073190,5150484787
2025-04-19,FUNUSDT,0.0073200,0.0073980,0.0062190,0.0063050,7484467523
2025-04-20,FUNUSDT,0.0063040,0.0065260,0.0057110,0.0057840,9908104791
2025-04-21,FUNUSDT,0.0057830,0.0063770,0.0053890,0.0061000,10936027245
2025-04-22,FUNUSDT,0.0061010,0.0062440,0.0054120,0.0058070,6305270375
2025-04-23,FUNUSDT,0.0058080,0.0067200,0.0057230,0.0062300,6354552276
2025-04-24,FUNUSDT,0.0062320,0.0064540,0.0058050,0.0059310,3256546969
2025-04-25,FUNUSDT,0.0059310,0.0061440,0.0056600,0.0057770,3396152706
2025-04-26,FUNUSDT,0.0057770,0.0060840,0.0057220,0.0058080,1947314729
2025-04-27,FUNUSDT,0.0058080,0.0058330,0.0055360,0.0056420,1600190192
2025-04-28,FUNUSDT,0.0056400,0.0063480,0.0056100,0.0058200,3401509107
2025-04-29,FUNUSDT,0.0058220,0.0058850,0.0054300,0.0055040,1672600602
2025-04-30,FUNUSDT,0.0055050,0.0058250,0.0052050,0.0054460,1878519646
2025-05-01,FUNUSDT,0.0054460,0.0055410,0.0043790,0.0049560,5464316551
2025-05-02,FUNUSDT,0.0049560,0.0058150,0.0047030,0.0047300,8558242374
2025-05-03,FUNUSDT,0.0047290,0.0048830,0.0040010,0.0045560,5078465969
2025-05-04,FUNUSDT,0.0045560,0.0050660,0.0045450,0.0047960,7443795368
2025-05-05,FUNUSDT,0.0047960,0.0048460,0.0044760,0.0044940,2041056311
2025-05-06,FUNUSDT,0.0044950,0.0046480,0.0042510,0.0046350,5095747380
2025-05-07,FUNUSDT,0.0046350,0.0048190,0.0042790,0.0046730,2474215903
2025-05-08,FUNUSDT,0.0046730,0.0050680,0.0045760,0.0049090,2442795596
2025-05-09,FUNUSDT,0.0049120,0.0052030,0.0048800,0.0050960,3706732172
2025-05-10,FUNUSDT,0.0050970,0.0052280,0.0048630,0.0050250,2808283495
2025-05-11,FUNUSDT,0.0050260,0.0055120,0.0049480,0.0052990,4656012357
2025-05-12,FUNUSDT,0.0053010,0.0057990,0.0051390,0.0057620,3363461327
2025-05-13,FUNUSDT,0.0057610,0.0068990,0.0057310,0.0061300,22547143901
2025-05-14,FUNUSDT,0.0061280,0.0063380,0.0059050,0.0059640,3744402762
