Date,Symbol,Open,High,Low,Close,Volume
2024-02-22,GLMUSDT,0.3750000,0.3895000,0.3629000,0.3691000,30804176
2024-02-23,GLMUSDT,0.3685000,0.3753000,0.3312000,0.3387000,42984822
2024-02-24,GLMUSDT,0.3386000,0.3542000,0.3151000,0.3539000,40546598
2024-02-25,GLMUSDT,0.3538000,0.4157000,0.3477000,0.4086000,237415952
2024-02-26,GLMUSDT,0.4085000,0.4354000,0.3917000,0.4178000,133263976
2024-02-27,GLMUSDT,0.4178000,0.4229000,0.3781000,0.3903000,50638454
2024-02-28,GLMUSDT,0.3902000,0.4092000,0.3620000,0.3930000,74868071
2024-02-29,GLMUSDT,0.3928000,0.4242000,0.3603000,0.3721000,53980425
2024-03-01,GLMUSDT,0.3719000,0.4028000,0.3680000,0.3980000,39282351
2024-03-02,GLMUSDT,0.3981000,0.5373000,0.3845000,0.5362000,85000544
2024-03-03,GLMUSDT,0.5363000,0.7761000,0.4875000,0.7147000,1217291379
2024-03-04,GLMUSDT,0.7150000,0.7490000,0.6325000,0.6656000,410277546
2024-03-05,GLMUSDT,0.6657000,0.6661000,0.4657000,0.5612000,205435964
2024-03-06,GLMUSDT,0.5613000,0.6918000,0.5308000,0.6205000,210173796
2024-03-07,GLMUSDT,0.6205000,0.6824000,0.5950000,0.6118000,114482545
2024-03-08,GLMUSDT,0.6119000,0.6965000,0.6049000,0.6520000,147951478
2024-03-09,GLMUSDT,0.6520000,0.7335000,0.6454000,0.7051000,116777125
2024-03-10,GLMUSDT,0.7051000,0.7293000,0.6248000,0.6449000,92924237
2024-03-11,GLMUSDT,0.6451000,0.6556000,0.5968000,0.6396000,45506387
2024-03-12,GLMUSDT,0.6397000,0.6660000,0.5980000,0.6456000,81013510
2024-03-13,GLMUSDT,0.6457000,0.6542000,0.6166000,0.6319000,28653166
2024-03-14,GLMUSDT,0.6320000,0.6551000,0.5722000,0.6139000,53381307
2024-03-15,GLMUSDT,0.6139000,0.6430000,0.5101000,0.5559000,78067616
2024-03-16,GLMUSDT,0.5560000,0.5756000,0.4760000,0.4875000,58451465
2024-03-17,GLMUSDT,0.4876000,0.5559000,0.4693000,0.5481000,97810008
2024-03-18,GLMUSDT,0.5481000,0.5487000,0.4885000,0.4967000,43859846
2024-03-19,GLMUSDT,0.4967000,0.4990000,0.4253000,0.4390000,62855060
2024-03-20,GLMUSDT,0.4390000,0.4962000,0.4152000,0.4897000,54620789
2024-03-21,GLMUSDT,0.4898000,0.4964000,0.4600000,0.4771000,35938707
2024-03-22,GLMUSDT,0.4770000,0.4971000,0.4421000,0.4560000,32050015
2024-03-23,GLMUSDT,0.4561000,0.5019000,0.4483000,0.4898000,72568109
2024-03-24,GLMUSDT,0.4898000,0.5021000,0.4702000,0.5001000,29529114
2024-03-25,GLMUSDT,0.5000000,0.5282000,0.4930000,0.5251000,31567641
2024-03-26,GLMUSDT,0.5251000,0.5606000,0.5222000,0.5472000,34309921
2024-03-27,GLMUSDT,0.5470000,0.5952000,0.5318000,0.5625000,109948254
2024-03-28,GLMUSDT,0.5625000,0.6429000,0.5596000,0.5862000,130004752
2024-03-29,GLMUSDT,0.5862000,0.7087000,0.5804000,0.6297000,294474736
2024-03-30,GLMUSDT,0.6296000,0.6296000,0.5821000,0.5900000,77035294
2024-03-31,GLMUSDT,0.5900000,0.6264000,0.5890000,0.6102000,56133604
2024-04-01,GLMUSDT,0.6101000,0.6104000,0.5416000,0.5668000,45032097
2024-04-02,GLMUSDT,0.5664000,0.6043000,0.5139000,0.5278000,81668480
2024-04-03,GLMUSDT,0.5276000,0.5371000,0.4939000,0.5136000,42530353
2024-04-04,GLMUSDT,0.5137000,0.5500000,0.4957000,0.5490000,28011229
2024-04-05,GLMUSDT,0.5491000,0.5735000,0.5032000,0.5280000,43793524
2024-04-06,GLMUSDT,0.5280000,0.5430000,0.5217000,0.5409000,15683708
2024-04-07,GLMUSDT,0.5407000,0.5703000,0.5402000,0.5703000,21818915
2024-04-08,GLMUSDT,0.5701000,0.5817000,0.5471000,0.5813000,24741185
2024-04-09,GLMUSDT,0.5812000,0.6059000,0.5422000,0.5477000,35061905
2024-04-10,GLMUSDT,0.5477000,0.5637000,0.5061000,0.5294000,30137981
2024-04-11,GLMUSDT,0.5294000,0.5295000,0.5024000,0.5119000,13839105
2024-04-12,GLMUSDT,0.5121000,0.5325000,0.3523000,0.4210000,68784228
2024-04-13,GLMUSDT,0.4207000,0.4218000,0.3000000,0.3529000,60714733
2024-04-14,GLMUSDT,0.3530000,0.3944000,0.3335000,0.3889000,40255886
2024-04-15,GLMUSDT,0.3889000,0.4021000,0.3506000,0.3648000,34800992
2024-04-16,GLMUSDT,0.3646000,0.3745000,0.3461000,0.3635000,36727029
2024-04-17,GLMUSDT,0.3635000,0.3678000,0.3352000,0.3474000,27003557
2024-04-18,GLMUSDT,0.3474000,0.3730000,0.3395000,0.3692000,31399488
2024-04-19,GLMUSDT,0.3692000,0.3783000,0.3370000,0.3691000,29309679
2024-04-20,GLMUSDT,0.3691000,0.4057000,0.3633000,0.4042000,19761578
2024-04-21,GLMUSDT,0.4041000,0.4113000,0.3865000,0.4049000,18418375
2024-04-22,GLMUSDT,0.4049000,0.4400000,0.4015000,0.4265000,33024502
2024-04-23,GLMUSDT,0.4264000,0.4320000,0.4120000,0.4162000,17999428
2024-04-24,GLMUSDT,0.4160000,0.4211000,0.3870000,0.3910000,21386994
2024-04-25,GLMUSDT,0.3911000,0.3970000,0.3745000,0.3886000,18626120
2024-04-26,GLMUSDT,0.3885000,0.3923000,0.3763000,0.3825000,15008666
2024-04-27,GLMUSDT,0.3826000,0.5825000,0.3818000,0.4923000,2731473492
2024-04-28,GLMUSDT,0.4923000,0.5905000,0.4605000,0.5299000,1533311428
2024-04-29,GLMUSDT,0.5299000,0.5723000,0.4938000,0.5243000,1076042942
2024-04-30,GLMUSDT,0.5242000,0.5438000,0.4774000,0.4936000,570610974
2024-05-01,GLMUSDT,0.4935000,0.5038000,0.4356000,0.4600000,411967713
2024-05-02,GLMUSDT,0.4600000,0.4689000,0.4321000,0.4464000,231348799
2024-05-03,GLMUSDT,0.4464000,0.4745000,0.4349000,0.4574000,185369359
2024-05-04,GLMUSDT,0.4575000,0.5880000,0.4473000,0.5763000,877285890
2024-05-05,GLMUSDT,0.5762000,0.6580000,0.5565000,0.6198000,1485686044
2024-05-06,GLMUSDT,0.6198000,0.6417000,0.5834000,0.5925000,448958851
2024-05-07,GLMUSDT,0.5925000,0.6137000,0.5708000,0.5713000,314014949
2024-05-08,GLMUSDT,0.5713000,0.5847000,0.5393000,0.5434000,209118262
2024-05-09,GLMUSDT,0.5435000,0.5800000,0.5421000,0.5670000,175650657
2024-05-10,GLMUSDT,0.5670000,0.6410000,0.5558000,0.5733000,323347094
2024-05-11,GLMUSDT,0.5734000,0.5830000,0.5459000,0.5534000,125674781
2024-05-12,GLMUSDT,0.5533000,0.5595000,0.5262000,0.5342000,85636724
2024-05-13,GLMUSDT,0.5342000,0.5528000,0.5018000,0.5404000,159382233
2024-05-14,GLMUSDT,0.5404000,0.5408000,0.4975000,0.5013000,93814712
2024-05-15,GLMUSDT,0.5012000,0.5450000,0.4948000,0.5407000,93956149
2024-05-16,GLMUSDT,0.5406000,0.5562000,0.5199000,0.5298000,73400759
2024-05-17,GLMUSDT,0.5297000,0.5469000,0.5219000,0.5403000,48688193
2024-05-18,GLMUSDT,0.5403000,0.5480000,0.5315000,0.5359000,31908475
2024-05-19,GLMUSDT,0.5359000,0.5366000,0.5015000,0.5076000,37469492
2024-05-20,GLMUSDT,0.5075000,0.5610000,0.5072000,0.5606000,163194926
2024-05-21,GLMUSDT,0.5606000,0.5810000,0.5485000,0.5645000,88111273
2024-05-22,GLMUSDT,0.5644000,0.5650000,0.5356000,0.5509000,49969243
2024-05-23,GLMUSDT,0.5508000,0.5549000,0.4995000,0.5243000,72667147
2024-05-24,GLMUSDT,0.5242000,0.5300000,0.5055000,0.5226000,32718147
2024-05-25,GLMUSDT,0.5225000,0.5326000,0.5206000,0.5262000,23950161
2024-05-26,GLMUSDT,0.5261000,0.5276000,0.5136000,0.5215000,26558217
2024-05-27,GLMUSDT,0.5215000,0.5367000,0.5113000,0.5268000,31675386
2024-05-28,GLMUSDT,0.5269000,0.5276000,0.5044000,0.5182000,38746969
2024-05-29,GLMUSDT,0.5182000,0.5380000,0.5139000,0.5235000,39746679
2024-05-30,GLMUSDT,0.5235000,0.5325000,0.4987000,0.5073000,39827670
2024-05-31,GLMUSDT,0.5072000,0.5123000,0.4940000,0.5063000,28094883
2024-06-01,GLMUSDT,0.5063000,0.5072000,0.4954000,0.4977000,13802097
2024-06-02,GLMUSDT,0.4977000,0.5018000,0.4835000,0.4854000,16290084
2024-06-03,GLMUSDT,0.4855000,0.4970000,0.4761000,0.4783000,21310967
2024-06-04,GLMUSDT,0.4782000,0.4792000,0.4608000,0.4764000,24332462
2024-06-05,GLMUSDT,0.4764000,0.5168000,0.4764000,0.5060000,62954757
2024-06-06,GLMUSDT,0.5060000,0.5147000,0.4776000,0.4874000,27904216
2024-06-07,GLMUSDT,0.4873000,0.5019000,0.4150000,0.4657000,53727196
2024-06-08,GLMUSDT,0.4656000,0.4657000,0.4278000,0.4340000,20729489
2024-06-09,GLMUSDT,0.4339000,0.4493000,0.4263000,0.4467000,17609052
2024-06-10,GLMUSDT,0.4467000,0.4520000,0.4281000,0.4393000,17575170
2024-06-11,GLMUSDT,0.4393000,0.4465000,0.4105000,0.4192000,33924915
2024-06-12,GLMUSDT,0.4191000,0.4743000,0.4159000,0.4580000,60646105
2024-06-13,GLMUSDT,0.4580000,0.4634000,0.4222000,0.4256000,29911206
2024-06-14,GLMUSDT,0.4257000,0.4493000,0.4056000,0.4140000,52000649
2024-06-15,GLMUSDT,0.4138000,0.4406000,0.4123000,0.4273000,32817020
2024-06-16,GLMUSDT,0.4274000,0.4389000,0.4220000,0.4290000,23723606
2024-06-17,GLMUSDT,0.4289000,0.4295000,0.3658000,0.3723000,42409955
2024-06-18,GLMUSDT,0.3722000,0.4031000,0.3484000,0.3671000,206733657
2024-06-19,GLMUSDT,0.3670000,0.3776000,0.3546000,0.3700000,54722725
2024-06-20,GLMUSDT,0.3701000,0.3917000,0.3617000,0.3663000,43439523
2024-06-21,GLMUSDT,0.3663000,0.3791000,0.3578000,0.3676000,45641670
2024-06-22,GLMUSDT,0.3676000,0.3860000,0.3589000,0.3792000,25997457
2024-06-23,GLMUSDT,0.3792000,0.3839000,0.3570000,0.3588000,18391630
2024-06-24,GLMUSDT,0.3587000,0.3619000,0.3355000,0.3564000,39782053
2024-06-25,GLMUSDT,0.3564000,0.3776000,0.3561000,0.3731000,23246459
2024-06-26,GLMUSDT,0.3731000,0.3784000,0.3539000,0.3556000,21223004
2024-06-27,GLMUSDT,0.3557000,0.3656000,0.3437000,0.3607000,20282212
2024-06-28,GLMUSDT,0.3606000,0.3655000,0.3483000,0.3501000,15716539
2024-06-29,GLMUSDT,0.3503000,0.3565000,0.3348000,0.3380000,14505720
2024-06-30,GLMUSDT,0.3379000,0.3556000,0.3300000,0.3537000,19191376
2024-07-01,GLMUSDT,0.3538000,0.3603000,0.3468000,0.3490000,16041521
2024-07-02,GLMUSDT,0.3490000,0.3533000,0.3398000,0.3468000,11304495
2024-07-03,GLMUSDT,0.3468000,0.3477000,0.3223000,0.3251000,16662615
2024-07-04,GLMUSDT,0.3252000,0.3265000,0.2778000,0.2809000,36075213
2024-07-05,GLMUSDT,0.2809000,0.2825000,0.2376000,0.2673000,63620258
2024-07-06,GLMUSDT,0.2674000,0.3018000,0.2640000,0.2937000,40369636
2024-07-07,GLMUSDT,0.2938000,0.3337000,0.2916000,0.2965000,377071484
2024-07-08,GLMUSDT,0.2966000,0.3213000,0.2937000,0.3150000,360128913
2024-07-09,GLMUSDT,0.3150000,0.3240000,0.3069000,0.3178000,108264480
2024-07-10,GLMUSDT,0.3178000,0.3243000,0.3095000,0.3175000,59789110
2024-07-11,GLMUSDT,0.3174000,0.3223000,0.3046000,0.3066000,44280545
2024-07-12,GLMUSDT,0.3067000,0.3180000,0.3025000,0.3129000,32412692
2024-07-13,GLMUSDT,0.3130000,0.3195000,0.3093000,0.3166000,17957083
2024-07-14,GLMUSDT,0.3166000,0.3203000,0.3109000,0.3189000,15014330
2024-07-15,GLMUSDT,0.3188000,0.3394000,0.3186000,0.3384000,36611444
2024-07-16,GLMUSDT,0.3384000,0.3635000,0.3382000,0.3544000,114185065
2024-07-17,GLMUSDT,0.3543000,0.3573000,0.3408000,0.3430000,33916848
2024-07-18,GLMUSDT,0.3431000,0.3527000,0.3298000,0.3416000,38329983
2024-07-19,GLMUSDT,0.3416000,0.3539000,0.3337000,0.3509000,22971270
2024-07-20,GLMUSDT,0.3509000,0.3560000,0.3449000,0.3537000,24279889
2024-07-21,GLMUSDT,0.3537000,0.3760000,0.3363000,0.3599000,44152970
2024-07-22,GLMUSDT,0.3599000,0.3670000,0.3406000,0.3450000,22055207
