Date,Symbol,Open,High,Low,Close,Volume
2024-10-24,GOATUSDT,0.7678000,0.8222000,0.6350000,0.6633000,211239501
2024-10-25,GOATUSDT,0.6631000,0.7689000,0.6135000,0.7062000,657646398
2024-10-26,GOATUSDT,0.7062000,0.8845000,0.6751000,0.7181000,877675021
2024-10-27,GOATUSDT,0.7181000,0.7221000,0.5680000,0.5969000,659496251
2024-10-28,GOATUSDT,0.5970000,0.7068000,0.5555000,0.6122000,772394186
2024-10-29,GOATUSDT,0.6119000,0.7369000,0.6041000,0.6635000,700931226
2024-10-30,GOATUSDT,0.6636000,0.7120000,0.5579000,0.5755000,640105244
2024-10-31,GOATUSDT,0.5755000,0.6072000,0.5118000,0.5334000,640105580
2024-11-01,GOATUSDT,0.5334000,0.5985000,0.5200000,0.5395000,616251361
2024-11-02,GOATUSDT,0.5395000,0.5659000,0.4362000,0.4427000,587004159
2024-11-03,GOATUSDT,0.4429000,0.5562000,0.4206000,0.5312000,1058038329
2024-11-04,GOATUSDT,0.5313000,0.5649000,0.4779000,0.4814000,1227018833
2024-11-05,GOATUSDT,0.4813000,0.6129000,0.4661000,0.6041000,834557952
2024-11-06,GOATUSDT,0.6039000,0.8403000,0.5941000,0.7922000,1370477799
2024-11-07,GOATUSDT,0.7922000,0.8985000,0.7405000,0.8587000,710846110
2024-11-08,GOATUSDT,0.8586000,0.8940000,0.7359000,0.7498000,545254589
2024-11-09,GOATUSDT,0.7500000,0.7896000,0.6962000,0.7692000,411674911
2024-11-10,GOATUSDT,0.7695000,0.9722000,0.7556000,0.9447000,753433355
2024-11-11,GOATUSDT,0.9444000,0.9844000,0.7837000,0.8319000,672371652
2024-11-12,GOATUSDT,0.8321000,1.0543000,0.7588000,0.9037000,902908232
2024-11-13,GOATUSDT,0.9038000,0.9462000,0.8035000,0.8269000,604160569
2024-11-14,GOATUSDT,0.8271000,1.0766000,0.8019000,0.8665000,663871804
2024-11-15,GOATUSDT,0.8665000,1.2726000,0.8212000,1.2152000,711853073
2024-11-16,GOATUSDT,1.2153000,1.3198000,1.0930000,1.2194000,475635951
2024-11-17,GOATUSDT,1.2196000,1.3754000,1.1529000,1.2072000,403588821
2024-11-18,GOATUSDT,1.2071000,1.2587000,1.0014000,1.0417000,367207410
2024-11-19,GOATUSDT,1.0418000,1.1924000,0.9942000,1.0978000,403965418
2024-11-20,GOATUSDT,1.0979000,1.2382000,0.8916000,0.9015000,649854297
2024-11-21,GOATUSDT,0.9014000,1.1458000,0.8557000,0.9896000,562353032
2024-11-22,GOATUSDT,0.9897000,1.0090000,0.8248000,0.8929000,447148704
