Date,Symbol,Open,High,Low,Close,Volume
2025-01-02,GRIFFAINUSDT,0.4069200,0.4319900,0.3631600,0.4283000,108071885
2025-01-03,GRIFFAINUSDT,0.4285700,0.4889600,0.3759700,0.4627700,267617018
2025-01-04,GRIFFAINUSDT,0.4627400,0.4673700,0.4111000,0.4353000,136996180
2025-01-05,GRIFFAINUSDT,0.4353900,0.4523400,0.3770100,0.3861300,126984865
2025-01-06,GRIFFAINUSDT,0.3861600,0.5298000,0.3775000,0.4832800,772884930
2025-01-07,GRIFFAINUSDT,0.4832800,0.5048800,0.4339700,0.4363500,420810098
2025-01-08,GRIFFAINUSDT,0.4362800,0.4610000,0.3678500,0.4127500,260188126
2025-01-09,GRIFFAINUSDT,0.4126500,0.4276200,0.3321000,0.3491700,227541756
2025-01-10,GRIFFAINUSDT,0.3492500,0.4348000,0.3442900,0.4104000,293193604
2025-01-11,GRIFFAINUSDT,0.4103500,0.4168200,0.3775100,0.3882200,190372925
2025-01-12,GRIFFAINUSDT,0.3882800,0.3887500,0.3368900,0.3377500,150578375
2025-01-13,GRIFFAINUSDT,0.3377800,0.3705500,0.2887700,0.3670100,343948754
2025-01-14,GRIFFAINUSDT,0.3670100,0.4695100,0.3573900,0.4505300,476195747
2025-01-15,GRIFFAINUSDT,0.4505300,0.5787900,0.4138000,0.5598800,706526086
2025-01-16,GRIFFAINUSDT,0.5600000,0.5900000,0.5137300,0.5186200,411150282
2025-01-17,GRIFFAINUSDT,0.5185600,0.5853600,0.4608700,0.4900500,261249485
2025-01-18,GRIFFAINUSDT,0.4900600,0.5296100,0.3825500,0.4853900,389611318
2025-01-19,GRIFFAINUSDT,0.4854500,0.6201500,0.4348800,0.4905800,527518530
2025-01-20,GRIFFAINUSDT,0.4904000,0.5496600,0.4173900,0.5420900,432840036
2025-01-21,GRIFFAINUSDT,0.5421700,0.5875000,0.4533700,0.5488000,310047753
2025-01-22,GRIFFAINUSDT,0.5488700,0.6444900,0.5145600,0.5196000,325081074
2025-01-23,GRIFFAINUSDT,0.5196100,0.5626400,0.4768800,0.4954100,286979766
2025-01-24,GRIFFAINUSDT,0.4954000,0.5164500,0.4239600,0.4274400,223536309
2025-01-25,GRIFFAINUSDT,0.4274400,0.4692400,0.4169700,0.4272000,154260182
2025-01-26,GRIFFAINUSDT,0.4272000,0.4453900,0.3538900,0.3557300,229443649
2025-01-27,GRIFFAINUSDT,0.3557100,0.3629500,0.2677700,0.3136300,573181219
2025-01-28,GRIFFAINUSDT,0.3137100,0.3391600,0.2342900,0.2433300,380119378
2025-01-29,GRIFFAINUSDT,0.2433700,0.3145000,0.2300000,0.2811600,542132407
2025-01-30,GRIFFAINUSDT,0.2811700,0.2813100,0.2210100,0.2245000,673647622
2025-01-31,GRIFFAINUSDT,0.2244900,0.2289800,0.1910000,0.2062600,915811101
2025-02-01,GRIFFAINUSDT,0.2062600,0.2209000,0.1533300,0.1601100,662597304
2025-02-02,GRIFFAINUSDT,0.1601000,0.1768400,0.1321600,0.1460800,728597293
2025-02-03,GRIFFAINUSDT,0.1461000,0.2447500,0.0991800,0.2414800,1195577815
2025-02-04,GRIFFAINUSDT,0.2414800,0.2812900,0.1986400,0.2143600,2339059158
2025-02-05,GRIFFAINUSDT,0.2143600,0.2265300,0.1629100,0.1645800,906873374
2025-02-06,GRIFFAINUSDT,0.1645800,0.1818000,0.1362700,0.1427600,921823814
2025-02-07,GRIFFAINUSDT,0.1427700,0.1681100,0.1218400,0.1235700,1036431749
2025-02-08,GRIFFAINUSDT,0.1235700,0.1547000,0.1212000,0.1443200,650254890
2025-02-09,GRIFFAINUSDT,0.1443100,0.1555000,0.1276700,0.1346100,537121300
2025-02-10,GRIFFAINUSDT,0.1346100,0.1674700,0.1266600,0.1360700,825947899
2025-02-11,GRIFFAINUSDT,0.1360700,0.1808700,0.1359400,0.1609900,950390481
2025-02-12,GRIFFAINUSDT,0.1610000,0.1898600,0.1350000,0.1811400,870040601
2025-02-13,GRIFFAINUSDT,0.1812000,0.1820400,0.1472700,0.1525400,480797561
2025-02-14,GRIFFAINUSDT,0.1525300,0.1695600,0.1332800,0.1416000,743021474
2025-02-15,GRIFFAINUSDT,0.1416400,0.1420300,0.1147900,0.1180800,443331322
2025-02-16,GRIFFAINUSDT,0.1181000,0.1240100,0.1113100,0.1161300,565046308
2025-02-17,GRIFFAINUSDT,0.1161500,0.1185100,0.0925900,0.0956100,815609320
2025-02-18,GRIFFAINUSDT,0.0956100,0.0979400,0.0803900,0.0892800,863802496
2025-02-19,GRIFFAINUSDT,0.0892900,0.0925200,0.0810000,0.0858800,836604448
2025-02-20,GRIFFAINUSDT,0.0859100,0.0969800,0.0815500,0.0889000,1131812062
2025-02-21,GRIFFAINUSDT,0.0888800,0.1008600,0.0648700,0.0657400,1784593535
2025-02-22,GRIFFAINUSDT,0.0657200,0.0758600,0.0623700,0.0700700,1915646728
2025-02-23,GRIFFAINUSDT,0.0700700,0.0707500,0.0576200,0.0603200,1319756347
2025-02-24,GRIFFAINUSDT,0.0603400,0.0623500,0.0468700,0.0488400,1729992056
2025-02-25,GRIFFAINUSDT,0.0488600,0.0610100,0.0461000,0.0589600,1608777070
2025-02-26,GRIFFAINUSDT,0.0589700,0.0672300,0.0566100,0.0636600,1982959139
