Date,Symbol,Open,High,Low,Close,Volume
2024-12-23,HIVEUSDT,0.3763800,0.3814700,0.3365000,0.3612400,122434570
2024-12-24,HIVEUSDT,0.3609300,0.3888200,0.3399600,0.3564700,190550924
2024-12-25,HIVEUSDT,0.3563900,0.3641900,0.3079200,0.3221700,174657642
2024-12-26,HIVEUSDT,0.3221200,0.3631500,0.3101000,0.3372100,321763904
2024-12-27,HIVEUSDT,0.3371500,0.3398700,0.3106600,0.3228500,119931661
2024-12-28,HIVEUSDT,0.3228600,0.3573400,0.3156600,0.3509300,222850119
2024-12-29,HIVEUSDT,0.3509000,0.4746800,0.3506400,0.3967000,2287786703
2024-12-30,HIVEUSDT,0.3967000,0.4159300,0.3421000,0.3558100,654101638
2024-12-31,HIVEUSDT,0.3557500,0.3851700,0.3333300,0.3827600,638850472
2025-01-01,HIVEUSDT,0.3827400,0.3829700,0.3482900,0.3592700,294181911
2025-01-02,HIVEUSDT,0.3592700,0.3676000,0.3439200,0.3636800,177928671
2025-01-03,HIVEUSDT,0.3636800,0.3790800,0.3503200,0.3776700,100066083
2025-01-04,HIVEUSDT,0.3776700,0.4079800,0.3638000,0.3971000,273243289
2025-01-05,HIVEUSDT,0.3970700,0.6290000,0.3935000,0.5841600,4548265315
2025-01-06,HIVEUSDT,0.5841700,0.6428200,0.5101500,0.6383600,1461199445
2025-01-07,HIVEUSDT,0.6383500,0.6749500,0.5967000,0.6006900,1325459860
2025-01-08,HIVEUSDT,0.6006600,0.6198400,0.5395700,0.5654300,688545738
2025-01-09,HIVEUSDT,0.5653800,0.5831000,0.4912300,0.5041900,394824174
2025-01-10,HIVEUSDT,0.5041700,0.5197500,0.4611900,0.4935800,322093333
2025-01-11,HIVEUSDT,0.4935300,0.5817900,0.4932800,0.5229700,847664349
2025-01-12,HIVEUSDT,0.5229700,0.5345800,0.5004400,0.5099800,434828891
2025-01-13,HIVEUSDT,0.5099900,0.5240600,0.4554800,0.4973100,396128963
2025-01-14,HIVEUSDT,0.4973000,0.5104000,0.4747000,0.5072800,177131418
2025-01-15,HIVEUSDT,0.5072900,0.5121300,0.4791000,0.5106800,130875377
2025-01-16,HIVEUSDT,0.5106000,0.5208100,0.4778400,0.4935800,99961069
2025-01-17,HIVEUSDT,0.4936500,0.5303000,0.4834600,0.5255000,103138386
2025-01-18,HIVEUSDT,0.5254200,0.5254300,0.4692100,0.4771300,80315650
2025-01-19,HIVEUSDT,0.4771300,0.4798400,0.3991600,0.4073200,130001298
2025-01-20,HIVEUSDT,0.4073200,0.4325000,0.3863600,0.4040600,121834444
2025-01-21,HIVEUSDT,0.4040800,0.4116000,0.3795500,0.4043200,68879321
2025-01-22,HIVEUSDT,0.4043200,0.4091600,0.3875700,0.3965800,47274824
2025-01-23,HIVEUSDT,0.3965600,0.4011200,0.3769500,0.3898500,64356806
2025-01-24,HIVEUSDT,0.3897700,0.4779900,0.3897600,0.4716800,660588510
2025-01-25,HIVEUSDT,0.4716800,0.4735000,0.4275900,0.4322900,292934731
2025-01-26,HIVEUSDT,0.4323200,0.4323200,0.4030000,0.4057400,147744487
2025-01-27,HIVEUSDT,0.4057400,0.4417000,0.3909500,0.4128500,335667266
2025-01-28,HIVEUSDT,0.4128400,0.4201600,0.3914700,0.4004100,112807706
2025-01-29,HIVEUSDT,0.4004100,0.4218900,0.3911800,0.4101200,72940148
2025-01-30,HIVEUSDT,0.4101300,0.4263200,0.4049400,0.4177600,50680663
2025-01-31,HIVEUSDT,0.4177300,0.4179300,0.3922900,0.3984400,39211032
2025-02-01,HIVEUSDT,0.3983900,0.3998300,0.3691700,0.3724900,36713826
2025-02-02,HIVEUSDT,0.3724900,0.3861500,0.3091900,0.3274200,85877275
2025-02-03,HIVEUSDT,0.3273900,0.3505900,0.2474900,0.3479600,247833693
2025-02-04,HIVEUSDT,0.3479400,0.3482000,0.3104000,0.3228100,72526786
2025-02-05,HIVEUSDT,0.3227800,0.3334400,0.3070000,0.3118500,53158963
2025-02-06,HIVEUSDT,0.3118500,0.3175100,0.2927700,0.2967900,54536281
2025-02-07,HIVEUSDT,0.2967800,0.3150800,0.2826400,0.2950900,58460951
2025-02-08,HIVEUSDT,0.2950500,0.3104000,0.2888800,0.3101000,33106008
2025-02-09,HIVEUSDT,0.3100200,0.3538600,0.3041200,0.3319500,174148697
2025-02-10,HIVEUSDT,0.3319700,0.3330400,0.3154900,0.3253000,57904830
2025-02-11,HIVEUSDT,0.3252300,0.3309200,0.3031100,0.3083000,55897022
2025-02-12,HIVEUSDT,0.3082900,0.3320000,0.3062500,0.3253700,152412243
2025-02-13,HIVEUSDT,0.3253300,0.3257200,0.3051100,0.3127400,42860822
2025-02-14,HIVEUSDT,0.3127400,0.3283300,0.3112700,0.3223700,46045392
2025-02-15,HIVEUSDT,0.3224000,0.3531200,0.3153200,0.3356700,112425321
2025-02-16,HIVEUSDT,0.3356700,0.3538800,0.3223500,0.3304000,204265631
2025-02-17,HIVEUSDT,0.3303600,0.3326500,0.3126900,0.3275500,58209341
2025-02-18,HIVEUSDT,0.3275500,0.3487400,0.3143600,0.3350600,116750206
2025-02-19,HIVEUSDT,0.3350600,0.3370300,0.3255800,0.3352100,45770589
2025-02-20,HIVEUSDT,0.3352000,0.3450000,0.3291200,0.3361100,38145716
2025-02-21,HIVEUSDT,0.3360500,0.3448800,0.3180300,0.3403800,54339905
2025-02-22,HIVEUSDT,0.3403100,0.3486200,0.3328700,0.3474800,40376309
2025-02-23,HIVEUSDT,0.3474500,0.3475500,0.3355700,0.3408200,27933350
2025-02-24,HIVEUSDT,0.3408500,0.3410300,0.2921400,0.2932500,40104822
2025-02-25,HIVEUSDT,0.2932600,0.2957300,0.2696500,0.2891200,78227472
2025-02-26,HIVEUSDT,0.2890600,0.2939600,0.2723800,0.2839100,42785835
2025-02-27,HIVEUSDT,0.2839600,0.2918300,0.2789100,0.2863500,26092771
2025-02-28,HIVEUSDT,0.2863700,0.2865000,0.2580300,0.2817600,54322806
2025-03-01,HIVEUSDT,0.2818200,0.2906400,0.2770200,0.2894200,56762973
2025-03-02,HIVEUSDT,0.2894300,0.3126000,0.2864000,0.3064100,178795185
2025-03-03,HIVEUSDT,0.3064200,0.3146500,0.2626600,0.2685800,87105350
2025-03-04,HIVEUSDT,0.2685700,0.2701100,0.2387000,0.2600400,87096480
2025-03-05,HIVEUSDT,0.2600300,0.2703700,0.2564800,0.2695300,33198023
2025-03-06,HIVEUSDT,0.2695300,0.2767200,0.2608600,0.2631000,30657247
2025-03-07,HIVEUSDT,0.2630600,0.2726500,0.2474700,0.2634500,35229779
2025-03-08,HIVEUSDT,0.2634500,0.2648500,0.2567800,0.2614100,13864060
2025-03-09,HIVEUSDT,0.2614100,0.2676700,0.2255700,0.2297700,33535929
2025-03-10,HIVEUSDT,0.2297800,0.2427600,0.2134100,0.2218100,39182469
2025-03-11,HIVEUSDT,0.2218900,0.2399000,0.2062300,0.2353600,44739269
2025-03-12,HIVEUSDT,0.2353500,0.2446700,0.2286700,0.2399300,29193080
2025-03-13,HIVEUSDT,0.2398900,0.2465100,0.2278400,0.2367000,44624848
2025-03-14,HIVEUSDT,0.2367600,0.2488000,0.2342000,0.2463800,34032861
2025-03-15,HIVEUSDT,0.2463700,0.2509800,0.2441000,0.2495000,13650253
2025-03-16,HIVEUSDT,0.2494900,0.2519000,0.2348300,0.2362700,20566874
2025-03-17,HIVEUSDT,0.2361900,0.2479700,0.2347800,0.2453600,26299278
2025-03-18,HIVEUSDT,0.2453600,0.2513500,0.2367500,0.2456400,32892107
2025-03-19,HIVEUSDT,0.2456300,0.2500200,0.2425100,0.2492000,24520758
2025-03-20,HIVEUSDT,0.2492600,0.2498200,0.2417500,0.2453100,12711175
