Date,Symbol,Open,High,Low,Close,Volume
2025-05-30,HYPEUSDT,33.38700,34.34800,31.36900,32.81600,3866226.57
2025-05-31,HYPEUSDT,32.83000,33.66300,30.72400,32.67100,5212805.58
2025-06-01,HYPEUSDT,32.67100,34.27900,31.50500,34.15200,3206031.45
2025-06-02,HYPEUSDT,34.15600,36.66000,32.41700,36.47400,4454011.49
2025-06-03,HYPEUSDT,36.47700,38.23800,35.65800,36.09200,5754781.17
2025-06-04,HYPEUSDT,36.09300,37.24000,34.47900,35.63200,5221223.40
2025-06-05,HYPEUSDT,35.64000,36.42600,32.62600,34.02400,6408548.66
2025-06-06,HYPEUSDT,34.02500,35.61300,33.08100,33.33300,5013806.94
2025-06-07,HYPEUSDT,33.33400,35.16200,33.01000,34.92100,2809657.95
2025-06-08,HYPEUSDT,34.91700,36.32800,34.49100,34.98400,3271157.06
2025-06-09,HYPEUSDT,34.98700,39.16600,34.70600,38.84800,6898520.09
2025-06-10,HYPEUSDT,38.84800,42.41100,38.40400,42.24100,9124540.17
2025-06-11,HYPEUSDT,42.24000,44.08800,40.71000,41.82800,7589698.18
2025-06-12,HYPEUSDT,41.82300,43.91300,40.30000,40.51600,9401867.95
2025-06-13,HYPEUSDT,40.52000,43.06500,37.33800,42.29700,16860067.90
2025-06-14,HYPEUSDT,42.29900,42.72300,38.86700,40.13000,7391611.45
2025-06-15,HYPEUSDT,40.13000,41.47800,39.68400,41.19300,6187277.84
2025-06-16,HYPEUSDT,41.19100,45.84600,40.68600,41.91800,12652591.02
2025-06-17,HYPEUSDT,41.92000,43.54100,38.31400,39.96800,16344283.26
2025-06-18,HYPEUSDT,39.96800,41.12200,37.56100,39.48000,15304531.32
2025-06-19,HYPEUSDT,39.47600,40.00000,35.80000,36.87600,12321573.01
2025-06-20,HYPEUSDT,36.87700,37.90100,33.07400,33.38700,16615184.89
2025-06-21,HYPEUSDT,33.38800,35.31200,30.91300,34.42100,15063399.40
2025-06-22,HYPEUSDT,34.41900,36.06500,31.60000,35.75400,21995077.03
2025-06-23,HYPEUSDT,35.76100,38.48500,33.27200,38.17500,20158301.32
2025-06-24,HYPEUSDT,38.17800,38.93600,36.25000,37.51200,12649596.36
2025-06-25,HYPEUSDT,37.51300,39.09600,36.67700,37.01600,10160149.13
2025-06-26,HYPEUSDT,37.01700,38.10400,35.73500,35.80300,9364452.83
2025-06-27,HYPEUSDT,35.80200,37.28500,35.34700,36.62200,5586862.23
2025-06-28,HYPEUSDT,36.62300,37.90700,36.21900,37.79800,3212373.58
2025-06-29,HYPEUSDT,37.79900,39.90100,37.48900,39.77500,5358852.29
2025-06-30,HYPEUSDT,39.77800,41.26900,39.15600,39.55000,8197865.10
2025-07-01,HYPEUSDT,39.55600,39.80900,36.83900,36.90900,8575987.39
2025-07-02,HYPEUSDT,36.91000,40.38000,36.80900,39.87700,7829646.81
2025-07-03,HYPEUSDT,39.87700,41.21800,39.55300,40.25400,5930628.57
2025-07-04,HYPEUSDT,40.25300,40.43700,37.54500,38.96200,6128319.75
2025-07-05,HYPEUSDT,38.96100,39.62400,38.27400,39.14300,3739084.06
2025-07-06,HYPEUSDT,39.13700,40.03200,38.58600,39.82900,3982024.06
2025-07-07,HYPEUSDT,39.82900,40.16100,38.19400,38.54600,4577650.00
2025-07-08,HYPEUSDT,38.54700,39.07900,36.95200,38.80600,6051103.59
2025-07-09,HYPEUSDT,38.80300,41.04900,38.73100,40.67300,5172539.44
2025-07-10,HYPEUSDT,40.67100,44.09600,40.50200,43.81300,5949804.44
2025-07-11,HYPEUSDT,43.81800,46.93900,43.38300,46.38300,6914263.56
2025-07-12,HYPEUSDT,46.38200,47.41200,45.08800,47.09000,4831768.26
2025-07-13,HYPEUSDT,47.09000,49.30700,46.93800,48.95000,3958818.71
2025-07-14,HYPEUSDT,48.94200,49.92300,46.50400,47.60800,5564265.67
2025-07-15,HYPEUSDT,47.60700,48.39600,46.64900,47.86700,5544850.61
2025-07-16,HYPEUSDT,47.86500,48.58600,46.45400,46.98700,5145272.18
2025-07-17,HYPEUSDT,46.98900,47.38200,44.45000,45.59000,7569714.10
2025-07-18,HYPEUSDT,45.58900,47.43900,43.04500,44.33100,8317366.71
2025-07-19,HYPEUSDT,44.33200,45.29800,43.99100,44.48000,3456873.91
2025-07-20,HYPEUSDT,44.47800,47.40500,44.18700,45.99700,4561511.48
2025-07-21,HYPEUSDT,45.99100,47.82300,44.06400,44.32900,7075047.83
2025-07-22,HYPEUSDT,44.32400,46.32700,43.06600,46.27400,8859915.15
2025-07-23,HYPEUSDT,46.27300,46.33800,42.38800,43.70500,8127544.16
2025-07-24,HYPEUSDT,43.70500,44.39400,41.46300,42.07500,6568711.22
2025-07-25,HYPEUSDT,42.07600,44.19200,41.12200,44.12800,6254485.09
2025-07-26,HYPEUSDT,44.12800,44.90600,43.32700,43.36300,2896862.22
2025-07-27,HYPEUSDT,43.36500,44.33300,42.40200,43.64900,3693814.44
2025-07-28,HYPEUSDT,43.65500,46.09500,42.63000,43.74200,9012464.12
2025-07-29,HYPEUSDT,43.74100,45.29000,42.44800,43.48500,10500434.66
2025-07-30,HYPEUSDT,43.48500,43.72900,40.69000,42.22100,6860552.23
2025-07-31,HYPEUSDT,42.22500,44.72100,40.64000,40.82600,7623677.47
2025-08-01,HYPEUSDT,40.82400,41.63500,36.32300,37.61300,13887673.99
2025-08-02,HYPEUSDT,37.61500,38.72900,35.49300,36.89600,7651094.83
2025-08-03,HYPEUSDT,36.89800,39.29900,36.41500,38.18000,5953155.77
2025-08-04,HYPEUSDT,38.18000,39.46200,37.24800,38.80400,7513609.92
2025-08-05,HYPEUSDT,38.80300,39.86800,37.37200,38.49700,8261895.48
2025-08-06,HYPEUSDT,38.49700,39.25800,36.85500,38.07900,5733056.73
2025-08-07,HYPEUSDT,38.07700,40.98300,37.57700,40.89700,5339771.28
2025-08-08,HYPEUSDT,40.89700,41.75600,40.11000,40.99200,5286611.46
2025-08-09,HYPEUSDT,40.99200,44.74100,40.54600,43.66600,6278742.61
2025-08-10,HYPEUSDT,43.66600,45.44600,42.81300,45.26900,4541058.64
2025-08-11,HYPEUSDT,45.27000,46.79900,42.57800,43.16700,6260046.24
2025-08-12,HYPEUSDT,43.16700,45.87000,42.15300,44.72500,7406267.58
2025-08-13,HYPEUSDT,44.72600,48.02100,43.00200,47.63100,10505672.48
2025-08-14,HYPEUSDT,47.62800,48.88000,43.62700,45.44200,13352853.53
2025-08-15,HYPEUSDT,45.44100,49.56400,45.30900,47.79500,13665308.05
2025-08-16,HYPEUSDT,47.79500,48.27800,46.13900,46.29600,4118055.16
2025-08-17,HYPEUSDT,46.29600,47.78600,45.78800,46.04000,4180938.24
2025-08-18,HYPEUSDT,46.04100,46.17200,42.94000,43.32100,8702381.82
2025-08-19,HYPEUSDT,43.32100,44.17800,40.93900,41.30300,9861723.55
2025-08-20,HYPEUSDT,41.30400,43.27500,40.59600,42.99900,8083620.37
2025-08-21,HYPEUSDT,42.99900,43.45100,40.41500,40.45400,6250532.56
2025-08-22,HYPEUSDT,40.45200,45.53200,40.45100,45.33500,8652690.46
2025-08-23,HYPEUSDT,45.33500,45.35500,43.29600,44.91000,4615174.35
2025-08-24,HYPEUSDT,44.91000,47.00000,43.42000,46.06100,7025440.32
2025-08-25,HYPEUSDT,46.06100,47.40600,42.54200,42.97600,12431671.50
2025-08-26,HYPEUSDT,42.97900,49.78200,42.35700,48.79400,11739153.94
2025-08-27,HYPEUSDT,48.79600,51.25400,46.85500,47.04000,15051141.91
2025-08-28,HYPEUSDT,47.03900,49.05000,45.56200,45.60800,10406687.29
2025-08-29,HYPEUSDT,45.60900,46.14600,43.31800,44.43200,10647014.38
2025-08-30,HYPEUSDT,44.43400,44.92100,43.26600,44.06600,3843280.06
2025-08-31,HYPEUSDT,44.06600,45.36700,44.03400,44.28000,3227527.99
