Date,Symbol,Open,High,Low,Close,Volume
2025-07-04,IDOLUSDT,0.0152000,0.0190000,0.0123000,0.0131600,8925868863
2025-07-05,IDOLUSDT,0.0131700,0.0144200,0.0120000,0.0126700,5447394558
2025-07-06,IDOLUSDT,0.0126800,0.0166700,0.0110100,0.0153400,8641967734
2025-07-07,IDOLUSDT,0.0153500,0.0163500,0.0127200,0.0128800,5445274622
2025-07-08,IDOLUSDT,0.0128700,0.0151000,0.0122700,0.0148900,2101006219
2025-07-09,IDOLUSDT,0.0149100,0.0157800,0.0126700,0.0132900,2012043598
2025-07-10,IDOLUSDT,0.0132900,0.0158400,0.0132200,0.0154000,1545304863
2025-07-11,IDOLUSDT,0.0154000,0.0198200,0.0144400,0.0168400,2497319529
2025-07-12,IDOLUSDT,0.0168300,0.0227800,0.0140000,0.0148900,2206772242
2025-07-13,IDOLUSDT,0.0148700,0.0177900,0.0145000,0.0169800,951503677
2025-07-14,IDOLUSDT,0.0169800,0.0190000,0.0151800,0.0159500,907826164
2025-07-15,IDOLUSDT,0.0159500,0.0167500,0.0151100,0.0163100,562618794
2025-07-16,IDOLUSDT,0.0163200,0.0169600,0.0154700,0.0166000,392214172
2025-07-17,IDOLUSDT,0.0165900,0.0187400,0.0158900,0.0171100,1650416487
2025-07-18,IDOLUSDT,0.0171100,0.0178600,0.0163300,0.0171300,600203722
2025-07-19,IDOLUSDT,0.0171300,0.0178300,0.0158000,0.0164200,435221355
2025-07-20,IDOLUSDT,0.0164300,0.0172300,0.0159000,0.0164200,326047123
2025-07-21,IDOLUSDT,0.0164500,0.0169300,0.0125700,0.0132800,1886445729
2025-07-22,IDOLUSDT,0.0132800,0.0139900,0.0126500,0.0138500,848417161
2025-07-23,IDOLUSDT,0.0138500,0.0142300,0.0127300,0.0132900,657707675
2025-07-24,IDOLUSDT,0.0132800,0.0137500,0.0124600,0.0125800,568300603
2025-07-25,IDOLUSDT,0.0125900,0.0130800,0.0117600,0.0130100,331456315
2025-07-26,IDOLUSDT,0.0130000,0.0134000,0.0117600,0.0122800,397346510
2025-07-27,IDOLUSDT,0.0122900,0.0127200,0.0119000,0.0120700,306423605
2025-07-28,IDOLUSDT,0.0120600,0.0123600,0.0112500,0.0115200,372182106
2025-07-29,IDOLUSDT,0.0115100,0.0116300,0.0104500,0.0109300,371018291
2025-07-30,IDOLUSDT,0.0109400,0.0119100,0.0106300,0.0114800,509320318
2025-07-31,IDOLUSDT,0.0114800,0.0117500,0.0104700,0.0105800,278620610
