Date,Symbol,Open,High,Low,Close,Volume
2023-03-23,IDUSDT,0.4286000,0.5299000,0.4286000,0.5286000,362482400
2023-03-24,IDUSDT,0.5287000,0.5969000,0.4866000,0.5281000,1203027508
2023-03-25,IDUSDT,0.5284000,0.5310000,0.4560000,0.4741000,474024941
2023-03-26,IDUSDT,0.4741000,0.5248000,0.4350000,0.4875000,561701192
2023-03-27,IDUSDT,0.4874000,0.5147000,0.4271000,0.4530000,417157910
2023-03-28,IDUSDT,0.4531000,0.4690000,0.4303000,0.4641000,227541694
2023-03-29,IDUSDT,0.4641000,0.4907000,0.4493000,0.4657000,241877564
2023-03-30,IDUSDT,0.4656000,0.5089000,0.4433000,0.4812000,435916932
2023-03-31,IDUSDT,0.4813000,0.4940000,0.4583000,0.4798000,285685715
2023-04-01,IDUSDT,0.4798000,0.5225000,0.4708000,0.4866000,364979176
2023-04-02,IDUSDT,0.4867000,0.4997000,0.4500000,0.4663000,241934530
2023-04-03,IDUSDT,0.4663000,0.4754000,0.4311000,0.4447000,204231956
2023-04-04,IDUSDT,0.4446000,0.4671000,0.4390000,0.4607000,143040072
2023-04-05,IDUSDT,0.4606000,0.4850000,0.4540000,0.4623000,149297606
2023-04-06,IDUSDT,0.4622000,0.4628000,0.4438000,0.4511000,87367775
2023-04-07,IDUSDT,0.4511000,0.4635000,0.4451000,0.4524000,77764340
2023-04-08,IDUSDT,0.4523000,0.4615000,0.4330000,0.4381000,86407012
2023-04-09,IDUSDT,0.4381000,0.4500000,0.4300000,0.4452000,94955856
2023-04-10,IDUSDT,0.4452000,0.4717000,0.4434000,0.4697000,168178695
2023-04-11,IDUSDT,0.4697000,0.4826000,0.4527000,0.4566000,128727999
2023-04-12,IDUSDT,0.4565000,0.4595000,0.4380000,0.4533000,111139844
2023-04-13,IDUSDT,0.4534000,0.5818000,0.4522000,0.5737000,1130363174
2023-04-14,IDUSDT,0.5737000,0.8448000,0.5714000,0.8020000,2988831418
2023-04-15,IDUSDT,0.8020000,0.8643000,0.7575000,0.8299000,1498530172
2023-04-16,IDUSDT,0.8298000,0.9940000,0.8001000,0.9302000,1539579538
2023-04-17,IDUSDT,0.9300000,1.0578000,0.8255000,0.9350000,1354566753
2023-04-18,IDUSDT,0.9351000,1.0081000,0.8770000,0.9036000,1169562135
2023-04-19,IDUSDT,0.9035000,0.9358000,0.7447000,0.7803000,912876811
2023-04-20,IDUSDT,0.7802000,0.8167000,0.7095000,0.7360000,692796566
2023-04-21,IDUSDT,0.7361000,0.7987000,0.7024000,0.7416000,790964551
2023-04-22,IDUSDT,0.7416000,0.7575000,0.7077000,0.7514000,408623010
2023-04-23,IDUSDT,0.7514000,0.7514000,0.6610000,0.6776000,435444936
2023-04-24,IDUSDT,0.6776000,0.7150000,0.6523000,0.6987000,555123506
2023-04-25,IDUSDT,0.6988000,0.7059000,0.6333000,0.6855000,511664370
2023-04-26,IDUSDT,0.6855000,0.7733000,0.6432000,0.6799000,763446804
2023-04-27,IDUSDT,0.6800000,0.7770000,0.6760000,0.7437000,745669826
2023-04-28,IDUSDT,0.7438000,0.7457000,0.6713000,0.6835000,433469115
2023-04-29,IDUSDT,0.6834000,0.6878000,0.6549000,0.6630000,302136721
2023-04-30,IDUSDT,0.6629000,0.6782000,0.6300000,0.6358000,326715724
2023-05-01,IDUSDT,0.6358000,0.6404000,0.5995000,0.6223000,360178048
2023-05-02,IDUSDT,0.6224000,0.6365000,0.6090000,0.6156000,270968736
2023-05-03,IDUSDT,0.6157000,0.6216000,0.5613000,0.6150000,408287983
2023-05-04,IDUSDT,0.6149000,0.6195000,0.5729000,0.5809000,255231336
2023-05-05,IDUSDT,0.5809000,0.5905000,0.5306000,0.5593000,349498074
2023-05-06,IDUSDT,0.5594000,0.5708000,0.5032000,0.5336000,322425283
2023-05-07,IDUSDT,0.5336000,0.5587000,0.5265000,0.5346000,266630146
2023-05-08,IDUSDT,0.5347000,0.5427000,0.4550000,0.4765000,406458863
2023-05-09,IDUSDT,0.4765000,0.4934000,0.4659000,0.4777000,227531225
2023-05-10,IDUSDT,0.4778000,0.5123000,0.4588000,0.4990000,370259960
2023-05-11,IDUSDT,0.4989000,0.4996000,0.4350000,0.4468000,291408698
2023-05-12,IDUSDT,0.4468000,0.4797000,0.4350000,0.4771000,281153088
2023-05-13,IDUSDT,0.4771000,0.4955000,0.4650000,0.4803000,269372454
2023-05-14,IDUSDT,0.4803000,0.5279000,0.4682000,0.5041000,343564294
2023-05-15,IDUSDT,0.5041000,0.5158000,0.4932000,0.4996000,242312056
2023-05-16,IDUSDT,0.4996000,0.5054000,0.4703000,0.4774000,218508056
2023-05-17,IDUSDT,0.4775000,0.4900000,0.4532000,0.4833000,243275129
2023-05-18,IDUSDT,0.4832000,0.5057000,0.4606000,0.4855000,255302213
2023-05-19,IDUSDT,0.4856000,0.4999000,0.4732000,0.4901000,217448472
2023-05-20,IDUSDT,0.4901000,0.4916000,0.4748000,0.4850000,128607667
2023-05-21,IDUSDT,0.4850000,0.4973000,0.4609000,0.4674000,169915691
2023-05-22,IDUSDT,0.4674000,0.4702000,0.4557000,0.4635000,139218775
2023-05-23,IDUSDT,0.4636000,0.4829000,0.4575000,0.4818000,153641966
2023-05-24,IDUSDT,0.4818000,0.4900000,0.4367000,0.4560000,192368782
2023-05-25,IDUSDT,0.4561000,0.4612000,0.4412000,0.4563000,120304905
2023-05-26,IDUSDT,0.4564000,0.4790000,0.4513000,0.4659000,171620299
2023-05-27,IDUSDT,0.4659000,0.4800000,0.4625000,0.4747000,91972032
2023-05-28,IDUSDT,0.4748000,0.5240000,0.4732000,0.5121000,290676569
2023-05-29,IDUSDT,0.5121000,0.5238000,0.4942000,0.5028000,291832638
2023-05-30,IDUSDT,0.5029000,0.5050000,0.4770000,0.4812000,162740837
