Date,Symbol,Open,High,Low,Close,Volume
2025-04-16,INITUSDT,0.7280000,0.7844000,0.5847000,0.7320000,13588502
2025-04-17,INITUSDT,0.7316000,0.8075000,0.6800000,0.7772000,17102358
2025-04-18,INITUSDT,0.7767000,0.7888000,0.7100000,0.7666000,9590706
2025-04-19,INITUSDT,0.7671000,0.7731000,0.7200000,0.7439000,3805779
2025-04-20,INITUSDT,0.7438000,0.7700000,0.7255000,0.7576000,3331238
2025-04-21,INITUSDT,0.7575000,0.7626000,0.6916000,0.7234000,3614456
2025-04-22,INITUSDT,0.7234000,0.7568000,0.6929000,0.7476000,4116667
2025-04-23,INITUSDT,0.7476000,0.8516000,0.7446000,0.8157000,7989436
2025-04-24,INITUSDT,0.8158000,0.8173000,0.5851000,0.7550000,673224419
2025-04-25,INITUSDT,0.7550000,0.9870000,0.7125000,0.8383000,949881852
2025-04-26,INITUSDT,0.8383000,0.9488000,0.7751000,0.9177000,362820224
2025-04-27,INITUSDT,0.9178000,0.9485000,0.6754000,0.7014000,362405788
2025-04-28,INITUSDT,0.7013000,0.7032000,0.6167000,0.6490000,290890069
2025-04-29,INITUSDT,0.6490000,0.8790000,0.6164000,0.8535000,532465944
2025-04-30,INITUSDT,0.8535000,0.8983000,0.7120000,0.7485000,364014625
2025-05-01,INITUSDT,0.7489000,0.8320000,0.6682000,0.6832000,268390692
2025-05-02,INITUSDT,0.6833000,0.7451000,0.6600000,0.7275000,201290550
2025-05-03,INITUSDT,0.7275000,0.7417000,0.6721000,0.7216000,165460082
2025-05-04,INITUSDT,0.7215000,0.8000000,0.6846000,0.7085000,273106247
2025-05-05,INITUSDT,0.7085000,0.7324000,0.6741000,0.6829000,179803963
2025-05-06,INITUSDT,0.6827000,0.6943000,0.5552000,0.5939000,223933553
2025-05-07,INITUSDT,0.5939000,0.6208000,0.5429000,0.5916000,144700754
2025-05-08,INITUSDT,0.5917000,0.6856000,0.5797000,0.6639000,163266775
2025-05-09,INITUSDT,0.6640000,0.8765000,0.6544000,0.8548000,212179735
2025-05-10,INITUSDT,0.8550000,1.0231000,0.7801000,0.9287000,238008154
2025-05-11,INITUSDT,0.9288000,1.2448000,0.8968000,1.1194000,410839759
2025-05-12,INITUSDT,1.1194000,1.3790000,1.1058000,1.2193000,302927396
2025-05-13,INITUSDT,1.2194000,1.4508000,1.1201000,1.3372000,199085654
2025-05-14,INITUSDT,1.3374000,1.3610000,1.1210000,1.1423000,139952935
2025-05-15,INITUSDT,1.1423000,1.2110000,1.0460000,1.1168000,165046811
